exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E10_lr_bin_0p0001_head_0p0001_ft_0p0001,0.8153846153846154,,0.8181818181818182,,0.8077803203661328,,0.8061608871677521,,1.0,,0.5909090909090909,,0.8636363636363636,
E10_lr_bin_0p0001_head_0p0001_ft_0p0003,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0001_head_0p0001_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0001_head_0p0001_ft_5e-05,0.7846153846153846,,0.787878787878788,,0.7757437070938215,,0.7736314029220207,,1.0,,0.5454545454545454,,0.8181818181818182,
E10_lr_bin_0p0001_head_0p0003_ft_0p0001,0.8,,0.8030303030303031,,0.7970685672478565,,0.7952843378476563,,1.0,,0.6818181818181818,,0.7272727272727273,
E10_lr_bin_0p0001_head_0p0003_ft_0p0003,0.8153846153846154,,0.8181818181818182,,0.8134387351778655,,0.8119063545150501,,1.0,,0.7272727272727273,,0.7272727272727273,
E10_lr_bin_0p0001_head_0p0003_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0001_head_0p0003_ft_5e-05,0.8153846153846154,,0.818181818181818,,0.8122843340234644,,0.810734193342889,,1.0,,0.6818181818181818,,0.7727272727272727,
E10_lr_bin_0p0001_head_0p0005_ft_0p0001,0.8307692307692308,,0.8333333333333334,,0.829014396456257,,0.8274094897350712,,1.0,,0.7272727272727273,,0.7727272727272727,
E10_lr_bin_0p0001_head_0p0005_ft_0p0003,0.8461538461538461,,0.8484848484848485,,0.8440303657694962,,0.8429686255773211,,1.0,,0.7272727272727273,,0.8181818181818182,
E10_lr_bin_0p0001_head_0p0005_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0001_head_0p0005_ft_5e-05,0.8307692307692308,,0.8333333333333334,,0.829014396456257,,0.8274094897350712,,1.0,,0.7272727272727273,,0.7727272727272727,
E10_lr_bin_0p0001_head_0p001_ft_0p0001,0.8461538461538461,,0.8484848484848485,,0.8451096329145109,,0.8437523452157598,,1.0,,0.7727272727272727,,0.7727272727272727,
E10_lr_bin_0p0001_head_0p001_ft_0p0003,0.8769230769230769,,0.8787878787878788,,0.8755260243632336,,0.8746366811483091,,1.0,,0.7727272727272727,,0.8636363636363636,
E10_lr_bin_0p0001_head_0p001_ft_0p0005,0.8769230769230769,,0.8787878787878788,,0.8755260243632336,,0.8746366811483091,,1.0,,0.7727272727272727,,0.8636363636363636,
E10_lr_bin_0p0001_head_0p001_ft_5e-05,0.8153846153846154,,0.8181818181818182,,0.8138981791155704,,0.8120607152045279,,1.0,,0.7727272727272727,,0.6818181818181818,
E10_lr_bin_0p0001_head_0p002_ft_0p0001,0.7692307692307693,,0.7727272727272728,,0.7646258503401361,,0.7620303506017793,,1.0,,0.7727272727272727,,0.5454545454545454,
