,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6765 ± 0.0480,0.6592 ± 0.0688,0.8355 ± 0.0250,0.6530 ± 0.0671,0.6728 ± 0.0788,0.7864 ± 0.0408,0.8387 ± 0.0224,0.8355 ± 0.0250,0.8361 ± 0.0236,0.8499 ± 0.0223,0.8333 ± 0.0145,0.6779 ± 0.0469,0.6769 ± 0.0499,0.7867 ± 0.0271,0.8336 ± 0.0132,0.8333 ± 0.0145,0.8333 ± 0.0137,0.8448 ± 0.0127
1,decision_tree,mutual_info,0.6886 ± 0.0458,0.6607 ± 0.0432,0.8337 ± 0.0169,0.6564 ± 0.0343,0.6756 ± 0.0619,0.7871 ± 0.0298,0.8374 ± 0.0151,0.8337 ± 0.0169,0.8345 ± 0.0156,0.8478 ± 0.0159,0.8434 ± 0.0147,0.6879 ± 0.0478,0.6910 ± 0.0459,0.7972 ± 0.0250,0.8439 ± 0.0138,0.8434 ± 0.0147,0.8434 ± 0.0142,0.8549 ± 0.0132
2,decision_tree,spearman_sulov,0.6930 ± 0.0375,0.6427 ± 0.0428,0.8297 ± 0.0223,0.6387 ± 0.0342,0.6547 ± 0.0610,0.7751 ± 0.0268,0.8317 ± 0.0197,0.8297 ± 0.0223,0.8298 ± 0.0211,0.8432 ± 0.0206,0.8410 ± 0.0125,0.6979 ± 0.0411,0.6908 ± 0.0379,0.7959 ± 0.0207,0.8408 ± 0.0135,0.8410 ± 0.0125,0.8407 ± 0.0130,0.8515 ± 0.0136
3,decision_tree,chi2,0.7033 ± 0.0419,0.6398 ± 0.0683,0.8330 ± 0.0132,0.6337 ± 0.0639,0.6523 ± 0.0799,0.7748 ± 0.0412,0.8347 ± 0.0137,0.8330 ± 0.0132,0.8328 ± 0.0128,0.8460 ± 0.0127,0.8423 ± 0.0105,0.7083 ± 0.0444,0.7001 ± 0.0408,0.8007 ± 0.0210,0.8419 ± 0.0099,0.8423 ± 0.0105,0.8419 ± 0.0102,0.8519 ± 0.0103
4,decision_tree,chi2_mi_union_topk,0.6997 ± 0.0513,0.6544 ± 0.0686,0.8432 ± 0.0198,0.6513 ± 0.0617,0.6635 ± 0.0839,0.7788 ± 0.0456,0.8425 ± 0.0212,0.8432 ± 0.0198,0.8420 ± 0.0199,0.8477 ± 0.0188,0.8445 ± 0.0098,0.7031 ± 0.0554,0.6984 ± 0.0504,0.7983 ± 0.0265,0.8446 ± 0.0105,0.8445 ± 0.0098,0.8444 ± 0.0101,0.8511 ± 0.0091
5,random_forest,spearman_corr,0.6098 ± 0.0038,0.6267 ± 0.0360,0.9033 ± 0.0120,0.6688 ± 0.1411,0.6288 ± 0.0210,0.9473 ± 0.0145,0.8863 ± 0.0161,0.9033 ± 0.0120,0.8922 ± 0.0121,0.9613 ± 0.0064,0.9009 ± 0.0055,0.6009 ± 0.0037,0.6191 ± 0.0039,0.9563 ± 0.0076,0.8759 ± 0.0054,0.9009 ± 0.0055,0.8881 ± 0.0055,0.9631 ± 0.0029
6,random_forest,mutual_info,0.6112 ± 0.0115,0.6066 ± 0.0083,0.8974 ± 0.0121,0.5987 ± 0.0081,0.6155 ± 0.0087,0.9499 ± 0.0110,0.8759 ± 0.0122,0.8974 ± 0.0121,0.8859 ± 0.0120,0.9598 ± 0.0079,0.8980 ± 0.0073,0.6323 ± 0.1050,0.6187 ± 0.0071,0.9561 ± 0.0071,0.8758 ± 0.0105,0.8980 ± 0.0073,0.8854 ± 0.0070,0.9615 ± 0.0033
7,random_forest,spearman_sulov,0.6132 ± 0.0109,0.6086 ± 0.0074,0.9004 ± 0.0110,0.6006 ± 0.0072,0.6176 ± 0.0076,0.9431 ± 0.0186,0.8787 ± 0.0105,0.9004 ± 0.0110,0.8888 ± 0.0108,0.9608 ± 0.0064,0.9008 ± 0.0047,0.6342 ± 0.1049,0.6207 ± 0.0061,0.9542 ± 0.0104,0.8787 ± 0.0092,0.9008 ± 0.0047,0.8883 ± 0.0044,0.9624 ± 0.0036
8,random_forest,chi2,0.6156 ± 0.0136,0.6238 ± 0.0332,0.9000 ± 0.0138,0.6504 ± 0.1115,0.6263 ± 0.0206,0.9482 ± 0.0163,0.8822 ± 0.0148,0.9000 ± 0.0138,0.8893 ± 0.0135,0.9594 ± 0.0064,0.8995 ± 0.0056,0.6500 ± 0.1119,0.6216 ± 0.0073,0.9571 ± 0.0075,0.8787 ± 0.0102,0.8995 ± 0.0056,0.8872 ± 0.0052,0.9619 ± 0.0029
9,random_forest,chi2_mi_union_topk,0.6395 ± 0.0281,0.6565 ± 0.0524,0.9015 ± 0.0120,0.7677 ± 0.1758,0.6456 ± 0.0312,0.9444 ± 0.0155,0.8925 ± 0.0182,0.9015 ± 0.0120,0.8922 ± 0.0118,0.9583 ± 0.0059,0.9011 ± 0.0045,0.7621 ± 0.1566,0.6352 ± 0.0151,0.9526 ± 0.0068,0.8900 ± 0.0121,0.9011 ± 0.0045,0.8902 ± 0.0045,0.9615 ± 0.0028
