,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6890 ± 0.0389,0.6423 ± 0.0604,0.8275 ± 0.0188,0.6379 ± 0.0527,0.6531 ± 0.0768,0.7734 ± 0.0406,0.8295 ± 0.0195,0.8275 ± 0.0188,0.8273 ± 0.0187,0.8405 ± 0.0188,0.8409 ± 0.0153,0.6855 ± 0.0406,0.6945 ± 0.0378,0.7983 ± 0.0223,0.8430 ± 0.0155,0.8409 ± 0.0153,0.8417 ± 0.0153,0.8532 ± 0.0148
1,decision_tree,mutual_info,0.6913 ± 0.0293,0.6480 ± 0.0447,0.8286 ± 0.0161,0.6443 ± 0.0423,0.6584 ± 0.0602,0.7767 ± 0.0331,0.8321 ± 0.0161,0.8286 ± 0.0161,0.8295 ± 0.0156,0.8426 ± 0.0153,0.8421 ± 0.0089,0.6935 ± 0.0339,0.6915 ± 0.0264,0.7968 ± 0.0143,0.8434 ± 0.0098,0.8421 ± 0.0089,0.8424 ± 0.0092,0.8532 ± 0.0100
2,decision_tree,spearman_sulov,0.6870 ± 0.0366,0.6351 ± 0.0328,0.8297 ± 0.0147,0.6346 ± 0.0339,0.6454 ± 0.0539,0.7704 ± 0.0257,0.8323 ± 0.0099,0.8297 ± 0.0147,0.8300 ± 0.0127,0.8431 ± 0.0111,0.8418 ± 0.0106,0.6949 ± 0.0444,0.6826 ± 0.0330,0.7920 ± 0.0183,0.8416 ± 0.0099,0.8418 ± 0.0106,0.8413 ± 0.0102,0.8521 ± 0.0095
3,decision_tree,chi2,0.6939 ± 0.0290,0.6509 ± 0.0552,0.8330 ± 0.0120,0.6480 ± 0.0481,0.6613 ± 0.0709,0.7792 ± 0.0333,0.8347 ± 0.0117,0.8330 ± 0.0120,0.8329 ± 0.0115,0.8457 ± 0.0128,0.8453 ± 0.0115,0.6956 ± 0.0317,0.6937 ± 0.0277,0.7988 ± 0.0147,0.8455 ± 0.0107,0.8453 ± 0.0115,0.8452 ± 0.0110,0.8560 ± 0.0110
4,decision_tree,chi2_mi_union_topk,0.7019 ± 0.0386,0.6573 ± 0.0643,0.8425 ± 0.0205,0.6594 ± 0.0662,0.6588 ± 0.0656,0.7740 ± 0.0369,0.8424 ± 0.0205,0.8425 ± 0.0205,0.8413 ± 0.0200,0.8437 ± 0.0193,0.8456 ± 0.0077,0.7100 ± 0.0430,0.6971 ± 0.0374,0.7962 ± 0.0178,0.8450 ± 0.0087,0.8456 ± 0.0077,0.8450 ± 0.0081,0.8489 ± 0.0110
5,random_forest,spearman_corr,0.6191 ± 0.0157,0.6246 ± 0.0324,0.9011 ± 0.0085,0.6513 ± 0.1110,0.6272 ± 0.0195,0.9503 ± 0.0131,0.8837 ± 0.0108,0.9011 ± 0.0085,0.8905 ± 0.0084,0.9614 ± 0.0060,0.8995 ± 0.0040,0.6835 ± 0.1409,0.6235 ± 0.0079,0.9572 ± 0.0083,0.8820 ± 0.0115,0.8995 ± 0.0040,0.8876 ± 0.0036,0.9623 ± 0.0022
6,random_forest,mutual_info,0.6162 ± 0.0204,0.6131 ± 0.0275,0.8963 ± 0.0134,0.6145 ± 0.0567,0.6194 ± 0.0194,0.9489 ± 0.0116,0.8761 ± 0.0153,0.8963 ± 0.0134,0.8852 ± 0.0136,0.9595 ± 0.0061,0.8958 ± 0.0047,0.6477 ± 0.1106,0.6206 ± 0.0103,0.9567 ± 0.0057,0.8753 ± 0.0076,0.8958 ± 0.0047,0.8838 ± 0.0039,0.9619 ± 0.0020
7,random_forest,spearman_sulov,0.6245 ± 0.0163,0.6156 ± 0.0251,0.9000 ± 0.0083,0.6171 ± 0.0546,0.6219 ± 0.0164,0.9531 ± 0.0058,0.8798 ± 0.0106,0.9000 ± 0.0083,0.8888 ± 0.0089,0.9622 ± 0.0068,0.9025 ± 0.0057,0.7186 ± 0.1567,0.6273 ± 0.0083,0.9596 ± 0.0066,0.8875 ± 0.0125,0.9025 ± 0.0057,0.8906 ± 0.0051,0.9631 ± 0.0030
8,random_forest,chi2,0.6183 ± 0.0206,0.6127 ± 0.0255,0.8960 ± 0.0101,0.6143 ± 0.0548,0.6190 ± 0.0170,0.9523 ± 0.0104,0.8755 ± 0.0115,0.8960 ± 0.0101,0.8847 ± 0.0104,0.9600 ± 0.0053,0.8989 ± 0.0061,0.6497 ± 0.1106,0.6229 ± 0.0106,0.9584 ± 0.0047,0.8784 ± 0.0087,0.8989 ± 0.0061,0.8869 ± 0.0056,0.9619 ± 0.0023
9,random_forest,chi2_mi_union_topk,0.6244 ± 0.0219,0.6408 ± 0.0434,0.9011 ± 0.0118,0.7176 ± 0.1587,0.6363 ± 0.0267,0.9452 ± 0.0166,0.8884 ± 0.0180,0.9011 ± 0.0118,0.8910 ± 0.0125,0.9590 ± 0.0080,0.8981 ± 0.0050,0.7048 ± 0.1427,0.6260 ± 0.0120,0.9555 ± 0.0074,0.8826 ± 0.0109,0.8981 ± 0.0050,0.8865 ± 0.0048,0.9607 ± 0.0038
