,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6414 ± 0.0261,0.6620 ± 0.0338,0.8377 ± 0.0259,0.6633 ± 0.0404,0.6734 ± 0.0406,0.7874 ± 0.0232,0.8435 ± 0.0226,0.8377 ± 0.0259,0.8394 ± 0.0241,0.8520 ± 0.0225,0.8285 ± 0.0127,0.6401 ± 0.0264,0.6456 ± 0.0300,0.7702 ± 0.0163,0.8305 ± 0.0120,0.8285 ± 0.0127,0.8292 ± 0.0121,0.8421 ± 0.0115
1,decision_tree,mutual_info,0.6545 ± 0.0228,0.6098 ± 0.0370,0.8330 ± 0.0192,0.6125 ± 0.0406,0.6110 ± 0.0377,0.7537 ± 0.0203,0.8317 ± 0.0167,0.8330 ± 0.0192,0.8317 ± 0.0175,0.8446 ± 0.0188,0.8354 ± 0.0094,0.6560 ± 0.0241,0.6555 ± 0.0251,0.7769 ± 0.0130,0.8362 ± 0.0088,0.8354 ± 0.0094,0.8355 ± 0.0090,0.8476 ± 0.0091
2,decision_tree,spearman_sulov,0.6606 ± 0.0291,0.6499 ± 0.0417,0.8322 ± 0.0218,0.6454 ± 0.0381,0.6610 ± 0.0513,0.7796 ± 0.0271,0.8379 ± 0.0206,0.8322 ± 0.0218,0.8341 ± 0.0209,0.8474 ± 0.0206,0.8349 ± 0.0099,0.6598 ± 0.0290,0.6640 ± 0.0336,0.7812 ± 0.0178,0.8364 ± 0.0084,0.8349 ± 0.0099,0.8355 ± 0.0089,0.8477 ± 0.0084
3,decision_tree,chi2,0.6390 ± 0.0257,0.6268 ± 0.0401,0.8260 ± 0.0149,0.6297 ± 0.0448,0.6293 ± 0.0389,0.7607 ± 0.0215,0.8260 ± 0.0140,0.8260 ± 0.0149,0.8251 ± 0.0136,0.8381 ± 0.0132,0.8261 ± 0.0128,0.6399 ± 0.0228,0.6400 ± 0.0287,0.7660 ± 0.0161,0.8259 ± 0.0124,0.8261 ± 0.0128,0.8257 ± 0.0125,0.8379 ± 0.0119
4,decision_tree,chi2_mi_union_topk,0.6652 ± 0.0275,0.6484 ± 0.0595,0.8403 ± 0.0214,0.6469 ± 0.0548,0.6573 ± 0.0707,0.7779 ± 0.0391,0.8423 ± 0.0189,0.8403 ± 0.0214,0.8403 ± 0.0197,0.8505 ± 0.0189,0.8354 ± 0.0134,0.6672 ± 0.0292,0.6656 ± 0.0298,0.7807 ± 0.0182,0.8367 ± 0.0156,0.8354 ± 0.0134,0.8357 ± 0.0145,0.8453 ± 0.0152
5,random_forest,spearman_corr,0.6175 ± 0.0167,0.6091 ± 0.0077,0.9015 ± 0.0114,0.6009 ± 0.0075,0.6184 ± 0.0081,0.9394 ± 0.0191,0.8793 ± 0.0111,0.9015 ± 0.0114,0.8895 ± 0.0112,0.9600 ± 0.0064,0.9024 ± 0.0060,0.6683 ± 0.1422,0.6235 ± 0.0099,0.9526 ± 0.0054,0.8826 ± 0.0152,0.9024 ± 0.0060,0.8898 ± 0.0063,0.9614 ± 0.0022
6,random_forest,mutual_info,0.6147 ± 0.0143,0.6261 ± 0.0321,0.9037 ± 0.0121,0.6526 ± 0.1100,0.6290 ± 0.0189,0.9379 ± 0.0205,0.8856 ± 0.0119,0.9037 ± 0.0121,0.8927 ± 0.0119,0.9594 ± 0.0066,0.8981 ± 0.0054,0.6657 ± 0.1397,0.6203 ± 0.0077,0.9548 ± 0.0080,0.8785 ± 0.0120,0.8981 ± 0.0054,0.8857 ± 0.0052,0.9611 ± 0.0031
7,random_forest,spearman_sulov,0.6115 ± 0.0123,0.6081 ± 0.0056,0.9000 ± 0.0083,0.6000 ± 0.0053,0.6174 ± 0.0059,0.9448 ± 0.0119,0.8780 ± 0.0080,0.9000 ± 0.0083,0.8881 ± 0.0082,0.9606 ± 0.0046,0.8986 ± 0.0053,0.6324 ± 0.1063,0.6191 ± 0.0074,0.9482 ± 0.0106,0.8760 ± 0.0114,0.8986 ± 0.0053,0.8858 ± 0.0054,0.9598 ± 0.0033
8,random_forest,chi2,0.6211 ± 0.0227,0.6238 ± 0.0323,0.9015 ± 0.0094,0.6347 ± 0.0718,0.6273 ± 0.0206,0.9406 ± 0.0141,0.8824 ± 0.0117,0.9015 ± 0.0094,0.8906 ± 0.0097,0.9590 ± 0.0080,0.8983 ± 0.0043,0.6823 ± 0.1409,0.6240 ± 0.0120,0.9513 ± 0.0093,0.8800 ± 0.0117,0.8983 ± 0.0043,0.8862 ± 0.0042,0.9605 ± 0.0029
9,random_forest,chi2_mi_union_topk,0.6482 ± 0.0397,0.6779 ± 0.0454,0.9004 ± 0.0105,0.8176 ± 0.1390,0.6583 ± 0.0298,0.9310 ± 0.0209,0.8962 ± 0.0169,0.9004 ± 0.0105,0.8928 ± 0.0114,0.9558 ± 0.0070,0.8991 ± 0.0061,0.7667 ± 0.1517,0.6404 ± 0.0241,0.9473 ± 0.0139,0.8888 ± 0.0139,0.8991 ± 0.0061,0.8890 ± 0.0069,0.9580 ± 0.0049
10,extra_trees,spearman_corr,0.6387 ± 0.0227,0.6178 ± 0.0278,0.9015 ± 0.0127,0.6355 ± 0.1061,0.6230 ± 0.0176,0.9466 ± 0.0112,0.8836 ± 0.0148,0.9015 ± 0.0127,0.8908 ± 0.0125,0.9620 ± 0.0054,0.8998 ± 0.0047,0.7838 ± 0.1455,0.6341 ± 0.0125,0.9553 ± 0.0080,0.8910 ± 0.0125,0.8998 ± 0.0047,0.8892 ± 0.0042,0.9626 ± 0.0026
11,extra_trees,mutual_info,0.6576 ± 0.0258,0.6623 ± 0.0469,0.9011 ± 0.0088,0.7628 ± 0.1556,0.6495 ± 0.0275,0.9459 ± 0.0158,0.8925 ± 0.0119,0.9011 ± 0.0088,0.8928 ± 0.0072,0.9604 ± 0.0082,0.8976 ± 0.0065,0.7938 ± 0.1129,0.6445 ± 0.0148,0.9568 ± 0.0055,0.8900 ± 0.0121,0.8976 ± 0.0065,0.8884 ± 0.0059,0.9614 ± 0.0026
12,extra_trees,spearman_sulov,0.6385 ± 0.0254,0.6251 ± 0.0368,0.9015 ± 0.0107,0.6520 ± 0.1154,0.6273 ± 0.0240,0.9453 ± 0.0135,0.8845 ± 0.0159,0.9015 ± 0.0107,0.8912 ± 0.0111,0.9603 ± 0.0068,0.8967 ± 0.0037,0.7320 ± 0.1087,0.6336 ± 0.0148,0.9579 ± 0.0042,0.8840 ± 0.0101,0.8967 ± 0.0037,0.8864 ± 0.0045,0.9622 ± 0.0030
