,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6353 ± 0.0312,0.6450 ± 0.0504,0.8311 ± 0.0210,0.6436 ± 0.0478,0.6555 ± 0.0621,0.7762 ± 0.0345,0.8360 ± 0.0199,0.8311 ± 0.0210,0.8327 ± 0.0195,0.8455 ± 0.0190,0.8266 ± 0.0141,0.6352 ± 0.0273,0.6385 ± 0.0375,0.7654 ± 0.0197,0.8275 ± 0.0147,0.8266 ± 0.0141,0.8266 ± 0.0140,0.8386 ± 0.0140
1,decision_tree,mutual_info,0.6352 ± 0.0216,0.6236 ± 0.0435,0.8341 ± 0.0159,0.6264 ± 0.0448,0.6258 ± 0.0484,0.7616 ± 0.0284,0.8338 ± 0.0168,0.8341 ± 0.0159,0.8334 ± 0.0157,0.8462 ± 0.0160,0.8313 ± 0.0084,0.6401 ± 0.0232,0.6331 ± 0.0227,0.7640 ± 0.0130,0.8305 ± 0.0083,0.8313 ± 0.0084,0.8306 ± 0.0082,0.8425 ± 0.0077
2,decision_tree,spearman_sulov,0.6481 ± 0.0181,0.6281 ± 0.0364,0.8308 ± 0.0121,0.6391 ± 0.0481,0.6279 ± 0.0420,0.7612 ± 0.0246,0.8295 ± 0.0161,0.8308 ± 0.0121,0.8294 ± 0.0136,0.8418 ± 0.0143,0.8261 ± 0.0124,0.6465 ± 0.0211,0.6523 ± 0.0195,0.7726 ± 0.0066,0.8290 ± 0.0112,0.8261 ± 0.0124,0.8272 ± 0.0118,0.8392 ± 0.0132
3,decision_tree,chi2,0.6434 ± 0.0228,0.6306 ± 0.0354,0.8333 ± 0.0122,0.6283 ± 0.0326,0.6387 ± 0.0448,0.7682 ± 0.0243,0.8357 ± 0.0131,0.8333 ± 0.0122,0.8339 ± 0.0118,0.8467 ± 0.0118,0.8307 ± 0.0057,0.6483 ± 0.0296,0.6432 ± 0.0260,0.7690 ± 0.0138,0.8314 ± 0.0071,0.8307 ± 0.0057,0.8306 ± 0.0060,0.8424 ± 0.0065
4,decision_tree,chi2_mi_union_topk,0.6621 ± 0.0246,0.6487 ± 0.0314,0.8432 ± 0.0187,0.6553 ± 0.0407,0.6546 ± 0.0455,0.7767 ± 0.0258,0.8447 ± 0.0193,0.8432 ± 0.0187,0.8431 ± 0.0181,0.8519 ± 0.0158,0.8369 ± 0.0103,0.6663 ± 0.0290,0.6613 ± 0.0292,0.7779 ± 0.0168,0.8371 ± 0.0118,0.8369 ± 0.0103,0.8368 ± 0.0110,0.8448 ± 0.0110
5,random_forest,spearman_corr,0.6186 ± 0.0212,0.6253 ± 0.0357,0.9011 ± 0.0091,0.6675 ± 0.1410,0.6271 ± 0.0205,0.9442 ± 0.0148,0.8843 ± 0.0143,0.9011 ± 0.0091,0.8902 ± 0.0094,0.9599 ± 0.0062,0.8997 ± 0.0055,0.6555 ± 0.1194,0.6235 ± 0.0118,0.9499 ± 0.0090,0.8792 ± 0.0107,0.8997 ± 0.0055,0.8874 ± 0.0054,0.9604 ± 0.0029
6,random_forest,mutual_info,0.6277 ± 0.0323,0.6539 ± 0.0517,0.9011 ± 0.0102,0.7399 ± 0.1574,0.6452 ± 0.0330,0.9347 ± 0.0208,0.8902 ± 0.0175,0.9011 ± 0.0102,0.8918 ± 0.0110,0.9591 ± 0.0067,0.8995 ± 0.0052,0.6726 ± 0.1246,0.6285 ± 0.0191,0.9550 ± 0.0056,0.8811 ± 0.0139,0.8995 ± 0.0052,0.8881 ± 0.0065,0.9603 ± 0.0033
7,random_forest,spearman_sulov,0.6148 ± 0.0141,0.6338 ± 0.0395,0.9029 ± 0.0081,0.6854 ± 0.1421,0.6330 ± 0.0230,0.9423 ± 0.0186,0.8875 ± 0.0137,0.9029 ± 0.0081,0.8924 ± 0.0088,0.9593 ± 0.0066,0.8984 ± 0.0050,0.6656 ± 0.1397,0.6208 ± 0.0074,0.9522 ± 0.0069,0.8787 ± 0.0118,0.8984 ± 0.0050,0.8859 ± 0.0049,0.9596 ± 0.0030
8,random_forest,chi2,0.6370 ± 0.0328,0.6629 ± 0.0434,0.8971 ± 0.0140,0.8152 ± 0.1608,0.6469 ± 0.0274,0.9413 ± 0.0126,0.8925 ± 0.0206,0.8971 ± 0.0140,0.8887 ± 0.0144,0.9584 ± 0.0058,0.8989 ± 0.0046,0.7530 ± 0.1644,0.6332 ± 0.0187,0.9514 ± 0.0085,0.8870 ± 0.0117,0.8989 ± 0.0046,0.8880 ± 0.0046,0.9598 ± 0.0039
9,random_forest,chi2_mi_union_topk,0.6378 ± 0.0360,0.6852 ± 0.0559,0.9015 ± 0.0084,0.8510 ± 0.1432,0.6635 ± 0.0396,0.9439 ± 0.0119,0.8989 ± 0.0160,0.9015 ± 0.0084,0.8937 ± 0.0095,0.9570 ± 0.0088,0.8975 ± 0.0056,0.7279 ± 0.1424,0.6341 ± 0.0217,0.9489 ± 0.0094,0.8840 ± 0.0119,0.8975 ± 0.0056,0.8869 ± 0.0059,0.9582 ± 0.0036
