seed,fold,class,feature,mean_abs_shap
42,3,0,NP2TRMR_var,0.028302009686467833
42,3,0,NP1URIN_max,0.02822301138907165
42,3,0,NP3TTAPR_min,0.02778837949389432
42,3,0,NP2DRES_std,0.027411077420597486
42,3,0,NP3RISNG_var,0.02724750904273606
42,3,0,NP2WALK_mean,0.027230581359863837
42,3,0,NP2SALV_max,0.026777263211793547
42,3,0,NP2DRES_min,0.02668724485497259
42,3,0,NP2HWRT_min,0.02603072118456233
42,3,0,NP3RIGLL_mean,0.025935349975236555
42,3,0,NP2HOBB_max,0.02536266141137676
42,3,0,NP3PSTBL_min,0.025271149431539745
42,3,0,NP3FACXP_var,0.025245479355514147
42,3,0,NP2HOBB_mean,0.025161521627321687
42,3,0,NP2HYGN_max,0.025022361750708037
42,3,0,NP2TURN_std,0.024889352537916562
42,3,0,NP3LGAGL_std,0.024581041669046344
42,3,0,NP3FTAPL_mean,0.024561338334491502
42,3,0,NP3RTARL_max,0.023918345767052283
42,3,0,NP2FREZ_var,0.023561942868104348
42,3,0,NP3RTARL_std,0.023370278985060725
42,3,0,NP2SPCH_std,0.023320521379373405
42,3,0,NP1COG_var,0.022896053803713415
42,3,0,NP1CNST_min,0.022834617021705837
42,3,0,NP1CNST_var,0.022830608645600298
42,3,0,NP3PTRML_max,0.022539159406185807
42,3,0,NP1DPRS_std,0.022370188421536357
42,3,0,NP3PTRMR_var,0.022192840478548855
42,3,0,NP1FATG_std,0.02205758700368808
42,3,0,NP3RTALL_std,0.021981374295299443
42,3,0,NP3TTAPL_max,0.02177389827480341
42,3,0,NP1SLPN_max,0.021653358224986798
42,3,0,NP2WALK_max,0.02160106311591152
42,3,0,NP3RTALU_max,0.021556455051448396
42,3,0,NP3HMOVR_max,0.021428503699057723
42,3,0,NP2RISE_mean,0.021426042769821678
42,3,0,NP3RIGRL_var,0.021396252776716827
42,3,0,NP2HYGN_var,0.02126363092176227
42,3,0,NP3RTARL_mean,0.02107467200952046
42,3,0,NP3TTAPL_var,0.020843660064153315
42,3,0,NP2FREZ_min,0.0207350037646492
42,3,0,NP3TTAPL_min,0.02034012371925066
42,3,0,NP1FATG_var,0.020256680566101217
42,3,0,NP1SLPD_var,0.020150985395846244
42,3,0,NP3RIGN_max,0.019451254878915834
42,3,0,NP3RIGRL_std,0.019177564860308624
42,3,0,NP3RIGLL_std,0.01895300449065166
42,3,0,NP3KTRMR_min,0.018682577586628092
42,3,0,NP1COG_max,0.01863930433432336
42,3,0,NP3FTAPR_var,0.018559231094461764
42,3,0,NP3RIGLU_min,0.018427690715461086
42,3,0,NP3RIGRU_std,0.01828370110516675
42,3,0,NP3FRZGT_min,0.01811687976627515
42,3,0,NP2SALV_std,0.01802220706920581
42,3,0,NP3RTALJ_var,0.0179809562986684
42,3,0,EDUCYRS,0.017874044791636248
42,3,0,NP3KTRMR_mean,0.017864690661145974
42,3,0,NP3RIGLL_max,0.01710957413782743
42,3,0,NP3GAIT_std,0.017103222697594955
42,3,0,NP1LTHD_max,0.016844669490801323
42,3,0,NP1URIN_mean,0.016605362644948565
42,3,0,NP2SALV_mean,0.016438217491073125
42,3,0,NP1SLPD_std,0.016394840713789185
42,3,0,NP1APAT_var,0.016321601081504232
42,3,0,NP3FTAPL_std,0.016314117249974967
42,3,0,NP3RTALL_var,0.01625540214638823
42,3,0,NP3KTRML_max,0.016164116102324336
42,3,0,NP2WALK_std,0.016079567320079088
42,3,0,ENRLLRRK2,0.015771364873576582
42,3,0,NP3SPCH_max,0.015767253184253403
42,3,0,NP2HYGN_mean,0.01570368478664382
42,3,0,NP3RTALL_mean,0.0156681374330864
42,3,0,NP2RISE_min,0.015560178027430023
42,3,0,NP2SWAL_min,0.015487139652299614
42,3,0,NP1DPRS_mean,0.01548580557230568
42,3,0,NP3RIGLU_var,0.01523734551090675
42,3,0,NP3HMOVL_max,0.014807595518980017
42,3,0,NP3FRZGT_var,0.014651364335226916
42,3,0,NP3POSTR_max,0.014591646379655761
42,3,0,NP3LGAGR_max,0.014584058366801243
42,3,0,NP3RTARL_var,0.01443957571566376
42,3,0,NP3HMOVL_var,0.014298768503941534
42,3,0,NP3LGAGR_mean,0.014140139856486506
42,3,0,NP1ANXS_std,0.01413433374814511
42,3,0,NP3RTALJ_mean,0.014006945952627851
42,3,0,NP1DPRS_min,0.013798591418917157
42,3,0,NP3PSTBL_max,0.013745269514107894
42,3,0,NP3HMOVL_std,0.013732192087463992
42,3,0,NP3RIGN_var,0.013485511123515205
42,3,0,NP2HWRT_max,0.01298902885170359
42,3,0,NP3RTALJ_max,0.012714953570026995
42,3,0,NP1HALL_max,0.012405229332198167
42,3,0,NP3FRZGT_mean,0.012309060188905969
42,3,0,NP3LGAGL_var,0.01216509797538376
42,3,0,NP1CNST_std,0.012025924269442172
42,3,0,NP1COG_std,0.01177416400319513
42,3,0,NP1FATG_min,0.011694795321580463
42,3,0,NP1PAIN_std,0.011483948168921811
42,3,0,NP1PAIN_max,0.011254166286163722
42,3,0,NP3RIGRU_var,0.011195649489441854
42,3,0,NP2WALK_var,0.011160960159809217
42,3,0,NP2TURN_mean,0.011063653096699487
42,3,0,NP3RISNG_std,0.010981036647799331
42,3,0,NP1ANXS_max,0.01094813478531143
42,3,0,NP1ANXS_var,0.010916902697993364
42,3,0,NP3HMOVR_std,0.010878312791365884
42,3,0,NP3SPCH_std,0.01087298990610382
42,3,0,NP3KTRMR_var,0.010737261373239352
42,3,0,NP1HALL_mean,0.010476958303791497
42,3,0,NP1COG_mean,0.010450447808643291
42,3,0,NP1COG_min,0.010444406717016609
42,3,0,NP2DRES_var,0.010229084231902665
42,3,0,NP1URIN_var,0.010108389087380279
42,3,0,NP2SWAL_max,0.010081128242836966
42,3,0,NP3RIGLL_min,0.010016311910813687
42,3,0,NP2EAT_max,0.009743677263609694
42,3,0,NP3PTRML_mean,0.009610003435515992
42,3,0,NP3PSTBL_var,0.009492447388879685
42,3,0,NP1DDS_var,0.00947620955336591
42,3,0,NP1LTHD_std,0.009445471907514963
42,3,0,NP2HWRT_std,0.009431139123494565
42,3,0,NP2EAT_min,0.00934417550107698
42,3,0,NP1PAIN_mean,0.009178514645729722
42,3,0,NP1LTHD_var,0.009160882542225664
42,3,0,NP1SLPN_var,0.009160357112170213
42,3,0,NP3RTALL_min,0.009046022414860036
42,3,0,NP3FTAPR_std,0.008880477791061419
42,3,0,NP3POSTR_std,0.008705902149197267
42,3,0,NP1APAT_std,0.008644910349750073
42,3,0,NP1DPRS_max,0.008458755063071983
42,3,0,NP2HOBB_std,0.008412223675284936
