epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3939555669958527,0.1819240362257571,0.9324324324324325,0.935064935064935,0.9369817578772802
2,0.21146349719650037,0.15637848626922918,0.9459459459459459,0.95,0.9467477427676432
3,0.19557390019700333,0.1521848295186017,0.9527027027027027,0.9559748427672956,0.9542104293348075
4,0.16094116282624168,0.15263072924839483,0.9391891891891891,0.9433962264150944,0.9405749032614704
5,0.1509637110740752,0.16363954231948466,0.9391891891891891,0.9440993788819876,0.9392850562004791
6,0.1457372541363175,0.15981905122061033,0.9391891891891891,0.9433962264150944,0.9405749032614704
7,0.1368314476834761,0.1629699084505036,0.9391891891891891,0.9440993788819876,0.9392850562004791
8,0.12564627967170766,0.16912585512004993,0.9391891891891891,0.9440993788819876,0.9392850562004791
9,0.1249415592944904,0.16556859439289248,0.9459459459459459,0.9493670886075949,0.9480375898286346
10,0.11464948909407532,0.17182773678890756,0.9459459459459459,0.95,0.9467477427676432
11,0.11596089576345843,0.1778298906377844,0.9391891891891891,0.9426751592356688,0.9418647503224618
12,0.12172155450979197,0.2089157011108221,0.9324324324324325,0.9390243902439024,0.9305325225723236
13,0.10051532691294277,0.17263272490251708,0.9527027027027027,0.9559748427672956,0.9542104293348075
