Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,6.9739 ± 0.3983,10.2216 ± 0.7061,0.5675 ± 0.0551,7.2356 ± 0.2867,10.4152 ± 0.4541,0.5630 ± 0.0372
decision_tree,mutual_info,7.1298 ± 0.5536,10.5000 ± 0.7897,0.5464 ± 0.0334,7.0019 ± 0.2610,10.0973 ± 0.2931,0.5897 ± 0.0228
decision_tree,f_regression,7.0502 ± 0.7784,10.3997 ± 0.9688,0.5538 ± 0.0594,7.0558 ± 0.1934,10.2408 ± 0.1576,0.5782 ± 0.0119
random_forest,spearman_corr,4.9035 ± 0.3538,7.0531 ± 0.6208,0.7946 ± 0.0267,5.0074 ± 0.0952,7.1231 ± 0.1453,0.7959 ± 0.0071
random_forest,mutual_info,4.9585 ± 0.3398,7.1149 ± 0.5916,0.7910 ± 0.0263,4.9981 ± 0.1095,7.1277 ± 0.1537,0.7956 ± 0.0079
random_forest,f_regression,4.9515 ± 0.3457,7.1199 ± 0.6082,0.7907 ± 0.0271,5.0043 ± 0.0977,7.1395 ± 0.1461,0.7950 ± 0.0076
gradient_boosting,spearman_corr,5.3586 ± 0.3958,7.7381 ± 0.5880,0.7525 ± 0.0297,5.3459 ± 0.0896,7.6502 ± 0.1352,0.7645 ± 0.0092
gradient_boosting,mutual_info,5.3946 ± 0.3419,7.8061 ± 0.4561,0.7481 ± 0.0260,5.4194 ± 0.1177,7.7499 ± 0.1887,0.7583 ± 0.0126
gradient_boosting,f_regression,5.4185 ± 0.3970,7.8377 ± 0.5144,0.7461 ± 0.0280,5.3910 ± 0.1340,7.7012 ± 0.1960,0.7612 ± 0.0150
ridge,spearman_corr,5.5133 ± 0.2843,7.7973 ± 0.4501,0.7487 ± 0.0261,5.4865 ± 0.1518,7.7046 ± 0.2093,0.7611 ± 0.0137
ridge,mutual_info,5.8816 ± 0.2840,8.3532 ± 0.4103,0.7107 ± 0.0366,5.9976 ± 0.1035,8.5549 ± 0.1580,0.7055 ± 0.0121
ridge,f_regression,6.1168 ± 0.4046,8.7286 ± 0.6257,0.6833 ± 0.0512,6.2819 ± 0.1711,8.9078 ± 0.2863,0.6804 ± 0.0236
lasso,spearman_corr,4.9401 ± 0.2546,6.7955 ± 0.4800,0.8093 ± 0.0211,4.9947 ± 0.0706,6.8393 ± 0.1279,0.8118 ± 0.0069
lasso,mutual_info,4.9348 ± 0.2767,6.8155 ± 0.4859,0.8082 ± 0.0208,4.9682 ± 0.0682,6.8283 ± 0.1213,0.8124 ± 0.0071
lasso,f_regression,4.9348 ± 0.2767,6.8155 ± 0.4859,0.8082 ± 0.0208,4.9684 ± 0.0682,6.8287 ± 0.1211,0.8124 ± 0.0071
svr,spearman_corr,5.7062 ± 0.3497,8.3874 ± 0.6474,0.7100 ± 0.0287,5.9592 ± 0.0975,8.5275 ± 0.1516,0.7075 ± 0.0088
svr,mutual_info,5.6578 ± 0.3255,8.3322 ± 0.6196,0.7139 ± 0.0262,5.8554 ± 0.1131,8.4285 ± 0.1689,0.7143 ± 0.0094
svr,f_regression,5.8372 ± 0.3188,8.5580 ± 0.6106,0.6981 ± 0.0269,6.0412 ± 0.1133,8.6460 ± 0.1758,0.6993 ± 0.0100
knn,spearman_corr,5.8267 ± 0.6391,8.5909 ± 0.9329,0.6948 ± 0.0524,5.9319 ± 0.1573,8.6182 ± 0.1838,0.7012 ± 0.0115
knn,mutual_info,5.5797 ± 0.5266,8.2294 ± 0.8117,0.7202 ± 0.0428,5.7175 ± 0.1138,8.3377 ± 0.1628,0.7204 ± 0.0094
knn,f_regression,5.7753 ± 0.5194,8.4442 ± 0.8043,0.7056 ± 0.0431,5.8477 ± 0.1273,8.4937 ± 0.1840,0.7098 ± 0.0103
