Model,Feature_Selection,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,spearman_corr,7.3033 ± 0.7445,10.7053 ± 1.2263,0.5231 ± 0.1042,7.4862 ± 0.1890,10.8306 ± 0.3162,0.5279 ± 0.0270
decision_tree,mutual_info,7.3044 ± 0.4456,10.7330 ± 0.6566,0.5246 ± 0.0449,7.2541 ± 0.2251,10.4727 ± 0.2976,0.5584 ± 0.0276
decision_tree,f_regression,7.3890 ± 0.4727,10.7408 ± 0.4649,0.5236 ± 0.0358,7.2994 ± 0.2484,10.5703 ± 0.3488,0.5501 ± 0.0308
random_forest,spearman_corr,5.0431 ± 0.3880,7.2085 ± 0.6387,0.7854 ± 0.0287,5.1731 ± 0.1006,7.3074 ± 0.1483,0.7852 ± 0.0078
random_forest,mutual_info,5.0475 ± 0.3784,7.2124 ± 0.6412,0.7853 ± 0.0281,5.1301 ± 0.0791,7.2555 ± 0.1388,0.7882 ± 0.0081
random_forest,f_regression,5.0796 ± 0.3974,7.2601 ± 0.6666,0.7823 ± 0.0301,5.1612 ± 0.1011,7.2944 ± 0.1420,0.7860 ± 0.0078
gradient_boosting,spearman_corr,5.2521 ± 0.4486,7.6551 ± 0.6539,0.7580 ± 0.0312,5.4306 ± 0.1505,7.7146 ± 0.2022,0.7605 ± 0.0123
gradient_boosting,mutual_info,5.3772 ± 0.3820,7.7629 ± 0.5341,0.7515 ± 0.0230,5.4275 ± 0.1135,7.7178 ± 0.1903,0.7602 ± 0.0135
gradient_boosting,f_regression,5.3257 ± 0.3034,7.6279 ± 0.4021,0.7597 ± 0.0219,5.4598 ± 0.0964,7.7550 ± 0.1637,0.7580 ± 0.0115
ridge,spearman_corr,8.2098 ± 0.5181,10.9242 ± 0.6196,0.5038 ± 0.0769,8.6742 ± 0.3704,11.5389 ± 0.4674,0.4638 ± 0.0422
ridge,mutual_info,7.7712 ± 0.5322,10.4170 ± 0.7227,0.5504 ± 0.0621,8.2651 ± 0.2749,11.1383 ± 0.4011,0.5004 ± 0.0368
ridge,f_regression,9.5853 ± 0.5695,12.6990 ± 1.0048,0.3309 ± 0.1090,9.8361 ± 0.3345,13.0717 ± 0.4334,0.3122 ± 0.0442
lasso,spearman_corr,4.9387 ± 0.2537,6.7944 ± 0.4795,0.8094 ± 0.0211,4.9966 ± 0.0709,6.8421 ± 0.1269,0.8117 ± 0.0068
lasso,mutual_info,4.9293 ± 0.2770,6.8089 ± 0.4855,0.8086 ± 0.0207,4.9685 ± 0.0680,6.8298 ± 0.1215,0.8123 ± 0.0071
lasso,f_regression,4.9293 ± 0.2770,6.8089 ± 0.4855,0.8086 ± 0.0207,4.9685 ± 0.0679,6.8303 ± 0.1211,0.8123 ± 0.0071
svr,spearman_corr,7.2044 ± 0.3835,10.0005 ± 0.6608,0.5882 ± 0.0275,7.6147 ± 0.0975,10.3525 ± 0.1499,0.5689 ± 0.0113
svr,mutual_info,6.5840 ± 0.3963,9.3249 ± 0.7226,0.6421 ± 0.0303,6.8763 ± 0.1050,9.5454 ± 0.1607,0.6336 ± 0.0093
svr,f_regression,7.0721 ± 0.3882,9.8542 ± 0.6707,0.6002 ± 0.0273,7.4000 ± 0.0810,10.1229 ± 0.1443,0.5879 ± 0.0086
knn,spearman_corr,7.7555 ± 0.6844,11.0342 ± 0.9634,0.4959 ± 0.0801,7.9136 ± 0.1316,11.2436 ± 0.1948,0.4915 ± 0.0158
knn,mutual_info,6.4529 ± 0.6258,9.3776 ± 0.9682,0.6356 ± 0.0666,6.6549 ± 0.1670,9.5487 ± 0.2299,0.6331 ± 0.0172
knn,f_regression,7.4505 ± 0.8305,10.7569 ± 1.1509,0.5209 ± 0.0878,7.4442 ± 0.2168,10.6692 ± 0.3051,0.5420 ± 0.0228
