modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain,LDA_components
agglo,909,909,3,"{0: 420, 1: 82, 2: 407}",0.4080879580003266,924.79983891004,0.8520245534610694,0.5400063071947575,0.55639741195762,0.548079337046096,0.682368480379522,0.5470181901132106,0.5480793370460961,examen_motor,2
kmeans,909,909,3,"{0: 232, 1: 468, 2: 209}",0.5142851551212386,1377.844431672875,0.8650908744238673,0.5436437136064998,0.5085075648740832,0.5254889607972785,0.5580472947040501,0.5244316963490089,0.5254889607972784,examen_motor,2
gmm,909,909,3,"{0: 221, 1: 406, 2: 282}",0.45941309986974144,1158.106655274066,0.9747760640819401,0.535340013209711,0.4826265928144141,0.5076184720474085,0.5319234727152493,0.5065427259506586,0.5076184720474084,examen_motor,2
agglo,909,909,3,"{0: 297, 1: 451, 2: 161}",0.38854654616012524,716.9819231162842,0.9760857442593519,0.38378980725603296,0.36198334710887686,0.3725677659585819,0.47384527101027624,0.3711632920714187,0.3725677659585818,impacto_motor,2
kmeans,909,909,3,"{0: 483, 1: 277, 2: 149}",0.4520104626287381,819.5189408893447,0.8970371888620585,0.3341654290980187,0.3231876356559122,0.32858486782459684,0.38653017508161364,0.3270619637271554,0.3285848678245969,impacto_motor,2
gmm,909,909,3,"{0: 388, 1: 142, 2: 379}",0.3842107986927837,609.4283049338501,1.1563107742367136,0.34310608619976674,0.3241383108018471,0.333352599756207,0.3874894085928057,0.331858681294374,0.33335259975620696,impacto_motor,2
agglo,909,909,3,"{0: 365, 1: 314, 2: 230}",0.3337198565014278,516.7095869253127,0.9751342897975528,0.10704902491192121,0.09522577910319009,0.10079185936289874,0.11488385314214705,0.09884141699648272,0.10079185936289875,non_motor,2
kmeans,909,909,3,"{0: 229, 1: 303, 2: 377}",0.34330626921362867,571.4269700068367,0.9686903701292229,0.08991127569717403,0.08018558310591734,0.08477038459505949,0.06946184334933142,0.08278244608990654,0.0847703845950595,non_motor,2
gmm,909,909,3,"{0: 150, 1: 501, 2: 258}",0.3343669844480246,413.1362583790647,1.1482935630132107,0.09871932198748454,0.09658627809093343,0.09764115194447236,0.07768055822531836,0.09558220053892186,0.09764115194447236,non_motor,2
agglo,909,909,3,"{0: 402, 1: 453, 2: 54}",0.48231953073152195,1127.9029552871727,0.7407248480679388,0.5809908180884563,0.6382110752917151,0.608258200319618,0.7346855181370181,0.6073051022131297,0.608258200319618,MOTOR,2
kmeans,909,909,3,"{0: 238, 1: 465, 2: 206}",0.5080775244303173,1446.7453946977387,0.8391105707307135,0.552885009273325,0.5162217034429271,0.5339247016230912,0.5736477875085085,0.5328872151236345,0.5339247016230911,MOTOR,2
gmm,909,909,3,"{0: 386, 1: 304, 2: 219}",0.44952314433160956,1144.9829969978339,1.041225182267191,0.5541354602292407,0.4967771986526789,0.5238910375286017,0.5871778069022647,0.5228539680369991,0.5238910375286017,MOTOR,2
agglo,909,909,3,"{0: 441, 1: 49, 2: 419}",0.42966490543581887,881.1672983729587,0.9333013406520703,0.5031511237182388,0.5592806016942509,0.5297331705847175,0.6258578585251265,0.5285808233933207,0.5297331705847175,FULL,2
kmeans,909,909,3,"{0: 246, 1: 455, 2: 208}",0.5067144691087563,1449.9658355241597,0.8492029550316662,0.5705311491826814,0.5288934904025672,0.5489238643740958,0.5944995840120927,0.5479235716200729,0.548923864374096,FULL,2
gmm,909,909,3,"{0: 387, 1: 297, 2: 225}",0.4544354557112776,1152.0706814857028,1.0302559546713541,0.5435456856521819,0.48650291341015783,0.5134448216948729,0.5741121975694593,0.5123859265985959,0.5134448216948729,FULL,2
