,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
STACKING_decision_tree,0.7516 ± 0.0319,0.6126 ± 0.0296,0.6105 ± 0.0318,0.6100 ± 0.0313,0.7821 ± 0.0206,0.7582 ± 0.0176,0.7516 ± 0.0319,0.7537 ± 0.0241,0.8472 ± 0.0141,0.7522 ± 0.0177,0.6206 ± 0.0257,0.6201 ± 0.0284,0.6198 ± 0.0271,0.7800 ± 0.0210,0.7632 ± 0.0159,0.7522 ± 0.0177,0.7574 ± 0.0166,0.8439 ± 0.0119
STACKING_random_forest,0.8487 ± 0.0127,0.7094 ± 0.0181,0.6891 ± 0.0119,0.6914 ± 0.0143,0.8882 ± 0.0138,0.8263 ± 0.0099,0.8487 ± 0.0127,0.8343 ± 0.0102,0.9391 ± 0.0089,0.8492 ± 0.0070,0.7175 ± 0.0166,0.6883 ± 0.0112,0.6925 ± 0.0136,0.8908 ± 0.0087,0.8249 ± 0.0079,0.8492 ± 0.0070,0.8332 ± 0.0068,0.9380 ± 0.0046
STACKING_extra_trees,0.8626 ± 0.0115,0.7586 ± 0.0498,0.6837 ± 0.0152,0.6843 ± 0.0217,0.8898 ± 0.0107,0.8367 ± 0.0197,0.8626 ± 0.0115,0.8363 ± 0.0121,0.9395 ± 0.0068,0.8571 ± 0.0079,0.7451 ± 0.0326,0.6771 ± 0.0132,0.6772 ± 0.0187,0.8918 ± 0.0040,0.8289 ± 0.0136,0.8571 ± 0.0079,0.8309 ± 0.0098,0.9384 ± 0.0025
STACKING_xgboost,0.8363 ± 0.0178,0.6871 ± 0.0363,0.6681 ± 0.0204,0.6675 ± 0.0237,0.8738 ± 0.0126,0.8093 ± 0.0162,0.8363 ± 0.0178,0.8188 ± 0.0146,0.9315 ± 0.0067,0.8366 ± 0.0069,0.6898 ± 0.0232,0.6690 ± 0.0126,0.6698 ± 0.0159,0.8593 ± 0.0104,0.8089 ± 0.0088,0.8366 ± 0.0069,0.8191 ± 0.0072,0.9166 ± 0.0063
STACKING_adaboost,0.8484 ± 0.0099,0.6849 ± 0.0654,0.6487 ± 0.0118,0.6297 ± 0.0186,0.8596 ± 0.0156,0.8012 ± 0.0237,0.8484 ± 0.0099,0.8107 ± 0.0100,0.9260 ± 0.0061,0.8448 ± 0.0088,0.6716 ± 0.0444,0.6447 ± 0.0110,0.6267 ± 0.0156,0.8479 ± 0.0058,0.7956 ± 0.0175,0.8448 ± 0.0088,0.8083 ± 0.0093,0.9189 ± 0.0031
STACKING_svm,0.8249 ± 0.0230,0.6758 ± 0.0233,0.6680 ± 0.0165,0.6682 ± 0.0180,0.8754 ± 0.0146,0.8110 ± 0.0100,0.8249 ± 0.0230,0.8161 ± 0.0151,0.9319 ± 0.0082,0.8209 ± 0.0099,0.6766 ± 0.0190,0.6698 ± 0.0151,0.6714 ± 0.0166,0.8638 ± 0.0097,0.8072 ± 0.0100,0.8209 ± 0.0099,0.8132 ± 0.0098,0.9231 ± 0.0041
STACKING_knn,0.7370 ± 0.0223,0.6599 ± 0.0206,0.6571 ± 0.0316,0.6407 ± 0.0259,0.8554 ± 0.0138,0.8089 ± 0.0142,0.7370 ± 0.0223,0.7605 ± 0.0188,0.9134 ± 0.0080,0.7250 ± 0.0182,0.6569 ± 0.0106,0.6515 ± 0.0208,0.6338 ± 0.0163,0.8486 ± 0.0099,0.8089 ± 0.0070,0.7250 ± 0.0182,0.7538 ± 0.0130,0.9059 ± 0.0048
STACKING_gaussian_nb,0.7516 ± 0.0344,0.6683 ± 0.0326,0.6705 ± 0.0417,0.6515 ± 0.0377,0.8258 ± 0.0317,0.8143 ± 0.0258,0.7516 ± 0.0344,0.7697 ± 0.0305,0.8914 ± 0.0219,0.7327 ± 0.0220,0.6435 ± 0.0145,0.6417 ± 0.0201,0.6280 ± 0.0185,0.7854 ± 0.0116,0.7935 ± 0.0119,0.7327 ± 0.0220,0.7531 ± 0.0178,0.8612 ± 0.0077
