epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.3708392452146556,0.20539445369630246,0.918918918918919,0.9220563847429519,0.9230769230769231
2,0.1936321744846331,0.17639938298914884,0.9324324324324325,0.9356919108162889,0.9358974358974359
3,0.16655197231149352,0.17515719883345268,0.9324324324324325,0.9356919108162889,0.9358974358974359
4,0.1380352710147162,0.17967797926551587,0.9391891891891891,0.9418647503224618,0.9426751592356688
5,0.1089536589444489,0.196840063769471,0.9324324324324325,0.9356919108162889,0.9358974358974359
6,0.10352267395402934,0.18353357475653692,0.9391891891891891,0.9418647503224618,0.9426751592356688
7,0.07940778544021619,0.19299681371430288,0.9324324324324325,0.9344020637552976,0.9367088607594937
8,0.07422913497666249,0.18685392896971992,0.9324324324324325,0.9344020637552976,0.9367088607594937
9,0.05717382272327873,0.19165518401643714,0.9391891891891891,0.9405749032614704,0.9433962264150944
10,0.05401116052667636,0.20451183523982763,0.9459459459459459,0.9467477427676432,0.95
11,0.029016584598434134,0.2837721543698068,0.9256756756756757,0.9269393771881334,0.9308176100628931
12,0.0381220327745305,0.2764976044512681,0.9391891891891891,0.9379952091394878,0.9447852760736196
13,0.021949717320338194,0.3163489991408848,0.918918918918919,0.9168969964989866,0.926829268292683
