,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,STACKING_decision_tree,spearman_corr,0.6301 ± 0.0275,0.6276 ± 0.0414,0.7853 ± 0.0253,0.6206 ± 0.0529,0.6400 ± 0.0302,0.8008 ± 0.0177,0.7696 ± 0.0327,0.7853 ± 0.0253,0.7748 ± 0.0183,0.8652 ± 0.0162,0.7673 ± 0.0151,0.6309 ± 0.0260,0.6311 ± 0.0286,0.7929 ± 0.0143,0.7699 ± 0.0182,0.7673 ± 0.0151,0.7680 ± 0.0162,0.8534 ± 0.0104
1,STACKING_decision_tree,mutual_info,0.6237 ± 0.0179,0.6005 ± 0.0345,0.7773 ± 0.0349,0.5909 ± 0.0447,0.6148 ± 0.0265,0.7893 ± 0.0225,0.7516 ± 0.0258,0.7773 ± 0.0349,0.7617 ± 0.0193,0.8579 ± 0.0135,0.7613 ± 0.0139,0.6241 ± 0.0176,0.6244 ± 0.0186,0.7921 ± 0.0139,0.7667 ± 0.0122,0.7613 ± 0.0139,0.7636 ± 0.0121,0.8546 ± 0.0101
2,STACKING_decision_tree,spearman_sulov,0.6323 ± 0.0217,0.6259 ± 0.0379,0.7707 ± 0.0373,0.6248 ± 0.0405,0.6307 ± 0.0389,0.7974 ± 0.0287,0.7721 ± 0.0283,0.7707 ± 0.0373,0.7697 ± 0.0278,0.8618 ± 0.0229,0.7649 ± 0.0163,0.6326 ± 0.0202,0.6329 ± 0.0233,0.7954 ± 0.0087,0.7717 ± 0.0121,0.7649 ± 0.0163,0.7681 ± 0.0139,0.8557 ± 0.0075
3,STACKING_decision_tree,chi2,0.6284 ± 0.0191,0.6115 ± 0.0372,0.7722 ± 0.0311,0.6049 ± 0.0479,0.6235 ± 0.0284,0.7914 ± 0.0258,0.7591 ± 0.0321,0.7722 ± 0.0311,0.7630 ± 0.0214,0.8589 ± 0.0185,0.7648 ± 0.0132,0.6288 ± 0.0187,0.6291 ± 0.0199,0.7953 ± 0.0117,0.7729 ± 0.0135,0.7648 ± 0.0132,0.7685 ± 0.0128,0.8576 ± 0.0094
4,STACKING_decision_tree,chi2_mi_union_topk,0.6226 ± 0.0188,0.6120 ± 0.0376,0.7678 ± 0.0325,0.6098 ± 0.0452,0.6201 ± 0.0328,0.7900 ± 0.0217,0.7644 ± 0.0311,0.7678 ± 0.0325,0.7634 ± 0.0245,0.8585 ± 0.0183,0.7599 ± 0.0096,0.6234 ± 0.0182,0.6230 ± 0.0200,0.7869 ± 0.0119,0.7698 ± 0.0106,0.7599 ± 0.0096,0.7645 ± 0.0091,0.8531 ± 0.0074
5,STACKING_random_forest,spearman_corr,0.6860 ± 0.0108,0.6921 ± 0.0163,0.8044 ± 0.0205,0.6954 ± 0.0146,0.7002 ± 0.0156,0.8880 ± 0.0126,0.8345 ± 0.0106,0.8044 ± 0.0205,0.8157 ± 0.0145,0.9387 ± 0.0080,0.7962 ± 0.0076,0.6880 ± 0.0096,0.6956 ± 0.0132,0.8890 ± 0.0082,0.8314 ± 0.0064,0.7962 ± 0.0076,0.8108 ± 0.0067,0.9373 ± 0.0048
6,STACKING_random_forest,mutual_info,0.6869 ± 0.0097,0.6810 ± 0.0201,0.7956 ± 0.0196,0.6853 ± 0.0178,0.6886 ± 0.0218,0.8845 ± 0.0172,0.8303 ± 0.0131,0.7956 ± 0.0196,0.8092 ± 0.0148,0.9372 ± 0.0101,0.7967 ± 0.0096,0.6889 ± 0.0088,0.6967 ± 0.0113,0.8863 ± 0.0073,0.8319 ± 0.0065,0.7967 ± 0.0096,0.8114 ± 0.0077,0.9358 ± 0.0041
7,STACKING_random_forest,spearman_sulov,0.6838 ± 0.0109,0.6800 ± 0.0234,0.7927 ± 0.0199,0.6846 ± 0.0211,0.6881 ± 0.0267,0.8886 ± 0.0148,0.8294 ± 0.0153,0.7927 ± 0.0199,0.8071 ± 0.0159,0.9388 ± 0.0090,0.7936 ± 0.0103,0.6863 ± 0.0096,0.6936 ± 0.0129,0.8898 ± 0.0091,0.8299 ± 0.0073,0.7936 ± 0.0103,0.8085 ± 0.0080,0.9377 ± 0.0053
8,STACKING_random_forest,chi2,0.6844 ± 0.0169,0.6772 ± 0.0186,0.7923 ± 0.0188,0.6820 ± 0.0160,0.6844 ± 0.0193,0.8838 ± 0.0148,0.8280 ± 0.0119,0.7923 ± 0.0188,0.8064 ± 0.0145,0.9366 ± 0.0090,0.7976 ± 0.0100,0.6861 ± 0.0156,0.6927 ± 0.0204,0.8888 ± 0.0071,0.8304 ± 0.0107,0.7976 ± 0.0100,0.8115 ± 0.0096,0.9371 ± 0.0044
9,STACKING_random_forest,chi2_mi_union_topk,0.6861 ± 0.0115,0.6903 ± 0.0194,0.8029 ± 0.0222,0.6939 ± 0.0159,0.6983 ± 0.0181,0.8829 ± 0.0148,0.8337 ± 0.0091,0.8029 ± 0.0222,0.8145 ± 0.0159,0.9368 ± 0.0089,0.7958 ± 0.0108,0.6882 ± 0.0101,0.6957 ± 0.0130,0.8840 ± 0.0081,0.8314 ± 0.0076,0.7958 ± 0.0108,0.8107 ± 0.0089,0.9347 ± 0.0049
