,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
decision_tree,0.7696 ± 0.0460,0.6408 ± 0.0225,0.6381 ± 0.0170,0.6311 ± 0.0203,0.8191 ± 0.0122,0.7777 ± 0.0090,0.7696 ± 0.0460,0.7687 ± 0.0291,0.8861 ± 0.0074,0.6518 ± 0.0070,"[OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 5}), OrderedDict({'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 20}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 19, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 20}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 18, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 14}), OrderedDict({'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 17, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 15}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 4}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 21, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 13}), OrderedDict({'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 13}), OrderedDict({'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 13}), OrderedDict({'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 18})]"
random_forest,0.8454 ± 0.0165,0.7148 ± 0.0251,0.6933 ± 0.0140,0.6949 ± 0.0156,0.8952 ± 0.0114,0.8289 ± 0.0120,0.8454 ± 0.0165,0.8331 ± 0.0113,0.9425 ± 0.0075,0.6999 ± 0.0128,"[OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 800}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 2, 'model__n_estimators': 644}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 19, 'model__n_estimators': 272}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 17, 'model__n_estimators': 408}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 217}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 14, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 9, 'model__n_estimators': 475}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 23, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 7, 'model__n_estimators': 388})]"
extra_trees,0.8469 ± 0.0195,0.7090 ± 0.0282,0.6894 ± 0.0213,0.6899 ± 0.0237,0.8935 ± 0.0114,0.8262 ± 0.0149,0.8469 ± 0.0195,0.8326 ± 0.0150,0.9417 ± 0.0078,0.6992 ± 0.0096,"[OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 13, 'model__n_estimators': 750}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2, 'model__n_estimators': 396}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 472}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 7, 'model__min_samples_split': 20, 'model__n_estimators': 800}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 800}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 19, 'model__n_estimators': 251}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 16, 'model__n_estimators': 424}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 3, 'model__n_estimators': 372}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 7, 'model__min_samples_split': 9, 'model__n_estimators': 800}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 470})]"
xgboost,0.8429 ± 0.0104,0.6686 ± 0.0411,0.6563 ± 0.0178,0.6480 ± 0.0244,0.8805 ± 0.0125,0.8027 ± 0.0167,0.8429 ± 0.0104,0.8170 ± 0.0116,0.9334 ± 0.0056,0.6732 ± 0.0162,"[OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 0.8225582284517663, 'model__gamma': 1e-08, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 4, 'model__min_child_weight': 7, 'model__n_estimators': 400, 'model__reg_alpha': 0.02038462854921202, 'model__reg_lambda': 0.10142443414631157, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.6015831064314022, 'model__gamma': 0.00040858397570881644, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__n_estimators': 582, 'model__reg_alpha': 2.330069464740524, 'model__reg_lambda': 9.033902925569591e-07, 'model__subsample': 0.8766664238680157}), OrderedDict({'model__colsample_bytree': 0.8008278025585344, 'model__gamma': 1e-08, 'model__learning_rate': 0.06357281615098173, 'model__max_depth': 7, 'model__min_child_weight': 9, 'model__n_estimators': 232, 'model__reg_alpha': 0.02065399206228861, 'model__reg_lambda': 1.0276338217882003e-08, 'model__subsample': 0.6}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 0.02896542350324744, 'model__learning_rate': 0.0966613563062337, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 242, 'model__reg_alpha': 1e-08, 'model__reg_lambda': 5.4877950685571026e-06, 'model__subsample': 0.929819089984757}), OrderedDict({'model__colsample_bytree': 0.6346997572591933, 'model__gamma': 0.026515248295370955, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 4, 'model__min_child_weight': 4, 'model__n_estimators': 435, 'model__reg_alpha': 0.026512868318286382, 'model__reg_lambda': 1.1599959811302252e-07, 'model__subsample': 0.7085610956159426}), OrderedDict({'model__colsample_bytree': 1.0, 'model__gamma': 0.005123604168331989, 'model__learning_rate': 0.0727512135536098, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__n_estimators': 600, 'model__reg_alpha': 0.028709576632801714, 'model__reg_lambda': 0.028069750547944798, 'model__subsample': 0.6270637482282397}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 2.5074813625365094e-05, 'model__learning_rate': 0.05482326464758705, 'model__max_depth': 10, 'model__min_child_weight': 10, 'model__n_estimators': 536, 'model__reg_alpha': 2.1167953769683512e-07, 'model__reg_lambda': 0.18302924873008475, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.6488222322841538, 'model__gamma': 0.03703924996135755, 'model__learning_rate': 0.13520629722591573, 'model__max_depth': 6, 'model__min_child_weight': 4, 'model__n_estimators': 200, 'model__reg_alpha': 2.9025005521178943e-05, 'model__reg_lambda': 8.839500029913564e-07, 'model__subsample': 0.8918270114873124}), OrderedDict({'model__colsample_bytree': 0.6002511576097475, 'model__gamma': 1.1251952098249319e-05, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 10, 'model__min_child_weight': 3, 'model__n_estimators': 263, 'model__reg_alpha': 7.873941796766249e-08, 'model__reg_lambda': 1.9329582714041985e-06, 'model__subsample': 0.6566403606209926})]"
adaboost,0.8198 ± 0.0125,0.6497 ± 0.0313,0.6507 ± 0.0203,0.6459 ± 0.0266,0.8478 ± 0.0145,0.7944 ± 0.0169,0.8198 ± 0.0125,0.8050 ± 0.0121,0.9219 ± 0.0031,0.6698 ± 0.0181,"[OrderedDict({'model__learning_rate': 0.9942681094611023, 'model__n_estimators': 50}), OrderedDict({'model__learning_rate': 0.3700913306836796, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.9994194568520143, 'model__n_estimators': 56}), OrderedDict({'model__learning_rate': 0.1714583803805369, 'model__n_estimators': 399}), OrderedDict({'model__learning_rate': 0.8110548816301485, 'model__n_estimators': 50}), OrderedDict({'model__learning_rate': 0.7249121672947151, 'model__n_estimators': 298}), OrderedDict({'model__learning_rate': 0.4729080547055919, 'model__n_estimators': 447}), OrderedDict({'model__learning_rate': 0.39242608360814146, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.9914746490592424, 'model__n_estimators': 495}), OrderedDict({'model__learning_rate': 0.9993159990337996, 'model__n_estimators': 78})]"
svm,0.7875 ± 0.0216,0.6781 ± 0.0214,0.6807 ± 0.0281,0.6716 ± 0.0266,0.8847 ± 0.0126,0.8195 ± 0.0154,0.7875 ± 0.0216,0.7966 ± 0.0201,0.9368 ± 0.0079,0.6851 ± 0.0115,"[OrderedDict({'model__C': 4.43932754362425, 'model__class_weight': 'balanced', 'model__gamma': 0.0035465866588206283, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.9122439462329794, 'model__class_weight': 'balanced', 'model__gamma': 0.011304740754647971, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.19546184996003702, 'model__class_weight': 'balanced', 'model__gamma': 0.02292319561825463, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.518534299556993, 'model__class_weight': 'balanced', 'model__gamma': 0.027143047668990953, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 526.24169919254, 'model__class_weight': 'balanced', 'model__gamma': 8.01967159161947e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 2.1047298834622166, 'model__class_weight': 'balanced', 'model__gamma': 0.018169648942798076, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 17.93189341297345, 'model__class_weight': 'balanced', 'model__gamma': 0.0003281240559141601, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1.2492383245079037, 'model__class_weight': 'balanced', 'model__gamma': 0.027564620871319792, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 210.90779372772104, 'model__class_weight': 'balanced', 'model__gamma': 5.724568995397874e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1.5400863293201201, 'model__class_weight': 'balanced', 'model__gamma': 0.008234808824708563, 'model__kernel': 'rbf'})]"
logistic_regression,0.7927 ± 0.0221,0.6635 ± 0.0200,0.6637 ± 0.0215,0.6585 ± 0.0204,0.8739 ± 0.0173,0.8082 ± 0.0172,0.7927 ± 0.0221,0.7960 ± 0.0160,0.9309 ± 0.0100,0.6810 ± 0.0131,"[OrderedDict({'model__C': 0.0017642132209295435, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.002266336655166781, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.006525071863547197, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.04261797062216279, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.469683180571707, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.18214548318355844, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.014007221659293103, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.03750259817180516, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.04330195334386779, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.15441653878274655, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
knn,0.7912 ± 0.0206,0.6284 ± 0.0477,0.6165 ± 0.0246,0.6077 ± 0.0300,0.8169 ± 0.0257,0.7664 ± 0.0196,0.7912 ± 0.0206,0.7678 ± 0.0188,0.8854 ± 0.0207,0.6090 ± 0.0135,"[OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'uniform'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'distance'})]"
gaussian_nb,0.7176 ± 0.0437,0.6563 ± 0.0317,0.6467 ± 0.0453,0.6263 ± 0.0400,0.8359 ± 0.0235,0.8100 ± 0.0255,0.7176 ± 0.0437,0.7461 ± 0.0360,0.8998 ± 0.0153,0.6031 ± 0.0185,"[OrderedDict({'model__var_smoothing': 5.19530620370015e-07}), OrderedDict({'model__var_smoothing': 2.2364202820542707e-07}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 2.7256494313883947e-09}), OrderedDict({'model__var_smoothing': 1.8817567513287037e-09}), OrderedDict({'model__var_smoothing': 5.06843837866864e-07}), OrderedDict({'model__var_smoothing': 4.96800577536618e-07}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07})]"
