,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
33,logistic_regression,chi2,0.6498 ± 0.0190,0.6447 ± 0.0213,0.7645 ± 0.0216,0.6519 ± 0.0177,0.6493 ± 0.0249,0.8542 ± 0.0116,0.8019 ± 0.0091,0.7645 ± 0.0216,0.7793 ± 0.0149,0.9185 ± 0.0060,0.7689 ± 0.0156,0.6540 ± 0.0166,0.6542 ± 0.0212,0.8481 ± 0.0172,0.8028 ± 0.0125,0.7689 ± 0.0156,0.7834 ± 0.0142,0.9126 ± 0.0089
34,logistic_regression,chi2_mi_union_topk,0.6579 ± 0.0204,0.6533 ± 0.0177,0.7755 ± 0.0128,0.6605 ± 0.0156,0.6584 ± 0.0218,0.8660 ± 0.0159,0.8131 ± 0.0089,0.7755 ± 0.0128,0.7898 ± 0.0095,0.9271 ± 0.0073,0.7720 ± 0.0140,0.6645 ± 0.0176,0.6653 ± 0.0245,0.8597 ± 0.0091,0.8148 ± 0.0113,0.7720 ± 0.0140,0.7892 ± 0.0124,0.9208 ± 0.0050
35,knn,spearman_corr,0.5869 ± 0.0167,0.5985 ± 0.0281,0.7875 ± 0.0248,0.6378 ± 0.0504,0.6104 ± 0.0233,0.8271 ± 0.0172,0.7627 ± 0.0262,0.7875 ± 0.0248,0.7588 ± 0.0252,0.8928 ± 0.0141,0.7858 ± 0.0115,0.6081 ± 0.0331,0.6016 ± 0.0126,0.8218 ± 0.0090,0.7516 ± 0.0150,0.7858 ± 0.0115,0.7559 ± 0.0110,0.8899 ± 0.0053
36,knn,mutual_info,0.6284 ± 0.0244,0.6410 ± 0.0347,0.8103 ± 0.0189,0.6594 ± 0.0402,0.6442 ± 0.0286,0.8433 ± 0.0092,0.7870 ± 0.0227,0.8103 ± 0.0189,0.7908 ± 0.0227,0.9083 ± 0.0080,0.8071 ± 0.0100,0.6467 ± 0.0277,0.6351 ± 0.0195,0.8449 ± 0.0090,0.7794 ± 0.0133,0.8071 ± 0.0100,0.7849 ± 0.0097,0.9085 ± 0.0043
37,knn,spearman_sulov,0.6027 ± 0.0178,0.6032 ± 0.0308,0.7916 ± 0.0186,0.6233 ± 0.0450,0.6151 ± 0.0224,0.8331 ± 0.0185,0.7615 ± 0.0249,0.7916 ± 0.0186,0.7639 ± 0.0200,0.9000 ± 0.0155,0.7917 ± 0.0096,0.6249 ± 0.0286,0.6136 ± 0.0120,0.8307 ± 0.0105,0.7616 ± 0.0120,0.7917 ± 0.0096,0.7649 ± 0.0076,0.8971 ± 0.0058
38,knn,chi2,0.6225 ± 0.0184,0.6361 ± 0.0293,0.8103 ± 0.0224,0.6665 ± 0.0436,0.6400 ± 0.0242,0.8412 ± 0.0136,0.7854 ± 0.0235,0.8103 ± 0.0224,0.7874 ± 0.0226,0.9064 ± 0.0103,0.8069 ± 0.0058,0.6459 ± 0.0256,0.6302 ± 0.0127,0.8388 ± 0.0102,0.7761 ± 0.0108,0.8069 ± 0.0058,0.7820 ± 0.0064,0.9034 ± 0.0050
39,knn,chi2_mi_union_topk,0.6494 ± 0.0238,0.6571 ± 0.0243,0.8304 ± 0.0202,0.6987 ± 0.0447,0.6586 ± 0.0205,0.8369 ± 0.0156,0.8043 ± 0.0215,0.8304 ± 0.0202,0.8072 ± 0.0193,0.9066 ± 0.0110,0.8247 ± 0.0087,0.6744 ± 0.0294,0.6524 ± 0.0180,0.8498 ± 0.0093,0.7952 ± 0.0144,0.8247 ± 0.0087,0.8026 ± 0.0115,0.9104 ± 0.0035
40,gaussian_nb,spearman_corr,0.6124 ± 0.0162,0.6334 ± 0.0338,0.7242 ± 0.0287,0.6680 ± 0.0274,0.6623 ± 0.0421,0.8552 ± 0.0156,0.8208 ± 0.0232,0.7242 ± 0.0287,0.7478 ± 0.0271,0.9122 ± 0.0127,0.7030 ± 0.0169,0.6477 ± 0.0121,0.6389 ± 0.0184,0.8388 ± 0.0077,0.8017 ± 0.0110,0.7030 ± 0.0169,0.7293 ± 0.0158,0.8996 ± 0.0046
41,gaussian_nb,mutual_info,0.6244 ± 0.0246,0.6495 ± 0.0345,0.7491 ± 0.0319,0.6709 ± 0.0294,0.6694 ± 0.0385,0.8564 ± 0.0181,0.8207 ± 0.0217,0.7491 ± 0.0319,0.7695 ± 0.0277,0.9122 ± 0.0138,0.7226 ± 0.0336,0.6502 ± 0.0133,0.6422 ± 0.0218,0.8413 ± 0.0099,0.8045 ± 0.0100,0.7226 ± 0.0336,0.7479 ± 0.0280,0.9010 ± 0.0058
42,gaussian_nb,spearman_sulov,0.6135 ± 0.0147,0.6346 ± 0.0313,0.7249 ± 0.0256,0.6689 ± 0.0267,0.6646 ± 0.0404,0.8544 ± 0.0149,0.8214 ± 0.0234,0.7249 ± 0.0256,0.7483 ± 0.0250,0.9118 ± 0.0117,0.7039 ± 0.0162,0.6486 ± 0.0103,0.6400 ± 0.0159,0.8402 ± 0.0083,0.8025 ± 0.0095,0.7039 ± 0.0162,0.7301 ± 0.0148,0.9011 ± 0.0050
43,gaussian_nb,chi2,0.6263 ± 0.0252,0.6455 ± 0.0429,0.7458 ± 0.0422,0.6683 ± 0.0346,0.6644 ± 0.0473,0.8545 ± 0.0207,0.8186 ± 0.0258,0.7458 ± 0.0422,0.7664 ± 0.0353,0.9115 ± 0.0151,0.7248 ± 0.0347,0.6523 ± 0.0153,0.6449 ± 0.0233,0.8419 ± 0.0082,0.8064 ± 0.0116,0.7248 ± 0.0347,0.7496 ± 0.0289,0.9014 ± 0.0048
44,gaussian_nb,chi2_mi_union_topk,0.6688 ± 0.0117,0.6761 ± 0.0279,0.7758 ± 0.0220,0.6892 ± 0.0254,0.6954 ± 0.0349,0.8774 ± 0.0179,0.8369 ± 0.0200,0.7758 ± 0.0220,0.7954 ± 0.0203,0.9277 ± 0.0131,0.7701 ± 0.0085,0.6800 ± 0.0104,0.6846 ± 0.0145,0.8709 ± 0.0087,0.8294 ± 0.0085,0.7701 ± 0.0085,0.7915 ± 0.0080,0.9221 ± 0.0051
