,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5956 ± 0.0219,0.6030 ± 0.0293,0.7418 ± 0.0274,0.6056 ± 0.0303,0.6039 ± 0.0296,0.7352 ± 0.0211,0.7467 ± 0.0250,0.7418 ± 0.0274,0.7430 ± 0.0249,0.7998 ± 0.0203,0.7403 ± 0.0160,0.5969 ± 0.0217,0.5953 ± 0.0224,0.7312 ± 0.0150,0.7478 ± 0.0153,0.7403 ± 0.0160,0.7437 ± 0.0151,0.8007 ± 0.0122
1,decision_tree,mutual_info,0.6019 ± 0.0164,0.6095 ± 0.0323,0.7473 ± 0.0248,0.6105 ± 0.0327,0.6098 ± 0.0326,0.7399 ± 0.0225,0.7526 ± 0.0241,0.7473 ± 0.0248,0.7494 ± 0.0240,0.8050 ± 0.0198,0.7451 ± 0.0120,0.6027 ± 0.0166,0.6019 ± 0.0163,0.7355 ± 0.0109,0.7509 ± 0.0120,0.7451 ± 0.0120,0.7477 ± 0.0113,0.8038 ± 0.0091
2,decision_tree,spearman_sulov,0.5956 ± 0.0219,0.6030 ± 0.0293,0.7418 ± 0.0274,0.6056 ± 0.0303,0.6039 ± 0.0296,0.7352 ± 0.0211,0.7467 ± 0.0250,0.7418 ± 0.0274,0.7430 ± 0.0249,0.7998 ± 0.0203,0.7403 ± 0.0160,0.5969 ± 0.0217,0.5953 ± 0.0224,0.7312 ± 0.0150,0.7478 ± 0.0153,0.7403 ± 0.0160,0.7437 ± 0.0151,0.8007 ± 0.0122
3,decision_tree,chi2,0.6344 ± 0.0216,0.6289 ± 0.0363,0.7652 ± 0.0278,0.6308 ± 0.0356,0.6299 ± 0.0371,0.7329 ± 0.0266,0.7695 ± 0.0253,0.7652 ± 0.0278,0.7661 ± 0.0259,0.8019 ± 0.0226,0.7689 ± 0.0159,0.6346 ± 0.0210,0.6350 ± 0.0221,0.7338 ± 0.0188,0.7736 ± 0.0146,0.7689 ± 0.0159,0.7710 ± 0.0151,0.8055 ± 0.0153
4,decision_tree,chi2_mi_union_topk,0.6077 ± 0.0156,0.6159 ± 0.0302,0.7553 ± 0.0272,0.6179 ± 0.0332,0.6175 ± 0.0287,0.7444 ± 0.0189,0.7564 ± 0.0183,0.7553 ± 0.0272,0.7548 ± 0.0206,0.8086 ± 0.0161,0.7418 ± 0.0100,0.6092 ± 0.0150,0.6078 ± 0.0165,0.7380 ± 0.0108,0.7546 ± 0.0115,0.7418 ± 0.0100,0.7478 ± 0.0100,0.8028 ± 0.0085
5,random_forest,spearman_corr,0.6233 ± 0.0190,0.6304 ± 0.0223,0.8579 ± 0.0079,0.8225 ± 0.1382,0.6534 ± 0.0125,0.8905 ± 0.0173,0.8469 ± 0.0480,0.8579 ± 0.0079,0.8150 ± 0.0104,0.9391 ± 0.0102,0.8513 ± 0.0057,0.7422 ± 0.0980,0.6464 ± 0.0107,0.8891 ± 0.0066,0.8173 ± 0.0345,0.8513 ± 0.0057,0.8094 ± 0.0088,0.9360 ± 0.0040
6,random_forest,mutual_info,0.6288 ± 0.0190,0.6318 ± 0.0233,0.8601 ± 0.0066,0.7906 ± 0.1549,0.6550 ± 0.0121,0.8961 ± 0.0114,0.8378 ± 0.0530,0.8601 ± 0.0066,0.8170 ± 0.0094,0.9417 ± 0.0074,0.8533 ± 0.0062,0.7643 ± 0.0596,0.6497 ± 0.0108,0.8930 ± 0.0046,0.8260 ± 0.0223,0.8533 ± 0.0062,0.8124 ± 0.0084,0.9371 ± 0.0037
7,random_forest,spearman_sulov,0.6233 ± 0.0190,0.6304 ± 0.0223,0.8579 ± 0.0079,0.8225 ± 0.1382,0.6534 ± 0.0125,0.8905 ± 0.0173,0.8469 ± 0.0480,0.8579 ± 0.0079,0.8150 ± 0.0104,0.9391 ± 0.0102,0.8513 ± 0.0057,0.7422 ± 0.0980,0.6464 ± 0.0107,0.8891 ± 0.0066,0.8173 ± 0.0345,0.8513 ± 0.0057,0.8094 ± 0.0088,0.9360 ± 0.0040
8,random_forest,chi2,0.6388 ± 0.0201,0.6484 ± 0.0254,0.8520 ± 0.0072,0.7321 ± 0.0615,0.6607 ± 0.0136,0.8902 ± 0.0151,0.8174 ± 0.0204,0.8520 ± 0.0072,0.8173 ± 0.0081,0.9371 ± 0.0095,0.8437 ± 0.0073,0.7071 ± 0.0460,0.6506 ± 0.0129,0.8741 ± 0.0124,0.8053 ± 0.0175,0.8437 ± 0.0073,0.8101 ± 0.0091,0.9275 ± 0.0064
9,random_forest,chi2_mi_union_topk,0.6279 ± 0.0227,0.6405 ± 0.0226,0.8590 ± 0.0076,0.8270 ± 0.1234,0.6584 ± 0.0131,0.8941 ± 0.0135,0.8495 ± 0.0422,0.8590 ± 0.0076,0.8187 ± 0.0107,0.9407 ± 0.0081,0.8524 ± 0.0053,0.7367 ± 0.0996,0.6490 ± 0.0123,0.8881 ± 0.0091,0.8165 ± 0.0344,0.8524 ± 0.0053,0.8115 ± 0.0091,0.9353 ± 0.0055
10,extra_trees,spearman_corr,0.6103 ± 0.0124,0.6167 ± 0.0144,0.8564 ± 0.0106,0.7555 ± 0.1681,0.6464 ± 0.0104,0.8873 ± 0.0150,0.8245 ± 0.0581,0.8564 ± 0.0106,0.8106 ± 0.0106,0.9381 ± 0.0086,0.8503 ± 0.0054,0.7063 ± 0.1406,0.6402 ± 0.0073,0.8824 ± 0.0071,0.8048 ± 0.0479,0.8503 ± 0.0054,0.8051 ± 0.0067,0.9333 ± 0.0039
11,extra_trees,mutual_info,0.6142 ± 0.0143,0.6191 ± 0.0155,0.8575 ± 0.0063,0.7392 ± 0.1579,0.6481 ± 0.0087,0.8857 ± 0.0140,0.8194 ± 0.0530,0.8575 ± 0.0063,0.8117 ± 0.0080,0.9372 ± 0.0088,0.8509 ± 0.0060,0.7323 ± 0.1312,0.6422 ± 0.0087,0.8863 ± 0.0060,0.8137 ± 0.0454,0.8509 ± 0.0060,0.8066 ± 0.0078,0.9348 ± 0.0032
12,extra_trees,spearman_sulov,0.6103 ± 0.0124,0.6167 ± 0.0144,0.8564 ± 0.0106,0.7555 ± 0.1681,0.6464 ± 0.0104,0.8873 ± 0.0150,0.8245 ± 0.0581,0.8564 ± 0.0106,0.8106 ± 0.0106,0.9381 ± 0.0086,0.8503 ± 0.0054,0.7063 ± 0.1406,0.6402 ± 0.0073,0.8824 ± 0.0071,0.8048 ± 0.0479,0.8503 ± 0.0054,0.8051 ± 0.0067,0.9333 ± 0.0039
13,extra_trees,chi2,0.6255 ± 0.0188,0.6438 ± 0.0251,0.8516 ± 0.0127,0.7388 ± 0.0641,0.6571 ± 0.0165,0.8829 ± 0.0173,0.8195 ± 0.0261,0.8516 ± 0.0127,0.8161 ± 0.0135,0.9327 ± 0.0106,0.8399 ± 0.0069,0.6809 ± 0.0526,0.6423 ± 0.0118,0.8749 ± 0.0129,0.7945 ± 0.0198,0.8399 ± 0.0069,0.8040 ± 0.0092,0.9272 ± 0.0066
14,extra_trees,chi2_mi_union_topk,0.6239 ± 0.0191,0.6211 ± 0.0246,0.8575 ± 0.0092,0.6903 ± 0.1426,0.6489 ± 0.0146,0.8945 ± 0.0163,0.8045 ± 0.0502,0.8575 ± 0.0092,0.8129 ± 0.0125,0.9408 ± 0.0099,0.8517 ± 0.0056,0.7657 ± 0.1281,0.6468 ± 0.0108,0.8841 ± 0.0076,0.8253 ± 0.0438,0.8517 ± 0.0056,0.8098 ± 0.0084,0.9339 ± 0.0045
15,xgboost,spearman_corr,0.6613 ± 0.0185,0.6604 ± 0.0200,0.8429 ± 0.0098,0.7318 ± 0.0715,0.6639 ± 0.0133,0.8841 ± 0.0189,0.8165 ± 0.0233,0.8429 ± 0.0098,0.8160 ± 0.0084,0.9335 ± 0.0113,0.8374 ± 0.0092,0.6931 ± 0.0301,0.6624 ± 0.0142,0.8755 ± 0.0102,0.8060 ± 0.0128,0.8374 ± 0.0092,0.8155 ± 0.0101,0.9278 ± 0.0061
16,xgboost,mutual_info,0.6607 ± 0.0184,0.6709 ± 0.0255,0.8451 ± 0.0098,0.7314 ± 0.0388,0.6714 ± 0.0186,0.8844 ± 0.0185,0.8180 ± 0.0156,0.8451 ± 0.0098,0.8203 ± 0.0117,0.9340 ± 0.0111,0.8371 ± 0.0071,0.6897 ± 0.0279,0.6621 ± 0.0136,0.8763 ± 0.0092,0.8052 ± 0.0115,0.8371 ± 0.0071,0.8154 ± 0.0084,0.9278 ± 0.0058
17,xgboost,spearman_sulov,0.6613 ± 0.0185,0.6604 ± 0.0200,0.8429 ± 0.0098,0.7318 ± 0.0715,0.6639 ± 0.0133,0.8841 ± 0.0189,0.8165 ± 0.0233,0.8429 ± 0.0098,0.8160 ± 0.0084,0.9335 ± 0.0113,0.8374 ± 0.0092,0.6931 ± 0.0301,0.6624 ± 0.0142,0.8755 ± 0.0102,0.8060 ± 0.0128,0.8374 ± 0.0092,0.8155 ± 0.0101,0.9278 ± 0.0061
