,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,STACKING_decision_tree,spearman_corr,0.6229 ± 0.0260,0.6274 ± 0.0368,0.7744 ± 0.0275,0.6235 ± 0.0463,0.6351 ± 0.0264,0.7954 ± 0.0140,0.7672 ± 0.0270,0.7744 ± 0.0275,0.7687 ± 0.0195,0.8579 ± 0.0131,0.7659 ± 0.0173,0.6230 ± 0.0256,0.6230 ± 0.0263,0.7916 ± 0.0150,0.7666 ± 0.0191,0.7659 ± 0.0173,0.7661 ± 0.0181,0.8536 ± 0.0141
1,STACKING_decision_tree,mutual_info,0.6206 ± 0.0297,0.6167 ± 0.0336,0.7593 ± 0.0253,0.6154 ± 0.0384,0.6213 ± 0.0310,0.7901 ± 0.0236,0.7629 ± 0.0234,0.7593 ± 0.0253,0.7597 ± 0.0184,0.8536 ± 0.0136,0.7660 ± 0.0160,0.6205 ± 0.0300,0.6217 ± 0.0289,0.7870 ± 0.0152,0.7621 ± 0.0199,0.7660 ± 0.0160,0.7637 ± 0.0174,0.8512 ± 0.0143
2,STACKING_decision_tree,spearman_sulov,0.6204 ± 0.0267,0.6050 ± 0.0265,0.7729 ± 0.0319,0.5991 ± 0.0396,0.6165 ± 0.0147,0.7897 ± 0.0142,0.7572 ± 0.0239,0.7729 ± 0.0319,0.7622 ± 0.0151,0.8588 ± 0.0110,0.7624 ± 0.0179,0.6206 ± 0.0269,0.6211 ± 0.0266,0.7861 ± 0.0139,0.7630 ± 0.0170,0.7624 ± 0.0179,0.7624 ± 0.0170,0.8486 ± 0.0120
3,STACKING_decision_tree,chi2,0.6252 ± 0.0266,0.6030 ± 0.0327,0.7762 ± 0.0248,0.5936 ± 0.0470,0.6173 ± 0.0176,0.7860 ± 0.0220,0.7527 ± 0.0284,0.7762 ± 0.0248,0.7618 ± 0.0090,0.8553 ± 0.0102,0.7618 ± 0.0142,0.6253 ± 0.0263,0.6262 ± 0.0274,0.7906 ± 0.0177,0.7680 ± 0.0185,0.7618 ± 0.0142,0.7646 ± 0.0159,0.8535 ± 0.0125
4,STACKING_decision_tree,chi2_mi_union_topk,0.6253 ± 0.0153,0.6188 ± 0.0265,0.7579 ± 0.0288,0.6194 ± 0.0325,0.6236 ± 0.0219,0.7928 ± 0.0219,0.7680 ± 0.0234,0.7579 ± 0.0288,0.7608 ± 0.0207,0.8563 ± 0.0179,0.7638 ± 0.0102,0.6262 ± 0.0150,0.6255 ± 0.0160,0.7881 ± 0.0121,0.7718 ± 0.0138,0.7638 ± 0.0102,0.7676 ± 0.0112,0.8539 ± 0.0117
5,STACKING_random_forest,spearman_corr,0.6897 ± 0.0121,0.6922 ± 0.0256,0.8022 ± 0.0216,0.6960 ± 0.0233,0.7027 ± 0.0286,0.8938 ± 0.0111,0.8362 ± 0.0161,0.8022 ± 0.0216,0.8146 ± 0.0170,0.9422 ± 0.0075,0.7994 ± 0.0098,0.6912 ± 0.0108,0.6994 ± 0.0135,0.8918 ± 0.0077,0.8335 ± 0.0080,0.7994 ± 0.0098,0.8135 ± 0.0088,0.9389 ± 0.0043
6,STACKING_random_forest,mutual_info,0.6880 ± 0.0154,0.6815 ± 0.0220,0.7978 ± 0.0218,0.6854 ± 0.0198,0.6886 ± 0.0226,0.8856 ± 0.0140,0.8293 ± 0.0132,0.7978 ± 0.0218,0.8100 ± 0.0165,0.9377 ± 0.0087,0.7965 ± 0.0133,0.6901 ± 0.0131,0.6980 ± 0.0167,0.8889 ± 0.0060,0.8328 ± 0.0080,0.7965 ± 0.0133,0.8115 ± 0.0109,0.9373 ± 0.0038
7,STACKING_random_forest,spearman_sulov,0.6890 ± 0.0122,0.6836 ± 0.0168,0.7985 ± 0.0145,0.6875 ± 0.0175,0.6924 ± 0.0214,0.8870 ± 0.0122,0.8308 ± 0.0150,0.7985 ± 0.0145,0.8106 ± 0.0108,0.9387 ± 0.0078,0.7995 ± 0.0088,0.6903 ± 0.0109,0.6984 ± 0.0139,0.8893 ± 0.0064,0.8323 ± 0.0076,0.7995 ± 0.0088,0.8132 ± 0.0080,0.9375 ± 0.0034
8,STACKING_random_forest,chi2,0.6852 ± 0.0111,0.6820 ± 0.0174,0.7971 ± 0.0192,0.6865 ± 0.0146,0.6897 ± 0.0180,0.8848 ± 0.0145,0.8306 ± 0.0109,0.7971 ± 0.0192,0.8098 ± 0.0140,0.9378 ± 0.0088,0.7953 ± 0.0091,0.6874 ± 0.0099,0.6946 ± 0.0131,0.8878 ± 0.0048,0.8310 ± 0.0069,0.7953 ± 0.0091,0.8102 ± 0.0074,0.9369 ± 0.0032
9,STACKING_random_forest,chi2_mi_union_topk,0.6846 ± 0.0145,0.6843 ± 0.0269,0.8018 ± 0.0219,0.6877 ± 0.0239,0.6908 ± 0.0297,0.8823 ± 0.0154,0.8306 ± 0.0159,0.8018 ± 0.0219,0.8130 ± 0.0179,0.9368 ± 0.0095,0.7954 ± 0.0114,0.6870 ± 0.0130,0.6939 ± 0.0170,0.8842 ± 0.0095,0.8314 ± 0.0091,0.7954 ± 0.0114,0.8104 ± 0.0099,0.9352 ± 0.0052
10,STACKING_extra_trees,spearman_corr,0.6825 ± 0.0107,0.6880 ± 0.0215,0.8077 ± 0.0182,0.6900 ± 0.0196,0.6935 ± 0.0235,0.8836 ± 0.0142,0.8312 ± 0.0132,0.8077 ± 0.0182,0.8170 ± 0.0144,0.9366 ± 0.0081,0.8003 ± 0.0075,0.6836 ± 0.0100,0.6889 ± 0.0131,0.8865 ± 0.0073,0.8283 ± 0.0066,0.8003 ± 0.0075,0.8125 ± 0.0060,0.9359 ± 0.0039
11,STACKING_extra_trees,mutual_info,0.6912 ± 0.0070,0.6835 ± 0.0184,0.8000 ± 0.0173,0.6864 ± 0.0169,0.6902 ± 0.0201,0.8834 ± 0.0122,0.8303 ± 0.0136,0.8000 ± 0.0173,0.8122 ± 0.0144,0.9368 ± 0.0080,0.8020 ± 0.0079,0.6919 ± 0.0061,0.7000 ± 0.0078,0.8880 ± 0.0059,0.8332 ± 0.0046,0.8020 ± 0.0079,0.8153 ± 0.0061,0.9366 ± 0.0029
12,STACKING_extra_trees,spearman_sulov,0.6865 ± 0.0103,0.6871 ± 0.0143,0.8077 ± 0.0157,0.6887 ± 0.0127,0.6918 ± 0.0155,0.8821 ± 0.0140,0.8308 ± 0.0085,0.8077 ± 0.0157,0.8173 ± 0.0108,0.9360 ± 0.0081,0.7995 ± 0.0090,0.6878 ± 0.0092,0.6945 ± 0.0118,0.8881 ± 0.0060,0.8314 ± 0.0065,0.7995 ± 0.0090,0.8132 ± 0.0074,0.9368 ± 0.0038
13,STACKING_extra_trees,chi2,0.6870 ± 0.0133,0.6779 ± 0.0210,0.7967 ± 0.0184,0.6811 ± 0.0186,0.6836 ± 0.0222,0.8824 ± 0.0140,0.8262 ± 0.0125,0.7967 ± 0.0184,0.8087 ± 0.0144,0.9357 ± 0.0091,0.7998 ± 0.0119,0.6882 ± 0.0121,0.6951 ± 0.0153,0.8865 ± 0.0068,0.8311 ± 0.0088,0.7998 ± 0.0119,0.8132 ± 0.0099,0.9357 ± 0.0041
14,STACKING_extra_trees,chi2_mi_union_topk,0.6829 ± 0.0110,0.6861 ± 0.0226,0.8015 ± 0.0237,0.6894 ± 0.0197,0.6930 ± 0.0254,0.8789 ± 0.0122,0.8307 ± 0.0143,0.8015 ± 0.0237,0.8130 ± 0.0167,0.9343 ± 0.0078,0.7948 ± 0.0068,0.6849 ± 0.0101,0.6914 ± 0.0137,0.8825 ± 0.0108,0.8292 ± 0.0064,0.7948 ± 0.0068,0.8095 ± 0.0058,0.9338 ± 0.0057
15,STACKING_xgboost,spearman_corr,0.6755 ± 0.0202,0.6762 ± 0.0282,0.8278 ± 0.0239,0.6866 ± 0.0407,0.6752 ± 0.0253,0.8736 ± 0.0132,0.8170 ± 0.0182,0.8278 ± 0.0239,0.8203 ± 0.0187,0.9316 ± 0.0055,0.8244 ± 0.0103,0.6784 ± 0.0215,0.6748 ± 0.0189,0.8543 ± 0.0105,0.8129 ± 0.0109,0.8244 ± 0.0103,0.8181 ± 0.0101,0.9154 ± 0.0055
16,STACKING_xgboost,mutual_info,0.6722 ± 0.0149,0.6837 ± 0.0200,0.8363 ± 0.0200,0.6954 ± 0.0315,0.6823 ± 0.0174,0.8742 ± 0.0118,0.8209 ± 0.0151,0.8363 ± 0.0200,0.8263 ± 0.0151,0.9321 ± 0.0061,0.8230 ± 0.0086,0.6758 ± 0.0174,0.6712 ± 0.0136,0.8555 ± 0.0063,0.8102 ± 0.0067,0.8230 ± 0.0086,0.8161 ± 0.0073,0.9159 ± 0.0024
17,STACKING_xgboost,spearman_sulov,0.6751 ± 0.0186,0.6804 ± 0.0217,0.8315 ± 0.0176,0.6893 ± 0.0315,0.6788 ± 0.0194,0.8753 ± 0.0112,0.8172 ± 0.0148,0.8315 ± 0.0176,0.8226 ± 0.0145,0.9322 ± 0.0048,0.8242 ± 0.0108,0.6782 ± 0.0206,0.6743 ± 0.0173,0.8537 ± 0.0080,0.8126 ± 0.0104,0.8242 ± 0.0108,0.8179 ± 0.0100,0.9150 ± 0.0039
18,STACKING_xgboost,chi2,0.6746 ± 0.0199,0.6706 ± 0.0294,0.8242 ± 0.0222,0.6772 ± 0.0380,0.6699 ± 0.0266,0.8671 ± 0.0114,0.8130 ± 0.0186,0.8242 ± 0.0222,0.8171 ± 0.0187,0.9264 ± 0.0062,0.8223 ± 0.0096,0.6775 ± 0.0217,0.6736 ± 0.0184,0.8535 ± 0.0094,0.8107 ± 0.0101,0.8223 ± 0.0096,0.8161 ± 0.0097,0.9140 ± 0.0048
19,STACKING_xgboost,chi2_mi_union_topk,0.6672 ± 0.0102,0.6673 ± 0.0238,0.8190 ± 0.0188,0.6710 ± 0.0251,0.6669 ± 0.0234,0.8599 ± 0.0188,0.8089 ± 0.0123,0.8190 ± 0.0188,0.8129 ± 0.0146,0.9217 ± 0.0106,0.8131 ± 0.0100,0.6688 ± 0.0114,0.6667 ± 0.0098,0.8472 ± 0.0100,0.8066 ± 0.0052,0.8131 ± 0.0100,0.8096 ± 0.0072,0.9094 ± 0.0073
