,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,STACKING_decision_tree,spearman_corr,0.6255 ± 0.0247,0.6217 ± 0.0202,0.7645 ± 0.0170,0.6223 ± 0.0201,0.6227 ± 0.0213,0.7937 ± 0.0227,0.7708 ± 0.0184,0.7645 ± 0.0170,0.7671 ± 0.0170,0.8606 ± 0.0188,0.7613 ± 0.0169,0.6259 ± 0.0240,0.6261 ± 0.0258,0.7929 ± 0.0157,0.7682 ± 0.0169,0.7613 ± 0.0169,0.7645 ± 0.0164,0.8551 ± 0.0114
1,STACKING_decision_tree,mutual_info,0.6243 ± 0.0198,0.6341 ± 0.0290,0.7700 ± 0.0254,0.6359 ± 0.0284,0.6352 ± 0.0310,0.7972 ± 0.0192,0.7769 ± 0.0191,0.7700 ± 0.0254,0.7724 ± 0.0211,0.8610 ± 0.0144,0.7612 ± 0.0085,0.6248 ± 0.0201,0.6253 ± 0.0198,0.7939 ± 0.0147,0.7694 ± 0.0131,0.7612 ± 0.0085,0.7649 ± 0.0092,0.8568 ± 0.0082
2,STACKING_decision_tree,spearman_sulov,0.6195 ± 0.0217,0.6140 ± 0.0313,0.7725 ± 0.0292,0.6090 ± 0.0406,0.6220 ± 0.0261,0.7928 ± 0.0207,0.7625 ± 0.0263,0.7725 ± 0.0292,0.7661 ± 0.0183,0.8599 ± 0.0173,0.7582 ± 0.0124,0.6198 ± 0.0210,0.6201 ± 0.0233,0.7935 ± 0.0137,0.7638 ± 0.0141,0.7582 ± 0.0124,0.7607 ± 0.0125,0.8548 ± 0.0078
3,STACKING_decision_tree,chi2,0.6239 ± 0.0244,0.6218 ± 0.0262,0.7637 ± 0.0260,0.6234 ± 0.0264,0.6221 ± 0.0270,0.7902 ± 0.0192,0.7682 ± 0.0188,0.7637 ± 0.0260,0.7652 ± 0.0218,0.8563 ± 0.0159,0.7634 ± 0.0134,0.6249 ± 0.0250,0.6240 ± 0.0250,0.7895 ± 0.0139,0.7680 ± 0.0131,0.7634 ± 0.0134,0.7654 ± 0.0121,0.8527 ± 0.0061
4,STACKING_decision_tree,chi2_mi_union_topk,0.6339 ± 0.0153,0.6247 ± 0.0449,0.7740 ± 0.0321,0.6232 ± 0.0489,0.6282 ± 0.0414,0.7853 ± 0.0278,0.7678 ± 0.0293,0.7740 ± 0.0321,0.7699 ± 0.0278,0.8516 ± 0.0211,0.7648 ± 0.0105,0.6353 ± 0.0143,0.6346 ± 0.0164,0.7972 ± 0.0116,0.7796 ± 0.0079,0.7648 ± 0.0105,0.7717 ± 0.0082,0.8591 ± 0.0080
5,STACKING_random_forest,spearman_corr,0.6874 ± 0.0060,0.6878 ± 0.0206,0.7989 ± 0.0189,0.6919 ± 0.0182,0.6977 ± 0.0235,0.8907 ± 0.0114,0.8348 ± 0.0132,0.7989 ± 0.0189,0.8123 ± 0.0154,0.9408 ± 0.0075,0.7978 ± 0.0042,0.6896 ± 0.0060,0.6971 ± 0.0084,0.8930 ± 0.0047,0.8337 ± 0.0050,0.7978 ± 0.0042,0.8126 ± 0.0032,0.9400 ± 0.0029
6,STACKING_random_forest,mutual_info,0.6819 ± 0.0118,0.6819 ± 0.0151,0.7974 ± 0.0141,0.6851 ± 0.0148,0.6891 ± 0.0174,0.8815 ± 0.0126,0.8285 ± 0.0114,0.7974 ± 0.0141,0.8096 ± 0.0112,0.9362 ± 0.0084,0.7943 ± 0.0083,0.6845 ± 0.0108,0.6905 ± 0.0140,0.8878 ± 0.0068,0.8297 ± 0.0079,0.7943 ± 0.0083,0.8091 ± 0.0079,0.9373 ± 0.0041
7,STACKING_random_forest,spearman_sulov,0.6899 ± 0.0107,0.6814 ± 0.0235,0.7945 ± 0.0223,0.6861 ± 0.0197,0.6894 ± 0.0250,0.8902 ± 0.0128,0.8305 ± 0.0133,0.7945 ± 0.0223,0.8083 ± 0.0182,0.9407 ± 0.0083,0.7992 ± 0.0082,0.6916 ± 0.0097,0.7000 ± 0.0123,0.8935 ± 0.0066,0.8345 ± 0.0074,0.7992 ± 0.0082,0.8138 ± 0.0077,0.9402 ± 0.0041
8,STACKING_random_forest,chi2,0.6851 ± 0.0074,0.6807 ± 0.0237,0.7952 ± 0.0211,0.6848 ± 0.0210,0.6883 ± 0.0265,0.8864 ± 0.0145,0.8294 ± 0.0142,0.7952 ± 0.0211,0.8085 ± 0.0176,0.9391 ± 0.0087,0.7953 ± 0.0094,0.6875 ± 0.0064,0.6946 ± 0.0081,0.8896 ± 0.0053,0.8317 ± 0.0053,0.7953 ± 0.0094,0.8104 ± 0.0070,0.9383 ± 0.0036
9,STACKING_random_forest,chi2_mi_union_topk,0.6850 ± 0.0167,0.6956 ± 0.0264,0.8044 ± 0.0209,0.6978 ± 0.0227,0.7052 ± 0.0296,0.8872 ± 0.0163,0.8365 ± 0.0150,0.8044 ± 0.0209,0.8167 ± 0.0182,0.9388 ± 0.0098,0.7961 ± 0.0082,0.6873 ± 0.0156,0.6944 ± 0.0214,0.8851 ± 0.0092,0.8317 ± 0.0107,0.7961 ± 0.0082,0.8109 ± 0.0085,0.9358 ± 0.0052
