,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
28,STACKING_svm,chi2,0.6762 ± 0.0113,0.6668 ± 0.0212,0.8275 ± 0.0185,0.6714 ± 0.0254,0.6682 ± 0.0193,0.8727 ± 0.0134,0.8135 ± 0.0141,0.8275 ± 0.0185,0.8190 ± 0.0137,0.9321 ± 0.0079,0.8247 ± 0.0095,0.6788 ± 0.0128,0.6754 ± 0.0106,0.8659 ± 0.0056,0.8159 ± 0.0072,0.8247 ± 0.0095,0.8199 ± 0.0076,0.9252 ± 0.0031
29,STACKING_svm,chi2_mi_union_topk,0.6704 ± 0.0103,0.6730 ± 0.0271,0.8432 ± 0.0159,0.6842 ± 0.0397,0.6750 ± 0.0240,0.8682 ± 0.0122,0.8196 ± 0.0182,0.8432 ± 0.0159,0.8286 ± 0.0141,0.9295 ± 0.0078,0.8365 ± 0.0043,0.6757 ± 0.0117,0.6708 ± 0.0087,0.8577 ± 0.0076,0.8154 ± 0.0058,0.8365 ± 0.0043,0.8248 ± 0.0049,0.9214 ± 0.0041
30,STACKING_knn,spearman_corr,0.6260 ± 0.0173,0.6258 ± 0.0174,0.7857 ± 0.0238,0.6328 ± 0.0161,0.6284 ± 0.0171,0.8380 ± 0.0174,0.7838 ± 0.0102,0.7857 ± 0.0238,0.7793 ± 0.0185,0.9030 ± 0.0132,0.7792 ± 0.0143,0.6310 ± 0.0178,0.6282 ± 0.0188,0.8211 ± 0.0112,0.7845 ± 0.0104,0.7792 ± 0.0143,0.7774 ± 0.0112,0.8931 ± 0.0050
31,STACKING_knn,mutual_info,0.6311 ± 0.0075,0.6410 ± 0.0327,0.7949 ± 0.0273,0.6474 ± 0.0333,0.6428 ± 0.0308,0.8388 ± 0.0212,0.7940 ± 0.0194,0.7949 ± 0.0273,0.7901 ± 0.0245,0.9056 ± 0.0126,0.7910 ± 0.0089,0.6346 ± 0.0084,0.6337 ± 0.0074,0.8325 ± 0.0079,0.7875 ± 0.0048,0.7910 ± 0.0089,0.7857 ± 0.0045,0.9003 ± 0.0044
32,STACKING_knn,spearman_sulov,0.6284 ± 0.0206,0.6373 ± 0.0212,0.7875 ± 0.0224,0.6454 ± 0.0192,0.6398 ± 0.0202,0.8418 ± 0.0145,0.7910 ± 0.0145,0.7875 ± 0.0224,0.7830 ± 0.0196,0.9031 ± 0.0104,0.7772 ± 0.0156,0.6342 ± 0.0204,0.6306 ± 0.0212,0.8257 ± 0.0100,0.7861 ± 0.0121,0.7772 ± 0.0156,0.7766 ± 0.0131,0.8945 ± 0.0055
33,STACKING_knn,chi2,0.6230 ± 0.0137,0.6378 ± 0.0191,0.7941 ± 0.0240,0.6445 ± 0.0206,0.6397 ± 0.0177,0.8365 ± 0.0228,0.7895 ± 0.0124,0.7941 ± 0.0240,0.7871 ± 0.0200,0.9015 ± 0.0148,0.7836 ± 0.0090,0.6261 ± 0.0145,0.6256 ± 0.0138,0.8281 ± 0.0144,0.7810 ± 0.0077,0.7836 ± 0.0090,0.7786 ± 0.0074,0.8961 ± 0.0073
34,STACKING_knn,chi2_mi_union_topk,0.6543 ± 0.0184,0.6627 ± 0.0362,0.8018 ± 0.0370,0.6693 ± 0.0331,0.6664 ± 0.0354,0.8511 ± 0.0245,0.8099 ± 0.0227,0.8018 ± 0.0370,0.8013 ± 0.0299,0.9131 ± 0.0173,0.7928 ± 0.0139,0.6569 ± 0.0179,0.6567 ± 0.0203,0.8478 ± 0.0127,0.8052 ± 0.0101,0.7928 ± 0.0139,0.7966 ± 0.0099,0.9093 ± 0.0080
35,STACKING_gaussian_nb,spearman_corr,0.6088 ± 0.0154,0.6053 ± 0.0258,0.7762 ± 0.0681,0.6060 ± 0.0470,0.6314 ± 0.0237,0.8268 ± 0.0190,0.7774 ± 0.0295,0.7762 ± 0.0681,0.7654 ± 0.0336,0.8949 ± 0.0154,0.7560 ± 0.0446,0.6190 ± 0.0288,0.6212 ± 0.0151,0.7955 ± 0.0101,0.7746 ± 0.0205,0.7560 ± 0.0446,0.7584 ± 0.0182,0.8635 ± 0.0074
36,STACKING_gaussian_nb,mutual_info,0.6230 ± 0.0189,0.6289 ± 0.0345,0.7414 ± 0.0511,0.6497 ± 0.0403,0.6478 ± 0.0401,0.8311 ± 0.0264,0.8085 ± 0.0287,0.7414 ± 0.0511,0.7607 ± 0.0313,0.8973 ± 0.0164,0.7415 ± 0.0244,0.6343 ± 0.0233,0.6318 ± 0.0239,0.8057 ± 0.0131,0.7888 ± 0.0191,0.7415 ± 0.0244,0.7591 ± 0.0140,0.8722 ± 0.0095
37,STACKING_gaussian_nb,spearman_sulov,0.6073 ± 0.0139,0.5990 ± 0.0155,0.7821 ± 0.0767,0.6122 ± 0.0585,0.6266 ± 0.0151,0.8317 ± 0.0252,0.7779 ± 0.0296,0.7821 ± 0.0767,0.7658 ± 0.0388,0.8978 ± 0.0170,0.7465 ± 0.0500,0.6185 ± 0.0289,0.6210 ± 0.0166,0.7980 ± 0.0111,0.7765 ± 0.0213,0.7465 ± 0.0500,0.7533 ± 0.0234,0.8662 ± 0.0085
38,STACKING_gaussian_nb,chi2,0.6128 ± 0.0158,0.6004 ± 0.0144,0.7755 ± 0.0828,0.6022 ± 0.0367,0.6250 ± 0.0132,0.8279 ± 0.0260,0.7772 ± 0.0217,0.7755 ± 0.0828,0.7654 ± 0.0425,0.8947 ± 0.0172,0.7465 ± 0.0465,0.6254 ± 0.0303,0.6265 ± 0.0178,0.8028 ± 0.0079,0.7832 ± 0.0225,0.7465 ± 0.0465,0.7564 ± 0.0206,0.8696 ± 0.0062
39,STACKING_gaussian_nb,chi2_mi_union_topk,0.6496 ± 0.0122,0.6590 ± 0.0256,0.7604 ± 0.0270,0.6761 ± 0.0199,0.6730 ± 0.0300,0.8559 ± 0.0196,0.8297 ± 0.0151,0.7604 ± 0.0270,0.7848 ± 0.0215,0.9206 ± 0.0122,0.7473 ± 0.0104,0.6683 ± 0.0102,0.6632 ± 0.0159,0.8199 ± 0.0065,0.8244 ± 0.0078,0.7473 ± 0.0104,0.7764 ± 0.0085,0.8884 ± 0.0048
