,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6084 ± 0.0130,0.6365 ± 0.0397,0.7707 ± 0.0211,0.6362 ± 0.0390,0.6382 ± 0.0417,0.7607 ± 0.0262,0.7759 ± 0.0242,0.7707 ± 0.0211,0.7727 ± 0.0221,0.8248 ± 0.0171,0.7475 ± 0.0120,0.6099 ± 0.0133,0.6088 ± 0.0137,0.7406 ± 0.0086,0.7599 ± 0.0098,0.7475 ± 0.0120,0.7532 ± 0.0098,0.8088 ± 0.0086
1,decision_tree,mutual_info,0.6173 ± 0.0195,0.6368 ± 0.0399,0.7678 ± 0.0313,0.6375 ± 0.0396,0.6377 ± 0.0408,0.7598 ± 0.0281,0.7751 ± 0.0284,0.7678 ± 0.0313,0.7710 ± 0.0294,0.8228 ± 0.0240,0.7525 ± 0.0139,0.6183 ± 0.0185,0.6177 ± 0.0210,0.7461 ± 0.0133,0.7638 ± 0.0115,0.7525 ± 0.0139,0.7578 ± 0.0119,0.8119 ± 0.0096
2,decision_tree,spearman_sulov,0.6168 ± 0.0120,0.6299 ± 0.0327,0.7722 ± 0.0233,0.6307 ± 0.0336,0.6309 ± 0.0324,0.7568 ± 0.0220,0.7718 ± 0.0237,0.7722 ± 0.0233,0.7713 ± 0.0228,0.8241 ± 0.0183,0.7547 ± 0.0144,0.6175 ± 0.0115,0.6171 ± 0.0125,0.7460 ± 0.0087,0.7625 ± 0.0095,0.7547 ± 0.0144,0.7583 ± 0.0117,0.8124 ± 0.0102
3,decision_tree,chi2,0.6289 ± 0.0213,0.6273 ± 0.0373,0.7685 ± 0.0280,0.6275 ± 0.0368,0.6282 ± 0.0379,0.7548 ± 0.0258,0.7703 ± 0.0271,0.7685 ± 0.0280,0.7691 ± 0.0269,0.8219 ± 0.0223,0.7563 ± 0.0125,0.6300 ± 0.0197,0.6304 ± 0.0237,0.7541 ± 0.0144,0.7729 ± 0.0113,0.7563 ± 0.0125,0.7640 ± 0.0111,0.8168 ± 0.0087
4,decision_tree,chi2_mi_union_topk,0.6263 ± 0.0127,0.6348 ± 0.0390,0.7773 ± 0.0258,0.6355 ± 0.0391,0.6356 ± 0.0393,0.7522 ± 0.0277,0.7783 ± 0.0249,0.7773 ± 0.0258,0.7772 ± 0.0247,0.8214 ± 0.0209,0.7557 ± 0.0083,0.6277 ± 0.0115,0.6274 ± 0.0143,0.7443 ± 0.0075,0.7733 ± 0.0056,0.7557 ± 0.0083,0.7638 ± 0.0067,0.8099 ± 0.0067
5,random_forest,spearman_corr,0.6169 ± 0.0117,0.6298 ± 0.0164,0.8645 ± 0.0090,0.7528 ± 0.1497,0.6558 ± 0.0093,0.8913 ± 0.0158,0.8292 ± 0.0501,0.8645 ± 0.0090,0.8203 ± 0.0085,0.9407 ± 0.0084,0.8586 ± 0.0042,0.7785 ± 0.1450,0.6468 ± 0.0065,0.8936 ± 0.0069,0.8333 ± 0.0487,0.8586 ± 0.0042,0.8129 ± 0.0056,0.9398 ± 0.0031
6,random_forest,mutual_info,0.6242 ± 0.0131,0.6373 ± 0.0186,0.8645 ± 0.0069,0.8185 ± 0.1267,0.6591 ± 0.0106,0.8881 ± 0.0126,0.8505 ± 0.0427,0.8645 ± 0.0069,0.8221 ± 0.0091,0.9391 ± 0.0086,0.8582 ± 0.0041,0.7713 ± 0.0749,0.6497 ± 0.0072,0.8948 ± 0.0063,0.8310 ± 0.0254,0.8582 ± 0.0041,0.8147 ± 0.0058,0.9406 ± 0.0036
7,random_forest,spearman_sulov,0.6169 ± 0.0113,0.6255 ± 0.0199,0.8637 ± 0.0097,0.7657 ± 0.1674,0.6536 ± 0.0125,0.8959 ± 0.0112,0.8324 ± 0.0570,0.8637 ± 0.0097,0.8183 ± 0.0119,0.9426 ± 0.0080,0.8575 ± 0.0033,0.7545 ± 0.1224,0.6463 ± 0.0058,0.8946 ± 0.0056,0.8248 ± 0.0403,0.8575 ± 0.0033,0.8121 ± 0.0051,0.9406 ± 0.0028
8,random_forest,chi2,0.6221 ± 0.0124,0.6300 ± 0.0259,0.8623 ± 0.0112,0.7320 ± 0.1533,0.6550 ± 0.0157,0.8930 ± 0.0112,0.8210 ± 0.0543,0.8623 ± 0.0112,0.8187 ± 0.0138,0.9405 ± 0.0075,0.8574 ± 0.0039,0.7429 ± 0.1147,0.6483 ± 0.0065,0.8950 ± 0.0063,0.8215 ± 0.0382,0.8574 ± 0.0039,0.8137 ± 0.0052,0.9409 ± 0.0035
9,random_forest,chi2_mi_union_topk,0.6379 ± 0.0131,0.6444 ± 0.0221,0.8619 ± 0.0102,0.7488 ± 0.0901,0.6614 ± 0.0138,0.8922 ± 0.0089,0.8282 ± 0.0317,0.8619 ± 0.0102,0.8232 ± 0.0119,0.9408 ± 0.0070,0.8568 ± 0.0053,0.7632 ± 0.0499,0.6552 ± 0.0079,0.8862 ± 0.0103,0.8285 ± 0.0170,0.8568 ± 0.0053,0.8178 ± 0.0067,0.9367 ± 0.0056
