,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
20,adaboost,spearman_corr,0.4700 ± 0.0201,0.4832 ± 0.0201,0.5875 ± 0.0175,0.5079 ± 0.0244,0.4812 ± 0.0187,0.7319 ± 0.0172,0.5597 ± 0.0178,0.5875 ± 0.0175,0.5642 ± 0.0168,0.7420 ± 0.0174,0.5700 ± 0.0147,0.4871 ± 0.0221,0.4671 ± 0.0181,0.7154 ± 0.0177,0.5429 ± 0.0176,0.5700 ± 0.0147,0.5500 ± 0.0163,0.7214 ± 0.0160
21,adaboost,mutual_info,0.4735 ± 0.0234,0.4696 ± 0.0240,0.5802 ± 0.0154,0.4929 ± 0.0249,0.4692 ± 0.0221,0.7250 ± 0.0201,0.5484 ± 0.0212,0.5802 ± 0.0154,0.5544 ± 0.0185,0.7374 ± 0.0195,0.5709 ± 0.0177,0.4902 ± 0.0244,0.4703 ± 0.0216,0.7116 ± 0.0169,0.5446 ± 0.0209,0.5709 ± 0.0177,0.5515 ± 0.0196,0.7186 ± 0.0148
22,adaboost,spearman_sulov,0.4700 ± 0.0201,0.4832 ± 0.0201,0.5875 ± 0.0175,0.5079 ± 0.0244,0.4812 ± 0.0187,0.7319 ± 0.0172,0.5597 ± 0.0178,0.5875 ± 0.0175,0.5642 ± 0.0168,0.7420 ± 0.0174,0.5700 ± 0.0147,0.4871 ± 0.0221,0.4671 ± 0.0181,0.7154 ± 0.0177,0.5429 ± 0.0176,0.5700 ± 0.0147,0.5500 ± 0.0163,0.7214 ± 0.0160
23,adaboost,chi2,0.4509 ± 0.0237,0.4380 ± 0.0172,0.5564 ± 0.0199,0.4536 ± 0.0205,0.4409 ± 0.0161,0.7040 ± 0.0209,0.5214 ± 0.0174,0.5564 ± 0.0199,0.5303 ± 0.0168,0.7215 ± 0.0213,0.5553 ± 0.0150,0.4648 ± 0.0254,0.4500 ± 0.0211,0.6935 ± 0.0081,0.5250 ± 0.0204,0.5553 ± 0.0150,0.5342 ± 0.0182,0.7045 ± 0.0074
24,adaboost,chi2_mi_union_topk,0.4762 ± 0.0237,0.4904 ± 0.0205,0.5908 ± 0.0165,0.5150 ± 0.0249,0.4866 ± 0.0186,0.7278 ± 0.0203,0.5652 ± 0.0171,0.5908 ± 0.0165,0.5691 ± 0.0158,0.7374 ± 0.0194,0.5739 ± 0.0157,0.4925 ± 0.0260,0.4729 ± 0.0209,0.7174 ± 0.0172,0.5478 ± 0.0200,0.5739 ± 0.0157,0.5547 ± 0.0179,0.7226 ± 0.0150
25,svm,spearman_corr,0.4645 ± 0.0255,0.4732 ± 0.0271,0.5923 ± 0.0209,0.5041 ± 0.0323,0.4754 ± 0.0240,0.7538 ± 0.0173,0.5580 ± 0.0254,0.5923 ± 0.0209,0.5623 ± 0.0206,0.7601 ± 0.0191,0.5783 ± 0.0169,0.4915 ± 0.0283,0.4639 ± 0.0210,0.7442 ± 0.0133,0.5447 ± 0.0220,0.5783 ± 0.0169,0.5507 ± 0.0198,0.7474 ± 0.0121
26,svm,mutual_info,0.4614 ± 0.0245,0.4790 ± 0.0276,0.5941 ± 0.0209,0.5091 ± 0.0294,0.4795 ± 0.0245,0.7499 ± 0.0208,0.5619 ± 0.0239,0.5941 ± 0.0209,0.5660 ± 0.0212,0.7570 ± 0.0218,0.5764 ± 0.0160,0.4857 ± 0.0263,0.4613 ± 0.0203,0.7411 ± 0.0133,0.5422 ± 0.0211,0.5764 ± 0.0160,0.5491 ± 0.0192,0.7455 ± 0.0126
27,svm,spearman_sulov,0.4645 ± 0.0255,0.4732 ± 0.0271,0.5923 ± 0.0209,0.5041 ± 0.0323,0.4754 ± 0.0240,0.7538 ± 0.0173,0.5580 ± 0.0254,0.5923 ± 0.0209,0.5623 ± 0.0206,0.7601 ± 0.0191,0.5783 ± 0.0169,0.4915 ± 0.0283,0.4639 ± 0.0210,0.7442 ± 0.0133,0.5447 ± 0.0220,0.5783 ± 0.0169,0.5507 ± 0.0198,0.7474 ± 0.0122
28,svm,chi2,0.4346 ± 0.0211,0.4442 ± 0.0247,0.5846 ± 0.0212,0.4793 ± 0.0369,0.4549 ± 0.0219,0.7184 ± 0.0176,0.5397 ± 0.0269,0.5846 ± 0.0212,0.5453 ± 0.0205,0.7325 ± 0.0196,0.5697 ± 0.0148,0.4618 ± 0.0252,0.4430 ± 0.0180,0.7068 ± 0.0136,0.5249 ± 0.0192,0.5697 ± 0.0148,0.5339 ± 0.0172,0.7179 ± 0.0144
29,svm,chi2_mi_union_topk,0.4666 ± 0.0240,0.4778 ± 0.0254,0.5934 ± 0.0188,0.5061 ± 0.0270,0.4784 ± 0.0221,0.7505 ± 0.0178,0.5601 ± 0.0225,0.5934 ± 0.0188,0.5652 ± 0.0194,0.7572 ± 0.0195,0.5797 ± 0.0159,0.4921 ± 0.0257,0.4656 ± 0.0202,0.7431 ± 0.0137,0.5463 ± 0.0204,0.5797 ± 0.0159,0.5528 ± 0.0188,0.7465 ± 0.0127
30,logistic_regression,spearman_corr,0.5041 ± 0.0146,0.5100 ± 0.0287,0.5714 ± 0.0188,0.5105 ± 0.0281,0.5148 ± 0.0323,0.7081 ± 0.0186,0.5834 ± 0.0252,0.5714 ± 0.0188,0.5754 ± 0.0204,0.7224 ± 0.0178,0.5599 ± 0.0136,0.5026 ± 0.0141,0.5088 ± 0.0150,0.6896 ± 0.0203,0.5731 ± 0.0115,0.5599 ± 0.0136,0.5653 ± 0.0126,0.7001 ± 0.0168
31,logistic_regression,mutual_info,0.5047 ± 0.0185,0.5253 ± 0.0300,0.5857 ± 0.0212,0.5256 ± 0.0292,0.5311 ± 0.0324,0.7150 ± 0.0222,0.5974 ± 0.0256,0.5857 ± 0.0212,0.5892 ± 0.0224,0.7295 ± 0.0202,0.5621 ± 0.0159,0.5034 ± 0.0177,0.5091 ± 0.0193,0.6974 ± 0.0175,0.5745 ± 0.0136,0.5621 ± 0.0159,0.5672 ± 0.0148,0.7077 ± 0.0147
32,logistic_regression,spearman_sulov,0.5041 ± 0.0146,0.5100 ± 0.0287,0.5714 ± 0.0188,0.5105 ± 0.0281,0.5148 ± 0.0323,0.7081 ± 0.0186,0.5834 ± 0.0252,0.5714 ± 0.0188,0.5754 ± 0.0204,0.7224 ± 0.0178,0.5599 ± 0.0136,0.5026 ± 0.0141,0.5088 ± 0.0150,0.6896 ± 0.0203,0.5731 ± 0.0115,0.5599 ± 0.0136,0.5653 ± 0.0126,0.7000 ± 0.0168
