,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4184 ± 0.0127,0.4199 ± 0.0179,0.4916 ± 0.0175,0.4205 ± 0.0174,0.4210 ± 0.0181,0.5641 ± 0.0124,0.4925 ± 0.0167,0.4916 ± 0.0175,0.4913 ± 0.0163,0.5760 ± 0.0137,0.4920 ± 0.0113,0.4186 ± 0.0125,0.4188 ± 0.0132,0.5620 ± 0.0116,0.4926 ± 0.0128,0.4920 ± 0.0113,0.4920 ± 0.0117,0.5749 ± 0.0137
1,decision_tree,mutual_info,0.4051 ± 0.0207,0.4065 ± 0.0355,0.4828 ± 0.0337,0.4074 ± 0.0351,0.4068 ± 0.0357,0.5560 ± 0.0259,0.4840 ± 0.0297,0.4828 ± 0.0337,0.4828 ± 0.0313,0.5716 ± 0.0260,0.4822 ± 0.0172,0.4053 ± 0.0209,0.4055 ± 0.0207,0.5532 ± 0.0180,0.4827 ± 0.0178,0.4822 ± 0.0172,0.4822 ± 0.0172,0.5679 ± 0.0177
2,decision_tree,spearman_sulov,0.4176 ± 0.0243,0.4147 ± 0.0262,0.4916 ± 0.0183,0.4157 ± 0.0255,0.4163 ± 0.0267,0.5638 ± 0.0235,0.4936 ± 0.0245,0.4916 ± 0.0183,0.4914 ± 0.0206,0.5807 ± 0.0251,0.4918 ± 0.0210,0.4180 ± 0.0241,0.4181 ± 0.0245,0.5619 ± 0.0205,0.4935 ± 0.0223,0.4918 ± 0.0210,0.4923 ± 0.0213,0.5758 ± 0.0210
3,decision_tree,chi2,0.4031 ± 0.0135,0.3993 ± 0.0396,0.4799 ± 0.0333,0.4003 ± 0.0398,0.4003 ± 0.0394,0.5515 ± 0.0288,0.4811 ± 0.0363,0.4799 ± 0.0333,0.4796 ± 0.0344,0.5692 ± 0.0292,0.4836 ± 0.0124,0.4033 ± 0.0135,0.4032 ± 0.0136,0.5515 ± 0.0128,0.4827 ± 0.0114,0.4836 ± 0.0124,0.4830 ± 0.0115,0.5679 ± 0.0140
4,decision_tree,chi2_mi_union_topk,0.4062 ± 0.0223,0.4099 ± 0.0265,0.4912 ± 0.0322,0.4116 ± 0.0258,0.4102 ± 0.0269,0.5587 ± 0.0207,0.4878 ± 0.0262,0.4912 ± 0.0322,0.4885 ± 0.0289,0.5749 ± 0.0257,0.4808 ± 0.0206,0.4064 ± 0.0222,0.4065 ± 0.0225,0.5529 ± 0.0170,0.4848 ± 0.0217,0.4808 ± 0.0206,0.4826 ± 0.0210,0.5682 ± 0.0181
5,random_forest,spearman_corr,0.4194 ± 0.0135,0.4266 ± 0.0173,0.5722 ± 0.0166,0.4532 ± 0.0453,0.4462 ± 0.0174,0.6984 ± 0.0168,0.5257 ± 0.0264,0.5722 ± 0.0166,0.5336 ± 0.0137,0.7203 ± 0.0169,0.5624 ± 0.0103,0.4370 ± 0.0207,0.4364 ± 0.0107,0.6904 ± 0.0079,0.5122 ± 0.0138,0.5624 ± 0.0103,0.5253 ± 0.0104,0.7105 ± 0.0086
6,random_forest,mutual_info,0.4192 ± 0.0218,0.4197 ± 0.0196,0.5623 ± 0.0147,0.4353 ± 0.0303,0.4379 ± 0.0162,0.6954 ± 0.0106,0.5134 ± 0.0224,0.5623 ± 0.0147,0.5263 ± 0.0157,0.7174 ± 0.0113,0.5574 ± 0.0152,0.4386 ± 0.0316,0.4328 ± 0.0184,0.6884 ± 0.0091,0.5110 ± 0.0221,0.5574 ± 0.0152,0.5226 ± 0.0182,0.7090 ± 0.0100
7,random_forest,spearman_sulov,0.4175 ± 0.0200,0.4259 ± 0.0185,0.5758 ± 0.0148,0.4446 ± 0.0293,0.4488 ± 0.0160,0.7036 ± 0.0162,0.5220 ± 0.0215,0.5758 ± 0.0148,0.5347 ± 0.0145,0.7249 ± 0.0169,0.5590 ± 0.0123,0.4382 ± 0.0343,0.4327 ± 0.0176,0.6904 ± 0.0124,0.5117 ± 0.0216,0.5590 ± 0.0123,0.5230 ± 0.0151,0.7102 ± 0.0107
8,random_forest,chi2,0.4225 ± 0.0163,0.4333 ± 0.0232,0.5755 ± 0.0194,0.4601 ± 0.0407,0.4503 ± 0.0207,0.6978 ± 0.0182,0.5292 ± 0.0284,0.5755 ± 0.0194,0.5375 ± 0.0195,0.7207 ± 0.0178,0.5623 ± 0.0127,0.4432 ± 0.0201,0.4378 ± 0.0148,0.6885 ± 0.0137,0.5156 ± 0.0147,0.5623 ± 0.0127,0.5266 ± 0.0140,0.7091 ± 0.0131
9,random_forest,chi2_mi_union_topk,0.4279 ± 0.0188,0.4267 ± 0.0262,0.5707 ± 0.0185,0.4396 ± 0.0346,0.4461 ± 0.0220,0.6956 ± 0.0120,0.5189 ± 0.0259,0.5707 ± 0.0185,0.5336 ± 0.0204,0.7174 ± 0.0134,0.5629 ± 0.0162,0.4473 ± 0.0233,0.4406 ± 0.0176,0.6881 ± 0.0128,0.5191 ± 0.0187,0.5629 ± 0.0162,0.5300 ± 0.0168,0.7088 ± 0.0138
10,extra_trees,spearman_corr,0.4365 ± 0.0140,0.4278 ± 0.0262,0.5637 ± 0.0219,0.4441 ± 0.0403,0.4441 ± 0.0221,0.6830 ± 0.0153,0.5210 ± 0.0268,0.5637 ± 0.0219,0.5315 ± 0.0206,0.7067 ± 0.0177,0.5588 ± 0.0125,0.4569 ± 0.0213,0.4472 ± 0.0127,0.6853 ± 0.0127,0.5278 ± 0.0141,0.5588 ± 0.0125,0.5334 ± 0.0122,0.7040 ± 0.0147
