,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.4173 ± 0.0254,0.3940 ± 0.0342,0.4736 ± 0.0363,0.3945 ± 0.0343,0.3963 ± 0.0335,0.5538 ± 0.0254,0.4674 ± 0.0311,0.4736 ± 0.0363,0.4692 ± 0.0335,0.5669 ± 0.0264,0.4925 ± 0.0202,0.4177 ± 0.0253,0.4177 ± 0.0255,0.5705 ± 0.0174,0.4912 ± 0.0189,0.4925 ± 0.0202,0.4915 ± 0.0193,0.5851 ± 0.0142
1,decision_tree,mutual_info,0.4290 ± 0.0168,0.4157 ± 0.0333,0.4916 ± 0.0308,0.4171 ± 0.0336,0.4170 ± 0.0336,0.5697 ± 0.0254,0.4899 ± 0.0312,0.4916 ± 0.0308,0.4897 ± 0.0303,0.5838 ± 0.0262,0.5003 ± 0.0172,0.4289 ± 0.0165,0.4297 ± 0.0170,0.5798 ± 0.0134,0.5034 ± 0.0173,0.5003 ± 0.0172,0.5017 ± 0.0172,0.5952 ± 0.0165
2,decision_tree,spearman_sulov,0.4247 ± 0.0283,0.4120 ± 0.0258,0.4828 ± 0.0252,0.4129 ± 0.0252,0.4134 ± 0.0266,0.5665 ± 0.0191,0.4849 ± 0.0218,0.4828 ± 0.0252,0.4829 ± 0.0229,0.5794 ± 0.0184,0.4947 ± 0.0244,0.4248 ± 0.0281,0.4255 ± 0.0287,0.5764 ± 0.0206,0.4994 ± 0.0232,0.4947 ± 0.0244,0.4967 ± 0.0236,0.5911 ± 0.0190
3,decision_tree,chi2,0.4143 ± 0.0141,0.4092 ± 0.0249,0.4810 ± 0.0300,0.4102 ± 0.0250,0.4097 ± 0.0245,0.5628 ± 0.0186,0.4815 ± 0.0250,0.4810 ± 0.0300,0.4806 ± 0.0274,0.5756 ± 0.0219,0.4906 ± 0.0151,0.4148 ± 0.0144,0.4146 ± 0.0135,0.5668 ± 0.0085,0.4916 ± 0.0102,0.4906 ± 0.0151,0.4908 ± 0.0127,0.5828 ± 0.0082
4,decision_tree,chi2_mi_union_topk,0.4123 ± 0.0170,0.4326 ± 0.0354,0.5040 ± 0.0313,0.4338 ± 0.0354,0.4330 ± 0.0354,0.5787 ± 0.0231,0.5076 ± 0.0272,0.5040 ± 0.0313,0.5051 ± 0.0289,0.5941 ± 0.0201,0.4869 ± 0.0163,0.4126 ± 0.0170,0.4127 ± 0.0171,0.5644 ± 0.0134,0.4881 ± 0.0163,0.4869 ± 0.0163,0.4872 ± 0.0158,0.5794 ± 0.0146
5,random_forest,spearman_corr,0.4243 ± 0.0257,0.4336 ± 0.0203,0.5835 ± 0.0198,0.4612 ± 0.0357,0.4537 ± 0.0204,0.7304 ± 0.0142,0.5313 ± 0.0249,0.5835 ± 0.0198,0.5409 ± 0.0181,0.7471 ± 0.0161,0.5736 ± 0.0183,0.4519 ± 0.0402,0.4410 ± 0.0221,0.7198 ± 0.0127,0.5195 ± 0.0288,0.5736 ± 0.0183,0.5304 ± 0.0207,0.7338 ± 0.0123
6,random_forest,mutual_info,0.4261 ± 0.0274,0.4546 ± 0.0268,0.6004 ± 0.0220,0.4932 ± 0.0473,0.4747 ± 0.0250,0.7241 ± 0.0105,0.5565 ± 0.0331,0.6004 ± 0.0220,0.5594 ± 0.0228,0.7435 ± 0.0132,0.5780 ± 0.0201,0.4487 ± 0.0393,0.4451 ± 0.0230,0.7170 ± 0.0130,0.5207 ± 0.0292,0.5780 ± 0.0201,0.5343 ± 0.0232,0.7328 ± 0.0131
7,random_forest,spearman_sulov,0.4187 ± 0.0227,0.4343 ± 0.0265,0.5817 ± 0.0242,0.4746 ± 0.0629,0.4546 ± 0.0238,0.7258 ± 0.0173,0.5375 ± 0.0399,0.5817 ± 0.0242,0.5398 ± 0.0227,0.7417 ± 0.0195,0.5714 ± 0.0164,0.4365 ± 0.0306,0.4378 ± 0.0199,0.7220 ± 0.0120,0.5116 ± 0.0225,0.5714 ± 0.0164,0.5276 ± 0.0188,0.7354 ± 0.0126
8,random_forest,chi2,0.4327 ± 0.0243,0.4433 ± 0.0225,0.5886 ± 0.0209,0.4744 ± 0.0346,0.4617 ± 0.0199,0.7217 ± 0.0135,0.5405 ± 0.0246,0.5886 ± 0.0209,0.5477 ± 0.0191,0.7384 ± 0.0172,0.5811 ± 0.0142,0.4534 ± 0.0314,0.4501 ± 0.0193,0.7219 ± 0.0111,0.5261 ± 0.0227,0.5811 ± 0.0142,0.5398 ± 0.0181,0.7361 ± 0.0102
9,random_forest,chi2_mi_union_topk,0.4373 ± 0.0195,0.4543 ± 0.0258,0.5949 ± 0.0204,0.4841 ± 0.0458,0.4717 ± 0.0232,0.7208 ± 0.0170,0.5500 ± 0.0299,0.5949 ± 0.0204,0.5568 ± 0.0196,0.7376 ± 0.0177,0.5778 ± 0.0157,0.4610 ± 0.0310,0.4516 ± 0.0167,0.7183 ± 0.0143,0.5289 ± 0.0223,0.5778 ± 0.0157,0.5398 ± 0.0169,0.7315 ± 0.0141
10,extra_trees,spearman_corr,0.4433 ± 0.0253,0.4526 ± 0.0267,0.5908 ± 0.0247,0.4860 ± 0.0400,0.4700 ± 0.0241,0.7271 ± 0.0193,0.5509 ± 0.0275,0.5908 ± 0.0247,0.5545 ± 0.0220,0.7422 ± 0.0190,0.5796 ± 0.0199,0.4655 ± 0.0347,0.4605 ± 0.0216,0.7185 ± 0.0141,0.5367 ± 0.0255,0.5796 ± 0.0199,0.5454 ± 0.0213,0.7319 ± 0.0144
11,extra_trees,mutual_info,0.4463 ± 0.0201,0.4416 ± 0.0269,0.5839 ± 0.0171,0.4619 ± 0.0405,0.4615 ± 0.0216,0.7177 ± 0.0182,0.5372 ± 0.0282,0.5839 ± 0.0171,0.5473 ± 0.0195,0.7349 ± 0.0196,0.5830 ± 0.0180,0.4703 ± 0.0262,0.4652 ± 0.0188,0.7120 ± 0.0143,0.5424 ± 0.0201,0.5830 ± 0.0180,0.5492 ± 0.0183,0.7288 ± 0.0148
12,extra_trees,spearman_sulov,0.4515 ± 0.0169,0.4471 ± 0.0322,0.5908 ± 0.0230,0.4740 ± 0.0635,0.4669 ± 0.0261,0.7263 ± 0.0223,0.5450 ± 0.0403,0.5908 ± 0.0230,0.5525 ± 0.0239,0.7418 ± 0.0232,0.5855 ± 0.0117,0.4762 ± 0.0235,0.4673 ± 0.0130,0.7204 ± 0.0101,0.5455 ± 0.0167,0.5855 ± 0.0117,0.5526 ± 0.0132,0.7345 ± 0.0103
13,extra_trees,chi2,0.4491 ± 0.0222,0.4534 ± 0.0279,0.5923 ± 0.0262,0.4908 ± 0.0607,0.4718 ± 0.0262,0.7163 ± 0.0192,0.5560 ± 0.0388,0.5923 ± 0.0262,0.5566 ± 0.0255,0.7337 ± 0.0209,0.5829 ± 0.0161,0.4707 ± 0.0327,0.4655 ± 0.0183,0.7132 ± 0.0131,0.5419 ± 0.0225,0.5829 ± 0.0161,0.5501 ± 0.0176,0.7297 ± 0.0134
14,extra_trees,chi2_mi_union_topk,0.4515 ± 0.0241,0.4503 ± 0.0343,0.5839 ± 0.0253,0.4690 ± 0.0421,0.4682 ± 0.0302,0.7177 ± 0.0190,0.5427 ± 0.0336,0.5839 ± 0.0253,0.5514 ± 0.0285,0.7340 ± 0.0172,0.5835 ± 0.0173,0.4693 ± 0.0321,0.4666 ± 0.0204,0.7121 ± 0.0142,0.5428 ± 0.0239,0.5835 ± 0.0173,0.5525 ± 0.0194,0.7291 ± 0.0131
15,xgboost,spearman_corr,0.4532 ± 0.0238,0.4509 ± 0.0220,0.5656 ± 0.0223,0.4598 ± 0.0265,0.4551 ± 0.0196,0.7058 ± 0.0186,0.5321 ± 0.0206,0.5656 ± 0.0223,0.5437 ± 0.0198,0.7179 ± 0.0199,0.5582 ± 0.0168,0.4612 ± 0.0251,0.4546 ± 0.0214,0.7093 ± 0.0158,0.5305 ± 0.0215,0.5582 ± 0.0168,0.5405 ± 0.0196,0.7190 ± 0.0168
16,xgboost,mutual_info,0.4634 ± 0.0259,0.4727 ± 0.0154,0.5744 ± 0.0154,0.4867 ± 0.0166,0.4743 ± 0.0135,0.7067 ± 0.0172,0.5496 ± 0.0135,0.5744 ± 0.0154,0.5564 ± 0.0136,0.7178 ± 0.0165,0.5623 ± 0.0209,0.4705 ± 0.0281,0.4639 ± 0.0244,0.7041 ± 0.0158,0.5394 ± 0.0237,0.5623 ± 0.0209,0.5479 ± 0.0222,0.7146 ± 0.0161
17,xgboost,spearman_sulov,0.4571 ± 0.0305,0.4561 ± 0.0249,0.5685 ± 0.0208,0.4672 ± 0.0281,0.4595 ± 0.0217,0.7066 ± 0.0140,0.5362 ± 0.0232,0.5685 ± 0.0208,0.5467 ± 0.0209,0.7191 ± 0.0163,0.5602 ± 0.0224,0.4661 ± 0.0334,0.4580 ± 0.0270,0.7100 ± 0.0165,0.5341 ± 0.0266,0.5602 ± 0.0224,0.5433 ± 0.0247,0.7204 ± 0.0173
18,xgboost,chi2,0.4659 ± 0.0206,0.4637 ± 0.0175,0.5612 ± 0.0191,0.4729 ± 0.0202,0.4648 ± 0.0164,0.7097 ± 0.0167,0.5389 ± 0.0174,0.5612 ± 0.0191,0.5463 ± 0.0173,0.7169 ± 0.0197,0.5588 ± 0.0159,0.4723 ± 0.0229,0.4655 ± 0.0190,0.7055 ± 0.0181,0.5393 ± 0.0173,0.5588 ± 0.0159,0.5468 ± 0.0163,0.7130 ± 0.0175
19,xgboost,chi2_mi_union_topk,0.4559 ± 0.0266,0.4655 ± 0.0420,0.5634 ± 0.0319,0.4729 ± 0.0426,0.4679 ± 0.0418,0.6955 ± 0.0252,0.5418 ± 0.0360,0.5634 ± 0.0319,0.5490 ± 0.0337,0.7074 ± 0.0226,0.5514 ± 0.0223,0.4605 ± 0.0271,0.4559 ± 0.0257,0.6955 ± 0.0186,0.5315 ± 0.0246,0.5514 ± 0.0223,0.5395 ± 0.0237,0.7054 ± 0.0185
20,adaboost,spearman_corr,0.4427 ± 0.0232,0.4560 ± 0.0200,0.5678 ± 0.0206,0.4754 ± 0.0341,0.4576 ± 0.0175,0.7014 ± 0.0141,0.5382 ± 0.0223,0.5678 ± 0.0206,0.5452 ± 0.0173,0.7171 ± 0.0138,0.5542 ± 0.0142,0.4565 ± 0.0283,0.4451 ± 0.0197,0.6889 ± 0.0123,0.5238 ± 0.0189,0.5542 ± 0.0142,0.5331 ± 0.0161,0.7020 ± 0.0118
21,adaboost,mutual_info,0.4518 ± 0.0192,0.4410 ± 0.0232,0.5553 ± 0.0223,0.4570 ± 0.0293,0.4435 ± 0.0215,0.6964 ± 0.0144,0.5232 ± 0.0229,0.5553 ± 0.0223,0.5323 ± 0.0211,0.7142 ± 0.0147,0.5612 ± 0.0136,0.4658 ± 0.0209,0.4541 ± 0.0184,0.6938 ± 0.0148,0.5316 ± 0.0173,0.5612 ± 0.0136,0.5405 ± 0.0154,0.7060 ± 0.0139
22,adaboost,spearman_sulov,0.4529 ± 0.0229,0.4395 ± 0.0263,0.5542 ± 0.0192,0.4548 ± 0.0335,0.4415 ± 0.0228,0.6953 ± 0.0167,0.5213 ± 0.0223,0.5542 ± 0.0192,0.5309 ± 0.0191,0.7122 ± 0.0169,0.5590 ± 0.0146,0.4672 ± 0.0254,0.4536 ± 0.0202,0.6900 ± 0.0140,0.5312 ± 0.0185,0.5590 ± 0.0146,0.5395 ± 0.0169,0.7022 ± 0.0141
23,adaboost,chi2,0.4501 ± 0.0247,0.4615 ± 0.0336,0.5711 ± 0.0235,0.4798 ± 0.0422,0.4634 ± 0.0284,0.7124 ± 0.0206,0.5429 ± 0.0286,0.5711 ± 0.0235,0.5497 ± 0.0249,0.7257 ± 0.0196,0.5604 ± 0.0154,0.4635 ± 0.0276,0.4519 ± 0.0217,0.6994 ± 0.0115,0.5299 ± 0.0208,0.5604 ± 0.0154,0.5394 ± 0.0184,0.7102 ± 0.0111
24,adaboost,chi2_mi_union_topk,0.4632 ± 0.0160,0.4491 ± 0.0256,0.5685 ± 0.0174,0.4658 ± 0.0328,0.4540 ± 0.0227,0.7004 ± 0.0185,0.5341 ± 0.0218,0.5685 ± 0.0174,0.5431 ± 0.0188,0.7182 ± 0.0161,0.5697 ± 0.0116,0.4776 ± 0.0179,0.4637 ± 0.0141,0.6996 ± 0.0180,0.5409 ± 0.0144,0.5697 ± 0.0116,0.5496 ± 0.0130,0.7116 ± 0.0163
25,svm,spearman_corr,0.4256 ± 0.0162,0.4281 ± 0.0209,0.5872 ± 0.0240,0.4543 ± 0.0598,0.4569 ± 0.0233,0.7290 ± 0.0187,0.5282 ± 0.0381,0.5872 ± 0.0240,0.5392 ± 0.0204,0.7429 ± 0.0198,0.5825 ± 0.0121,0.4385 ± 0.0332,0.4525 ± 0.0123,0.7228 ± 0.0122,0.5179 ± 0.0209,0.5825 ± 0.0121,0.5362 ± 0.0137,0.7334 ± 0.0131
26,svm,mutual_info,0.4274 ± 0.0214,0.4233 ± 0.0184,0.5919 ± 0.0224,0.4174 ± 0.0390,0.4592 ± 0.0203,0.7260 ± 0.0206,0.5101 ± 0.0239,0.5919 ± 0.0224,0.5396 ± 0.0184,0.7417 ± 0.0214,0.5884 ± 0.0159,0.4475 ± 0.0426,0.4571 ± 0.0176,0.7172 ± 0.0123,0.5242 ± 0.0277,0.5884 ± 0.0159,0.5393 ± 0.0181,0.7304 ± 0.0128
27,svm,spearman_sulov,0.4227 ± 0.0189,0.4238 ± 0.0137,0.5901 ± 0.0202,0.4184 ± 0.0261,0.4577 ± 0.0155,0.7292 ± 0.0194,0.5103 ± 0.0161,0.5901 ± 0.0202,0.5392 ± 0.0149,0.7439 ± 0.0206,0.5819 ± 0.0143,0.4340 ± 0.0396,0.4511 ± 0.0149,0.7229 ± 0.0095,0.5147 ± 0.0255,0.5819 ± 0.0143,0.5343 ± 0.0159,0.7343 ± 0.0107
28,svm,chi2,0.4283 ± 0.0168,0.4264 ± 0.0194,0.5960 ± 0.0236,0.4377 ± 0.0496,0.4615 ± 0.0218,0.7289 ± 0.0222,0.5211 ± 0.0303,0.5960 ± 0.0236,0.5421 ± 0.0195,0.7441 ± 0.0232,0.5929 ± 0.0130,0.4519 ± 0.0299,0.4594 ± 0.0132,0.7230 ± 0.0120,0.5275 ± 0.0200,0.5929 ± 0.0130,0.5417 ± 0.0144,0.7354 ± 0.0124
29,svm,chi2_mi_union_topk,0.4313 ± 0.0170,0.4502 ± 0.0237,0.6015 ± 0.0217,0.4876 ± 0.0590,0.4724 ± 0.0228,0.7247 ± 0.0197,0.5518 ± 0.0373,0.6015 ± 0.0217,0.5567 ± 0.0199,0.7406 ± 0.0205,0.5884 ± 0.0108,0.4526 ± 0.0293,0.4559 ± 0.0119,0.7178 ± 0.0139,0.5269 ± 0.0182,0.5884 ± 0.0108,0.5416 ± 0.0132,0.7304 ± 0.0136
30,logistic_regression,spearman_corr,0.4845 ± 0.0170,0.5043 ± 0.0198,0.5667 ± 0.0187,0.5048 ± 0.0203,0.5076 ± 0.0211,0.6780 ± 0.0156,0.5766 ± 0.0197,0.5667 ± 0.0187,0.5701 ± 0.0178,0.6944 ± 0.0180,0.5437 ± 0.0171,0.4843 ± 0.0168,0.4876 ± 0.0173,0.6623 ± 0.0190,0.5589 ± 0.0170,0.5437 ± 0.0171,0.5503 ± 0.0170,0.6785 ± 0.0189
31,logistic_regression,mutual_info,0.4928 ± 0.0166,0.5017 ± 0.0267,0.5659 ± 0.0234,0.5025 ± 0.0265,0.5044 ± 0.0282,0.6773 ± 0.0208,0.5747 ± 0.0258,0.5659 ± 0.0234,0.5690 ± 0.0238,0.6940 ± 0.0224,0.5519 ± 0.0148,0.4923 ± 0.0164,0.4961 ± 0.0171,0.6645 ± 0.0174,0.5673 ± 0.0150,0.5519 ± 0.0148,0.5584 ± 0.0147,0.6815 ± 0.0149
32,logistic_regression,spearman_sulov,0.4864 ± 0.0160,0.5040 ± 0.0318,0.5659 ± 0.0307,0.5048 ± 0.0327,0.5071 ± 0.0325,0.6742 ± 0.0177,0.5762 ± 0.0293,0.5659 ± 0.0307,0.5695 ± 0.0291,0.6908 ± 0.0214,0.5458 ± 0.0158,0.4862 ± 0.0157,0.4895 ± 0.0164,0.6602 ± 0.0155,0.5615 ± 0.0153,0.5458 ± 0.0158,0.5525 ± 0.0154,0.6759 ± 0.0156
33,logistic_regression,chi2,0.4952 ± 0.0156,0.5024 ± 0.0226,0.5663 ± 0.0253,0.5027 ± 0.0233,0.5055 ± 0.0229,0.6768 ± 0.0234,0.5736 ± 0.0239,0.5663 ± 0.0253,0.5688 ± 0.0241,0.6952 ± 0.0248,0.5516 ± 0.0164,0.4947 ± 0.0153,0.4997 ± 0.0158,0.6743 ± 0.0167,0.5701 ± 0.0156,0.5516 ± 0.0164,0.5593 ± 0.0161,0.6903 ± 0.0157
34,logistic_regression,chi2_mi_union_topk,0.4955 ± 0.0184,0.4999 ± 0.0250,0.5674 ± 0.0232,0.5011 ± 0.0256,0.5023 ± 0.0267,0.6850 ± 0.0223,0.5763 ± 0.0241,0.5674 ± 0.0232,0.5704 ± 0.0224,0.7052 ± 0.0215,0.5535 ± 0.0157,0.4952 ± 0.0181,0.4999 ± 0.0195,0.6818 ± 0.0159,0.5719 ± 0.0165,0.5535 ± 0.0157,0.5611 ± 0.0158,0.6991 ± 0.0140
35,knn,spearman_corr,0.4045 ± 0.0122,0.3912 ± 0.0256,0.5418 ± 0.0173,0.4231 ± 0.0269,0.4060 ± 0.0216,0.6560 ± 0.0206,0.4887 ± 0.0214,0.5418 ± 0.0173,0.4912 ± 0.0201,0.6799 ± 0.0210,0.5450 ± 0.0093,0.4452 ± 0.0184,0.4154 ± 0.0104,0.6593 ± 0.0111,0.5044 ± 0.0152,0.5450 ± 0.0093,0.4988 ± 0.0104,0.6779 ± 0.0111
36,knn,mutual_info,0.4063 ± 0.0175,0.4067 ± 0.0310,0.5524 ± 0.0211,0.4381 ± 0.0313,0.4188 ± 0.0268,0.6566 ± 0.0259,0.5078 ± 0.0261,0.5524 ± 0.0211,0.5081 ± 0.0248,0.6832 ± 0.0268,0.5481 ± 0.0118,0.4410 ± 0.0223,0.4165 ± 0.0141,0.6486 ± 0.0137,0.5066 ± 0.0197,0.5481 ± 0.0118,0.5045 ± 0.0156,0.6713 ± 0.0139
37,knn,spearman_sulov,0.4010 ± 0.0137,0.4131 ± 0.0210,0.5546 ± 0.0159,0.4474 ± 0.0228,0.4231 ± 0.0166,0.6594 ± 0.0210,0.5114 ± 0.0193,0.5546 ± 0.0159,0.5105 ± 0.0180,0.6842 ± 0.0213,0.5453 ± 0.0133,0.4391 ± 0.0172,0.4124 ± 0.0115,0.6567 ± 0.0083,0.5025 ± 0.0145,0.5453 ± 0.0133,0.4989 ± 0.0130,0.6769 ± 0.0085
38,knn,chi2,0.4094 ± 0.0131,0.4065 ± 0.0319,0.5535 ± 0.0229,0.4456 ± 0.0414,0.4175 ± 0.0240,0.6606 ± 0.0285,0.5080 ± 0.0348,0.5535 ± 0.0229,0.5054 ± 0.0280,0.6856 ± 0.0298,0.5516 ± 0.0078,0.4527 ± 0.0195,0.4189 ± 0.0105,0.6598 ± 0.0103,0.5133 ± 0.0154,0.5516 ± 0.0078,0.5059 ± 0.0103,0.6817 ± 0.0117
39,knn,chi2_mi_union_topk,0.4150 ± 0.0185,0.4151 ± 0.0351,0.5538 ± 0.0218,0.4489 ± 0.0374,0.4241 ± 0.0283,0.6619 ± 0.0276,0.5111 ± 0.0311,0.5538 ± 0.0218,0.5109 ± 0.0284,0.6859 ± 0.0272,0.5511 ± 0.0120,0.4493 ± 0.0210,0.4233 ± 0.0162,0.6590 ± 0.0115,0.5119 ± 0.0183,0.5511 ± 0.0120,0.5100 ± 0.0152,0.6806 ± 0.0122
40,gaussian_nb,spearman_corr,0.4315 ± 0.0265,0.4344 ± 0.0253,0.5330 ± 0.0260,0.4744 ± 0.0389,0.4582 ± 0.0302,0.6958 ± 0.0230,0.5568 ± 0.0323,0.5330 ± 0.0260,0.5207 ± 0.0226,0.7133 ± 0.0211,0.5214 ± 0.0167,0.4600 ± 0.0225,0.4539 ± 0.0202,0.6755 ± 0.0101,0.5448 ± 0.0202,0.5214 ± 0.0167,0.5146 ± 0.0215,0.6950 ± 0.0106
41,gaussian_nb,mutual_info,0.4572 ± 0.0105,0.4633 ± 0.0271,0.5615 ± 0.0220,0.4843 ± 0.0320,0.4739 ± 0.0259,0.7015 ± 0.0202,0.5636 ± 0.0246,0.5615 ± 0.0220,0.5499 ± 0.0222,0.7183 ± 0.0190,0.5442 ± 0.0108,0.4742 ± 0.0112,0.4678 ± 0.0088,0.6842 ± 0.0092,0.5580 ± 0.0100,0.5442 ± 0.0108,0.5411 ± 0.0098,0.7024 ± 0.0094
42,gaussian_nb,spearman_sulov,0.4296 ± 0.0299,0.4264 ± 0.0228,0.5304 ± 0.0243,0.4675 ± 0.0358,0.4577 ± 0.0215,0.6969 ± 0.0195,0.5508 ± 0.0309,0.5304 ± 0.0243,0.5132 ± 0.0225,0.7148 ± 0.0194,0.5220 ± 0.0188,0.4657 ± 0.0234,0.4589 ± 0.0196,0.6813 ± 0.0104,0.5501 ± 0.0215,0.5220 ± 0.0188,0.5122 ± 0.0256,0.7000 ± 0.0108
43,gaussian_nb,chi2,0.4534 ± 0.0119,0.4536 ± 0.0309,0.5557 ± 0.0306,0.4725 ± 0.0337,0.4635 ± 0.0264,0.7044 ± 0.0208,0.5524 ± 0.0283,0.5557 ± 0.0306,0.5424 ± 0.0293,0.7184 ± 0.0215,0.5436 ± 0.0071,0.4672 ± 0.0097,0.4607 ± 0.0072,0.6858 ± 0.0080,0.5481 ± 0.0088,0.5436 ± 0.0071,0.5378 ± 0.0102,0.7008 ± 0.0077
44,gaussian_nb,chi2_mi_union_topk,0.4789 ± 0.0170,0.4805 ± 0.0259,0.5806 ± 0.0210,0.4907 ± 0.0176,0.4852 ± 0.0188,0.7183 ± 0.0172,0.5723 ± 0.0121,0.5806 ± 0.0210,0.5705 ± 0.0211,0.7325 ± 0.0180,0.5656 ± 0.0129,0.4849 ± 0.0163,0.4806 ± 0.0161,0.7020 ± 0.0107,0.5623 ± 0.0145,0.5656 ± 0.0129,0.5609 ± 0.0146,0.7167 ± 0.0111
