,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
17,xgboost,spearman_sulov,0.4237 ± 0.0187,0.4164 ± 0.0179,0.5421 ± 0.0183,0.4197 ± 0.0188,0.4250 ± 0.0166,0.6791 ± 0.0141,0.5031 ± 0.0166,0.5421 ± 0.0183,0.5178 ± 0.0164,0.7025 ± 0.0159,0.5415 ± 0.0115,0.4289 ± 0.0227,0.4292 ± 0.0161,0.6836 ± 0.0133,0.5083 ± 0.0155,0.5415 ± 0.0115,0.5207 ± 0.0134,0.7039 ± 0.0129
18,xgboost,chi2,0.4201 ± 0.0263,0.4288 ± 0.0222,0.5429 ± 0.0216,0.4349 ± 0.0256,0.4348 ± 0.0201,0.6667 ± 0.0221,0.5139 ± 0.0216,0.5429 ± 0.0216,0.5239 ± 0.0201,0.6871 ± 0.0226,0.5261 ± 0.0190,0.4231 ± 0.0276,0.4236 ± 0.0238,0.6633 ± 0.0155,0.5008 ± 0.0232,0.5261 ± 0.0190,0.5110 ± 0.0214,0.6804 ± 0.0158
19,xgboost,chi2_mi_union_topk,0.4277 ± 0.0167,0.4200 ± 0.0151,0.5355 ± 0.0203,0.4264 ± 0.0204,0.4264 ± 0.0170,0.6544 ± 0.0171,0.5055 ± 0.0167,0.5355 ± 0.0203,0.5157 ± 0.0158,0.6765 ± 0.0204,0.5321 ± 0.0140,0.4315 ± 0.0180,0.4307 ± 0.0157,0.6573 ± 0.0113,0.5096 ± 0.0161,0.5321 ± 0.0140,0.5184 ± 0.0150,0.6762 ± 0.0125
20,adaboost,spearman_corr,0.4417 ± 0.0184,0.4482 ± 0.0270,0.5700 ± 0.0162,0.4615 ± 0.0287,0.4588 ± 0.0219,0.6946 ± 0.0121,0.5383 ± 0.0198,0.5700 ± 0.0162,0.5463 ± 0.0180,0.7186 ± 0.0100,0.5516 ± 0.0153,0.4518 ± 0.0240,0.4466 ± 0.0164,0.6813 ± 0.0158,0.5270 ± 0.0168,0.5516 ± 0.0153,0.5344 ± 0.0149,0.7022 ± 0.0141
21,adaboost,mutual_info,0.4375 ± 0.0132,0.4349 ± 0.0265,0.5612 ± 0.0194,0.4490 ± 0.0403,0.4453 ± 0.0248,0.6885 ± 0.0168,0.5258 ± 0.0283,0.5612 ± 0.0194,0.5350 ± 0.0202,0.7136 ± 0.0147,0.5520 ± 0.0106,0.4463 ± 0.0171,0.4439 ± 0.0114,0.6844 ± 0.0131,0.5238 ± 0.0116,0.5520 ± 0.0106,0.5329 ± 0.0098,0.7051 ± 0.0125
22,adaboost,spearman_sulov,0.4417 ± 0.0173,0.4551 ± 0.0258,0.5736 ± 0.0210,0.4736 ± 0.0367,0.4618 ± 0.0229,0.6920 ± 0.0180,0.5451 ± 0.0241,0.5736 ± 0.0210,0.5508 ± 0.0191,0.7175 ± 0.0140,0.5575 ± 0.0109,0.4504 ± 0.0211,0.4491 ± 0.0150,0.6827 ± 0.0110,0.5282 ± 0.0148,0.5575 ± 0.0109,0.5376 ± 0.0122,0.7037 ± 0.0098
23,adaboost,chi2,0.4503 ± 0.0177,0.4482 ± 0.0293,0.5681 ± 0.0196,0.4690 ± 0.0342,0.4566 ± 0.0264,0.6974 ± 0.0214,0.5402 ± 0.0270,0.5681 ± 0.0196,0.5446 ± 0.0229,0.7186 ± 0.0193,0.5604 ± 0.0091,0.4604 ± 0.0211,0.4551 ± 0.0158,0.6915 ± 0.0117,0.5353 ± 0.0150,0.5604 ± 0.0091,0.5429 ± 0.0116,0.7111 ± 0.0104
24,adaboost,chi2_mi_union_topk,0.4424 ± 0.0177,0.4560 ± 0.0350,0.5747 ± 0.0250,0.4801 ± 0.0568,0.4641 ± 0.0322,0.7015 ± 0.0202,0.5490 ± 0.0376,0.5747 ± 0.0250,0.5514 ± 0.0271,0.7223 ± 0.0192,0.5585 ± 0.0146,0.4527 ± 0.0230,0.4497 ± 0.0175,0.6894 ± 0.0155,0.5299 ± 0.0178,0.5585 ± 0.0146,0.5384 ± 0.0143,0.7098 ± 0.0138
25,svm,spearman_corr,0.4086 ± 0.0131,0.4166 ± 0.0217,0.5857 ± 0.0200,0.4307 ± 0.0705,0.4543 ± 0.0213,0.7057 ± 0.0183,0.5167 ± 0.0448,0.5857 ± 0.0200,0.5340 ± 0.0190,0.7274 ± 0.0197,0.5778 ± 0.0056,0.4075 ± 0.0377,0.4463 ± 0.0074,0.6965 ± 0.0108,0.5003 ± 0.0224,0.5778 ± 0.0056,0.5262 ± 0.0089,0.7161 ± 0.0114
26,svm,mutual_info,0.4068 ± 0.0118,0.4133 ± 0.0201,0.5853 ± 0.0202,0.4664 ± 0.1332,0.4534 ± 0.0217,0.7024 ± 0.0209,0.5356 ± 0.0763,0.5853 ± 0.0202,0.5315 ± 0.0182,0.7238 ± 0.0214,0.5772 ± 0.0066,0.4088 ± 0.0471,0.4450 ± 0.0086,0.6930 ± 0.0120,0.5006 ± 0.0280,0.5772 ± 0.0066,0.5250 ± 0.0085,0.7122 ± 0.0124
