,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
20,adaboost,spearman_corr,0.4698 ± 0.0171,0.4776 ± 0.0243,0.5799 ± 0.0159,0.5014 ± 0.0279,0.4749 ± 0.0217,0.7266 ± 0.0108,0.5534 ± 0.0196,0.5799 ± 0.0159,0.5578 ± 0.0175,0.7378 ± 0.0123,0.5703 ± 0.0125,0.4891 ± 0.0182,0.4665 ± 0.0154,0.7084 ± 0.0141,0.5429 ± 0.0152,0.5703 ± 0.0125,0.5493 ± 0.0141,0.7160 ± 0.0124
21,adaboost,mutual_info,0.4704 ± 0.0179,0.4618 ± 0.0198,0.5729 ± 0.0125,0.4857 ± 0.0299,0.4608 ± 0.0166,0.7219 ± 0.0132,0.5415 ± 0.0168,0.5729 ± 0.0125,0.5473 ± 0.0130,0.7350 ± 0.0140,0.5700 ± 0.0146,0.4872 ± 0.0181,0.4674 ± 0.0170,0.7076 ± 0.0170,0.5430 ± 0.0173,0.5700 ± 0.0146,0.5502 ± 0.0166,0.7150 ± 0.0159
22,adaboost,spearman_sulov,0.4698 ± 0.0171,0.4776 ± 0.0243,0.5799 ± 0.0159,0.5014 ± 0.0279,0.4749 ± 0.0217,0.7266 ± 0.0108,0.5534 ± 0.0196,0.5799 ± 0.0159,0.5578 ± 0.0175,0.7378 ± 0.0123,0.5703 ± 0.0125,0.4891 ± 0.0182,0.4665 ± 0.0154,0.7084 ± 0.0141,0.5429 ± 0.0152,0.5703 ± 0.0125,0.5493 ± 0.0141,0.7160 ± 0.0124
23,adaboost,chi2,0.4542 ± 0.0195,0.4397 ± 0.0193,0.5590 ± 0.0195,0.4567 ± 0.0259,0.4418 ± 0.0176,0.7063 ± 0.0161,0.5220 ± 0.0183,0.5590 ± 0.0195,0.5316 ± 0.0165,0.7216 ± 0.0187,0.5588 ± 0.0124,0.4716 ± 0.0195,0.4527 ± 0.0177,0.6983 ± 0.0111,0.5283 ± 0.0164,0.5588 ± 0.0124,0.5367 ± 0.0151,0.7085 ± 0.0094
24,adaboost,chi2_mi_union_topk,0.4729 ± 0.0210,0.4792 ± 0.0286,0.5824 ± 0.0161,0.4967 ± 0.0306,0.4782 ± 0.0245,0.7288 ± 0.0196,0.5537 ± 0.0208,0.5824 ± 0.0161,0.5611 ± 0.0187,0.7396 ± 0.0174,0.5704 ± 0.0144,0.4900 ± 0.0239,0.4695 ± 0.0186,0.7117 ± 0.0158,0.5442 ± 0.0176,0.5704 ± 0.0144,0.5511 ± 0.0156,0.7183 ± 0.0140
25,svm,spearman_corr,0.4612 ± 0.0212,0.4806 ± 0.0310,0.5985 ± 0.0163,0.5179 ± 0.0357,0.4816 ± 0.0248,0.7532 ± 0.0139,0.5663 ± 0.0257,0.5985 ± 0.0163,0.5676 ± 0.0208,0.7593 ± 0.0166,0.5802 ± 0.0125,0.4919 ± 0.0233,0.4615 ± 0.0171,0.7396 ± 0.0133,0.5444 ± 0.0173,0.5802 ± 0.0125,0.5494 ± 0.0159,0.7424 ± 0.0124
26,svm,mutual_info,0.4617 ± 0.0187,0.4737 ± 0.0375,0.5916 ± 0.0232,0.5050 ± 0.0457,0.4747 ± 0.0308,0.7473 ± 0.0152,0.5577 ± 0.0336,0.5916 ± 0.0232,0.5618 ± 0.0269,0.7543 ± 0.0181,0.5770 ± 0.0106,0.4868 ± 0.0188,0.4614 ± 0.0155,0.7368 ± 0.0158,0.5425 ± 0.0152,0.5770 ± 0.0106,0.5490 ± 0.0143,0.7410 ± 0.0149
27,svm,spearman_sulov,0.4612 ± 0.0212,0.4806 ± 0.0310,0.5985 ± 0.0163,0.5179 ± 0.0357,0.4816 ± 0.0248,0.7532 ± 0.0139,0.5663 ± 0.0257,0.5985 ± 0.0163,0.5676 ± 0.0208,0.7593 ± 0.0166,0.5802 ± 0.0125,0.4919 ± 0.0233,0.4615 ± 0.0171,0.7396 ± 0.0133,0.5444 ± 0.0173,0.5802 ± 0.0125,0.5494 ± 0.0159,0.7424 ± 0.0124
28,svm,chi2,0.4457 ± 0.0161,0.4538 ± 0.0315,0.5861 ± 0.0211,0.4914 ± 0.0452,0.4605 ± 0.0259,0.7217 ± 0.0166,0.5466 ± 0.0311,0.5861 ± 0.0211,0.5500 ± 0.0232,0.7357 ± 0.0188,0.5714 ± 0.0136,0.4737 ± 0.0195,0.4498 ± 0.0149,0.7100 ± 0.0129,0.5319 ± 0.0149,0.5714 ± 0.0136,0.5393 ± 0.0148,0.7202 ± 0.0139
29,svm,chi2_mi_union_topk,0.4723 ± 0.0198,0.4752 ± 0.0301,0.5941 ± 0.0155,0.5092 ± 0.0307,0.4767 ± 0.0242,0.7488 ± 0.0122,0.5608 ± 0.0232,0.5941 ± 0.0155,0.5638 ± 0.0200,0.7559 ± 0.0151,0.5852 ± 0.0115,0.5006 ± 0.0201,0.4708 ± 0.0164,0.7391 ± 0.0131,0.5526 ± 0.0156,0.5852 ± 0.0115,0.5577 ± 0.0148,0.7421 ± 0.0127
30,logistic_regression,spearman_corr,0.4919 ± 0.0156,0.5183 ± 0.0207,0.5722 ± 0.0206,0.5183 ± 0.0206,0.5246 ± 0.0220,0.7024 ± 0.0115,0.5878 ± 0.0179,0.5722 ± 0.0206,0.5775 ± 0.0183,0.7152 ± 0.0107,0.5464 ± 0.0125,0.4905 ± 0.0150,0.4961 ± 0.0162,0.6799 ± 0.0187,0.5589 ± 0.0116,0.5464 ± 0.0125,0.5516 ± 0.0120,0.6891 ± 0.0153
31,logistic_regression,mutual_info,0.4987 ± 0.0213,0.5129 ± 0.0188,0.5725 ± 0.0195,0.5139 ± 0.0170,0.5191 ± 0.0195,0.7100 ± 0.0126,0.5862 ± 0.0128,0.5725 ± 0.0195,0.5767 ± 0.0166,0.7228 ± 0.0137,0.5535 ± 0.0181,0.4975 ± 0.0206,0.5036 ± 0.0224,0.6898 ± 0.0203,0.5677 ± 0.0176,0.5535 ± 0.0181,0.5592 ± 0.0178,0.6998 ± 0.0178
32,logistic_regression,spearman_sulov,0.4919 ± 0.0156,0.5183 ± 0.0207,0.5722 ± 0.0206,0.5183 ± 0.0206,0.5246 ± 0.0220,0.7024 ± 0.0115,0.5878 ± 0.0179,0.5722 ± 0.0206,0.5775 ± 0.0183,0.7152 ± 0.0107,0.5464 ± 0.0125,0.4905 ± 0.0150,0.4961 ± 0.0162,0.6799 ± 0.0187,0.5589 ± 0.0116,0.5464 ± 0.0125,0.5516 ± 0.0120,0.6891 ± 0.0153
33,logistic_regression,chi2,0.4845 ± 0.0165,0.4976 ± 0.0177,0.5652 ± 0.0189,0.4993 ± 0.0156,0.5019 ± 0.0185,0.6983 ± 0.0163,0.5798 ± 0.0152,0.5652 ± 0.0189,0.5704 ± 0.0174,0.7170 ± 0.0172,0.5434 ± 0.0121,0.4849 ± 0.0164,0.4905 ± 0.0179,0.6852 ± 0.0079,0.5661 ± 0.0148,0.5434 ± 0.0121,0.5523 ± 0.0129,0.7007 ± 0.0090
34,logistic_regression,chi2_mi_union_topk,0.5031 ± 0.0170,0.5174 ± 0.0185,0.5707 ± 0.0181,0.5171 ± 0.0186,0.5241 ± 0.0212,0.7055 ± 0.0095,0.5877 ± 0.0162,0.5707 ± 0.0181,0.5767 ± 0.0160,0.7184 ± 0.0103,0.5553 ± 0.0151,0.5014 ± 0.0164,0.5084 ± 0.0179,0.6871 ± 0.0180,0.5714 ± 0.0137,0.5553 ± 0.0151,0.5619 ± 0.0144,0.6965 ± 0.0156
35,knn,spearman_corr,0.3980 ± 0.0140,0.4140 ± 0.0251,0.5681 ± 0.0164,0.4954 ± 0.0339,0.4293 ± 0.0177,0.6694 ± 0.0189,0.5343 ± 0.0260,0.5681 ± 0.0164,0.5052 ± 0.0212,0.6795 ± 0.0187,0.5557 ± 0.0073,0.4663 ± 0.0237,0.4177 ± 0.0103,0.6459 ± 0.0090,0.5115 ± 0.0183,0.5557 ± 0.0073,0.4906 ± 0.0106,0.6567 ± 0.0095
36,knn,mutual_info,0.4192 ± 0.0160,0.4131 ± 0.0238,0.5641 ± 0.0144,0.4829 ± 0.0371,0.4287 ± 0.0197,0.6746 ± 0.0183,0.5245 ± 0.0307,0.5641 ± 0.0144,0.5031 ± 0.0188,0.6866 ± 0.0196,0.5659 ± 0.0114,0.4894 ± 0.0276,0.4345 ± 0.0133,0.6647 ± 0.0102,0.5314 ± 0.0214,0.5659 ± 0.0114,0.5071 ± 0.0134,0.6761 ± 0.0093
37,knn,spearman_sulov,0.3980 ± 0.0140,0.4140 ± 0.0251,0.5681 ± 0.0164,0.4954 ± 0.0339,0.4293 ± 0.0177,0.6694 ± 0.0189,0.5343 ± 0.0260,0.5681 ± 0.0164,0.5052 ± 0.0212,0.6795 ± 0.0187,0.5557 ± 0.0073,0.4663 ± 0.0237,0.4177 ± 0.0103,0.6459 ± 0.0090,0.5115 ± 0.0183,0.5557 ± 0.0073,0.4906 ± 0.0106,0.6567 ± 0.0095
38,knn,chi2,0.4500 ± 0.0187,0.4646 ± 0.0199,0.5733 ± 0.0194,0.4963 ± 0.0261,0.4646 ± 0.0162,0.6793 ± 0.0210,0.5438 ± 0.0228,0.5733 ± 0.0194,0.5426 ± 0.0186,0.6935 ± 0.0227,0.5612 ± 0.0114,0.4807 ± 0.0217,0.4526 ± 0.0162,0.6705 ± 0.0093,0.5320 ± 0.0192,0.5612 ± 0.0114,0.5298 ± 0.0155,0.6822 ± 0.0090
39,knn,chi2_mi_union_topk,0.4049 ± 0.0180,0.4208 ± 0.0237,0.5685 ± 0.0167,0.4940 ± 0.0358,0.4316 ± 0.0194,0.6784 ± 0.0216,0.5329 ± 0.0284,0.5685 ± 0.0167,0.5105 ± 0.0196,0.6905 ± 0.0228,0.5575 ± 0.0076,0.4732 ± 0.0233,0.4212 ± 0.0138,0.6545 ± 0.0084,0.5166 ± 0.0173,0.5575 ± 0.0076,0.4958 ± 0.0123,0.6641 ± 0.0077
40,gaussian_nb,spearman_corr,0.5040 ± 0.0116,0.5168 ± 0.0139,0.5930 ± 0.0168,0.5223 ± 0.0146,0.5177 ± 0.0140,0.7273 ± 0.0149,0.5926 ± 0.0118,0.5930 ± 0.0168,0.5901 ± 0.0131,0.7376 ± 0.0154,0.5723 ± 0.0076,0.5065 ± 0.0109,0.5073 ± 0.0130,0.7119 ± 0.0074,0.5780 ± 0.0136,0.5723 ± 0.0076,0.5730 ± 0.0103,0.7219 ± 0.0081
41,gaussian_nb,mutual_info,0.5146 ± 0.0150,0.5088 ± 0.0139,0.5861 ± 0.0139,0.5157 ± 0.0154,0.5105 ± 0.0155,0.7335 ± 0.0168,0.5871 ± 0.0140,0.5861 ± 0.0139,0.5830 ± 0.0116,0.7445 ± 0.0183,0.5810 ± 0.0106,0.5176 ± 0.0137,0.5177 ± 0.0155,0.7248 ± 0.0088,0.5864 ± 0.0136,0.5810 ± 0.0106,0.5814 ± 0.0121,0.7345 ± 0.0072
42,gaussian_nb,spearman_sulov,0.5040 ± 0.0116,0.5168 ± 0.0139,0.5930 ± 0.0168,0.5223 ± 0.0146,0.5177 ± 0.0140,0.7273 ± 0.0149,0.5926 ± 0.0118,0.5930 ± 0.0168,0.5901 ± 0.0131,0.7376 ± 0.0154,0.5723 ± 0.0076,0.5065 ± 0.0109,0.5073 ± 0.0130,0.7119 ± 0.0074,0.5780 ± 0.0136,0.5723 ± 0.0076,0.5730 ± 0.0103,0.7219 ± 0.0081
43,gaussian_nb,chi2,0.4669 ± 0.0230,0.4677 ± 0.0254,0.5656 ± 0.0164,0.4815 ± 0.0261,0.4749 ± 0.0218,0.7344 ± 0.0167,0.5526 ± 0.0218,0.5656 ± 0.0164,0.5495 ± 0.0179,0.7468 ± 0.0188,0.5585 ± 0.0122,0.4807 ± 0.0248,0.4758 ± 0.0196,0.7158 ± 0.0084,0.5448 ± 0.0209,0.5585 ± 0.0122,0.5415 ± 0.0178,0.7261 ± 0.0095
44,gaussian_nb,chi2_mi_union_topk,0.5177 ± 0.0171,0.5191 ± 0.0159,0.5941 ± 0.0164,0.5257 ± 0.0180,0.5212 ± 0.0173,0.7382 ± 0.0162,0.5959 ± 0.0155,0.5941 ± 0.0164,0.5914 ± 0.0136,0.7478 ± 0.0175,0.5836 ± 0.0124,0.5211 ± 0.0163,0.5218 ± 0.0176,0.7270 ± 0.0079,0.5890 ± 0.0125,0.5836 ± 0.0124,0.5835 ± 0.0123,0.7359 ± 0.0083
