,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
23,adaboost,chi2,SMOTE,0.7249 ± 0.0289,0.6932 ± 0.0464,0.8747 ± 0.0199,0.6969 ± 0.0543,0.6986 ± 0.0553,0.9138 ± 0.0146,0.8766 ± 0.0171,0.8747 ± 0.0199,0.8748 ± 0.0187,0.9211 ± 0.0176,0.8759 ± 0.0092,0.7396 ± 0.0397,0.7160 ± 0.0286,0.9214 ± 0.0116,0.8751 ± 0.0103,0.8759 ± 0.0092,0.8751 ± 0.0097,0.9237 ± 0.0115
24,adaboost,chi2_mi_union_topk,SMOTE,0.7268 ± 0.0332,0.6883 ± 0.0468,0.8718 ± 0.0191,0.6881 ± 0.0517,0.6971 ± 0.0473,0.9124 ± 0.0141,0.8771 ± 0.0162,0.8718 ± 0.0191,0.8735 ± 0.0171,0.9216 ± 0.0170,0.8744 ± 0.0101,0.7322 ± 0.0417,0.7238 ± 0.0313,0.9238 ± 0.0102,0.8745 ± 0.0096,0.8744 ± 0.0101,0.8742 ± 0.0098,0.9257 ± 0.0087
25,svm,spearman_corr,SMOTE,0.6105 ± 0.0116,0.6132 ± 0.0224,0.8963 ± 0.0083,0.6150 ± 0.0522,0.6200 ± 0.0141,0.9398 ± 0.0085,0.8774 ± 0.0079,0.8963 ± 0.0083,0.8852 ± 0.0077,0.9558 ± 0.0077,0.8970 ± 0.0054,0.6313 ± 0.1055,0.6187 ± 0.0070,0.9470 ± 0.0063,0.8752 ± 0.0105,0.8970 ± 0.0054,0.8843 ± 0.0052,0.9576 ± 0.0020
26,svm,mutual_info,SMOTE,0.6302 ± 0.0238,0.6392 ± 0.0422,0.8985 ± 0.0098,0.7163 ± 0.1593,0.6349 ± 0.0248,0.9437 ± 0.0054,0.8870 ± 0.0163,0.8985 ± 0.0098,0.8887 ± 0.0097,0.9555 ± 0.0067,0.8967 ± 0.0041,0.7427 ± 0.1476,0.6288 ± 0.0136,0.9445 ± 0.0074,0.8848 ± 0.0150,0.8967 ± 0.0041,0.8856 ± 0.0049,0.9552 ± 0.0025
27,svm,spearman_sulov,SMOTE,0.6136 ± 0.0152,0.6136 ± 0.0214,0.8971 ± 0.0084,0.6153 ± 0.0513,0.6204 ± 0.0132,0.9408 ± 0.0069,0.8777 ± 0.0078,0.8971 ± 0.0084,0.8858 ± 0.0077,0.9553 ± 0.0075,0.8969 ± 0.0049,0.6478 ± 0.1131,0.6202 ± 0.0087,0.9434 ± 0.0069,0.8762 ± 0.0115,0.8969 ± 0.0049,0.8843 ± 0.0051,0.9560 ± 0.0024
28,svm,chi2,SMOTE,0.6277 ± 0.0197,0.6386 ± 0.0402,0.8989 ± 0.0087,0.7000 ± 0.1397,0.6352 ± 0.0237,0.9423 ± 0.0065,0.8862 ± 0.0126,0.8989 ± 0.0087,0.8890 ± 0.0089,0.9550 ± 0.0071,0.8973 ± 0.0045,0.7649 ± 0.1586,0.6275 ± 0.0113,0.9445 ± 0.0076,0.8867 ± 0.0160,0.8973 ± 0.0045,0.8857 ± 0.0052,0.9552 ± 0.0028
29,svm,chi2_mi_union_topk,SMOTE,0.6581 ± 0.0489,0.6733 ± 0.0495,0.9007 ± 0.0104,0.7806 ± 0.1485,0.6592 ± 0.0334,0.9407 ± 0.0087,0.8965 ± 0.0147,0.9007 ± 0.0104,0.8935 ± 0.0099,0.9546 ± 0.0061,0.9014 ± 0.0062,0.7434 ± 0.1222,0.6480 ± 0.0307,0.9457 ± 0.0100,0.8900 ± 0.0131,0.9014 ± 0.0062,0.8919 ± 0.0071,0.9551 ± 0.0036
30,logistic_regression,spearman_corr,SMOTE,0.7288 ± 0.0256,0.6942 ± 0.0395,0.8725 ± 0.0179,0.6825 ± 0.0352,0.7317 ± 0.0576,0.9309 ± 0.0122,0.8903 ± 0.0119,0.8725 ± 0.0179,0.8769 ± 0.0146,0.9448 ± 0.0112,0.8869 ± 0.0073,0.7148 ± 0.0255,0.7547 ± 0.0278,0.9317 ± 0.0117,0.8968 ± 0.0054,0.8869 ± 0.0073,0.8895 ± 0.0062,0.9480 ± 0.0038
31,logistic_regression,mutual_info,SMOTE,0.7256 ± 0.0300,0.6859 ± 0.0358,0.8725 ± 0.0208,0.6759 ± 0.0313,0.7178 ± 0.0568,0.9354 ± 0.0114,0.8880 ± 0.0150,0.8725 ± 0.0208,0.8766 ± 0.0180,0.9469 ± 0.0095,0.8827 ± 0.0082,0.7115 ± 0.0290,0.7496 ± 0.0324,0.9336 ± 0.0113,0.8912 ± 0.0066,0.8827 ± 0.0082,0.8852 ± 0.0074,0.9469 ± 0.0039
32,logistic_regression,spearman_sulov,SMOTE,0.7236 ± 0.0244,0.6844 ± 0.0350,0.8733 ± 0.0149,0.6733 ± 0.0287,0.7186 ± 0.0577,0.9310 ± 0.0111,0.8901 ± 0.0120,0.8733 ± 0.0149,0.8777 ± 0.0126,0.9454 ± 0.0105,0.8836 ± 0.0074,0.7084 ± 0.0238,0.7523 ± 0.0258,0.9322 ± 0.0120,0.8946 ± 0.0044,0.8836 ± 0.0074,0.8868 ± 0.0061,0.9481 ± 0.0040
