,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6785 ± 0.0370,0.6383 ± 0.0355,0.8363 ± 0.0164,0.6361 ± 0.0325,0.6502 ± 0.0495,0.7756 ± 0.0271,0.8422 ± 0.0166,0.8363 ± 0.0164,0.8384 ± 0.0155,0.8517 ± 0.0150,0.8351 ± 0.0128,0.6754 ± 0.0384,0.6831 ± 0.0353,0.7908 ± 0.0198,0.8376 ± 0.0121,0.8351 ± 0.0128,0.8362 ± 0.0124,0.8477 ± 0.0117
1,decision_tree,mutual_info,SMOTE,0.6759 ± 0.0316,0.6315 ± 0.0619,0.8264 ± 0.0278,0.6277 ± 0.0582,0.6475 ± 0.0792,0.7707 ± 0.0464,0.8310 ± 0.0296,0.8264 ± 0.0278,0.8275 ± 0.0279,0.8408 ± 0.0282,0.8327 ± 0.0165,0.6724 ± 0.0339,0.6816 ± 0.0309,0.7893 ± 0.0186,0.8352 ± 0.0145,0.8327 ± 0.0165,0.8337 ± 0.0153,0.8455 ± 0.0149
2,decision_tree,spearman_sulov,SMOTE,0.6816 ± 0.0429,0.6525 ± 0.0390,0.8245 ± 0.0252,0.6531 ± 0.0483,0.6604 ± 0.0373,0.7769 ± 0.0231,0.8308 ± 0.0257,0.8245 ± 0.0252,0.8266 ± 0.0248,0.8400 ± 0.0243,0.8352 ± 0.0129,0.6754 ± 0.0412,0.6921 ± 0.0471,0.7955 ± 0.0257,0.8383 ± 0.0110,0.8352 ± 0.0129,0.8365 ± 0.0119,0.8484 ± 0.0108
3,decision_tree,chi2,SMOTE,0.6499 ± 0.0347,0.6524 ± 0.0448,0.8304 ± 0.0138,0.6483 ± 0.0422,0.6682 ± 0.0608,0.7820 ± 0.0311,0.8338 ± 0.0131,0.8304 ± 0.0138,0.8308 ± 0.0131,0.8435 ± 0.0116,0.8270 ± 0.0145,0.6513 ± 0.0396,0.6511 ± 0.0338,0.7720 ± 0.0192,0.8285 ± 0.0130,0.8270 ± 0.0145,0.8276 ± 0.0136,0.8393 ± 0.0124
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6772 ± 0.0437,0.6797 ± 0.0588,0.8399 ± 0.0218,0.6839 ± 0.0559,0.6887 ± 0.0708,0.7931 ± 0.0413,0.8438 ± 0.0199,0.8399 ± 0.0218,0.8403 ± 0.0208,0.8493 ± 0.0200,0.8381 ± 0.0177,0.6791 ± 0.0458,0.6763 ± 0.0427,0.7866 ± 0.0258,0.8385 ± 0.0177,0.8381 ± 0.0177,0.8381 ± 0.0177,0.8473 ± 0.0172
5,random_forest,spearman_corr,SMOTE,0.6466 ± 0.0482,0.6414 ± 0.0441,0.9007 ± 0.0113,0.7340 ± 0.1731,0.6359 ± 0.0259,0.9400 ± 0.0133,0.8892 ± 0.0183,0.9007 ± 0.0113,0.8908 ± 0.0117,0.9590 ± 0.0046,0.9009 ± 0.0071,0.7509 ± 0.1662,0.6400 ± 0.0295,0.9535 ± 0.0062,0.8887 ± 0.0162,0.9009 ± 0.0071,0.8904 ± 0.0079,0.9621 ± 0.0033
6,random_forest,mutual_info,SMOTE,0.6606 ± 0.0485,0.6616 ± 0.0461,0.9029 ± 0.0135,0.7528 ± 0.1485,0.6509 ± 0.0300,0.9473 ± 0.0124,0.8936 ± 0.0188,0.9029 ± 0.0135,0.8944 ± 0.0129,0.9598 ± 0.0066,0.9005 ± 0.0061,0.7858 ± 0.1477,0.6482 ± 0.0307,0.9590 ± 0.0046,0.8914 ± 0.0124,0.9005 ± 0.0061,0.8910 ± 0.0069,0.9621 ± 0.0033
7,random_forest,spearman_sulov,SMOTE,0.6400 ± 0.0287,0.6323 ± 0.0385,0.9018 ± 0.0096,0.6683 ± 0.1182,0.6322 ± 0.0234,0.9384 ± 0.0134,0.8855 ± 0.0143,0.9018 ± 0.0096,0.8914 ± 0.0100,0.9598 ± 0.0066,0.9016 ± 0.0056,0.8009 ± 0.1711,0.6352 ± 0.0155,0.9522 ± 0.0054,0.8930 ± 0.0141,0.9016 ± 0.0056,0.8904 ± 0.0056,0.9616 ± 0.0032
8,random_forest,chi2,SMOTE,0.6634 ± 0.0425,0.6482 ± 0.0414,0.9029 ± 0.0122,0.7143 ± 0.1381,0.6420 ± 0.0253,0.9440 ± 0.0131,0.8911 ± 0.0163,0.9029 ± 0.0122,0.8939 ± 0.0117,0.9587 ± 0.0071,0.8978 ± 0.0044,0.7709 ± 0.1184,0.6498 ± 0.0279,0.9553 ± 0.0052,0.8883 ± 0.0107,0.8978 ± 0.0044,0.8889 ± 0.0049,0.9615 ± 0.0034
9,random_forest,chi2_mi_union_topk,SMOTE,0.6855 ± 0.0570,0.6825 ± 0.0573,0.9007 ± 0.0108,0.7660 ± 0.1282,0.6677 ± 0.0431,0.9419 ± 0.0133,0.8932 ± 0.0148,0.9007 ± 0.0108,0.8934 ± 0.0101,0.9569 ± 0.0075,0.8964 ± 0.0051,0.7617 ± 0.1066,0.6683 ± 0.0410,0.9507 ± 0.0089,0.8876 ± 0.0083,0.8964 ± 0.0051,0.8893 ± 0.0055,0.9583 ± 0.0037
10,extra_trees,spearman_corr,SMOTE,0.6538 ± 0.0303,0.6244 ± 0.0368,0.8989 ± 0.0096,0.6672 ± 0.1420,0.6255 ± 0.0219,0.9451 ± 0.0168,0.8836 ± 0.0153,0.8989 ± 0.0096,0.8889 ± 0.0099,0.9620 ± 0.0055,0.9005 ± 0.0044,0.7732 ± 0.1151,0.6433 ± 0.0175,0.9558 ± 0.0073,0.8909 ± 0.0102,0.9005 ± 0.0044,0.8908 ± 0.0047,0.9631 ± 0.0027
