,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6589 ± 0.0463,0.6399 ± 0.0291,0.8194 ± 0.0212,0.6383 ± 0.0311,0.6518 ± 0.0351,0.7706 ± 0.0195,0.8253 ± 0.0163,0.8194 ± 0.0212,0.8211 ± 0.0189,0.8341 ± 0.0176,0.8324 ± 0.0142,0.6639 ± 0.0500,0.6553 ± 0.0434,0.7754 ± 0.0238,0.8310 ± 0.0144,0.8324 ± 0.0142,0.8315 ± 0.0144,0.8433 ± 0.0138
1,decision_tree,mutual_info,SMOTE,0.6666 ± 0.0454,0.6482 ± 0.0322,0.8223 ± 0.0202,0.6469 ± 0.0311,0.6629 ± 0.0493,0.7770 ± 0.0239,0.8280 ± 0.0168,0.8223 ± 0.0202,0.8237 ± 0.0183,0.8368 ± 0.0174,0.8314 ± 0.0157,0.6681 ± 0.0469,0.6668 ± 0.0469,0.7811 ± 0.0267,0.8322 ± 0.0147,0.8314 ± 0.0157,0.8316 ± 0.0151,0.8432 ± 0.0140
2,decision_tree,spearman_sulov,SMOTE,0.6589 ± 0.0463,0.6399 ± 0.0291,0.8194 ± 0.0212,0.6383 ± 0.0311,0.6518 ± 0.0351,0.7706 ± 0.0195,0.8253 ± 0.0163,0.8194 ± 0.0212,0.8211 ± 0.0189,0.8341 ± 0.0176,0.8324 ± 0.0142,0.6639 ± 0.0500,0.6553 ± 0.0434,0.7754 ± 0.0238,0.8310 ± 0.0144,0.8324 ± 0.0142,0.8315 ± 0.0144,0.8433 ± 0.0138
3,decision_tree,chi2,SMOTE,0.6980 ± 0.0404,0.6505 ± 0.0492,0.8403 ± 0.0189,0.6511 ± 0.0511,0.6628 ± 0.0626,0.7720 ± 0.0344,0.8470 ± 0.0176,0.8403 ± 0.0189,0.8417 ± 0.0174,0.8392 ± 0.0193,0.8456 ± 0.0117,0.6939 ± 0.0392,0.7036 ± 0.0422,0.7933 ± 0.0240,0.8470 ± 0.0117,0.8456 ± 0.0117,0.8459 ± 0.0116,0.8416 ± 0.0131
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6787 ± 0.0428,0.6383 ± 0.0534,0.8264 ± 0.0158,0.6451 ± 0.0556,0.6432 ± 0.0669,0.7673 ± 0.0362,0.8262 ± 0.0180,0.8264 ± 0.0158,0.8251 ± 0.0166,0.8374 ± 0.0166,0.8272 ± 0.0185,0.6705 ± 0.0420,0.6906 ± 0.0464,0.7922 ± 0.0256,0.8307 ± 0.0175,0.8272 ± 0.0185,0.8286 ± 0.0181,0.8409 ± 0.0169
5,random_forest,spearman_corr,SMOTE,0.6451 ± 0.0407,0.6474 ± 0.0469,0.8974 ± 0.0127,0.7652 ± 0.1783,0.6374 ± 0.0284,0.9526 ± 0.0066,0.8878 ± 0.0212,0.8974 ± 0.0127,0.8881 ± 0.0136,0.9602 ± 0.0068,0.8969 ± 0.0059,0.7816 ± 0.1663,0.6366 ± 0.0235,0.9581 ± 0.0044,0.8871 ± 0.0159,0.8969 ± 0.0059,0.8863 ± 0.0064,0.9601 ± 0.0033
6,random_forest,mutual_info,SMOTE,0.6541 ± 0.0413,0.6497 ± 0.0465,0.9007 ± 0.0115,0.7673 ± 0.1781,0.6398 ± 0.0280,0.9514 ± 0.0071,0.8911 ± 0.0204,0.9007 ± 0.0115,0.8913 ± 0.0124,0.9590 ± 0.0070,0.8965 ± 0.0056,0.8479 ± 0.1421,0.6416 ± 0.0256,0.9585 ± 0.0040,0.8923 ± 0.0138,0.8965 ± 0.0056,0.8866 ± 0.0061,0.9595 ± 0.0038
7,random_forest,spearman_sulov,SMOTE,0.6451 ± 0.0407,0.6474 ± 0.0469,0.8974 ± 0.0127,0.7652 ± 0.1783,0.6374 ± 0.0284,0.9526 ± 0.0066,0.8878 ± 0.0212,0.8974 ± 0.0127,0.8881 ± 0.0136,0.9602 ± 0.0068,0.8969 ± 0.0059,0.7816 ± 0.1663,0.6366 ± 0.0235,0.9581 ± 0.0044,0.8871 ± 0.0159,0.8969 ± 0.0059,0.8863 ± 0.0064,0.9601 ± 0.0033
8,random_forest,chi2,SMOTE,0.7164 ± 0.0341,0.6941 ± 0.0458,0.8967 ± 0.0103,0.7996 ± 0.1120,0.6735 ± 0.0368,0.9473 ± 0.0081,0.8925 ± 0.0156,0.8967 ± 0.0103,0.8906 ± 0.0103,0.9524 ± 0.0089,0.8973 ± 0.0061,0.8472 ± 0.0510,0.6861 ± 0.0239,0.9580 ± 0.0050,0.8946 ± 0.0074,0.8973 ± 0.0061,0.8916 ± 0.0058,0.9561 ± 0.0036
9,random_forest,chi2_mi_union_topk,SMOTE,0.6693 ± 0.0416,0.6583 ± 0.0426,0.9026 ± 0.0096,0.7855 ± 0.1665,0.6457 ± 0.0250,0.9515 ± 0.0041,0.8947 ± 0.0170,0.9026 ± 0.0096,0.8936 ± 0.0100,0.9598 ± 0.0070,0.8986 ± 0.0043,0.8578 ± 0.1061,0.6518 ± 0.0260,0.9566 ± 0.0056,0.8954 ± 0.0083,0.8986 ± 0.0043,0.8895 ± 0.0047,0.9594 ± 0.0036
