,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8359 ± 0.0229,0.6605 ± 0.0535,0.6680 ± 0.0507,0.6604 ± 0.0489,0.7838 ± 0.0304,0.8400 ± 0.0269,0.8359 ± 0.0229,0.8366 ± 0.0243,0.8493 ± 0.0245,0.8322 ± 0.0140,0.6669 ± 0.0431,0.6671 ± 0.0422,0.6664 ± 0.0419,0.7815 ± 0.0248,0.8332 ± 0.0137,0.8322 ± 0.0140,0.8326 ± 0.0138,0.8439 ± 0.0130
random_forest,0.9026 ± 0.0158,0.7689 ± 0.1618,0.6460 ± 0.0295,0.6575 ± 0.0462,0.9464 ± 0.0125,0.8938 ± 0.0231,0.9026 ± 0.0158,0.8937 ± 0.0164,0.9599 ± 0.0072,0.8989 ± 0.0040,0.7459 ± 0.1384,0.6471 ± 0.0354,0.6575 ± 0.0546,0.9513 ± 0.0075,0.8866 ± 0.0134,0.8989 ± 0.0040,0.8892 ± 0.0061,0.9610 ± 0.0029
extra_trees,0.9000 ± 0.0095,0.7232 ± 0.1534,0.6398 ± 0.0246,0.6463 ± 0.0410,0.9460 ± 0.0148,0.8886 ± 0.0160,0.9000 ± 0.0095,0.8909 ± 0.0093,0.9606 ± 0.0072,0.8987 ± 0.0066,0.8124 ± 0.0856,0.6523 ± 0.0188,0.6692 ± 0.0297,0.9571 ± 0.0064,0.8928 ± 0.0112,0.8987 ± 0.0066,0.8902 ± 0.0063,0.9624 ± 0.0027
xgboost,0.8938 ± 0.0143,0.7705 ± 0.0865,0.6809 ± 0.0383,0.7006 ± 0.0453,0.9253 ± 0.0245,0.8904 ± 0.0152,0.8938 ± 0.0143,0.8894 ± 0.0146,0.9556 ± 0.0049,0.8926 ± 0.0063,0.7610 ± 0.0570,0.6850 ± 0.0289,0.7066 ± 0.0384,0.9416 ± 0.0088,0.8864 ± 0.0077,0.8926 ± 0.0063,0.8879 ± 0.0064,0.9564 ± 0.0034
adaboost,0.8817 ± 0.0169,0.7202 ± 0.0535,0.7129 ± 0.0413,0.7103 ± 0.0404,0.9181 ± 0.0129,0.8845 ± 0.0124,0.8817 ± 0.0169,0.8819 ± 0.0140,0.9277 ± 0.0130,0.8759 ± 0.0055,0.7377 ± 0.0266,0.7143 ± 0.0369,0.7204 ± 0.0224,0.9220 ± 0.0106,0.8752 ± 0.0074,0.8759 ± 0.0055,0.8749 ± 0.0066,0.9251 ± 0.0097
svm,0.8993 ± 0.0120,0.6336 ± 0.1022,0.6217 ± 0.0132,0.6161 ± 0.0239,0.9397 ± 0.0090,0.8812 ± 0.0105,0.8993 ± 0.0120,0.8882 ± 0.0114,0.9555 ± 0.0075,0.9002 ± 0.0066,0.7334 ± 0.1730,0.6293 ± 0.0162,0.6292 ± 0.0289,0.9457 ± 0.0071,0.8865 ± 0.0169,0.9002 ± 0.0066,0.8885 ± 0.0067,0.9574 ± 0.0036
logistic_regression,0.8725 ± 0.0211,0.6655 ± 0.0315,0.6905 ± 0.0497,0.6702 ± 0.0343,0.9285 ± 0.0086,0.8831 ± 0.0119,0.8725 ± 0.0211,0.8748 ± 0.0178,0.9443 ± 0.0076,0.8822 ± 0.0066,0.7140 ± 0.0292,0.7420 ± 0.0315,0.7250 ± 0.0295,0.9319 ± 0.0097,0.8881 ± 0.0060,0.8822 ± 0.0066,0.8839 ± 0.0062,0.9462 ± 0.0052
knn,0.8304 ± 0.0188,0.6456 ± 0.0287,0.7059 ± 0.0696,0.6486 ± 0.0367,0.8841 ± 0.0220,0.8717 ± 0.0166,0.8304 ± 0.0188,0.8368 ± 0.0179,0.9275 ± 0.0090,0.8406 ± 0.0151,0.6704 ± 0.0160,0.7419 ± 0.0224,0.6818 ± 0.0217,0.8935 ± 0.0136,0.8760 ± 0.0079,0.8406 ± 0.0151,0.8464 ± 0.0137,0.9278 ± 0.0042
gaussian_nb,0.8132 ± 0.0248,0.6491 ± 0.0168,0.7610 ± 0.0515,0.6477 ± 0.0232,0.8934 ± 0.0290,0.8838 ± 0.0144,0.8132 ± 0.0248,0.8351 ± 0.0216,0.9255 ± 0.0123,0.8318 ± 0.0126,0.6658 ± 0.0127,0.7844 ± 0.0248,0.6800 ± 0.0181,0.8820 ± 0.0199,0.8810 ± 0.0079,0.8318 ± 0.0126,0.8488 ± 0.0104,0.9213 ± 0.0058
