,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.5139 ± 0.0275,0.3615 ± 0.0335,0.3644 ± 0.0411,0.3619 ± 0.0361,0.5254 ± 0.0291,0.5165 ± 0.0291,0.5139 ± 0.0275,0.5143 ± 0.0277,0.5333 ± 0.0302,0.4997 ± 0.0203,0.3675 ± 0.0219,0.3684 ± 0.0224,0.3674 ± 0.0218,0.5212 ± 0.0164,0.5017 ± 0.0200,0.4997 ± 0.0203,0.5003 ± 0.0202,0.5181 ± 0.0194
random_forest,0.5722 ± 0.0268,0.3812 ± 0.0192,0.3846 ± 0.0184,0.3773 ± 0.0192,0.6183 ± 0.0292,0.5575 ± 0.0274,0.5722 ± 0.0268,0.5566 ± 0.0274,0.6009 ± 0.0275,0.5514 ± 0.0164,0.3650 ± 0.0123,0.3707 ± 0.0113,0.3623 ± 0.0116,0.6140 ± 0.0266,0.5330 ± 0.0174,0.5514 ± 0.0164,0.5341 ± 0.0166,0.5753 ± 0.0242
extra_trees,0.5674 ± 0.0296,0.3779 ± 0.0216,0.3817 ± 0.0199,0.3747 ± 0.0198,0.6345 ± 0.0307,0.5528 ± 0.0307,0.5674 ± 0.0296,0.5527 ± 0.0287,0.6060 ± 0.0267,0.5503 ± 0.0137,0.3809 ± 0.0509,0.3731 ± 0.0096,0.3678 ± 0.0119,0.6224 ± 0.0142,0.5336 ± 0.0141,0.5503 ± 0.0137,0.5365 ± 0.0139,0.5730 ± 0.0214
xgboost,0.5531 ± 0.0209,0.3765 ± 0.0295,0.3798 ± 0.0196,0.3769 ± 0.0231,0.6141 ± 0.0121,0.5402 ± 0.0201,0.5531 ± 0.0209,0.5455 ± 0.0204,0.5904 ± 0.0227,0.5294 ± 0.0147,0.3581 ± 0.0178,0.3622 ± 0.0101,0.3589 ± 0.0113,0.6031 ± 0.0196,0.5164 ± 0.0136,0.5294 ± 0.0147,0.5223 ± 0.0140,0.5571 ± 0.0139
adaboost,0.5363 ± 0.0259,0.3710 ± 0.0314,0.3688 ± 0.0281,0.3652 ± 0.0319,0.5895 ± 0.0248,0.5345 ± 0.0259,0.5363 ± 0.0259,0.5289 ± 0.0289,0.5334 ± 0.0130,0.5395 ± 0.0252,0.3795 ± 0.0324,0.3737 ± 0.0215,0.3738 ± 0.0240,0.6036 ± 0.0139,0.5311 ± 0.0248,0.5395 ± 0.0252,0.5339 ± 0.0243,0.5356 ± 0.0134
svm,0.5923 ± 0.0152,0.3947 ± 0.0107,0.4040 ± 0.0108,0.3987 ± 0.0109,0.6453 ± 0.0244,0.5782 ± 0.0156,0.5923 ± 0.0152,0.5843 ± 0.0157,0.6283 ± 0.0127,0.5709 ± 0.0116,0.3801 ± 0.0073,0.3907 ± 0.0080,0.3853 ± 0.0077,0.6376 ± 0.0139,0.5556 ± 0.0106,0.5709 ± 0.0116,0.5631 ± 0.0111,0.6081 ± 0.0095
logistic_regression,0.4868 ± 0.0246,0.3975 ± 0.0245,0.4352 ± 0.0722,0.3760 ± 0.0315,0.5945 ± 0.0454,0.5576 ± 0.0233,0.4868 ± 0.0246,0.5012 ± 0.0232,0.5765 ± 0.0209,0.4934 ± 0.0176,0.4028 ± 0.0138,0.4635 ± 0.0352,0.3915 ± 0.0173,0.6066 ± 0.0203,0.5531 ± 0.0149,0.4934 ± 0.0176,0.5067 ± 0.0168,0.5736 ± 0.0128
knn,0.5333 ± 0.0225,0.3881 ± 0.0314,0.3939 ± 0.0419,0.3875 ± 0.0341,0.5820 ± 0.0389,0.5434 ± 0.0231,0.5333 ± 0.0225,0.5356 ± 0.0222,0.5794 ± 0.0233,0.5024 ± 0.0155,0.3647 ± 0.0226,0.3694 ± 0.0256,0.3644 ± 0.0231,0.5543 ± 0.0177,0.5102 ± 0.0152,0.5024 ± 0.0155,0.5036 ± 0.0147,0.5534 ± 0.0203
gaussian_nb,0.4707 ± 0.0434,0.3925 ± 0.0236,0.4324 ± 0.0390,0.3564 ± 0.0334,0.5903 ± 0.0517,0.5465 ± 0.0308,0.4707 ± 0.0434,0.4655 ± 0.0423,0.5855 ± 0.0229,0.4467 ± 0.0490,0.3850 ± 0.0140,0.4219 ± 0.0555,0.3456 ± 0.0354,0.5754 ± 0.0429,0.5355 ± 0.0069,0.4467 ± 0.0490,0.4487 ± 0.0353,0.5708 ± 0.0158
