,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8337 ± 0.0232,0.6358 ± 0.0548,0.6490 ± 0.0742,0.6356 ± 0.0572,0.7741 ± 0.0375,0.8379 ± 0.0196,0.8337 ± 0.0232,0.8344 ± 0.0214,0.8490 ± 0.0200,0.8354 ± 0.0123,0.6753 ± 0.0430,0.6728 ± 0.0438,0.6733 ± 0.0425,0.7851 ± 0.0219,0.8350 ± 0.0115,0.8354 ± 0.0123,0.8350 ± 0.0119,0.8462 ± 0.0121
random_forest,0.8971 ± 0.0153,0.6489 ± 0.0890,0.6288 ± 0.0308,0.6284 ± 0.0437,0.9512 ± 0.0080,0.8800 ± 0.0212,0.8971 ± 0.0153,0.8870 ± 0.0168,0.9607 ± 0.0066,0.8989 ± 0.0055,0.7031 ± 0.1438,0.6333 ± 0.0257,0.6357 ± 0.0430,0.9538 ± 0.0086,0.8829 ± 0.0144,0.8989 ± 0.0055,0.8879 ± 0.0060,0.9613 ± 0.0034
extra_trees,0.8982 ± 0.0106,0.6990 ± 0.1610,0.6295 ± 0.0235,0.6315 ± 0.0404,0.9453 ± 0.0152,0.8839 ± 0.0163,0.8982 ± 0.0106,0.8878 ± 0.0108,0.9601 ± 0.0076,0.8989 ± 0.0044,0.8660 ± 0.1394,0.6349 ± 0.0118,0.6421 ± 0.0215,0.9557 ± 0.0096,0.8961 ± 0.0112,0.8989 ± 0.0044,0.8881 ± 0.0043,0.9624 ± 0.0030
xgboost,0.8901 ± 0.0137,0.7224 ± 0.0653,0.6740 ± 0.0395,0.6851 ± 0.0442,0.9375 ± 0.0203,0.8850 ± 0.0147,0.8901 ± 0.0137,0.8856 ± 0.0141,0.9583 ± 0.0050,0.8937 ± 0.0096,0.7435 ± 0.0759,0.6701 ± 0.0325,0.6880 ± 0.0444,0.9453 ± 0.0107,0.8863 ± 0.0119,0.8937 ± 0.0096,0.8882 ± 0.0100,0.9582 ± 0.0037
adaboost,0.8725 ± 0.0195,0.7169 ± 0.0618,0.7012 ± 0.0323,0.7060 ± 0.0430,0.9207 ± 0.0127,0.8735 ± 0.0168,0.8725 ± 0.0195,0.8723 ± 0.0182,0.9229 ± 0.0117,0.8725 ± 0.0075,0.7460 ± 0.0376,0.7237 ± 0.0320,0.7330 ± 0.0324,0.9235 ± 0.0087,0.8715 ± 0.0078,0.8725 ± 0.0075,0.8716 ± 0.0076,0.9235 ± 0.0082
svm,0.9011 ± 0.0115,0.6344 ± 0.1032,0.6231 ± 0.0141,0.6171 ± 0.0244,0.9452 ± 0.0102,0.8824 ± 0.0118,0.9011 ± 0.0115,0.8897 ± 0.0111,0.9572 ± 0.0072,0.9013 ± 0.0064,0.7175 ± 0.1603,0.6284 ± 0.0143,0.6266 ± 0.0253,0.9480 ± 0.0071,0.8861 ± 0.0173,0.9013 ± 0.0064,0.8893 ± 0.0071,0.9577 ± 0.0031
logistic_regression,0.8846 ± 0.0147,0.7063 ± 0.0472,0.7207 ± 0.0587,0.7068 ± 0.0454,0.9364 ± 0.0119,0.8891 ± 0.0112,0.8846 ± 0.0147,0.8844 ± 0.0127,0.9510 ± 0.0062,0.8879 ± 0.0087,0.7351 ± 0.0369,0.7437 ± 0.0292,0.7379 ± 0.0316,0.9313 ± 0.0128,0.8903 ± 0.0072,0.8879 ± 0.0087,0.8882 ± 0.0078,0.9459 ± 0.0058
knn,0.8429 ± 0.0157,0.6891 ± 0.1172,0.6280 ± 0.0500,0.6316 ± 0.0603,0.8253 ± 0.0207,0.8547 ± 0.0168,0.8429 ± 0.0157,0.8356 ± 0.0165,0.9084 ± 0.0096,0.8525 ± 0.0122,0.6880 ± 0.0203,0.6465 ± 0.0249,0.6519 ± 0.0280,0.8395 ± 0.0152,0.8595 ± 0.0087,0.8525 ± 0.0122,0.8459 ± 0.0123,0.9136 ± 0.0081
gaussian_nb,0.8212 ± 0.0364,0.6465 ± 0.0328,0.7291 ± 0.0716,0.6500 ± 0.0475,0.8417 ± 0.0501,0.8765 ± 0.0201,0.8212 ± 0.0364,0.8410 ± 0.0294,0.9168 ± 0.0154,0.8138 ± 0.0191,0.6432 ± 0.0116,0.7268 ± 0.0340,0.6459 ± 0.0191,0.8327 ± 0.0223,0.8721 ± 0.0070,0.8138 ± 0.0191,0.8360 ± 0.0139,0.9121 ± 0.0053
