,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6664 ± 0.0291,0.6589 ± 0.0495,0.8418 ± 0.0237,0.6610 ± 0.0508,0.6680 ± 0.0587,0.7859 ± 0.0288,0.8445 ± 0.0204,0.8418 ± 0.0237,0.8419 ± 0.0221,0.8555 ± 0.0205,0.8327 ± 0.0109,0.6704 ± 0.0314,0.6643 ± 0.0294,0.7801 ± 0.0144,0.8319 ± 0.0107,0.8327 ± 0.0109,0.8321 ± 0.0107,0.8438 ± 0.0108
1,decision_tree,mutual_info,RandomOverSampler,0.6752 ± 0.0401,0.6341 ± 0.0614,0.8326 ± 0.0233,0.6334 ± 0.0587,0.6388 ± 0.0676,0.7681 ± 0.0365,0.8344 ± 0.0230,0.8326 ± 0.0233,0.8327 ± 0.0230,0.8461 ± 0.0221,0.8387 ± 0.0136,0.6771 ± 0.0410,0.6753 ± 0.0418,0.7876 ± 0.0217,0.8385 ± 0.0131,0.8387 ± 0.0136,0.8384 ± 0.0133,0.8499 ± 0.0129
2,decision_tree,spearman_sulov,RandomOverSampler,0.6538 ± 0.0451,0.6532 ± 0.0523,0.8293 ± 0.0238,0.6472 ± 0.0476,0.6635 ± 0.0623,0.7795 ± 0.0294,0.8329 ± 0.0220,0.8293 ± 0.0238,0.8305 ± 0.0229,0.8434 ± 0.0226,0.8332 ± 0.0147,0.6599 ± 0.0520,0.6506 ± 0.0422,0.7734 ± 0.0226,0.8319 ± 0.0131,0.8332 ± 0.0147,0.8324 ± 0.0139,0.8443 ± 0.0137
3,decision_tree,chi2,RandomOverSampler,0.6760 ± 0.0379,0.6407 ± 0.0689,0.8341 ± 0.0176,0.6392 ± 0.0615,0.6577 ± 0.0933,0.7782 ± 0.0465,0.8368 ± 0.0158,0.8341 ± 0.0176,0.8343 ± 0.0163,0.8480 ± 0.0159,0.8365 ± 0.0119,0.6808 ± 0.0387,0.6735 ± 0.0406,0.7856 ± 0.0206,0.8354 ± 0.0103,0.8365 ± 0.0119,0.8358 ± 0.0111,0.8466 ± 0.0108
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6802 ± 0.0419,0.6533 ± 0.0515,0.8388 ± 0.0237,0.6595 ± 0.0556,0.6563 ± 0.0561,0.7741 ± 0.0309,0.8407 ± 0.0226,0.8388 ± 0.0237,0.8387 ± 0.0231,0.8445 ± 0.0206,0.8412 ± 0.0090,0.6852 ± 0.0416,0.6769 ± 0.0437,0.7863 ± 0.0235,0.8399 ± 0.0095,0.8412 ± 0.0090,0.8404 ± 0.0092,0.8475 ± 0.0096
5,random_forest,spearman_corr,RandomOverSampler,0.6409 ± 0.0378,0.6646 ± 0.0388,0.9007 ± 0.0134,0.8122 ± 0.1589,0.6494 ± 0.0236,0.9508 ± 0.0104,0.8958 ± 0.0166,0.9007 ± 0.0134,0.8923 ± 0.0136,0.9625 ± 0.0056,0.9008 ± 0.0042,0.7180 ± 0.1127,0.6363 ± 0.0227,0.9589 ± 0.0061,0.8863 ± 0.0106,0.9008 ± 0.0042,0.8903 ± 0.0049,0.9632 ± 0.0029
6,random_forest,mutual_info,RandomOverSampler,0.6363 ± 0.0289,0.6518 ± 0.0414,0.8956 ± 0.0114,0.7475 ± 0.1455,0.6413 ± 0.0254,0.9515 ± 0.0081,0.8858 ± 0.0157,0.8956 ± 0.0114,0.8867 ± 0.0117,0.9609 ± 0.0070,0.8989 ± 0.0026,0.7058 ± 0.1095,0.6334 ± 0.0174,0.9581 ± 0.0060,0.8839 ± 0.0100,0.8989 ± 0.0026,0.8883 ± 0.0029,0.9627 ± 0.0027
7,random_forest,spearman_sulov,RandomOverSampler,0.6412 ± 0.0379,0.6256 ± 0.0367,0.9011 ± 0.0127,0.6680 ± 0.1416,0.6272 ± 0.0218,0.9513 ± 0.0091,0.8849 ± 0.0169,0.9011 ± 0.0127,0.8905 ± 0.0130,0.9617 ± 0.0054,0.9022 ± 0.0052,0.6989 ± 0.1217,0.6375 ± 0.0220,0.9573 ± 0.0062,0.8862 ± 0.0117,0.9022 ± 0.0052,0.8916 ± 0.0054,0.9633 ± 0.0029
8,random_forest,chi2,RandomOverSampler,0.6505 ± 0.0497,0.6440 ± 0.0497,0.8996 ± 0.0121,0.6786 ± 0.1128,0.6396 ± 0.0313,0.9527 ± 0.0055,0.8850 ± 0.0131,0.8996 ± 0.0121,0.8904 ± 0.0117,0.9600 ± 0.0064,0.8962 ± 0.0050,0.7195 ± 0.1253,0.6419 ± 0.0313,0.9568 ± 0.0059,0.8826 ± 0.0129,0.8962 ± 0.0050,0.8866 ± 0.0060,0.9618 ± 0.0030
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6826 ± 0.0417,0.6806 ± 0.0633,0.9011 ± 0.0081,0.7681 ± 0.1356,0.6634 ± 0.0427,0.9473 ± 0.0110,0.8932 ± 0.0134,0.9011 ± 0.0081,0.8934 ± 0.0088,0.9591 ± 0.0070,0.9011 ± 0.0049,0.8045 ± 0.0961,0.6630 ± 0.0284,0.9576 ± 0.0069,0.8947 ± 0.0079,0.9011 ± 0.0049,0.8932 ± 0.0047,0.9628 ± 0.0025
