,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
23,adaboost,chi2,RandomOverSampler,0.7105 ± 0.0357,0.6993 ± 0.0340,0.8758 ± 0.0177,0.6989 ± 0.0356,0.7088 ± 0.0411,0.9118 ± 0.0167,0.8801 ± 0.0139,0.8758 ± 0.0177,0.8769 ± 0.0160,0.9232 ± 0.0174,0.8690 ± 0.0082,0.7131 ± 0.0410,0.7134 ± 0.0379,0.9164 ± 0.0137,0.8707 ± 0.0104,0.8690 ± 0.0082,0.8695 ± 0.0092,0.9192 ± 0.0105
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.7177 ± 0.0333,0.7063 ± 0.0550,0.8791 ± 0.0226,0.7080 ± 0.0679,0.7156 ± 0.0536,0.9153 ± 0.0142,0.8841 ± 0.0181,0.8791 ± 0.0226,0.8807 ± 0.0199,0.9261 ± 0.0137,0.8726 ± 0.0106,0.7169 ± 0.0354,0.7213 ± 0.0346,0.9172 ± 0.0109,0.8740 ± 0.0122,0.8726 ± 0.0106,0.8732 ± 0.0113,0.9200 ± 0.0084
25,svm,spearman_corr,RandomOverSampler,0.6276 ± 0.0197,0.6214 ± 0.0463,0.8978 ± 0.0108,0.6327 ± 0.1056,0.6255 ± 0.0297,0.9383 ± 0.0097,0.8802 ± 0.0131,0.8978 ± 0.0108,0.8870 ± 0.0107,0.9567 ± 0.0070,0.8970 ± 0.0069,0.7815 ± 0.1667,0.6276 ± 0.0117,0.9428 ± 0.0090,0.8883 ± 0.0167,0.8970 ± 0.0069,0.8855 ± 0.0070,0.9579 ± 0.0036
26,svm,mutual_info,RandomOverSampler,0.6542 ± 0.0374,0.6248 ± 0.0326,0.9004 ± 0.0091,0.6672 ± 0.1385,0.6271 ± 0.0180,0.9460 ± 0.0066,0.8843 ± 0.0119,0.9004 ± 0.0091,0.8894 ± 0.0086,0.9575 ± 0.0062,0.9003 ± 0.0063,0.8059 ± 0.1529,0.6435 ± 0.0216,0.9461 ± 0.0088,0.8931 ± 0.0144,0.9003 ± 0.0063,0.8903 ± 0.0065,0.9577 ± 0.0035
27,svm,spearman_sulov,RandomOverSampler,0.6353 ± 0.0290,0.6178 ± 0.0257,0.9022 ± 0.0104,0.6351 ± 0.1047,0.6239 ± 0.0151,0.9409 ± 0.0080,0.8837 ± 0.0123,0.9022 ± 0.0104,0.8907 ± 0.0102,0.9574 ± 0.0069,0.8997 ± 0.0048,0.7830 ± 0.1659,0.6327 ± 0.0163,0.9430 ± 0.0078,0.8904 ± 0.0153,0.8997 ± 0.0048,0.8883 ± 0.0051,0.9579 ± 0.0037
28,svm,chi2,RandomOverSampler,0.6281 ± 0.0304,0.6255 ± 0.0360,0.9015 ± 0.0121,0.6679 ± 0.1412,0.6279 ± 0.0213,0.9457 ± 0.0068,0.8853 ± 0.0166,0.9015 ± 0.0121,0.8905 ± 0.0123,0.9573 ± 0.0061,0.8991 ± 0.0042,0.7162 ± 0.1576,0.6287 ± 0.0170,0.9446 ± 0.0091,0.8843 ± 0.0134,0.8991 ± 0.0042,0.8875 ± 0.0045,0.9570 ± 0.0036
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6927 ± 0.0477,0.6951 ± 0.0573,0.9044 ± 0.0072,0.7904 ± 0.1259,0.6752 ± 0.0400,0.9437 ± 0.0083,0.8994 ± 0.0113,0.9044 ± 0.0072,0.8975 ± 0.0074,0.9573 ± 0.0063,0.9042 ± 0.0058,0.8206 ± 0.0678,0.6709 ± 0.0331,0.9454 ± 0.0109,0.8990 ± 0.0097,0.9042 ± 0.0058,0.8965 ± 0.0073,0.9571 ± 0.0034
30,logistic_regression,spearman_corr,RandomOverSampler,0.7251 ± 0.0334,0.6715 ± 0.0314,0.8736 ± 0.0136,0.6643 ± 0.0262,0.6963 ± 0.0455,0.9266 ± 0.0102,0.8882 ± 0.0083,0.8736 ± 0.0136,0.8771 ± 0.0110,0.9443 ± 0.0089,0.8843 ± 0.0093,0.7127 ± 0.0315,0.7456 ± 0.0367,0.9310 ± 0.0108,0.8918 ± 0.0089,0.8843 ± 0.0093,0.8862 ± 0.0090,0.9484 ± 0.0041
31,logistic_regression,mutual_info,RandomOverSampler,0.7297 ± 0.0289,0.6842 ± 0.0336,0.8766 ± 0.0188,0.6824 ± 0.0418,0.7022 ± 0.0418,0.9362 ± 0.0114,0.8870 ± 0.0109,0.8766 ± 0.0188,0.8788 ± 0.0156,0.9487 ± 0.0083,0.8846 ± 0.0086,0.7189 ± 0.0318,0.7471 ± 0.0251,0.9349 ± 0.0105,0.8910 ± 0.0062,0.8846 ± 0.0086,0.8865 ± 0.0073,0.9483 ± 0.0049
32,logistic_regression,spearman_sulov,RandomOverSampler,0.7255 ± 0.0323,0.6715 ± 0.0266,0.8711 ± 0.0172,0.6630 ± 0.0214,0.6987 ± 0.0458,0.9296 ± 0.0098,0.8856 ± 0.0105,0.8711 ± 0.0172,0.8750 ± 0.0140,0.9470 ± 0.0087,0.8838 ± 0.0082,0.7121 ± 0.0301,0.7487 ± 0.0351,0.9322 ± 0.0111,0.8925 ± 0.0062,0.8838 ± 0.0082,0.8863 ± 0.0070,0.9491 ± 0.0049
