,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
21,adaboost,mutual_info,RandomOverSampler,0.7558 ± 0.0306,0.7199 ± 0.0234,0.8659 ± 0.0155,0.7234 ± 0.0456,0.7289 ± 0.0239,0.9046 ± 0.0154,0.8713 ± 0.0148,0.8659 ± 0.0155,0.8668 ± 0.0144,0.8924 ± 0.0192,0.8719 ± 0.0111,0.7717 ± 0.0380,0.7446 ± 0.0283,0.9074 ± 0.0101,0.8710 ± 0.0106,0.8719 ± 0.0111,0.8711 ± 0.0110,0.8950 ± 0.0150
22,adaboost,spearman_sulov,RandomOverSampler,0.7501 ± 0.0398,0.7226 ± 0.0262,0.8674 ± 0.0167,0.7271 ± 0.0467,0.7300 ± 0.0248,0.9043 ± 0.0202,0.8724 ± 0.0158,0.8674 ± 0.0167,0.8681 ± 0.0157,0.8926 ± 0.0248,0.8692 ± 0.0109,0.7677 ± 0.0486,0.7374 ± 0.0356,0.9084 ± 0.0096,0.8683 ± 0.0110,0.8692 ± 0.0109,0.8684 ± 0.0110,0.8971 ± 0.0122
23,adaboost,chi2,RandomOverSampler,0.7481 ± 0.0188,0.7252 ± 0.0351,0.8678 ± 0.0167,0.7183 ± 0.0521,0.7446 ± 0.0320,0.9127 ± 0.0172,0.8749 ± 0.0150,0.8678 ± 0.0167,0.8694 ± 0.0160,0.8991 ± 0.0207,0.8706 ± 0.0071,0.7452 ± 0.0231,0.7550 ± 0.0234,0.9115 ± 0.0109,0.8722 ± 0.0076,0.8706 ± 0.0071,0.8711 ± 0.0072,0.8976 ± 0.0168
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.7556 ± 0.0246,0.7328 ± 0.0416,0.8601 ± 0.0165,0.7320 ± 0.0498,0.7470 ± 0.0483,0.9030 ± 0.0216,0.8653 ± 0.0156,0.8601 ± 0.0165,0.8610 ± 0.0157,0.8877 ± 0.0250,0.8697 ± 0.0107,0.7700 ± 0.0343,0.7446 ± 0.0196,0.9068 ± 0.0097,0.8689 ± 0.0101,0.8697 ± 0.0107,0.8690 ± 0.0105,0.8934 ± 0.0152
25,svm,spearman_corr,RandomOverSampler,0.7180 ± 0.0336,0.7299 ± 0.0452,0.9018 ± 0.0084,0.9154 ± 0.0444,0.6960 ± 0.0372,0.9531 ± 0.0060,0.9055 ± 0.0103,0.9018 ± 0.0084,0.8962 ± 0.0085,0.9587 ± 0.0063,0.9011 ± 0.0060,0.9047 ± 0.0391,0.6862 ± 0.0263,0.9482 ± 0.0091,0.9026 ± 0.0056,0.9011 ± 0.0060,0.8946 ± 0.0062,0.9572 ± 0.0023
26,svm,mutual_info,RandomOverSampler,0.7195 ± 0.0304,0.7204 ± 0.0472,0.9000 ± 0.0083,0.8925 ± 0.0720,0.6904 ± 0.0391,0.9524 ± 0.0065,0.9029 ± 0.0105,0.9000 ± 0.0083,0.8942 ± 0.0085,0.9586 ± 0.0058,0.9005 ± 0.0057,0.8921 ± 0.0439,0.6874 ± 0.0244,0.9479 ± 0.0099,0.9011 ± 0.0050,0.9005 ± 0.0057,0.8942 ± 0.0060,0.9569 ± 0.0023
27,svm,spearman_sulov,RandomOverSampler,0.7180 ± 0.0336,0.7299 ± 0.0452,0.9018 ± 0.0084,0.9154 ± 0.0444,0.6960 ± 0.0372,0.9531 ± 0.0060,0.9055 ± 0.0103,0.9018 ± 0.0084,0.8962 ± 0.0085,0.9587 ± 0.0063,0.9011 ± 0.0060,0.9047 ± 0.0391,0.6862 ± 0.0263,0.9482 ± 0.0091,0.9026 ± 0.0056,0.9011 ± 0.0060,0.8946 ± 0.0062,0.9572 ± 0.0023
28,svm,chi2,RandomOverSampler,0.7155 ± 0.0397,0.6937 ± 0.0506,0.8901 ± 0.0077,0.8333 ± 0.1149,0.6700 ± 0.0377,0.9537 ± 0.0084,0.8892 ± 0.0129,0.8901 ± 0.0077,0.8836 ± 0.0082,0.9551 ± 0.0083,0.8925 ± 0.0044,0.8864 ± 0.0536,0.6818 ± 0.0275,0.9538 ± 0.0045,0.8928 ± 0.0056,0.8925 ± 0.0044,0.8862 ± 0.0051,0.9552 ± 0.0042
29,svm,chi2_mi_union_topk,RandomOverSampler,0.7275 ± 0.0340,0.7401 ± 0.0563,0.8996 ± 0.0101,0.8860 ± 0.0703,0.7083 ± 0.0505,0.9537 ± 0.0064,0.9028 ± 0.0118,0.8996 ± 0.0101,0.8948 ± 0.0111,0.9578 ± 0.0068,0.9000 ± 0.0053,0.8820 ± 0.0463,0.6942 ± 0.0274,0.9483 ± 0.0098,0.9002 ± 0.0057,0.9000 ± 0.0053,0.8942 ± 0.0059,0.9571 ± 0.0022
30,logistic_regression,spearman_corr,RandomOverSampler,0.7551 ± 0.0321,0.7444 ± 0.0365,0.8868 ± 0.0125,0.7327 ± 0.0304,0.7771 ± 0.0570,0.9439 ± 0.0073,0.8981 ± 0.0088,0.8868 ± 0.0125,0.8884 ± 0.0101,0.9536 ± 0.0057,0.8840 ± 0.0079,0.7422 ± 0.0317,0.7768 ± 0.0372,0.9441 ± 0.0093,0.8904 ± 0.0066,0.8840 ± 0.0079,0.8850 ± 0.0075,0.9516 ± 0.0023
31,logistic_regression,mutual_info,RandomOverSampler,0.7548 ± 0.0335,0.7465 ± 0.0354,0.8868 ± 0.0136,0.7305 ± 0.0323,0.7861 ± 0.0548,0.9446 ± 0.0084,0.8994 ± 0.0104,0.8868 ± 0.0136,0.8890 ± 0.0118,0.9536 ± 0.0067,0.8836 ± 0.0100,0.7404 ± 0.0317,0.7784 ± 0.0382,0.9447 ± 0.0088,0.8907 ± 0.0084,0.8836 ± 0.0100,0.8848 ± 0.0095,0.9515 ± 0.0024
32,logistic_regression,spearman_sulov,RandomOverSampler,0.7551 ± 0.0321,0.7444 ± 0.0365,0.8868 ± 0.0125,0.7327 ± 0.0304,0.7771 ± 0.0570,0.9439 ± 0.0073,0.8981 ± 0.0088,0.8868 ± 0.0125,0.8884 ± 0.0101,0.9536 ± 0.0057,0.8840 ± 0.0079,0.7422 ± 0.0317,0.7768 ± 0.0372,0.9441 ± 0.0093,0.8904 ± 0.0066,0.8840 ± 0.0079,0.8850 ± 0.0075,0.9516 ± 0.0023
33,logistic_regression,chi2,RandomOverSampler,0.7482 ± 0.0190,0.7256 ± 0.0312,0.8670 ± 0.0192,0.7034 ± 0.0286,0.8052 ± 0.0496,0.9465 ± 0.0078,0.8944 ± 0.0111,0.8670 ± 0.0192,0.8734 ± 0.0167,0.9482 ± 0.0049,0.8742 ± 0.0076,0.7215 ± 0.0158,0.8074 ± 0.0235,0.9517 ± 0.0068,0.8905 ± 0.0068,0.8742 ± 0.0076,0.8783 ± 0.0071,0.9512 ± 0.0030
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.7514 ± 0.0222,0.7386 ± 0.0308,0.8835 ± 0.0178,0.7251 ± 0.0335,0.7796 ± 0.0440,0.9465 ± 0.0071,0.8985 ± 0.0093,0.8835 ± 0.0178,0.8865 ± 0.0144,0.9534 ± 0.0058,0.8843 ± 0.0084,0.7356 ± 0.0252,0.7788 ± 0.0230,0.9468 ± 0.0091,0.8925 ± 0.0061,0.8843 ± 0.0084,0.8860 ± 0.0076,0.9518 ± 0.0027
35,knn,spearman_corr,RandomOverSampler,0.6519 ± 0.0294,0.6505 ± 0.0713,0.7758 ± 0.0222,0.7328 ± 0.0775,0.6488 ± 0.0753,0.8152 ± 0.0334,0.8223 ± 0.0175,0.7758 ± 0.0222,0.7659 ± 0.0250,0.8686 ± 0.0120,0.7733 ± 0.0113,0.7355 ± 0.0402,0.6399 ± 0.0281,0.8245 ± 0.0137,0.8163 ± 0.0073,0.7733 ± 0.0113,0.7634 ± 0.0127,0.8750 ± 0.0069
36,knn,mutual_info,RandomOverSampler,0.6582 ± 0.0331,0.6568 ± 0.0695,0.7868 ± 0.0209,0.7258 ± 0.0802,0.6557 ± 0.0698,0.8301 ± 0.0268,0.8268 ± 0.0171,0.7868 ± 0.0209,0.7784 ± 0.0238,0.8803 ± 0.0133,0.7860 ± 0.0136,0.7271 ± 0.0335,0.6480 ± 0.0325,0.8295 ± 0.0153,0.8233 ± 0.0089,0.7860 ± 0.0136,0.7773 ± 0.0147,0.8811 ± 0.0099
37,knn,spearman_sulov,RandomOverSampler,0.6519 ± 0.0294,0.6505 ± 0.0713,0.7758 ± 0.0222,0.7328 ± 0.0775,0.6488 ± 0.0753,0.8152 ± 0.0334,0.8223 ± 0.0175,0.7758 ± 0.0222,0.7659 ± 0.0250,0.8686 ± 0.0120,0.7733 ± 0.0113,0.7355 ± 0.0402,0.6399 ± 0.0281,0.8245 ± 0.0137,0.8163 ± 0.0073,0.7733 ± 0.0113,0.7634 ± 0.0127,0.8750 ± 0.0069
38,knn,chi2,RandomOverSampler,0.7297 ± 0.0248,0.7145 ± 0.0391,0.8711 ± 0.0091,0.7463 ± 0.0703,0.7178 ± 0.0530,0.8726 ± 0.0285,0.8809 ± 0.0098,0.8711 ± 0.0091,0.8687 ± 0.0091,0.9218 ± 0.0127,0.8731 ± 0.0098,0.7474 ± 0.0329,0.7254 ± 0.0284,0.8781 ± 0.0144,0.8791 ± 0.0080,0.8731 ± 0.0098,0.8709 ± 0.0091,0.9213 ± 0.0076
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6770 ± 0.0402,0.6774 ± 0.0648,0.8040 ± 0.0202,0.7566 ± 0.0887,0.6758 ± 0.0724,0.8349 ± 0.0266,0.8408 ± 0.0178,0.8040 ± 0.0202,0.7971 ± 0.0225,0.8812 ± 0.0125,0.8069 ± 0.0110,0.7345 ± 0.0408,0.6665 ± 0.0375,0.8353 ± 0.0189,0.8361 ± 0.0094,0.8069 ± 0.0110,0.8001 ± 0.0119,0.8864 ± 0.0107
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6835 ± 0.0190,0.6846 ± 0.0460,0.8465 ± 0.0316,0.6696 ± 0.0341,0.7585 ± 0.0716,0.8810 ± 0.0731,0.8821 ± 0.0211,0.8465 ± 0.0316,0.8594 ± 0.0257,0.9240 ± 0.0175,0.8377 ± 0.0122,0.6654 ± 0.0142,0.7572 ± 0.0297,0.8889 ± 0.0158,0.8696 ± 0.0077,0.8377 ± 0.0122,0.8499 ± 0.0091,0.9214 ± 0.0036
41,gaussian_nb,mutual_info,RandomOverSampler,0.6976 ± 0.0191,0.6801 ± 0.0424,0.8462 ± 0.0260,0.6660 ± 0.0335,0.7441 ± 0.0588,0.8846 ± 0.0753,0.8774 ± 0.0172,0.8462 ± 0.0260,0.8580 ± 0.0209,0.9245 ± 0.0179,0.8448 ± 0.0115,0.6758 ± 0.0147,0.7718 ± 0.0255,0.9027 ± 0.0197,0.8721 ± 0.0077,0.8448 ± 0.0115,0.8555 ± 0.0095,0.9226 ± 0.0032
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6835 ± 0.0190,0.6846 ± 0.0460,0.8465 ± 0.0316,0.6696 ± 0.0341,0.7585 ± 0.0716,0.8810 ± 0.0731,0.8821 ± 0.0211,0.8465 ± 0.0316,0.8594 ± 0.0257,0.9240 ± 0.0175,0.8377 ± 0.0122,0.6654 ± 0.0142,0.7572 ± 0.0297,0.8889 ± 0.0158,0.8696 ± 0.0077,0.8377 ± 0.0122,0.8499 ± 0.0091,0.9214 ± 0.0036
43,gaussian_nb,chi2,RandomOverSampler,0.6842 ± 0.0163,0.6650 ± 0.0354,0.8147 ± 0.0318,0.6570 ± 0.0221,0.7884 ± 0.0379,0.9223 ± 0.0242,0.8757 ± 0.0128,0.8147 ± 0.0318,0.8337 ± 0.0241,0.9326 ± 0.0076,0.8190 ± 0.0170,0.6673 ± 0.0098,0.8212 ± 0.0239,0.9275 ± 0.0108,0.8727 ± 0.0049,0.8190 ± 0.0170,0.8362 ± 0.0127,0.9290 ± 0.0034
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6924 ± 0.0172,0.6784 ± 0.0341,0.8410 ± 0.0291,0.6643 ± 0.0254,0.7632 ± 0.0599,0.9038 ± 0.0459,0.8793 ± 0.0188,0.8410 ± 0.0291,0.8555 ± 0.0234,0.9292 ± 0.0123,0.8376 ± 0.0160,0.6722 ± 0.0145,0.7826 ± 0.0287,0.9141 ± 0.0178,0.8720 ± 0.0096,0.8376 ± 0.0160,0.8509 ± 0.0128,0.9253 ± 0.0059
