,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8407 ± 0.0257,0.6577 ± 0.0481,0.6623 ± 0.0487,0.6516 ± 0.0365,0.7776 ± 0.0268,0.8458 ± 0.0207,0.8407 ± 0.0257,0.8418 ± 0.0227,0.8474 ± 0.0214,0.8494 ± 0.0109,0.6765 ± 0.0284,0.6720 ± 0.0374,0.6730 ± 0.0328,0.7859 ± 0.0206,0.8480 ± 0.0107,0.8494 ± 0.0109,0.8486 ± 0.0106,0.8548 ± 0.0110
random_forest,0.8993 ± 0.0110,0.8012 ± 0.1087,0.6710 ± 0.0335,0.6941 ± 0.0469,0.9463 ± 0.0091,0.8951 ± 0.0156,0.8993 ± 0.0110,0.8932 ± 0.0115,0.9577 ± 0.0065,0.8989 ± 0.0043,0.7710 ± 0.0846,0.6630 ± 0.0292,0.6816 ± 0.0442,0.9565 ± 0.0055,0.8904 ± 0.0086,0.8989 ± 0.0043,0.8915 ± 0.0050,0.9607 ± 0.0031
extra_trees,0.8971 ± 0.0127,0.7825 ± 0.1481,0.6467 ± 0.0243,0.6614 ± 0.0394,0.9526 ± 0.0086,0.8906 ± 0.0186,0.8971 ± 0.0127,0.8891 ± 0.0124,0.9579 ± 0.0061,0.8980 ± 0.0052,0.7828 ± 0.1237,0.6482 ± 0.0300,0.6624 ± 0.0476,0.9584 ± 0.0050,0.8892 ± 0.0125,0.8980 ± 0.0052,0.8889 ± 0.0064,0.9593 ± 0.0031
xgboost,0.8813 ± 0.0128,0.7698 ± 0.0555,0.6944 ± 0.0421,0.7171 ± 0.0467,0.9089 ± 0.0245,0.8783 ± 0.0145,0.8813 ± 0.0128,0.8779 ± 0.0131,0.9356 ± 0.0055,0.8847 ± 0.0083,0.7727 ± 0.0541,0.6969 ± 0.0225,0.7205 ± 0.0299,0.9305 ± 0.0130,0.8804 ± 0.0090,0.8847 ± 0.0083,0.8812 ± 0.0079,0.9444 ± 0.0053
adaboost,0.8725 ± 0.0143,0.6946 ± 0.0475,0.7020 ± 0.0394,0.6915 ± 0.0297,0.9078 ± 0.0152,0.8771 ± 0.0104,0.8725 ± 0.0143,0.8735 ± 0.0116,0.9152 ± 0.0209,0.8703 ± 0.0073,0.7198 ± 0.0341,0.7144 ± 0.0291,0.7146 ± 0.0261,0.9164 ± 0.0112,0.8710 ± 0.0092,0.8703 ± 0.0073,0.8703 ± 0.0083,0.9173 ± 0.0097
svm,0.8982 ± 0.0077,0.7421 ± 0.1479,0.6530 ± 0.0369,0.6653 ± 0.0582,0.9447 ± 0.0070,0.8904 ± 0.0139,0.8982 ± 0.0077,0.8902 ± 0.0077,0.9530 ± 0.0055,0.8976 ± 0.0053,0.8155 ± 0.0942,0.6559 ± 0.0289,0.6733 ± 0.0437,0.9433 ± 0.0068,0.8923 ± 0.0083,0.8976 ± 0.0053,0.8890 ± 0.0057,0.9529 ± 0.0031
logistic_regression,0.8722 ± 0.0170,0.6926 ± 0.0327,0.7401 ± 0.0418,0.7020 ± 0.0253,0.9274 ± 0.0138,0.8888 ± 0.0102,0.8722 ± 0.0170,0.8764 ± 0.0136,0.9445 ± 0.0088,0.8833 ± 0.0071,0.7213 ± 0.0255,0.7642 ± 0.0238,0.7370 ± 0.0253,0.9294 ± 0.0111,0.8926 ± 0.0053,0.8833 ± 0.0071,0.8858 ± 0.0061,0.9466 ± 0.0026
knn,0.8670 ± 0.0135,0.7116 ± 0.0802,0.6882 ± 0.0702,0.6853 ± 0.0667,0.8509 ± 0.0332,0.8771 ± 0.0116,0.8670 ± 0.0135,0.8644 ± 0.0134,0.9213 ± 0.0127,0.8730 ± 0.0083,0.7041 ± 0.0354,0.6959 ± 0.0373,0.6954 ± 0.0363,0.8584 ± 0.0189,0.8789 ± 0.0093,0.8730 ± 0.0083,0.8706 ± 0.0091,0.9248 ± 0.0064
gaussian_nb,0.8062 ± 0.0219,0.6542 ± 0.0174,0.7846 ± 0.0544,0.6477 ± 0.0258,0.9166 ± 0.0265,0.8919 ± 0.0136,0.8062 ± 0.0219,0.8308 ± 0.0190,0.9336 ± 0.0099,0.8171 ± 0.0168,0.6658 ± 0.0075,0.8075 ± 0.0177,0.6698 ± 0.0167,0.9118 ± 0.0105,0.8904 ± 0.0043,0.8171 ± 0.0168,0.8402 ± 0.0120,0.9293 ± 0.0051
