,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
12,extra_trees,spearman_sulov,RandomOverSampler,0.6281 ± 0.0181,0.6158 ± 0.0275,0.8985 ± 0.0060,0.6332 ± 0.1066,0.6208 ± 0.0159,0.9499 ± 0.0061,0.8802 ± 0.0108,0.8985 ± 0.0060,0.8878 ± 0.0065,0.9608 ± 0.0056,0.8980 ± 0.0066,0.7657 ± 0.1577,0.6274 ± 0.0102,0.9555 ± 0.0060,0.8872 ± 0.0154,0.8980 ± 0.0066,0.8865 ± 0.0063,0.9609 ± 0.0036
13,extra_trees,chi2,RandomOverSampler,0.6481 ± 0.0342,0.6665 ± 0.0394,0.9026 ± 0.0081,0.8186 ± 0.1578,0.6504 ± 0.0230,0.9512 ± 0.0084,0.8971 ± 0.0145,0.9026 ± 0.0081,0.8941 ± 0.0082,0.9597 ± 0.0075,0.8964 ± 0.0051,0.8040 ± 0.1326,0.6384 ± 0.0206,0.9587 ± 0.0047,0.8895 ± 0.0112,0.8964 ± 0.0051,0.8866 ± 0.0053,0.9611 ± 0.0032
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6556 ± 0.0240,0.6563 ± 0.0582,0.8963 ± 0.0117,0.7321 ± 0.1531,0.6464 ± 0.0399,0.9386 ± 0.0204,0.8863 ± 0.0170,0.8963 ± 0.0117,0.8880 ± 0.0124,0.9552 ± 0.0084,0.8912 ± 0.0066,0.8119 ± 0.0737,0.6416 ± 0.0153,0.9566 ± 0.0071,0.8856 ± 0.0079,0.8912 ± 0.0066,0.8822 ± 0.0061,0.9586 ± 0.0039
15,xgboost,spearman_corr,RandomOverSampler,0.7002 ± 0.0447,0.7060 ± 0.0731,0.8897 ± 0.0152,0.7615 ± 0.1229,0.6870 ± 0.0583,0.9297 ± 0.0233,0.8857 ± 0.0188,0.8897 ± 0.0152,0.8857 ± 0.0160,0.9520 ± 0.0067,0.8807 ± 0.0093,0.7350 ± 0.0497,0.6834 ± 0.0393,0.9364 ± 0.0059,0.8746 ± 0.0105,0.8807 ± 0.0093,0.8768 ± 0.0097,0.9505 ± 0.0043
16,xgboost,mutual_info,RandomOverSampler,0.7171 ± 0.0250,0.7141 ± 0.0596,0.8875 ± 0.0104,0.7666 ± 0.1052,0.6944 ± 0.0477,0.9296 ± 0.0184,0.8844 ± 0.0127,0.8875 ± 0.0104,0.8842 ± 0.0113,0.9505 ± 0.0053,0.8838 ± 0.0085,0.7623 ± 0.0354,0.6960 ± 0.0221,0.9396 ± 0.0065,0.8791 ± 0.0081,0.8838 ± 0.0085,0.8803 ± 0.0079,0.9501 ± 0.0041
17,xgboost,spearman_sulov,RandomOverSampler,0.7015 ± 0.0441,0.6849 ± 0.0592,0.8857 ± 0.0156,0.7154 ± 0.0994,0.6754 ± 0.0510,0.9258 ± 0.0216,0.8815 ± 0.0197,0.8857 ± 0.0156,0.8819 ± 0.0169,0.9482 ± 0.0065,0.8836 ± 0.0089,0.7480 ± 0.0586,0.6819 ± 0.0363,0.9379 ± 0.0066,0.8775 ± 0.0096,0.8836 ± 0.0089,0.8793 ± 0.0088,0.9497 ± 0.0042
18,xgboost,chi2,RandomOverSampler,0.7234 ± 0.0342,0.7171 ± 0.0586,0.8901 ± 0.0108,0.7724 ± 0.0941,0.6962 ± 0.0483,0.9295 ± 0.0171,0.8862 ± 0.0136,0.8901 ± 0.0108,0.8862 ± 0.0118,0.9506 ± 0.0058,0.8833 ± 0.0095,0.7686 ± 0.0451,0.7010 ± 0.0288,0.9388 ± 0.0076,0.8789 ± 0.0100,0.8833 ± 0.0095,0.8801 ± 0.0097,0.9503 ± 0.0044
19,xgboost,chi2_mi_union_topk,RandomOverSampler,0.7091 ± 0.0526,0.7086 ± 0.0634,0.8853 ± 0.0143,0.7413 ± 0.0886,0.6976 ± 0.0621,0.9152 ± 0.0245,0.8821 ± 0.0184,0.8853 ± 0.0143,0.8821 ± 0.0157,0.9402 ± 0.0107,0.8791 ± 0.0108,0.7472 ± 0.0703,0.6910 ± 0.0443,0.9327 ± 0.0078,0.8741 ± 0.0121,0.8791 ± 0.0108,0.8756 ± 0.0110,0.9439 ± 0.0048
20,adaboost,spearman_corr,RandomOverSampler,0.7186 ± 0.0270,0.6838 ± 0.0414,0.8733 ± 0.0257,0.6917 ± 0.0574,0.6941 ± 0.0459,0.9098 ± 0.0129,0.8798 ± 0.0171,0.8733 ± 0.0257,0.8750 ± 0.0210,0.9197 ± 0.0217,0.8733 ± 0.0088,0.7292 ± 0.0404,0.7128 ± 0.0263,0.9171 ± 0.0111,0.8727 ± 0.0087,0.8733 ± 0.0088,0.8727 ± 0.0087,0.9221 ± 0.0112
21,adaboost,mutual_info,RandomOverSampler,0.7155 ± 0.0323,0.7057 ± 0.0506,0.8788 ± 0.0181,0.7082 ± 0.0621,0.7158 ± 0.0513,0.9124 ± 0.0142,0.8844 ± 0.0153,0.8788 ± 0.0181,0.8802 ± 0.0164,0.9232 ± 0.0146,0.8701 ± 0.0083,0.7180 ± 0.0358,0.7176 ± 0.0379,0.9169 ± 0.0119,0.8713 ± 0.0109,0.8701 ± 0.0083,0.8704 ± 0.0096,0.9207 ± 0.0084
22,adaboost,spearman_sulov,RandomOverSampler,0.7224 ± 0.0256,0.6954 ± 0.0452,0.8711 ± 0.0180,0.6940 ± 0.0510,0.7059 ± 0.0474,0.9167 ± 0.0125,0.8759 ± 0.0138,0.8711 ± 0.0180,0.8722 ± 0.0159,0.9284 ± 0.0115,0.8750 ± 0.0120,0.7241 ± 0.0264,0.7228 ± 0.0289,0.9205 ± 0.0074,0.8755 ± 0.0115,0.8750 ± 0.0120,0.8750 ± 0.0117,0.9226 ± 0.0085
