,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8381 ± 0.0191,0.6382 ± 0.0331,0.6517 ± 0.0382,0.6403 ± 0.0318,0.7716 ± 0.0200,0.8437 ± 0.0161,0.8381 ± 0.0191,0.8396 ± 0.0169,0.8455 ± 0.0163,0.8491 ± 0.0143,0.6802 ± 0.0269,0.6805 ± 0.0273,0.6796 ± 0.0263,0.7903 ± 0.0160,0.8495 ± 0.0138,0.8491 ± 0.0143,0.8491 ± 0.0140,0.8552 ± 0.0149
random_forest,0.9000 ± 0.0122,0.7506 ± 0.1503,0.6443 ± 0.0298,0.6548 ± 0.0460,0.9466 ± 0.0105,0.8902 ± 0.0210,0.9000 ± 0.0122,0.8911 ± 0.0138,0.9569 ± 0.0055,0.9000 ± 0.0044,0.7374 ± 0.1289,0.6410 ± 0.0230,0.6486 ± 0.0391,0.9561 ± 0.0066,0.8872 ± 0.0108,0.9000 ± 0.0044,0.8899 ± 0.0045,0.9605 ± 0.0041
extra_trees,0.8956 ± 0.0110,0.7816 ± 0.1462,0.6456 ± 0.0243,0.6604 ± 0.0392,0.9544 ± 0.0040,0.8892 ± 0.0159,0.8956 ± 0.0110,0.8877 ± 0.0110,0.9584 ± 0.0050,0.8973 ± 0.0063,0.7966 ± 0.0786,0.6548 ± 0.0247,0.6731 ± 0.0372,0.9603 ± 0.0033,0.8903 ± 0.0095,0.8973 ± 0.0063,0.8892 ± 0.0069,0.9596 ± 0.0025
xgboost,0.8806 ± 0.0126,0.7653 ± 0.0979,0.6849 ± 0.0606,0.7038 ± 0.0680,0.9074 ± 0.0246,0.8770 ± 0.0157,0.8806 ± 0.0126,0.8766 ± 0.0132,0.9365 ± 0.0064,0.8871 ± 0.0102,0.7731 ± 0.0564,0.6879 ± 0.0325,0.7115 ± 0.0406,0.9338 ± 0.0104,0.8818 ± 0.0113,0.8871 ± 0.0102,0.8827 ± 0.0102,0.9453 ± 0.0058
adaboost,0.8784 ± 0.0172,0.7012 ± 0.0501,0.7017 ± 0.0419,0.6954 ± 0.0348,0.9120 ± 0.0118,0.8809 ± 0.0113,0.8784 ± 0.0172,0.8784 ± 0.0143,0.9200 ± 0.0134,0.8739 ± 0.0077,0.7344 ± 0.0149,0.7113 ± 0.0314,0.7196 ± 0.0235,0.9189 ± 0.0124,0.8721 ± 0.0092,0.8739 ± 0.0077,0.8726 ± 0.0085,0.9208 ± 0.0107
svm,0.8967 ± 0.0054,0.5982 ± 0.0034,0.6158 ± 0.0034,0.6059 ± 0.0037,0.9458 ± 0.0064,0.8760 ± 0.0046,0.8967 ± 0.0054,0.8848 ± 0.0055,0.9529 ± 0.0055,0.8956 ± 0.0054,0.5970 ± 0.0037,0.6160 ± 0.0037,0.6060 ± 0.0037,0.9488 ± 0.0051,0.8709 ± 0.0053,0.8956 ± 0.0054,0.8826 ± 0.0053,0.9540 ± 0.0029
logistic_regression,0.8711 ± 0.0169,0.6904 ± 0.0330,0.7394 ± 0.0422,0.7000 ± 0.0255,0.9267 ± 0.0131,0.8887 ± 0.0098,0.8711 ± 0.0169,0.8756 ± 0.0133,0.9439 ± 0.0089,0.8836 ± 0.0074,0.7203 ± 0.0224,0.7645 ± 0.0243,0.7365 ± 0.0230,0.9294 ± 0.0114,0.8929 ± 0.0057,0.8836 ± 0.0074,0.8860 ± 0.0067,0.9466 ± 0.0026
knn,0.8740 ± 0.0095,0.6811 ± 0.1401,0.6202 ± 0.0253,0.6209 ± 0.0415,0.8519 ± 0.0325,0.8688 ± 0.0148,0.8740 ± 0.0095,0.8641 ± 0.0102,0.9233 ± 0.0120,0.8810 ± 0.0078,0.7273 ± 0.1414,0.6257 ± 0.0238,0.6271 ± 0.0386,0.8597 ± 0.0187,0.8744 ± 0.0171,0.8810 ± 0.0078,0.8698 ± 0.0088,0.9264 ± 0.0063
gaussian_nb,0.8062 ± 0.0227,0.6553 ± 0.0181,0.7891 ± 0.0559,0.6486 ± 0.0268,0.9181 ± 0.0249,0.8928 ± 0.0134,0.8062 ± 0.0227,0.8309 ± 0.0200,0.9341 ± 0.0098,0.8170 ± 0.0143,0.6656 ± 0.0078,0.8074 ± 0.0190,0.6694 ± 0.0158,0.9133 ± 0.0114,0.8909 ± 0.0050,0.8170 ± 0.0143,0.8403 ± 0.0104,0.9294 ± 0.0052
