,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6688 ± 0.0430,0.6465 ± 0.0435,0.8352 ± 0.0123,0.6536 ± 0.0507,0.6441 ± 0.0402,0.7709 ± 0.0189,0.8371 ± 0.0129,0.8352 ± 0.0123,0.8351 ± 0.0122,0.8465 ± 0.0141,0.8303 ± 0.0175,0.6676 ± 0.0416,0.6732 ± 0.0475,0.7843 ± 0.0270,0.8320 ± 0.0161,0.8303 ± 0.0175,0.8309 ± 0.0166,0.8430 ± 0.0159
1,decision_tree,mutual_info,RandomOverSampler,0.6657 ± 0.0352,0.6192 ± 0.0333,0.8293 ± 0.0219,0.6324 ± 0.0575,0.6181 ± 0.0245,0.7562 ± 0.0148,0.8305 ± 0.0178,0.8293 ± 0.0219,0.8284 ± 0.0195,0.8415 ± 0.0181,0.8322 ± 0.0134,0.6655 ± 0.0325,0.6677 ± 0.0394,0.7821 ± 0.0215,0.8330 ± 0.0131,0.8322 ± 0.0134,0.8324 ± 0.0132,0.8447 ± 0.0128
2,decision_tree,spearman_sulov,RandomOverSampler,0.6688 ± 0.0430,0.6465 ± 0.0435,0.8352 ± 0.0123,0.6536 ± 0.0507,0.6441 ± 0.0402,0.7709 ± 0.0189,0.8371 ± 0.0129,0.8352 ± 0.0123,0.8351 ± 0.0122,0.8465 ± 0.0141,0.8303 ± 0.0175,0.6676 ± 0.0416,0.6732 ± 0.0475,0.7843 ± 0.0270,0.8320 ± 0.0161,0.8303 ± 0.0175,0.8309 ± 0.0166,0.8430 ± 0.0159
3,decision_tree,chi2,RandomOverSampler,0.6909 ± 0.0472,0.6561 ± 0.0460,0.8396 ± 0.0201,0.6629 ± 0.0454,0.6613 ± 0.0595,0.7797 ± 0.0324,0.8406 ± 0.0171,0.8396 ± 0.0201,0.8389 ± 0.0189,0.8492 ± 0.0183,0.8393 ± 0.0208,0.6958 ± 0.0513,0.6882 ± 0.0461,0.7929 ± 0.0262,0.8388 ± 0.0197,0.8393 ± 0.0208,0.8389 ± 0.0201,0.8482 ± 0.0187
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6815 ± 0.0335,0.6525 ± 0.0250,0.8403 ± 0.0119,0.6565 ± 0.0251,0.6531 ± 0.0298,0.7772 ± 0.0160,0.8406 ± 0.0119,0.8403 ± 0.0119,0.8394 ± 0.0119,0.8520 ± 0.0117,0.8358 ± 0.0159,0.6808 ± 0.0304,0.6842 ± 0.0386,0.7913 ± 0.0203,0.8362 ± 0.0156,0.8358 ± 0.0159,0.8358 ± 0.0155,0.8477 ± 0.0158
5,random_forest,spearman_corr,RandomOverSampler,0.6272 ± 0.0319,0.6500 ± 0.0493,0.9015 ± 0.0145,0.7678 ± 0.1809,0.6400 ± 0.0309,0.9464 ± 0.0111,0.8915 ± 0.0243,0.9015 ± 0.0145,0.8919 ± 0.0157,0.9586 ± 0.0080,0.8980 ± 0.0069,0.7160 ± 0.1597,0.6267 ± 0.0185,0.9564 ± 0.0049,0.8826 ± 0.0169,0.8980 ± 0.0069,0.8863 ± 0.0075,0.9603 ± 0.0027
6,random_forest,mutual_info,RandomOverSampler,0.6438 ± 0.0182,0.6410 ± 0.0469,0.9015 ± 0.0147,0.7181 ± 0.1632,0.6355 ± 0.0297,0.9498 ± 0.0063,0.8880 ± 0.0232,0.9015 ± 0.0147,0.8916 ± 0.0157,0.9587 ± 0.0064,0.8970 ± 0.0043,0.8487 ± 0.1159,0.6348 ± 0.0101,0.9563 ± 0.0044,0.8932 ± 0.0081,0.8970 ± 0.0043,0.8866 ± 0.0043,0.9597 ± 0.0034
7,random_forest,spearman_sulov,RandomOverSampler,0.6272 ± 0.0319,0.6500 ± 0.0493,0.9015 ± 0.0145,0.7678 ± 0.1809,0.6400 ± 0.0309,0.9464 ± 0.0111,0.8915 ± 0.0243,0.9015 ± 0.0145,0.8919 ± 0.0157,0.9586 ± 0.0080,0.8980 ± 0.0069,0.7160 ± 0.1597,0.6267 ± 0.0185,0.9564 ± 0.0049,0.8826 ± 0.0169,0.8980 ± 0.0069,0.8863 ± 0.0075,0.9603 ± 0.0027
8,random_forest,chi2,RandomOverSampler,0.6974 ± 0.0323,0.6823 ± 0.0478,0.8982 ± 0.0099,0.8218 ± 0.1379,0.6609 ± 0.0315,0.9480 ± 0.0114,0.8941 ± 0.0162,0.8982 ± 0.0099,0.8911 ± 0.0102,0.9552 ± 0.0085,0.8937 ± 0.0052,0.8181 ± 0.0767,0.6713 ± 0.0227,0.9570 ± 0.0070,0.8893 ± 0.0074,0.8937 ± 0.0052,0.8873 ± 0.0047,0.9580 ± 0.0041
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6655 ± 0.0419,0.6674 ± 0.0438,0.9029 ± 0.0111,0.8351 ± 0.1648,0.6504 ± 0.0263,0.9466 ± 0.0134,0.8980 ± 0.0201,0.9029 ± 0.0111,0.8942 ± 0.0121,0.9576 ± 0.0082,0.8969 ± 0.0054,0.8352 ± 0.1144,0.6487 ± 0.0267,0.9536 ± 0.0079,0.8920 ± 0.0103,0.8969 ± 0.0054,0.8878 ± 0.0062,0.9589 ± 0.0036
