,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6736 ± 0.0316,0.6792 ± 0.0263,0.8337 ± 0.0206,0.6812 ± 0.0374,0.6886 ± 0.0266,0.7932 ± 0.0141,0.8391 ± 0.0182,0.8337 ± 0.0206,0.8350 ± 0.0189,0.8466 ± 0.0182,0.8319 ± 0.0147,0.6730 ± 0.0342,0.6761 ± 0.0303,0.7862 ± 0.0181,0.8337 ± 0.0146,0.8319 ± 0.0147,0.8325 ± 0.0145,0.8444 ± 0.0147
1,decision_tree,mutual_info,SMOTE,0.6749 ± 0.0518,0.6410 ± 0.0231,0.8234 ± 0.0220,0.6440 ± 0.0318,0.6505 ± 0.0310,0.7714 ± 0.0145,0.8294 ± 0.0173,0.8234 ± 0.0220,0.8250 ± 0.0194,0.8384 ± 0.0186,0.8344 ± 0.0148,0.6770 ± 0.0572,0.6744 ± 0.0479,0.7861 ± 0.0273,0.8357 ± 0.0146,0.8344 ± 0.0148,0.8349 ± 0.0146,0.8466 ± 0.0136
2,decision_tree,spearman_sulov,SMOTE,0.6736 ± 0.0316,0.6792 ± 0.0263,0.8337 ± 0.0206,0.6812 ± 0.0374,0.6886 ± 0.0266,0.7932 ± 0.0141,0.8391 ± 0.0182,0.8337 ± 0.0206,0.8350 ± 0.0189,0.8466 ± 0.0182,0.8319 ± 0.0147,0.6730 ± 0.0342,0.6761 ± 0.0303,0.7862 ± 0.0181,0.8337 ± 0.0146,0.8319 ± 0.0147,0.8325 ± 0.0145,0.8444 ± 0.0147
3,decision_tree,chi2,SMOTE,0.6988 ± 0.0313,0.6586 ± 0.0572,0.8363 ± 0.0151,0.6690 ± 0.0584,0.6681 ± 0.0775,0.7823 ± 0.0399,0.8396 ± 0.0161,0.8363 ± 0.0151,0.8363 ± 0.0152,0.8468 ± 0.0152,0.8388 ± 0.0140,0.6968 ± 0.0303,0.7018 ± 0.0328,0.7998 ± 0.0180,0.8397 ± 0.0145,0.8388 ± 0.0140,0.8391 ± 0.0142,0.8484 ± 0.0138
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6841 ± 0.0484,0.6584 ± 0.0501,0.8370 ± 0.0120,0.6590 ± 0.0491,0.6645 ± 0.0571,0.7820 ± 0.0300,0.8381 ± 0.0134,0.8370 ± 0.0120,0.8362 ± 0.0128,0.8492 ± 0.0115,0.8349 ± 0.0148,0.6791 ± 0.0478,0.6924 ± 0.0522,0.7955 ± 0.0287,0.8374 ± 0.0148,0.8349 ± 0.0148,0.8358 ± 0.0146,0.8480 ± 0.0146
5,random_forest,spearman_corr,SMOTE,0.6194 ± 0.0165,0.6510 ± 0.0485,0.9029 ± 0.0149,0.7686 ± 0.1801,0.6411 ± 0.0298,0.9490 ± 0.0086,0.8927 ± 0.0238,0.9029 ± 0.0149,0.8934 ± 0.0159,0.9583 ± 0.0068,0.8950 ± 0.0069,0.7307 ± 0.1702,0.6211 ± 0.0084,0.9568 ± 0.0063,0.8812 ± 0.0133,0.8950 ± 0.0069,0.8831 ± 0.0064,0.9604 ± 0.0038
6,random_forest,mutual_info,SMOTE,0.6463 ± 0.0340,0.6500 ± 0.0461,0.9015 ± 0.0108,0.7678 ± 0.1776,0.6400 ± 0.0275,0.9491 ± 0.0064,0.8914 ± 0.0195,0.9015 ± 0.0108,0.8919 ± 0.0116,0.9592 ± 0.0057,0.8973 ± 0.0068,0.8652 ± 0.1415,0.6368 ± 0.0204,0.9578 ± 0.0054,0.8945 ± 0.0147,0.8973 ± 0.0068,0.8868 ± 0.0070,0.9605 ± 0.0031
7,random_forest,spearman_sulov,SMOTE,0.6194 ± 0.0165,0.6510 ± 0.0485,0.9029 ± 0.0149,0.7686 ± 0.1801,0.6411 ± 0.0298,0.9490 ± 0.0086,0.8927 ± 0.0238,0.9029 ± 0.0149,0.8934 ± 0.0159,0.9583 ± 0.0068,0.8950 ± 0.0069,0.7307 ± 0.1702,0.6211 ± 0.0084,0.9568 ± 0.0063,0.8812 ± 0.0133,0.8950 ± 0.0069,0.8831 ± 0.0064,0.9604 ± 0.0038
8,random_forest,chi2,SMOTE,0.6948 ± 0.0298,0.6854 ± 0.0420,0.8960 ± 0.0115,0.8072 ± 0.1245,0.6639 ± 0.0282,0.9485 ± 0.0081,0.8919 ± 0.0164,0.8960 ± 0.0115,0.8895 ± 0.0115,0.9554 ± 0.0080,0.8951 ± 0.0066,0.8154 ± 0.0668,0.6688 ± 0.0199,0.9591 ± 0.0056,0.8901 ± 0.0086,0.8951 ± 0.0066,0.8885 ± 0.0066,0.9583 ± 0.0042
9,random_forest,chi2_mi_union_topk,SMOTE,0.6649 ± 0.0419,0.6484 ± 0.0475,0.9000 ± 0.0117,0.7504 ± 0.1697,0.6392 ± 0.0293,0.9446 ± 0.0132,0.8893 ± 0.0208,0.9000 ± 0.0117,0.8907 ± 0.0131,0.9576 ± 0.0077,0.8989 ± 0.0075,0.8550 ± 0.1399,0.6485 ± 0.0261,0.9567 ± 0.0052,0.8950 ± 0.0148,0.8989 ± 0.0075,0.8894 ± 0.0083,0.9596 ± 0.0028
