,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
22,adaboost,spearman_sulov,RandomOverSampler,0.7367 ± 0.0319,0.7228 ± 0.0418,0.8714 ± 0.0213,0.7339 ± 0.0548,0.7273 ± 0.0481,0.9195 ± 0.0189,0.8737 ± 0.0174,0.8714 ± 0.0213,0.8716 ± 0.0194,0.9190 ± 0.0265,0.8792 ± 0.0107,0.7483 ± 0.0366,0.7285 ± 0.0306,0.9243 ± 0.0079,0.8784 ± 0.0102,0.8792 ± 0.0107,0.8785 ± 0.0105,0.9250 ± 0.0069
23,adaboost,chi2,RandomOverSampler,0.7368 ± 0.0278,0.7131 ± 0.0408,0.8740 ± 0.0192,0.7114 ± 0.0547,0.7251 ± 0.0499,0.9205 ± 0.0113,0.8781 ± 0.0181,0.8740 ± 0.0192,0.8751 ± 0.0184,0.9210 ± 0.0097,0.8745 ± 0.0101,0.7555 ± 0.0366,0.7251 ± 0.0296,0.9243 ± 0.0110,0.8734 ± 0.0103,0.8745 ± 0.0101,0.8735 ± 0.0102,0.9244 ± 0.0110
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.7409 ± 0.0234,0.7035 ± 0.0360,0.8678 ± 0.0196,0.7020 ± 0.0552,0.7159 ± 0.0318,0.9204 ± 0.0166,0.8743 ± 0.0157,0.8678 ± 0.0196,0.8700 ± 0.0180,0.9226 ± 0.0151,0.8764 ± 0.0063,0.7485 ± 0.0339,0.7372 ± 0.0225,0.9242 ± 0.0092,0.8767 ± 0.0047,0.8764 ± 0.0063,0.8763 ± 0.0053,0.9244 ± 0.0092
25,svm,spearman_corr,RandomOverSampler,0.6194 ± 0.0219,0.6168 ± 0.0251,0.9004 ± 0.0094,0.6343 ± 0.1042,0.6227 ± 0.0145,0.9491 ± 0.0075,0.8824 ± 0.0121,0.9004 ± 0.0094,0.8893 ± 0.0097,0.9601 ± 0.0069,0.9006 ± 0.0058,0.6505 ± 0.1119,0.6246 ± 0.0118,0.9507 ± 0.0060,0.8801 ± 0.0105,0.9006 ± 0.0058,0.8883 ± 0.0060,0.9588 ± 0.0024
26,svm,mutual_info,RandomOverSampler,0.6120 ± 0.0101,0.6232 ± 0.0334,0.8978 ± 0.0080,0.6657 ± 0.1392,0.6253 ± 0.0189,0.9477 ± 0.0076,0.8822 ± 0.0128,0.8978 ± 0.0080,0.8870 ± 0.0078,0.9591 ± 0.0066,0.8991 ± 0.0038,0.6329 ± 0.1042,0.6200 ± 0.0051,0.9485 ± 0.0060,0.8773 ± 0.0081,0.8991 ± 0.0038,0.8865 ± 0.0036,0.9583 ± 0.0027
27,svm,spearman_sulov,RandomOverSampler,0.6130 ± 0.0100,0.6175 ± 0.0256,0.9015 ± 0.0090,0.6348 ± 0.1048,0.6233 ± 0.0150,0.9496 ± 0.0073,0.8831 ± 0.0122,0.9015 ± 0.0090,0.8902 ± 0.0092,0.9596 ± 0.0066,0.9005 ± 0.0048,0.6338 ± 0.1039,0.6209 ± 0.0050,0.9510 ± 0.0061,0.8786 ± 0.0082,0.9005 ± 0.0048,0.8879 ± 0.0048,0.9590 ± 0.0027
28,svm,chi2,RandomOverSampler,0.6116 ± 0.0096,0.6152 ± 0.0264,0.8982 ± 0.0091,0.6327 ± 0.1055,0.6210 ± 0.0159,0.9483 ± 0.0076,0.8799 ± 0.0130,0.8982 ± 0.0091,0.8870 ± 0.0094,0.9593 ± 0.0067,0.8984 ± 0.0048,0.6325 ± 0.1036,0.6195 ± 0.0047,0.9494 ± 0.0059,0.8766 ± 0.0077,0.8984 ± 0.0048,0.8859 ± 0.0047,0.9582 ± 0.0026
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6695 ± 0.0348,0.6715 ± 0.0495,0.9044 ± 0.0072,0.7706 ± 0.1377,0.6572 ± 0.0318,0.9441 ± 0.0141,0.8974 ± 0.0156,0.9044 ± 0.0072,0.8961 ± 0.0091,0.9577 ± 0.0062,0.9031 ± 0.0043,0.8197 ± 0.1043,0.6545 ± 0.0213,0.9461 ± 0.0103,0.8976 ± 0.0106,0.9031 ± 0.0043,0.8939 ± 0.0049,0.9581 ± 0.0025
30,logistic_regression,spearman_corr,RandomOverSampler,0.7583 ± 0.0234,0.7322 ± 0.0395,0.8846 ± 0.0159,0.7211 ± 0.0367,0.7620 ± 0.0590,0.9463 ± 0.0120,0.8952 ± 0.0101,0.8846 ± 0.0159,0.8862 ± 0.0141,0.9586 ± 0.0051,0.8962 ± 0.0077,0.7484 ± 0.0265,0.7743 ± 0.0225,0.9441 ± 0.0087,0.9012 ± 0.0053,0.8962 ± 0.0077,0.8972 ± 0.0066,0.9543 ± 0.0028
31,logistic_regression,mutual_info,RandomOverSampler,0.7440 ± 0.0252,0.7246 ± 0.0335,0.8846 ± 0.0173,0.7151 ± 0.0326,0.7529 ± 0.0515,0.9421 ± 0.0141,0.8951 ± 0.0095,0.8846 ± 0.0173,0.8863 ± 0.0146,0.9560 ± 0.0062,0.8901 ± 0.0065,0.7368 ± 0.0278,0.7559 ± 0.0258,0.9397 ± 0.0089,0.8940 ± 0.0042,0.8901 ± 0.0065,0.8909 ± 0.0054,0.9515 ± 0.0027
