epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.3709913598927292,0.2053651213645935,0.918918918918919,0.9220563847429519,0.9230769230769231
2,0.19336063666520892,0.17512864297306216,0.9324324324324325,0.9356919108162889,0.9358974358974359
3,0.16638840201335983,0.17399748072430893,0.9324324324324325,0.9356919108162889,0.9358974358974359
4,0.13842438946704608,0.1785351393391957,0.9324324324324325,0.9344020637552976,0.9367088607594937
5,0.10980016924440861,0.19794289407798568,0.9324324324324325,0.9356919108162889,0.9358974358974359
6,0.10389398033353123,0.18615679410160393,0.9391891891891891,0.9418647503224618,0.9426751592356688
7,0.0798898639056731,0.1967624055372702,0.9324324324324325,0.9344020637552976,0.9367088607594937
8,0.07431405084207654,0.18871348635671106,0.9324324324324325,0.9344020637552976,0.9367088607594937
9,0.057747890423932996,0.19778248760849237,0.9324324324324325,0.9344020637552976,0.9367088607594937
10,0.05276064795592951,0.19565170107258334,0.9391891891891891,0.9405749032614704,0.9433962264150944
11,0.030737425927450327,0.29405556678476213,0.9324324324324325,0.9331122166943062,0.9375
12,0.037537941479869816,0.26396225906933685,0.9391891891891891,0.9379952091394878,0.9447852760736196
13,0.022107113023741624,0.2964374114668022,0.9391891891891891,0.9379952091394878,0.9447852760736196
