,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,7.1198 ± 0.4219,95.4209 ± 9.1692,-1.3341 ± 0.3991,7.3215 ± 0.3554,99.7952 ± 9.7224,-1.2218 ± 0.2343
random_forest,4.6417 ± 0.3784,44.2065 ± 7.5553,-0.0582 ± 0.0574,4.8532 ± 0.1270,47.5229 ± 2.2429,-0.0562 ± 0.0175
gradient_boosting,5.1039 ± 0.3294,49.4732 ± 7.0082,-0.1907 ± 0.0926,5.3719 ± 0.1408,54.4852 ± 3.4489,-0.2107 ± 0.0493
ridge,7.8920 ± 0.1784,105.8293 ± 6.1668,-1.5963 ± 0.4643,8.9418 ± 0.2723,134.8456 ± 10.4287,-1.9995 ± 0.2292
lasso,4.5055 ± 0.3460,42.4191 ± 7.1174,-0.0142 ± 0.0138,4.6887 ± 0.1042,45.0879 ± 1.7882,-0.0022 ± 0.0009
svr,4.4443 ± 0.3884,42.9798 ± 7.6595,-0.0261 ± 0.0301,4.6214 ± 0.0986,45.4649 ± 1.9431,-0.0105 ± 0.0062
knn,4.9368 ± 0.2862,48.1872 ± 6.7357,-0.1590 ± 0.0739,5.0737 ± 0.1145,49.3962 ± 2.0379,-0.0981 ± 0.0201
