,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,6.6167 ± 0.6629,88.4893 ± 16.8678,-1.1375 ± 0.4010,6.6683 ± 0.1852,91.2082 ± 5.1410,-1.0280 ± 0.0960
random_forest,4.4871 ± 0.3265,42.6219 ± 7.1694,-0.0206 ± 0.0533,4.7599 ± 0.1214,47.5359 ± 2.3923,-0.0565 ± 0.0283
gradient_boosting,4.9043 ± 0.3033,50.4359 ± 7.0134,-0.2150 ± 0.0944,5.1791 ± 0.1111,54.9276 ± 2.3563,-0.2210 ± 0.0222
ridge,6.0580 ± 0.4823,76.4129 ± 12.6553,-0.8498 ± 0.2729,6.3934 ± 0.2105,85.4196 ± 7.9996,-0.8980 ± 0.1547
lasso,4.4761 ± 0.3466,42.0871 ± 7.0734,-0.0062 ± 0.0149,4.6714 ± 0.0990,45.0422 ± 1.8104,-0.0012 ± 0.0024
svr,4.3796 ± 0.3534,42.1375 ± 7.0359,-0.0078 ± 0.0183,4.5521 ± 0.0890,44.7731 ± 1.8062,0.0048 ± 0.0063
knn,4.7435 ± 0.3753,48.9022 ± 7.9439,-0.1733 ± 0.0914,4.8852 ± 0.1206,50.2976 ± 2.5161,-0.1178 ± 0.0262
