epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.611529391258955,0.7595499805782152,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
2,0.5622823424637318,0.7376478184824404,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
3,0.47202929854393005,0.701053393923718,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
4,0.4909283258020878,0.6572956727898639,0.6956521739130435,0.7083333333333334,0.6159844054580897,0.6107297228578694,1.0,0.125,1.0
5,0.47860679775476456,0.6537527882534525,0.6956521739130435,0.7083333333333334,0.6159844054580897,0.6107297228578694,1.0,0.125,1.0
6,0.39506544172763824,0.6473580495170925,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
7,0.4212312065064907,0.6332477175671122,0.782608695652174,0.7916666666666666,0.7548029312735195,0.7538040249037692,1.0,0.375,1.0
8,0.4115467257797718,0.6482453683148259,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
