epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.4108624381793512,0.2500208117369864,0.9054054054054054,0.9102564102564102,0.908420858669615
2,0.19126223219004837,0.25213456491159425,0.9054054054054054,0.9113924050632911,0.9071310116086235
3,0.15982110395624832,0.26121018132245216,0.918918918918919,0.925,0.9194766906209693
4,0.15066729702458187,0.27619004551623316,0.9121621621621622,0.9182389937106918,0.9133038511147964
5,0.12878218132096367,0.29284763905043537,0.918918918918919,0.925,0.9194766906209693
6,0.11700628718008867,0.31014719394010465,0.9054054054054054,0.9113924050632911,0.9071310116086235
7,0.10277725265336198,0.3506806516969526,0.8986486486486487,0.906832298136646,0.898378477980468
8,0.08654106642446809,0.40130040452287,0.8918918918918919,0.9,0.8922056384742951
9,0.06439739078081944,0.4418448866219134,0.8986486486486487,0.9056603773584906,0.8996683250414593
10,0.07184292166493833,0.44978292427352956,0.8986486486486487,0.9056603773584906,0.8996683250414593
11,0.051069336392715374,0.48639064644639557,0.8986486486486487,0.906832298136646,0.898378477980468
