,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8322 ± 0.0303,0.6486 ± 0.0686,0.6518 ± 0.0829,0.6464 ± 0.0718,0.7743 ± 0.0461,0.8341 ± 0.0276,0.8322 ± 0.0303,0.8325 ± 0.0290,0.8452 ± 0.0269,0.8313 ± 0.0097,0.6599 ± 0.0396,0.6579 ± 0.0447,0.6581 ± 0.0421,0.7764 ± 0.0230,0.8302 ± 0.0101,0.8313 ± 0.0097,0.8305 ± 0.0098,0.8424 ± 0.0094
random_forest,0.8982 ± 0.0105,0.7159 ± 0.1584,0.6341 ± 0.0244,0.6389 ± 0.0416,0.9475 ± 0.0122,0.8857 ± 0.0163,0.8982 ± 0.0105,0.8883 ± 0.0103,0.9599 ± 0.0067,0.8932 ± 0.0056,0.7019 ± 0.1107,0.6292 ± 0.0185,0.6329 ± 0.0318,0.9581 ± 0.0045,0.8780 ± 0.0122,0.8932 ± 0.0056,0.8827 ± 0.0061,0.9612 ± 0.0027
extra_trees,0.8938 ± 0.0113,0.6625 ± 0.1431,0.6218 ± 0.0230,0.6202 ± 0.0379,0.9485 ± 0.0124,0.8766 ± 0.0178,0.8938 ± 0.0113,0.8829 ± 0.0119,0.9610 ± 0.0077,0.8976 ± 0.0056,0.7652 ± 0.1763,0.6288 ± 0.0171,0.6306 ± 0.0305,0.9556 ± 0.0087,0.8865 ± 0.0167,0.8976 ± 0.0056,0.8862 ± 0.0059,0.9622 ± 0.0032
xgboost,0.8963 ± 0.0117,0.7725 ± 0.1137,0.6824 ± 0.0534,0.6965 ± 0.0571,0.9375 ± 0.0229,0.8915 ± 0.0149,0.8963 ± 0.0117,0.8907 ± 0.0122,0.9567 ± 0.0066,0.8937 ± 0.0045,0.7553 ± 0.0650,0.6717 ± 0.0271,0.6919 ± 0.0379,0.9463 ± 0.0079,0.8863 ± 0.0050,0.8937 ± 0.0045,0.8880 ± 0.0047,0.9573 ± 0.0040
adaboost,0.8703 ± 0.0168,0.7162 ± 0.0550,0.7179 ± 0.0319,0.7092 ± 0.0318,0.9231 ± 0.0104,0.8743 ± 0.0133,0.8703 ± 0.0168,0.8712 ± 0.0145,0.9267 ± 0.0102,0.8719 ± 0.0117,0.7534 ± 0.0542,0.7318 ± 0.0321,0.7398 ± 0.0376,0.9249 ± 0.0083,0.8723 ± 0.0110,0.8719 ± 0.0117,0.8715 ± 0.0113,0.9251 ± 0.0077
svm,0.9022 ± 0.0117,0.6351 ± 0.1031,0.6284 ± 0.0271,0.6242 ± 0.0437,0.9461 ± 0.0103,0.8836 ± 0.0119,0.9022 ± 0.0117,0.8911 ± 0.0110,0.9574 ± 0.0071,0.9013 ± 0.0067,0.7508 ± 0.1656,0.6302 ± 0.0123,0.6301 ± 0.0232,0.9484 ± 0.0074,0.8890 ± 0.0150,0.9013 ± 0.0067,0.8895 ± 0.0066,0.9568 ± 0.0035
logistic_regression,0.8894 ± 0.0122,0.7192 ± 0.0417,0.7467 ± 0.0774,0.7256 ± 0.0517,0.9380 ± 0.0133,0.8951 ± 0.0121,0.8894 ± 0.0122,0.8896 ± 0.0116,0.9508 ± 0.0056,0.8910 ± 0.0072,0.7441 ± 0.0365,0.7495 ± 0.0226,0.7450 ± 0.0278,0.9325 ± 0.0124,0.8933 ± 0.0062,0.8910 ± 0.0072,0.8912 ± 0.0066,0.9436 ± 0.0054
knn,0.8421 ± 0.0134,0.6794 ± 0.1077,0.6276 ± 0.0395,0.6296 ± 0.0490,0.8235 ± 0.0287,0.8552 ± 0.0150,0.8421 ± 0.0134,0.8350 ± 0.0147,0.9119 ± 0.0136,0.8535 ± 0.0065,0.7040 ± 0.0184,0.6577 ± 0.0197,0.6657 ± 0.0190,0.8350 ± 0.0133,0.8628 ± 0.0048,0.8535 ± 0.0065,0.8477 ± 0.0069,0.9137 ± 0.0059
gaussian_nb,0.8227 ± 0.0378,0.6486 ± 0.0348,0.7300 ± 0.0725,0.6523 ± 0.0500,0.8325 ± 0.0540,0.8773 ± 0.0205,0.8227 ± 0.0378,0.8422 ± 0.0297,0.9153 ± 0.0154,0.8146 ± 0.0203,0.6442 ± 0.0105,0.7290 ± 0.0270,0.6476 ± 0.0182,0.8343 ± 0.0195,0.8720 ± 0.0065,0.8146 ± 0.0203,0.8363 ± 0.0147,0.9125 ± 0.0049
