,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.5615 ± 0.0225,0.4059 ± 0.0296,0.4023 ± 0.0280,0.4031 ± 0.0283,0.5625 ± 0.0149,0.5656 ± 0.0219,0.5615 ± 0.0225,0.5624 ± 0.0224,0.5840 ± 0.0214,0.5553 ± 0.0172,0.4001 ± 0.0186,0.3973 ± 0.0166,0.3979 ± 0.0168,0.5576 ± 0.0122,0.5555 ± 0.0169,0.5553 ± 0.0172,0.5552 ± 0.0171,0.5766 ± 0.0171
random_forest,0.6458 ± 0.0163,0.4353 ± 0.0134,0.4354 ± 0.0110,0.4287 ± 0.0113,0.7281 ± 0.0414,0.6347 ± 0.0186,0.6458 ± 0.0163,0.6307 ± 0.0161,0.7248 ± 0.0245,0.6454 ± 0.0131,0.4344 ± 0.0095,0.4362 ± 0.0092,0.4296 ± 0.0095,0.7389 ± 0.0193,0.6316 ± 0.0135,0.6454 ± 0.0131,0.6302 ± 0.0135,0.7154 ± 0.0124
extra_trees,0.6473 ± 0.0248,0.4339 ± 0.0179,0.4380 ± 0.0169,0.4320 ± 0.0175,0.7348 ± 0.0281,0.6335 ± 0.0253,0.6473 ± 0.0248,0.6346 ± 0.0252,0.7299 ± 0.0194,0.6498 ± 0.0143,0.4353 ± 0.0101,0.4402 ± 0.0101,0.4341 ± 0.0103,0.7371 ± 0.0200,0.6336 ± 0.0144,0.6498 ± 0.0143,0.6363 ± 0.0146,0.7268 ± 0.0182
xgboost,0.6590 ± 0.0235,0.4405 ± 0.0163,0.4487 ± 0.0157,0.4436 ± 0.0158,0.7397 ± 0.0350,0.6441 ± 0.0232,0.6590 ± 0.0235,0.6501 ± 0.0232,0.7401 ± 0.0220,0.6572 ± 0.0131,0.4715 ± 0.1090,0.4504 ± 0.0122,0.4464 ± 0.0164,0.7397 ± 0.0174,0.6418 ± 0.0181,0.6572 ± 0.0131,0.6476 ± 0.0132,0.7303 ± 0.0157
adaboost,0.6092 ± 0.0289,0.4097 ± 0.0204,0.4157 ± 0.0219,0.4092 ± 0.0238,0.6729 ± 0.0251,0.6002 ± 0.0303,0.6092 ± 0.0289,0.5996 ± 0.0332,0.6253 ± 0.0304,0.6113 ± 0.0171,0.5070 ± 0.1055,0.4328 ± 0.0181,0.4389 ± 0.0245,0.6864 ± 0.0179,0.6041 ± 0.0221,0.6113 ± 0.0171,0.6045 ± 0.0169,0.6292 ± 0.0130
svm,0.6505 ± 0.0231,0.4340 ± 0.0163,0.4417 ± 0.0158,0.4361 ± 0.0161,0.7495 ± 0.0347,0.6346 ± 0.0232,0.6505 ± 0.0231,0.6399 ± 0.0232,0.7170 ± 0.0274,0.6388 ± 0.0217,0.4260 ± 0.0147,0.4344 ± 0.0156,0.4286 ± 0.0157,0.7485 ± 0.0192,0.6209 ± 0.0213,0.6388 ± 0.0217,0.6275 ± 0.0223,0.7054 ± 0.0171
logistic_regression,0.6289 ± 0.0233,0.4731 ± 0.0580,0.4702 ± 0.0495,0.4698 ± 0.0525,0.7130 ± 0.0346,0.6263 ± 0.0243,0.6289 ± 0.0233,0.6263 ± 0.0236,0.6939 ± 0.0272,0.6248 ± 0.0173,0.4902 ± 0.0183,0.4672 ± 0.0216,0.4732 ± 0.0204,0.7313 ± 0.0266,0.6206 ± 0.0167,0.6248 ± 0.0173,0.6220 ± 0.0171,0.6925 ± 0.0163
knn,0.5352 ± 0.0240,0.3633 ± 0.0175,0.3723 ± 0.0170,0.3590 ± 0.0159,0.5605 ± 0.0357,0.5341 ± 0.0260,0.5352 ± 0.0240,0.5219 ± 0.0233,0.5721 ± 0.0340,0.5162 ± 0.0161,0.3494 ± 0.0109,0.3596 ± 0.0107,0.3475 ± 0.0113,0.5639 ± 0.0122,0.5122 ± 0.0161,0.5162 ± 0.0161,0.5042 ± 0.0170,0.5563 ± 0.0166
gaussian_nb,0.2846 ± 0.0844,0.3685 ± 0.0221,0.3192 ± 0.0533,0.2517 ± 0.0523,0.5066 ± 0.0244,0.5316 ± 0.0329,0.2846 ± 0.0844,0.3472 ± 0.0727,0.5336 ± 0.0188,0.3230 ± 0.0606,0.3709 ± 0.0180,0.2920 ± 0.0701,0.2746 ± 0.0387,0.4874 ± 0.0421,0.5348 ± 0.0223,0.3230 ± 0.0606,0.3822 ± 0.0478,0.5280 ± 0.0193
