,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.5410 ± 0.0353,0.3799 ± 0.0245,0.3830 ± 0.0265,0.3803 ± 0.0249,0.5451 ± 0.0213,0.5411 ± 0.0308,0.5410 ± 0.0353,0.5400 ± 0.0327,0.5610 ± 0.0303,0.5382 ± 0.0224,0.3990 ± 0.0265,0.3999 ± 0.0264,0.3992 ± 0.0264,0.5531 ± 0.0182,0.5379 ± 0.0229,0.5382 ± 0.0224,0.5378 ± 0.0227,0.5595 ± 0.0222
random_forest,0.6256 ± 0.0176,0.4219 ± 0.0132,0.4205 ± 0.0125,0.4128 ± 0.0134,0.7261 ± 0.0358,0.6152 ± 0.0187,0.6256 ± 0.0176,0.6082 ± 0.0189,0.6993 ± 0.0243,0.6270 ± 0.0220,0.4223 ± 0.0157,0.4227 ± 0.0158,0.4152 ± 0.0166,0.7196 ± 0.0190,0.6140 ± 0.0224,0.6270 ± 0.0220,0.6099 ± 0.0235,0.6859 ± 0.0167
extra_trees,0.6432 ± 0.0340,0.4329 ± 0.0257,0.4338 ± 0.0233,0.4273 ± 0.0239,0.7312 ± 0.0355,0.6314 ± 0.0364,0.6432 ± 0.0340,0.6286 ± 0.0344,0.7112 ± 0.0303,0.6324 ± 0.0167,0.4247 ± 0.0115,0.4273 ± 0.0121,0.4205 ± 0.0126,0.7281 ± 0.0160,0.6178 ± 0.0166,0.6324 ± 0.0167,0.6172 ± 0.0179,0.7004 ± 0.0161
xgboost,0.6476 ± 0.0240,0.4326 ± 0.0162,0.4404 ± 0.0157,0.4351 ± 0.0155,0.7207 ± 0.0320,0.6324 ± 0.0232,0.6476 ± 0.0240,0.6381 ± 0.0229,0.7171 ± 0.0260,0.6344 ± 0.0107,0.4234 ± 0.0073,0.4326 ± 0.0076,0.4273 ± 0.0075,0.7273 ± 0.0207,0.6176 ± 0.0104,0.6344 ± 0.0107,0.6250 ± 0.0107,0.7060 ± 0.0139
adaboost,0.5645 ± 0.0504,0.4085 ± 0.0805,0.3917 ± 0.0423,0.3897 ± 0.0532,0.6315 ± 0.0262,0.5529 ± 0.0552,0.5645 ± 0.0504,0.5526 ± 0.0583,0.5692 ± 0.0314,0.5624 ± 0.0153,0.4520 ± 0.0752,0.3994 ± 0.0200,0.4055 ± 0.0293,0.6348 ± 0.0218,0.5537 ± 0.0153,0.5624 ± 0.0153,0.5542 ± 0.0146,0.5667 ± 0.0142
svm,0.6315 ± 0.0264,0.4207 ± 0.0178,0.4298 ± 0.0184,0.4242 ± 0.0184,0.7260 ± 0.0308,0.6156 ± 0.0258,0.6315 ± 0.0264,0.6220 ± 0.0265,0.6998 ± 0.0235,0.6225 ± 0.0168,0.4142 ± 0.0114,0.4247 ± 0.0117,0.4190 ± 0.0116,0.7258 ± 0.0190,0.6044 ± 0.0164,0.6225 ± 0.0168,0.6127 ± 0.0167,0.6807 ± 0.0197
logistic_regression,0.6084 ± 0.0253,0.4756 ± 0.0673,0.4662 ± 0.0590,0.4689 ± 0.0621,0.6734 ± 0.0343,0.6099 ± 0.0261,0.6084 ± 0.0253,0.6072 ± 0.0250,0.6727 ± 0.0263,0.5943 ± 0.0203,0.4537 ± 0.0297,0.4362 ± 0.0204,0.4409 ± 0.0229,0.6753 ± 0.0299,0.5910 ± 0.0205,0.5943 ± 0.0203,0.5917 ± 0.0201,0.6534 ± 0.0243
knn,0.5121 ± 0.0269,0.3565 ± 0.0365,0.3573 ± 0.0218,0.3520 ± 0.0246,0.5364 ± 0.0254,0.5085 ± 0.0283,0.5121 ± 0.0269,0.5049 ± 0.0260,0.5470 ± 0.0364,0.5102 ± 0.0217,0.3440 ± 0.0140,0.3520 ± 0.0144,0.3448 ± 0.0150,0.5313 ± 0.0192,0.5043 ± 0.0206,0.5102 ± 0.0217,0.5027 ± 0.0225,0.5423 ± 0.0241
gaussian_nb,0.2095 ± 0.0438,0.3845 ± 0.0316,0.2640 ± 0.0509,0.2053 ± 0.0360,0.4774 ± 0.0263,0.5580 ± 0.0457,0.2095 ± 0.0438,0.2825 ± 0.0552,0.5254 ± 0.0101,0.2269 ± 0.0290,0.3607 ± 0.0152,0.2349 ± 0.0339,0.2137 ± 0.0203,0.4589 ± 0.0231,0.5232 ± 0.0202,0.2269 ± 0.0290,0.2960 ± 0.0320,0.5173 ± 0.0136
