exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E7_baseline_many_seeds,7,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6056320419678322,0.8307692307692308,0.8297258297258298,0.8318068068068069,0.8312982212982213,0.8489409141583054,0.9545454545454546,0.7727272727272727,0.7619047619047619,0.8076923076923077,0.7391304347826086,1.0,0.29102649358478755,0.8851351351351351,0.8903225806451613,0.888612493090105
E7_baseline_many_seeds,21,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.45230964319064065,0.8769230769230769,0.8780663780663781,0.8780663780663781,0.8769230769230769,0.8780663780663781,0.9523809523809523,0.8181818181818182,0.8636363636363636,0.9523809523809523,0.8181818181818182,0.8636363636363636,0.2279135362320655,0.918918918918919,0.9230769230769231,0.9220563847429519
E7_baseline_many_seeds,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6370216635557321,0.8,0.8030303030303031,0.7970971466270823,0.7956122254786283,0.8036223036223036,1.0,0.6818181818181818,0.7272727272727273,0.8076923076923077,0.7142857142857143,0.8888888888888888,0.1564291272866162,0.9391891891891891,0.9433962264150944,0.9405749032614704
E7_baseline_many_seeds,84,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5593881485553888,0.8153846153846154,0.8174603174603173,0.8153966683160152,0.8136299623187302,0.8208080808080808,0.9523809523809523,0.8181818181818182,0.6818181818181818,0.9090909090909091,0.72,0.8333333333333334,0.21660646771055622,0.9324324324324325,0.9367088607594937,0.9344020637552976
E7_baseline_many_seeds,128,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5574129093724948,0.8,0.8023088023088022,0.799154334038055,0.797463002114165,0.7977915804002761,0.9523809523809523,0.6818181818181818,0.7727272727272727,0.8695652173913043,0.7142857142857143,0.8095238095238095,0.24567622832349828,0.9121621621621622,0.9161290322580645,0.9158835452367791
E7_baseline_many_seeds,256,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.4641157620228254,0.8461538461538461,0.8448773448773448,0.8426501035196687,0.8438923395445135,0.8428571428571429,1.0,0.7619047619047619,0.7727272727272727,0.9166666666666666,0.7619047619047619,0.85,0.19298865147740454,0.918918918918919,0.9230769230769231,0.9220563847429519
E7_baseline_many_seeds,512,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6019013565320235,0.8,0.7965367965367965,0.7951380815830943,0.7961821639571,0.8433908045977011,0.9545454545454546,0.8636363636363636,0.5714285714285714,0.875,0.6551724137931034,1.0,0.0859494835541055,0.9662162162162162,0.968944099378882,0.9665561083471531
E7_baseline_many_seeds,777,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5708924807035006,0.8461538461538461,0.8477633477633478,0.8414058401818499,0.8400392752901933,0.8539562289562289,0.9523809523809523,0.6363636363636364,0.9545454545454546,0.9090909090909091,0.875,0.7777777777777778,0.2104612341232447,0.9121621621621622,0.9150326797385621,0.9171733922977704
E7_baseline_many_seeds,1024,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.716739821434021,0.7076923076923077,0.712121212121212,0.690227314827066,0.6867993738511615,0.7590919952210274,1.0,0.7727272727272727,0.36363636363636365,0.84,0.5483870967741935,0.8888888888888888,0.2881657740957028,0.8783783783783784,0.8783783783783784,0.8863091947669062
E7_baseline_many_seeds,2026,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.36144316356915696,0.8615384615384616,0.86002886002886,0.8617516081147946,0.8627016328550223,0.8673684210526315,0.9545454545454546,0.8636363636363636,0.7619047619047619,1.0,0.76,0.8421052631578947,0.22437968210795442,0.8986486486486487,0.9019607843137255,0.9035378662244333
