exp_id,n_runs,selection_score_mean,selection_score_std,selection_score_median,val_f1_macro_final_mean,val_f1_macro_final_std,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_recall_2_final_mean,val_recall_2_final_std,test_f1_macro_mean,test_f1_macro_std,test_balanced_acc_mean,test_balanced_acc_std,selection_cv,stability_hint
E12_weights_on_1p0_2p1_1p0,15,0.8768960871334452,0.057840363233783824,0.8721997300944669,0.8768960871334452,0.057840363233783824,0.879320987654321,0.05698305640931992,0.8694444444444444,0.15938110572044037,0.8511038939821296,0.059864102603466425,0.8516402116402116,0.05895302039574062,0.06596033906692725,0.8464978857529553
E12_weights_on_1p0_3p0_1p4,15,0.8746144277310428,0.06361395780471019,0.8807017543859649,0.8746144277310428,0.06361395780471019,0.8765432098765431,0.06257140411331268,0.8768518518518518,0.1457498501284418,0.8435736071905031,0.055025115635678704,0.8435978835978836,0.0539277781612742,0.07273371646719787,0.8441359532670211
E12_weights_on_1p0_2p2_1p0,15,0.8743554763472204,0.05849452523417158,0.8472222222222222,0.8743554763472204,0.05849452523417158,0.8768518518518518,0.05776577849894239,0.862037037037037,0.16098677011745796,0.8496301158799989,0.060421968896050976,0.85005291005291,0.059569496198331774,0.06690016454010574,0.8436331680269317
E12_weights_on_1p0_2p0_1p0,15,0.8736609022212737,0.058567088788065415,0.85,0.8736609022212737,0.058567088788065415,0.8768518518518518,0.05755336454737556,0.8694444444444444,0.15938110572044037,0.8522429112656285,0.057803649749729374,0.8530158730158729,0.056933984596397404,0.06703640810657682,0.8430810194522133
E12_weights_on_1p0_2p8_1p3,15,0.872073816944818,0.06411252419348144,0.850108225108225,0.872073816944818,0.06411252419348144,0.874074074074074,0.06316882002723463,0.8694444444444444,0.1479019945774904,0.8466415171526164,0.057638242726429534,0.8467724867724867,0.05694683772469329,0.07351731349771538,0.8412554864386986
E12_weights_on_1p0_2p9_1p3,15,0.872073816944818,0.06411252419348144,0.850108225108225,0.872073816944818,0.06411252419348144,0.874074074074074,0.06316882002723463,0.8694444444444444,0.1479019945774904,0.8500617861154018,0.059472736261435684,0.84994708994709,0.05868683413538201,0.07351731349771538,0.8412554864386986
E12_weights_on_1p0_2p6_1p2,15,0.8711495312011307,0.06304683527433669,0.8721997300944669,0.8711495312011307,0.06304683527433669,0.874074074074074,0.06124924263770084,0.8768518518518518,0.1457498501284418,0.8482404485086853,0.0551770102950939,0.8482539682539681,0.054173944424826065,0.072372001609653,0.8408128373697024
E12_weights_on_1p0_2p1_1p1,15,0.8710128531026363,0.06321394308534178,0.8721997300944669,0.8710128531026363,0.06321394308534178,0.874074074074074,0.06102386749844658,0.8768518518518518,0.1457498501284418,0.8456918554034244,0.0596640539420684,0.8466666666666666,0.05832673848602014,0.07257521270801837,0.8406343823184567
E12_weights_on_1p0_2p5_1p2,15,0.8709378909894905,0.06325827455207521,0.8721997300944669,0.8709378909894905,0.06325827455207521,0.8743827160493827,0.060889918223168284,0.8694444444444444,0.15938110572044037,0.8525085261100963,0.056443138890706256,0.852910052910053,0.05552531300810185,0.07263236013328823,0.8391852117794276
E12_weights_on_1p0_1p7_1p0,15,0.8704221358658923,0.06144306119111627,0.8721997300944669,0.8704221358658923,0.06144306119111627,0.874074074074074,0.0587225613561611,0.8851851851851851,0.1247204398830944,0.8478193395030016,0.061443764739052095,0.8495238095238095,0.059985960996577034,0.07058995705571408,0.8425893265798038
E12_weights_on_1p0_1p9_1p1,15,0.8704221358658923,0.06144306119111627,0.8721997300944669,0.8704221358658923,0.06144306119111627,0.874074074074074,0.0587225613561611,0.8851851851851851,0.1247204398830944,0.8465070638711735,0.06644582988751496,0.848042328042328,0.06447779781719176,0.07058995705571408,0.8425893265798038
E12_weights_on_1p0_1p8_1p3,15,0.8701376850035261,0.0617352763002966,0.8721997300944669,0.8701376850035261,0.0617352763002966,0.8737654320987654,0.058284672181462466,0.9,0.12424817998376031,0.8536729093214259,0.059316801459369246,0.8557671957671958,0.05750035145459133,0.07094885943256948,0.8422790479300759
E12_weights_on_1p0_1p8_1p2,15,0.869991593278487,0.06012131933403089,0.8472222222222222,0.869991593278487,0.06012131933403089,0.8737654320987654,0.057224348287872324,0.8925925925925926,0.12113362006257808,0.8492748969395425,0.062270467253173686,0.8512169312169313,0.06048272700424489,0.06910563251245794,0.8428479014387215
E12_weights_on_1p0_1p8_1p1,15,0.8699208827330602,0.06209024387072217,0.8721997300944669,0.8699208827330602,0.06209024387072217,0.8737654320987654,0.05914513095024668,0.8768518518518518,0.1457498501284418,0.847695823234324,0.06562082511984206,0.8495238095238095,0.0637331025545445,0.07137458716435353,0.8398233367525355
E12_weights_on_1p0_2p0_2p0,15,0.8697804045894861,0.06514454760370925,0.8472222222222222,0.8697804045894861,0.06514454760370925,0.8737654320987654,0.06110576642760328,0.923148148148148,0.10351870782086033,0.8475890035203738,0.0667190688101375,0.8514285714285715,0.06305347382004083,0.0748976951653168,0.8431423969064729
E12_weights_on_1p0_1p9_2p0,15,0.869698555085552,0.06543916790092515,0.85,0.869698555085552,0.06543916790092515,0.874074074074074,0.06117420984873673,0.9157407407407407,0.10992254501425243,0.8472946178088578,0.0575443434764461,0.8515343915343916,0.05472941514332307,0.07524350537122361,0.8423465086088955
E12_weights_on_1p0_2p7_1p2,15,0.8694779754893275,0.06100081601226337,0.850108225108225,0.8694779754893275,0.06100081601226337,0.871604938271605,0.06029869908415733,0.862037037037037,0.14361662460121383,0.8468449876477072,0.05520404116469415,0.8468783068783068,0.054610908415372666,0.07015797723678181,0.8398661090261402
E12_weights_on_1p0_1p9_1p6,15,0.8693322526191464,0.0627962849482835,0.8721997300944669,0.8693322526191464,0.0627962849482835,0.8737654320987654,0.058284672181462466,0.9074074074074073,0.1268238489154666,0.8596465861136048,0.06274971889785583,0.862010582010582,0.06010365096742783,0.07223508015386436,0.8409507964905287
E12_weights_on_1p0_2p3_1p0,15,0.8688377877903162,0.06303371639348289,0.8472222222222222,0.8688377877903162,0.06303371639348289,0.871604938271605,0.061728946205652425,0.8537037037037037,0.15650809078413036,0.8483339931788584,0.0567695474641208,0.8485714285714285,0.05616702689155755,0.07254946467486671,0.8374285496135324
E12_weights_on_1p0_2p9_1p4,15,0.868601355835618,0.06700926366961832,0.850108225108225,0.868601355835618,0.06700926366961832,0.8719135802469136,0.06449910512068464,0.8694444444444444,0.1479019945774904,0.849489740307353,0.05780464297312509,0.8497354497354498,0.057044090339757124,0.0771461651762604,0.8370588404604644
E12_weights_on_1p0_1p6_2p0,15,0.8685802217123167,0.06484303441134824,0.85,0.8685802217123167,0.06484303441134824,0.874074074074074,0.059138227923735055,0.923148148148148,0.10351870782086033,0.8487385314038022,0.05600124689368381,0.8546031746031747,0.05179984125431132,0.07465405358127641,0.8420175923273937
E12_weights_on_1p0_3p0_1p5,15,0.8685686760970558,0.06680078876830013,0.850108225108225,0.8685686760970558,0.06680078876830013,0.871604938271605,0.06423270980238234,0.8768518518518518,0.1457498501284418,0.8477606527536455,0.05817766275998742,0.8479365079365079,0.05705839058308643,0.07690904658048671,0.8372934938921366
E12_weights_on_1p0_2p3_1p1,15,0.8683972802032657,0.0636024665714187,0.8472222222222222,0.8683972802032657,0.0636024665714187,0.8719135802469136,0.06141066819270986,0.862037037037037,0.16098677011745796,0.85239905703511,0.05762066241892928,0.8529100529100528,0.05687030828464615,0.0732412088583825,0.8363979865486652
E12_weights_on_1p0_2p4_1p1,15,0.8683972802032657,0.0636024665714187,0.8472222222222222,0.8683972802032657,0.0636024665714187,0.8719135802469136,0.06141066819270986,0.862037037037037,0.16098677011745796,0.8510705576050163,0.05911372286106403,0.8515343915343915,0.0583300295751524,0.0732412088583825,0.8363979865486652
E12_weights_on_1p0_2p4_1p2,15,0.8683473733009336,0.0654995603967628,0.8721997300944669,0.8683473733009336,0.0654995603967628,0.871604938271605,0.06271315471246174,0.8768518518518518,0.1457498501284418,0.8507935318297826,0.0581568440158367,0.8512169312169313,0.057059231662259825,0.07543013592333783,0.8373974981888987
E12_weights_on_1p0_2p0_1p2,15,0.86807485351861,0.06148965719389088,0.8505050505050505,0.86807485351861,0.06148965719389088,0.8712962962962963,0.058956734402883036,0.8851851851851851,0.1247204398830944,0.8466555965343521,0.0664280834642254,0.8479365079365079,0.06449379833282885,0.07083451034741055,0.8402303952318279
E12_weights_on_1p0_2p2_1p1,15,0.8679240928776532,0.06564345679243434,0.8721997300944669,0.8679240928776532,0.06564345679243434,0.8719135802469136,0.0625958667730522,0.8694444444444444,0.15938110572044037,0.8522771389293209,0.057770502255510725,0.8529100529100528,0.05687030828464615,0.07563271642199679,0.8355751181075005
E12_weights_on_1p0_1p6_1p2,15,0.8676468425126836,0.06225682423347119,0.8472222222222222,0.8676468425126836,0.06225682423347119,0.8712962962962963,0.05900864665596499,0.8925925925925926,0.12113362006257808,0.8581527877695889,0.06241215106036045,0.8603174603174604,0.05996735725559359,0.07175364581881838,0.839969274448058
E12_weights_on_1p0_1p7_1p2,15,0.8676468425126836,0.06225682423347119,0.8472222222222222,0.8676468425126836,0.06225682423347119,0.8712962962962963,0.05900864665596499,0.8925925925925926,0.12113362006257808,0.8551346687312005,0.05904458851811931,0.8572486772486773,0.05654278864412187,0.07175364581881838,0.839969274448058
E12_weights_on_1p0_1p9_1p2,15,0.8675817014465106,0.06191689909333985,0.8472222222222222,0.8675817014465106,0.06191689909333985,0.8712962962962963,0.05942231205448051,0.8851851851851851,0.1247204398830944,0.8473995212160107,0.0599383476719704,0.8495238095238095,0.05815183791063311,0.07136722569195085,0.8396304326848661
E12_weights_on_1p0_2p7_1p0,15,0.8674459420486252,0.0689883744510592,0.850108225108225,0.8674459420486252,0.0689883744510592,0.8694444444444444,0.06815828369532484,0.8388888888888889,0.15212704126585566,0.8453547557900919,0.05618073142221581,0.8452910052910053,0.05538641783693187,0.07953045960204862,0.8349861443092749
E12_weights_on_1p0_2p8_1p0,15,0.8674459420486252,0.0689883744510592,0.850108225108225,0.8674459420486252,0.0689883744510592,0.8694444444444444,0.06815828369532484,0.8388888888888889,0.15212704126585566,0.8469775762239369,0.05704055070369125,0.8467724867724868,0.05615442258624792,0.07953045960204862,0.8349861443092749
E12_weights_on_1p0_2p0_1p1,15,0.8674056202177977,0.06610738511748575,0.8721997300944669,0.8674056202177977,0.06610738511748575,0.8712962962962963,0.06324148635751554,0.8768518518518518,0.1457498501284418,0.8518960738516793,0.06169870291745886,0.8525925925925927,0.06086358170031933,0.07621277010043673,0.8363037889255821
E12_weights_on_1p0_1p9_1p0,15,0.8671985614813272,0.060374528975751816,0.8474945533769063,0.8671985614813272,0.060374528975751816,0.871604938271605,0.0571975883461313,0.8694444444444444,0.15938110572044037,0.8482241883528875,0.0594220731193603,0.8496296296296296,0.05820215762034502,0.06962019041247201,0.8361668186653451
E12_weights_on_1p0_1p6_1p3,15,0.8670933219591631,0.06633939915975136,0.8721997300944669,0.8670933219591631,0.06633939915975136,0.8712962962962963,0.061647875173630094,0.9,0.12424817998376031,0.8594193437166676,0.06392076401942319,0.861904761904762,0.061443716016491644,0.07650779619644643,0.8380836541708493
E12_weights_on_1p0_1p9_1p5,15,0.8670856103725041,0.06644383304469106,0.8721997300944669,0.8670856103725041,0.06644383304469106,0.8712962962962963,0.06164787517363011,0.9,0.12424817998376031,0.8536768791976612,0.05935737021372719,0.8558730158730159,0.05671355492001365,0.07662891904773564,0.8380498341129553
E12_weights_on_1p0_2p0_1p5,15,0.8670856103725041,0.06644383304469106,0.8721997300944669,0.8670856103725041,0.06644383304469106,0.8712962962962963,0.06164787517363011,0.9,0.12424817998376031,0.8525282507507868,0.058355546245961704,0.8542857142857143,0.055608008927460296,0.07662891904773564,0.8380498341129553
E12_weights_on_1p0_2p0_1p6,15,0.8670856103725041,0.06644383304469106,0.8721997300944669,0.8670856103725041,0.06644383304469106,0.8712962962962963,0.06164787517363011,0.9,0.12424817998376031,0.8524891412863899,0.05841127224239044,0.8541798941798943,0.05564251912963863,0.07662891904773564,0.8380498341129553
E12_weights_on_1p0_2p1_1p4,15,0.8670830787910251,0.0644748274214647,0.8505050505050505,0.8670830787910251,0.0644748274214647,0.8709876543209877,0.06015634908166985,0.9,0.12424817998376031,0.847716285390336,0.059996685436471395,0.8496296296296296,0.05807834242085963,0.07435830429462656,0.8385395539372829
E12_weights_on_1p0_2p1_1p5,15,0.8670830787910251,0.0644748274214647,0.8505050505050505,0.8670830787910251,0.0644748274214647,0.8709876543209877,0.06015634908166985,0.9,0.12424817998376031,0.8447354601347611,0.05667064440475709,0.8464550264550265,0.05445778601553635,0.07435830429462656,0.8385395539372829
E12_weights_on_1p0_1p7_1p5,15,0.8670184217036642,0.07099185005545713,0.8721997300944669,0.8670184217036642,0.07099185005545713,0.8712962962962963,0.06661336787712634,0.9,0.12424817998376028,0.8561996138018308,0.06334587349990961,0.8588359788359788,0.06073808069476728,0.08188044022866361,0.8368456411914239
E12_weights_on_1p0_2p1_1p8,15,0.8669849702718639,0.0627982450625647,0.8505050505050505,0.8669849702718639,0.0627982450625647,0.8709876543209877,0.0585048987342906,0.9074074074074073,0.1268238489154666,0.8510097823339127,0.061631280813271766,0.852910052910053,0.05895851500826246,0.07243291085296763,0.838603024114676
E12_weights_on_1p0_2p2_1p8,15,0.8669849702718639,0.0627982450625647,0.8505050505050505,0.8669849702718639,0.0627982450625647,0.8709876543209877,0.0585048987342906,0.9074074074074073,0.1268238489154666,0.8526550042300306,0.05972455202825339,0.8543915343915345,0.05705607755142931,0.07243291085296763,0.838603024114676
E12_weights_on_1p0_2p0_1p9,15,0.8669659610732883,0.0673192923303381,0.8472222222222222,0.8669659610732883,0.0673192923303381,0.8709876543209877,0.06352328744290334,0.9148148148148147,0.121859430297776,0.8509876837556553,0.06706268005180113,0.8542857142857143,0.0643653100364662,0.07764929115209787,0.8379501949609262
E12_weights_on_1p0_1p6_1p1,15,0.866947230234124,0.06483279671865787,0.8472222222222222,0.866947230234124,0.06483279671865787,0.8712962962962963,0.060646381088195575,0.8925925925925926,0.12113362006257808,0.8579638760796306,0.05891138545866175,0.8602116402116402,0.05658415032479694,0.07478286389028477,0.8386256690482018
E12_weights_on_1p0_1p9_1p3,15,0.866939518647465,0.06493963493134272,0.8472222222222222,0.866939518647465,0.06493963493134272,0.8712962962962963,0.06064638108819563,0.8925925925925926,0.12113362006257808,0.8506800798162624,0.060469343550470525,0.8525925925925926,0.05857940652813569,0.07490676516010798,0.8385912479083715
E12_weights_on_1p0_2p0_1p3,15,0.866939518647465,0.06493963493134272,0.8472222222222222,0.866939518647465,0.06493963493134272,0.8712962962962963,0.06064638108819563,0.8925925925925926,0.12113362006257808,0.844723302834798,0.05941903452436611,0.8463492063492063,0.05741682873393729,0.07490676516010798,0.8385912479083715
E12_weights_on_1p0_2p0_1p4,15,0.866939518647465,0.06493963493134272,0.8472222222222222,0.866939518647465,0.06493963493134272,0.8712962962962963,0.06064638108819563,0.8925925925925926,0.12113362006257808,0.847716285390336,0.059996685436471395,0.8496296296296296,0.05807834242085963,0.07490676516010798,0.8385912479083715
E12_weights_on_1p0_1p9_1p8,15,0.866770783587089,0.06280127418291159,0.85,0.866770783587089,0.06280127418291159,0.8712962962962963,0.05838265320770574,0.9074074074074073,0.1268238489154666,0.8509876837556553,0.06706268005180113,0.8542857142857143,0.0643653100364662,0.07245430438138623,0.8383880801498145
