exp_id,seed,selection_score_mean,selection_score_std,selection_score_min,selection_score_max,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_balanced_acc_final_min,val_balanced_acc_final_max,val_f1_macro_final_mean,val_f1_macro_final_std,val_f1_macro_final_min,val_f1_macro_final_max,val_recall_2_final_mean,val_recall_2_final_std,val_recall_2_final_min,val_recall_2_final_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_min,test_f1_macro_max,test_recall_2_mean,test_recall_2_std,test_recall_2_min,test_recall_2_max
E8r_arch_192_64,7,0.8950371403622178,0.08958592707978878,0.7553927553927554,1.0,0.9018518518518519,0.08061406985066269,0.7777777777777777,1.0,0.8950371403622178,0.08958592707978878,0.7553927553927554,1.0,0.9777777777777779,0.04969039949999535,0.8888888888888888,1.0,0.8701587301587301,0.05533288710217207,0.8174603174603176,0.9317460317460317,0.8681915566203664,0.05597431483430989,0.8126984126984128,0.9302134646962233,0.9038095238095238,0.060833216848271664,0.8571428571428571,1.0
E8r_arch_192_64,21,0.8594426425540977,0.06656983418672843,0.7919799498746866,0.960233918128655,0.8583333333333332,0.06535817219104001,0.7962962962962963,0.9583333333333334,0.8594426425540977,0.06656983418672843,0.7919799498746866,0.960233918128655,0.8305555555555555,0.19154585564510346,0.5,1.0,0.8476190476190476,0.04934695732288834,0.7904761904761904,0.8857142857142858,0.8490860097413675,0.047382281472965616,0.7939560439560439,0.8853899982932241,0.8066666666666666,0.05233764443441556,0.7333333333333333,0.8571428571428571
E8r_arch_192_64,42,0.8209131488852851,0.04318927890089176,0.7685185185185185,0.8857142857142858,0.8240740740740741,0.042050699362465194,0.7777777777777777,0.8888888888888888,0.8209131488852851,0.04318927890089176,0.7685185185185185,0.8857142857142858,0.775,0.10776202634039346,0.6666666666666666,0.8888888888888888,0.8292063492063493,0.047175179983228344,0.7746031746031746,0.8857142857142858,0.8246232054727807,0.05224924147323712,0.7555555555555555,0.8834154351395731,0.7771428571428571,0.11849395059044411,0.5714285714285714,0.8571428571428571
E8r_arch_288_96,7,0.9304443297786952,0.05658887170547632,0.8470588235294118,1.0,0.9324074074074075,0.05434640959566373,0.8518518518518517,1.0,0.9304443297786952,0.05658887170547632,0.8470588235294118,1.0,0.9777777777777779,0.04969039949999535,0.8888888888888888,1.0,0.8565079365079364,0.05928098619084479,0.792063492063492,0.9285714285714285,0.8560993289246905,0.05934007244567174,0.7892473118279569,0.9284007509813961,0.8352380952380953,0.07296754784524938,0.7333333333333333,0.9285714285714286
E8r_arch_288_96,21,0.8744919488263141,0.06164485151608579,0.7919799498746866,0.960233918128655,0.874074074074074,0.059324327702375355,0.7962962962962963,0.9583333333333334,0.8744919488263141,0.06164485151608579,0.7919799498746866,0.960233918128655,0.8083333333333332,0.18952100114906317,0.5,1.0,0.8739682539682538,0.04906020283428922,0.7888888888888889,0.9079365079365079,0.8757229987977114,0.046051621520915534,0.7963369963369963,0.9088827838827839,0.8466666666666667,0.03440455593940659,0.7857142857142857,0.8666666666666667
E8r_arch_288_96,42,0.8174670478412571,0.06126228967829332,0.7177387914230019,0.8807017543859649,0.825925925925926,0.055420360191279265,0.7407407407407408,0.8888888888888888,0.8174670478412571,0.06126228967829332,0.7177387914230019,0.8807017543859649,0.7777777777777778,0.17568209223157658,0.5555555555555556,1.0,0.8422222222222222,0.05838163425204043,0.773015873015873,0.9285714285714285,0.8399627323955483,0.06151286201770349,0.7620432959698812,0.9284007509813961,0.8047619047619048,0.1381773155099706,0.5714285714285714,0.9285714285714286
E8r_arch_384_128,7,0.8796383492668323,0.09140273442701817,0.7553927553927554,1.0,0.8870370370370371,0.08394834782698621,0.7777777777777777,1.0,0.8796383492668323,0.09140273442701817,0.7553927553927554,1.0,0.9777777777777779,0.04969039949999535,0.8888888888888888,1.0,0.8793650793650795,0.06611639872907467,0.7904761904761904,0.953968253968254,0.8796614840960411,0.0648845862345246,0.7948051948051948,0.953968253968254,0.8761904761904763,0.05418955560352874,0.8,0.9285714285714286
E8r_arch_384_128,21,0.87641793019502,0.0507403921330302,0.8388663967611336,0.960233918128655,0.874074074074074,0.0505457187553933,0.8379629629629629,0.9583333333333334,0.87641793019502,0.0507403921330302,0.8388663967611336,0.960233918128655,0.8111111111111111,0.13840192409281235,0.625,1.0,0.8739682539682538,0.054358996299692666,0.7888888888888889,0.9317460317460317,0.8753991470585616,0.05271947005966112,0.7933634992458521,0.9310344827586207,0.8323809523809524,0.06618876325292976,0.7142857142857143,0.8666666666666667
E8r_arch_384_128,42,0.8352472908355262,0.04331028835853136,0.7638888888888888,0.8803921568627452,0.8398148148148149,0.041999697889043376,0.7731481481481483,0.8888888888888888,0.8352472908355262,0.04331028835853136,0.7638888888888888,0.8803921568627452,0.8222222222222222,0.14907119849998599,0.6666666666666666,1.0,0.8288888888888888,0.04334525099215237,0.7746031746031746,0.8619047619047618,0.824008663530838,0.04870343293742257,0.7555555555555555,0.8612313612313612,0.8047619047619048,0.1381773155099706,0.5714285714285714,0.9285714285714286
E8r_arch_384_192,7,0.8810443592641736,0.07416687762518823,0.8057889822595706,1.0,0.8861111111111111,0.0713924315785231,0.8148148148148149,1.0,0.8810443592641736,0.07416687762518823,0.8057889822595706,1.0,0.9555555555555555,0.09938079899999064,0.7777777777777778,1.0,0.8514285714285714,0.05273569153813707,0.7904761904761904,0.9063492063492063,0.8504644707659168,0.055232101127513734,0.7859139784946237,0.9076923076923077,0.8333333333333334,0.037495275590532444,0.7857142857142857,0.8666666666666667
