exp_id,seed,selection_score_mean,selection_score_std,selection_score_min,selection_score_max,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_balanced_acc_final_min,val_balanced_acc_final_max,val_f1_macro_final_mean,val_f1_macro_final_std,val_f1_macro_final_min,val_f1_macro_final_max,val_recall_2_final_mean,val_recall_2_final_std,val_recall_2_final_min,val_recall_2_final_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_min,test_f1_macro_max,test_recall_2_mean,test_recall_2_std,test_recall_2_min,test_recall_2_max
E8c_arch_128_64,7,0.8898853342506593,0.08550129317034649,0.7633986928104575,1.0,0.8935185185185185,0.0822980964566258,0.7731481481481483,1.0,0.8898853342506593,0.08550129317034649,0.7633986928104575,1.0,0.9305555555555556,0.1011126373511183,0.7777777777777778,1.0,0.8609523809523811,0.03592705579883195,0.8174603174603176,0.9079365079365079,0.8597632938752702,0.036599336160919954,0.8126984126984128,0.9070242656449553,0.8752380952380954,0.030192128541233078,0.8571428571428571,0.9285714285714286
E8c_arch_128_64,21,0.8549167109693425,0.08983387598905836,0.7400318979266348,0.960233918128655,0.8574074074074074,0.0847614258618208,0.7546296296296297,0.9583333333333334,0.8549167109693425,0.08983387598905836,0.7400318979266348,0.960233918128655,0.7833333333333333,0.24148300811832815,0.375,1.0,0.8701587301587301,0.0347651661875124,0.8142857142857142,0.9063492063492063,0.8706665688024605,0.034339914424772834,0.8162655743300905,0.9088827838827839,0.82,0.03440455593940653,0.7857142857142857,0.8571428571428571
E8c_arch_128_64,42,0.84333007950655,0.0061650520971748635,0.8343915343915344,0.8505050505050505,0.8462962962962962,0.005071505162084875,0.8379629629629629,0.8518518518518517,0.84333007950655,0.0061650520971748635,0.8343915343915344,0.8505050505050505,0.8194444444444444,0.09722222222222221,0.6666666666666666,0.8888888888888888,0.8422222222222222,0.06229627921983725,0.7492063492063492,0.9063492063492063,0.8399828862501986,0.06482029430089313,0.740825883354619,0.9069206655413552,0.818095238095238,0.11996787173836629,0.6428571428571429,0.9333333333333333
E8c_arch_160_64,7,0.8621319197944585,0.09012843311415215,0.7553927553927554,1.0,0.8712962962962962,0.08232413603850093,0.7777777777777777,1.0,0.8621319197944585,0.09012843311415215,0.7553927553927554,1.0,0.9555555555555555,0.09938079899999064,0.7777777777777778,1.0,0.8701587301587302,0.04101570101688832,0.8174603174603176,0.9079365079365079,0.8693018079299133,0.041121120904725986,0.8139614268646526,0.9070242656449553,0.8752380952380954,0.030192128541233078,0.8571428571428571,0.9285714285714286
E8c_arch_160_64,21,0.8516111356823431,0.06485719705726888,0.7919799498746866,0.960233918128655,0.85,0.06453311800630679,0.7962962962962963,0.9583333333333334,0.8516111356823431,0.06485719705726888,0.7919799498746866,0.960233918128655,0.8083333333333332,0.18952100114906317,0.5,1.0,0.8660317460317459,0.05766516148490677,0.7682539682539682,0.9095238095238095,0.8669551880026483,0.056421892185392716,0.7714839850546191,0.9088827838827839,0.82,0.03440455593940653,0.7857142857142857,0.8571428571428571
E8c_arch_160_64,42,0.8269109189569548,0.04429736766569914,0.7638888888888888,0.8845315904139434,0.8314814814814815,0.040040274648962315,0.7777777777777778,0.8842592592592592,0.8269109189569548,0.04429736766569914,0.7638888888888888,0.8845315904139434,0.7972222222222223,0.14285989856248651,0.5555555555555556,0.8888888888888888,0.8333333333333334,0.040014484653827044,0.773015873015873,0.8619047619047618,0.8301412527038424,0.043154398103311946,0.7620432959698812,0.861904761904762,0.819047619047619,0.15663699241331933,0.5714285714285714,1.0
E8c_arch_192_96,7,0.8970358903795436,0.10511869637960487,0.7189542483660131,1.0,0.9018518518518519,0.09828563047440023,0.736111111111111,1.0,0.8970358903795436,0.10511869637960487,0.7189542483660131,1.0,0.9527777777777778,0.06484787516627086,0.875,1.0,0.8701587301587302,0.03880619650098761,0.8142857142857144,0.9079365079365079,0.8705895394104516,0.03740055467384348,0.8177655677655679,0.9070242656449553,0.8619047619047618,0.045674585936311615,0.8,0.9285714285714286
E8c_arch_192_96,21,0.851744229855685,0.06514712196685038,0.7919799498746866,0.960233918128655,0.8518518518518519,0.06364688465216446,0.7962962962962963,0.9583333333333334,0.851744229855685,0.06514712196685038,0.7919799498746866,0.960233918128655,0.7861111111111111,0.1841522115996358,0.5,1.0,0.8374603174603175,0.05371790674124522,0.7666666666666667,0.8857142857142858,0.8396220296752368,0.051800907396464875,0.7713891047224379,0.8856854256854256,0.7771428571428571,0.03585685828003184,0.7142857142857143,0.8
E8c_arch_192_96,42,0.8360316045610163,0.017827026516619205,0.8061002178649238,0.8505050505050505,0.8388888888888889,0.014042361933428836,0.8148148148148148,0.8472222222222222,0.8360316045610163,0.017827026516619205,0.8061002178649238,0.8505050505050505,0.7972222222222223,0.08979572152913672,0.6666666666666666,0.8888888888888888,0.8422222222222222,0.04847900741287892,0.7904761904761904,0.9063492063492063,0.8382694890080875,0.05133900067236946,0.7825089605734767,0.9069206655413552,0.8457142857142858,0.1185991552971108,0.6428571428571429,0.9333333333333333
E8c_arch_256_128,7,0.8895977689321344,0.08645885594179473,0.797270955165692,1.0,0.8935185185185185,0.08397387568156038,0.8009259259259259,1.0,0.8895977689321344,0.08645885594179473,0.797270955165692,1.0,0.9777777777777779,0.04969039949999535,0.8888888888888888,1.0,0.8653968253968254,0.060851851621828046,0.8126984126984128,0.9317460317460317,0.8640930144712125,0.06096120400905075,0.807429130009775,0.9302134646962233,0.9038095238095238,0.060833216848271664,0.8571428571428571,1.0
E8c_arch_256_128,21,0.8566510304281202,0.07989951513926428,0.7400318979266348,0.960233918128655,0.8574074074074074,0.0738131980273029,0.7546296296296297,0.9583333333333334,0.8566510304281202,0.07989951513926428,0.7400318979266348,0.960233918128655,0.7611111111111111,0.23434799227106998,0.375,1.0,0.8606349206349206,0.05904463211424619,0.7666666666666667,0.9079365079365079,0.862412005145598,0.05744635993959827,0.7713891047224379,0.9088827838827839,0.819047619047619,0.06424160744396207,0.7142857142857143,0.8666666666666667
E8c_arch_256_128,42,0.8129774004232209,0.021431084936984656,0.7992202729044834,0.8505050505050505,0.8157407407407407,0.018344085885332394,0.8009259259259259,0.8472222222222222,0.8129774004232209,0.021431084936984656,0.7992202729044834,0.8505050505050505,0.8194444444444444,0.09722222222222221,0.6666666666666666,0.8888888888888888,0.824126984126984,0.053703834023872965,0.7507936507936508,0.8841269841269841,0.8210763599959003,0.058947166465479824,0.7355172413793104,0.8857386121753938,0.818095238095238,0.09807674351775562,0.6428571428571429,0.8666666666666667
E8c_arch_256_64,7,0.8784957869787592,0.09205083081084037,0.7553927553927554,1.0,0.8870370370370371,0.08292078954532636,0.7777777777777777,1.0,0.8784957869787592,0.09205083081084037,0.7553927553927554,1.0,0.9777777777777779,0.04969039949999535,0.8888888888888888,1.0,0.8653968253968255,0.038381858274393284,0.8126984126984128,0.9079365079365079,0.865048270368997,0.03722076461727473,0.8155172413793105,0.9070242656449553,0.8752380952380954,0.030192128541233078,0.8571428571428571,0.9285714285714286
E8c_arch_256_64,21,0.8718451431609326,0.075510269120529,0.7400318979266348,0.9212962962962963,0.8731481481481481,0.06879324304076558,0.7546296296296297,0.9212962962962963,0.8718451431609326,0.075510269120529,0.7400318979266348,0.9212962962962963,0.7611111111111111,0.22078528477982548,0.375,0.8888888888888888,0.8511111111111112,0.048748510065027555,0.7666666666666666,0.8857142857142858,0.8525124855986924,0.04733051769900331,0.770995670995671,0.8856854256854256,0.7914285714285715,0.007824607964359565,0.7857142857142857,0.8
E8c_arch_256_64,42,0.8268519560934422,0.03987357481286383,0.7992202729044834,0.8860939112487101,0.8333333333333334,0.03540985773328317,0.8009259259259259,0.8888888888888888,0.8268519560934422,0.03987357481286383,0.7992202729044834,0.8860939112487101,0.8444444444444444,0.12668615834434865,0.6666666666666666,1.0,0.827936507936508,0.04938013346736439,0.773015873015873,0.9063492063492063,0.8262420401752776,0.05261581355468527,0.7620432959698812,0.9069206655413552,0.8590476190476191,0.12511219454749323,0.6428571428571429,0.9333333333333333
E8c_arch_32_16,7,0.8747835337463821,0.06812546862754058,0.8076625386996904,0.9607843137254902,0.8787037037037037,0.06615674325146753,0.8148148148148148,0.9629629629629629,0.8747835337463821,0.06812546862754058,0.8076625386996904,0.9607843137254902,0.9333333333333332,0.09938079899999064,0.7777777777777778,1.0,0.8323809523809524,0.04476359334876472,0.7952380952380952,0.9079365079365079,0.8278542923678041,0.04795969345427135,0.7875064004096263,0.9070242656449553,0.7895238095238095,0.16191876690127655,0.5,0.8666666666666667
E8c_arch_32_16,21,0.8557145388724336,0.08003974808298278,0.7400318979266348,0.960233918128655,0.8583333333333334,0.07360965523833995,0.7546296296296297,0.9583333333333334,0.8557145388724336,0.08003974808298278,0.7400318979266348,0.960233918128655,0.7388888888888889,0.23761774209436615,0.375,1.0,0.8517460317460317,0.05390519191407752,0.7682539682539682,0.9063492063492063,0.8520199572053484,0.05304369221514691,0.7714839850546191,0.9088827838827839,0.7780952380952381,0.05670466912992076,0.7142857142857143,0.8571428571428571
