step,parameter,chosen_experiment,selected_value,selection_score_mean,selection_score_std,val_f1_macro_final_mean,val_f1_macro_final_std,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_recall_2_final_mean,val_recall_2_final_std,stability_hint
phase1_transfer_gain_cv5,use_transfer,E0_baseline_transfer,True,0.862710708242184,0.06946144584146248,0.862710708242184,0.06946144584146248,0.8657407407407407,0.06656278649775176,0.8444444444444444,0.1627516366679464,0.8290701831150238
E8_architecture_coarse_cv5,hidden_dims,E8c_arch_384_128,"(384, 128)",0.865021486177317,0.06760104944809105,0.865021486177317,0.06760104944809105,0.8694444444444444,0.0629503177466895,0.8537037037037037,0.14480140061554445,0.8336410837537398
E8_architecture_refine_cv5,hidden_dims,E8r_arch_384_64,"(384, 64)",0.8700697173865388,0.05469850922603868,0.8700697173865388,0.05469850922603868,0.8719135802469135,0.05386727810220638,0.862037037037037,0.13863733833791922,0.8425313562462372
E9_dropout_cv5,dropout,E9_dropout_0_3,0.3,0.8700697173865388,0.05469850922603868,0.8700697173865388,0.05469850922603868,0.8719135802469135,0.05386727810220638,0.862037037037037,0.13863733833791922,0.8425313562462372
E10_lrs_cv5,learning_rates,E10_lr_bin_0p001_head_0p001_ft_0p0003,"{""bin_lr"": 0.001, ""head_lr"": 0.001, ""ft_lr"": 0.0003}",0.8700697173865388,0.05469850922603868,0.8700697173865388,0.05469850922603868,0.8719135802469135,0.05386727810220638,0.862037037037037,0.13863733833791922,0.8425313562462372
E11_weight_decay_cv5,weight_decay,E11_wd_1em04,0.0001,0.8700697173865388,0.05469850922603868,0.8700697173865388,0.05469850922603868,0.8719135802469135,0.05386727810220638,0.862037037037037,0.13863733833791922,0.8425313562462372
E12_class_weights_cv5,class_weights,E12_weights_on_1p0_1p5_1p0,"{""use_class_weights"": true, ""multiclass_weights"": [1.0, 1.5, 1.0]}",0.872613127422209,0.059857157301640346,0.872613127422209,0.059857157301640346,0.8768518518518518,0.05530144707863249,0.9009259259259259,0.11269538523394661,0.8463792995734043
E13_scaler_cv5,scaler_strategy,E13_scaler_binary_train,binary_train,0.872613127422209,0.059857157301640346,0.872613127422209,0.059857157301640346,0.8768518518518518,0.05530144707863249,0.9009259259259259,0.11269538523394661,0.8463792995734043
