exp_id,seed,fold,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,selection_score,val_loss_final,val_acc_final,val_balanced_acc_final,val_f1_macro_final,val_f1_weighted_final,val_precision_macro_final,val_recall_0_final,val_recall_1_final,val_recall_2_final,val_precision_0_final,val_precision_1_final,val_precision_2_final,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc,n_splits_cv
E9_dropout_0_0,7,1,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.801058201058201,0.731505804336988,0.8076923076923077,0.8148148148148149,0.801058201058201,0.7976800976800977,0.8424242424242424,0.8888888888888888,0.5555555555555556,1.0,0.7272727272727273,1.0,0.8,0.44402206214991485,0.7954545454545454,0.7904761904761904,0.7870707070707071,0.7904132231404959,0.7942760942760944,0.9333333333333333,0.5714285714285714,0.8666666666666667,0.9333333333333333,0.7272727272727273,0.7222222222222222,0.2970369343419333,0.9054054054054054,0.9102564102564102,0.908420858669615,5
E9_dropout_0_0,7,2,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8787524366471735,0.38437638259851015,0.8846153846153846,0.8888888888888888,0.8787524366471735,0.8783625730994152,0.9,1.0,0.6666666666666666,1.0,0.8,1.0,0.9,0.2745094181493271,0.9302325581395349,0.9285714285714285,0.9284007509813961,0.9293156622488955,0.9297161172161172,1.0,0.8571428571428571,0.9285714285714286,0.9375,0.9230769230769231,0.9285714285714286,0.2970369343419333,0.9054054054054054,0.9102564102564102,0.908420858669615,5
E9_dropout_0_0,7,3,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8787524366471735,0.31880259857727933,0.8846153846153846,0.8796296296296297,0.8787524366471735,0.8817813765182186,0.882010582010582,0.8888888888888888,0.75,1.0,0.8888888888888888,0.8571428571428571,0.9,0.26477886632431386,0.9302325581395349,0.9317460317460317,0.9302134646962233,0.9294306335204491,0.9301587301587301,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,0.9285714285714286,0.9285714285714286,0.2970369343419333,0.9054054054054054,0.9102564102564102,0.908420858669615,5
E9_dropout_0_0,7,4,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8860939112487101,0.3031084675055284,0.8846153846153846,0.8888888888888888,0.8860939112487101,0.8877857823291259,0.9090909090909092,0.8888888888888888,1.0,0.7777777777777778,1.0,0.7272727272727273,1.0,0.7215033090391825,0.8372093023255814,0.8380952380952381,0.8402867383512546,0.8387496874218554,0.8541666666666666,0.9285714285714286,0.8,0.7857142857142857,0.8125,0.75,1.0,0.2970369343419333,0.9054054054054054,0.9102564102564102,0.908420858669615,5
E9_dropout_0_0,7,5,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",1.0,0.037565604998515204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8020518380542134,0.813953488372093,0.8126984126984128,0.8136200716845878,0.8148537134283571,0.8272133095662507,0.7142857142857143,0.8571428571428571,0.8666666666666667,0.9090909090909091,0.7058823529411765,0.8666666666666667,0.2970369343419333,0.9054054054054054,0.9102564102564102,0.908420858669615,5
E9_dropout_0_0,21,1,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8472222222222222,0.40276442353542036,0.8461538461538461,0.8472222222222222,0.8472222222222222,0.8461538461538461,0.8472222222222222,0.8888888888888888,0.7777777777777778,0.875,0.8888888888888888,0.7777777777777778,0.875,0.3046631542119113,0.8636363636363636,0.8634920634920635,0.8650793650793651,0.8665584415584416,0.8722222222222222,0.8666666666666667,0.8571428571428571,0.8666666666666667,1.0,0.75,0.8666666666666667,0.25868513364646883,0.918918918918919,0.9240506329113924,0.9207665376819606,5
E9_dropout_0_0,21,2,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.85,0.30631710245059085,0.8461538461538461,0.8472222222222222,0.85,0.8490384615384615,0.8674242424242425,0.875,0.8888888888888888,0.7777777777777778,0.875,0.7272727272727273,1.0,0.4448174515435862,0.8837209302325582,0.8809523809523809,0.8804012345679012,0.8817291128337639,0.8838612368024134,1.0,0.7857142857142857,0.8571428571428571,0.8823529411764706,0.8461538461538461,0.9230769230769231,0.25868513364646883,0.918918918918919,0.9240506329113924,0.9207665376819606,5
E9_dropout_0_0,21,3,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8807017543859649,0.38762741822462815,0.8846153846153846,0.8796296296296297,0.8807017543859649,0.8838056680161943,0.8857142857142858,1.0,0.75,0.8888888888888888,1.0,0.8571428571428571,0.8,0.45859664955804513,0.9302325581395349,0.9301587301587301,0.9306066569692821,0.9299698930037549,0.9361111111111112,1.0,0.9333333333333333,0.8571428571428571,0.9333333333333333,0.875,1.0,0.25868513364646883,0.918918918918919,0.9240506329113924,0.9207665376819606,5
E9_dropout_0_0,21,4,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.9212962962962963,0.36274677973527175,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.9230769230769231,0.9212962962962963,1.0,0.875,0.8888888888888888,1.0,0.875,0.8888888888888888,0.6880271573399388,0.7674418604651163,0.7650793650793651,0.7706959706959707,0.7700485560950678,0.7974747474747476,0.7142857142857143,0.8666666666666667,0.7142857142857143,0.9090909090909091,0.65,0.8333333333333334,0.25868513364646883,0.918918918918919,0.9240506329113924,0.9207665376819606,5
E9_dropout_0_0,21,5,72,"(384, 64)",0.0,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8388663967611336,0.4820863604545593,0.8461538461538461,0.8379629629629629,0.8388663967611336,0.8415446901276861,0.8757575757575758,1.0,0.8888888888888888,0.625,0.9,0.7272727272727273,1.0,0.32107312873352406,0.9069767441860465,0.9079365079365079,0.9079365079365079,0.9069767441860465,0.9079365079365079,1.0,0.8571428571428571,0.8666666666666667,1.0,0.8571428571428571,0.8666666666666667,0.25868513364646883,0.918918918918919,0.9240506329113924,0.9207665376819606,5
