exp_id,selection_score_mean,selection_score_std,selection_score_median,selection_score_min,selection_score_max,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_balanced_acc_final_median,val_balanced_acc_final_min,val_balanced_acc_final_max,val_f1_macro_final_mean,val_f1_macro_final_std,val_f1_macro_final_median,val_f1_macro_final_min,val_f1_macro_final_max,val_recall_2_final_mean,val_recall_2_final_std,val_recall_2_final_median,val_recall_2_final_min,val_recall_2_final_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_median,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_median,test_f1_macro_min,test_f1_macro_max,test_recall_2_mean,test_recall_2_std,test_recall_2_median,test_recall_2_min,test_recall_2_max,n_runs
E12_weights_off_1p0_1p0_1p0,0.8679422265232379,0.08020543332569062,0.8721997300944669,0.7012145748987854,1.0,0.8746913580246913,0.07091620896686561,0.875,0.7407407407407408,1.0,0.8679422265232379,0.08020543332569062,0.8721997300944669,0.7012145748987854,1.0,0.9305555555555555,0.07552724726458049,0.8888888888888888,0.75,1.0,0.8513227513227513,0.054398930708162894,0.8587301587301587,0.7682539682539682,0.9301587301587301,0.8467539159215776,0.05840104622361449,0.854667363288053,0.7478312537136066,0.9306066569692821,0.8926984126984128,0.0803875184043788,0.8666666666666667,0.7142857142857143,1.0,15
E12_weights_on_1p0_1p0_1p0,0.8679422265232379,0.08020543332569062,0.8721997300944669,0.7012145748987854,1.0,0.8746913580246913,0.07091620896686561,0.875,0.7407407407407408,1.0,0.8679422265232379,0.08020543332569062,0.8721997300944669,0.7012145748987854,1.0,0.9305555555555555,0.07552724726458049,0.8888888888888888,0.75,1.0,0.8513227513227513,0.054398930708162894,0.8587301587301587,0.7682539682539682,0.9301587301587301,0.8467539159215776,0.05840104622361449,0.854667363288053,0.7478312537136066,0.9306066569692821,0.8926984126984128,0.0803875184043788,0.8666666666666667,0.7142857142857143,1.0,15
E12_weights_on_1p0_1p0_1p1,0.8606333686571045,0.08609132515694894,0.8472222222222222,0.7013366750208855,1.0,0.8694444444444444,0.07403686234631107,0.8518518518518517,0.7407407407407408,1.0,0.8606333686571045,0.08609132515694894,0.8472222222222222,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8543915343915344,0.054305557454175604,0.8587301587301587,0.7682539682539682,0.9301587301587301,0.8493059430246624,0.05912375068959355,0.854667363288053,0.7478312537136066,0.9306066569692821,0.9066666666666666,0.06977217773958425,0.9285714285714286,0.7857142857142857,1.0,15
E12_weights_on_1p0_1p0_1p2,0.8601879321229167,0.08481809416649272,0.8472222222222222,0.7013366750208855,1.0,0.8694444444444444,0.07303755620837832,0.8518518518518517,0.7407407407407408,1.0,0.8601879321229167,0.08481809416649272,0.8472222222222222,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8497354497354497,0.05491259514989299,0.8571428571428571,0.7682539682539682,0.9301587301587301,0.8439734268691643,0.059727724329677066,0.847653000594177,0.7478312537136066,0.9306066569692821,0.906984126984127,0.0685323647863959,0.9285714285714286,0.7857142857142857,1.0,15
E12_weights_on_1p0_1p0_1p3,0.8626062327765115,0.08485374911062968,0.8721997300944669,0.7013366750208855,1.0,0.8719135802469136,0.07269016990512615,0.875,0.7407407407407408,1.0,0.8626062327765115,0.08485374911062968,0.8721997300944669,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8496296296296296,0.05296678742054215,0.8571428571428571,0.7682539682539682,0.9301587301587301,0.8443278453000947,0.05696779511858265,0.847653000594177,0.7555555555555555,0.9306066569692821,0.9066666666666666,0.06433734384292845,0.9285714285714286,0.7857142857142857,1.0,15
E12_weights_on_1p0_1p0_1p4,0.864922480913193,0.08487801242321945,0.8721997300944669,0.7013366750208855,1.0,0.8743827160493827,0.07242008125548387,0.875,0.7407407407407408,1.0,0.864922480913193,0.08487801242321945,0.8721997300944669,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8543915343915345,0.04686656657669956,0.8571428571428571,0.7873015873015873,0.9301587301587301,0.8485855106138355,0.05124457117327785,0.847653000594177,0.7696428571428572,0.9306066569692821,0.920952380952381,0.05914299955069563,0.9333333333333333,0.8571428571428571,1.0,15
E12_weights_on_1p0_1p0_1p5,0.8589762679700761,0.0841019918608158,0.8721997300944669,0.7013366750208855,1.0,0.8688271604938271,0.07175748134567156,0.875,0.7407407407407408,1.0,0.8589762679700761,0.0841019918608158,0.8721997300944669,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8512169312169313,0.047355531897303835,0.8571428571428571,0.7873015873015873,0.9301587301587301,0.8449114919972882,0.0520846909855421,0.847653000594177,0.7696428571428572,0.9306066569692821,0.920952380952381,0.05914299955069563,0.9333333333333333,0.8571428571428571,1.0,15
E12_weights_on_1p0_1p0_1p6,0.8566600198333945,0.08390180816325406,0.8472222222222222,0.7013366750208855,1.0,0.866358024691358,0.07182572162547834,0.8518518518518517,0.7407407407407408,1.0,0.8566600198333945,0.08390180816325406,0.8472222222222222,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.842010582010582,0.0525622734952755,0.8571428571428571,0.7396825396825397,0.9317460317460317,0.8337703179643733,0.06025085291643022,0.847653000594177,0.7051031294452347,0.9302134646962233,0.9212698412698413,0.06360477523993414,0.9333333333333333,0.8,1.0,15
E12_weights_on_1p0_1p0_1p7,0.8589762679700761,0.0841019918608158,0.8721997300944669,0.7013366750208855,1.0,0.8688271604938271,0.07175748134567156,0.875,0.7407407407407408,1.0,0.8589762679700761,0.0841019918608158,0.8721997300944669,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8404232804232804,0.05433338754397359,0.8571428571428571,0.7380952380952381,0.9317460317460317,0.8304528016024814,0.06592126444758512,0.847653000594177,0.6865573152337858,0.9302134646962233,0.9257142857142857,0.06675892547235553,0.9333333333333333,0.8,1.0,15
E12_weights_on_1p0_1p0_1p8,0.8565147765508964,0.0813396778202052,0.8721997300944669,0.7013366750208855,1.0,0.866358024691358,0.06886590284242776,0.875,0.7407407407407408,1.0,0.8565147765508964,0.0813396778202052,0.8721997300944669,0.7013366750208855,1.0,0.937962962962963,0.07659004299175663,1.0,0.75,1.0,0.8389417989417989,0.050387644160442766,0.8571428571428571,0.7380952380952381,0.9095238095238095,0.8286915854363709,0.06242985730307836,0.847653000594177,0.6865573152337858,0.907051282051282,0.9301587301587302,0.059630290247115095,0.9333333333333333,0.8571428571428571,1.0,15
