exp_id,n_runs,selection_score_mean,selection_score_std,selection_score_median,val_f1_macro_final_mean,val_f1_macro_final_std,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_recall_2_final_mean,val_recall_2_final_std,test_f1_macro_mean,test_f1_macro_std,test_balanced_acc_mean,test_balanced_acc_std,selection_cv,stability_hint
E9_dropout_0_2,15,0.8717225252674169,0.0626148666409019,0.8857142857142858,0.8717225252674169,0.0626148666409019,0.8743827160493827,0.06020722700434024,0.862037037037037,0.1496308901670409,0.8494772251100028,0.0516585391381024,0.85005291005291,0.05071162121562526,0.07182889603741012,0.8411057195904873
E9_dropout_0_0,15,0.8664669592533369,0.05140758618215031,0.8787524366471735,0.8664669592533369,0.05140758618215031,0.8694444444444444,0.0496225711635446,0.8462962962962963,0.12249098636288648,0.8599858735862697,0.06179033345057793,0.8606349206349206,0.06171025900658222,0.059330117130432666,0.8413659640715108
E9_dropout_0_3,15,0.8664049628084716,0.06479853640406717,0.8472222222222222,0.8664049628084716,0.06479853640406717,0.8688271604938271,0.06359073388282875,0.8537037037037037,0.15650809078413036,0.8499333626728021,0.05933841881648001,0.8500529100529101,0.05879712633124016,0.07479012607917344,0.8345545196290418
E9_dropout_0_25,15,0.8663877356447016,0.0634665255917265,0.8721997300944669,0.8663877356447016,0.0634665255917265,0.8691358024691358,0.06090500222345492,0.862037037037037,0.1496308901670409,0.8494486972720572,0.05942574760493786,0.84984126984127,0.05838533323308424,0.07325418283362403,0.8355580152300659
E9_dropout_0_15,15,0.8649681095191931,0.060705654803816435,0.8522875816993464,0.8649681095191931,0.060705654803816435,0.866358024691358,0.06051159620974158,0.862037037037037,0.1496308901670409,0.8512306672395418,0.05478385618342042,0.8518518518518519,0.05431947428138632,0.07018253521226428,0.8348286068015349
E9_dropout_0_1,15,0.8626052877291267,0.058271737840292694,0.8787524366471735,0.8626052877291267,0.058271737840292694,0.8638888888888888,0.05789814148467955,0.8388888888888888,0.13005645904637927,0.8527433529910114,0.05489261844529906,0.8531216931216932,0.0542405650476414,0.06755318877501601,0.8350317073644156
