exp_id,seed,fold,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,selection_score,val_loss_final,val_acc_final,val_balanced_acc_final,val_f1_macro_final,val_f1_weighted_final,val_precision_macro_final,val_recall_0_final,val_recall_1_final,val_recall_2_final,val_precision_0_final,val_precision_1_final,val_precision_2_final,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc,n_splits_cv
E0_baseline_transfer,7,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.7633986928104575,0.8349970716696519,0.7692307692307693,0.7731481481481483,0.7633986928104575,0.7610859728506788,0.7794612794612794,0.8888888888888888,0.5555555555555556,0.875,0.7272727272727273,0.8333333333333334,0.7777777777777778,0.4290143170140006,0.8636363636363636,0.8603174603174604,0.858560794044665,0.8605910218813445,0.8611111111111112,1.0,0.7142857142857143,0.8666666666666667,0.9375,0.8333333333333334,0.8125,0.30672079354927345,0.8783783783783784,0.8846153846153846,0.8811498065229408,5
E0_baseline_transfer,7,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.9211816305469557,0.39604352987729585,0.9230769230769231,0.9259259259259259,0.9211816305469557,0.9204125982376756,0.9296296296296296,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.9,0.2739998233872791,0.8837209302325582,0.8825396825396826,0.8815666240953597,0.8827705010543823,0.882051282051282,0.9333333333333333,0.7857142857142857,0.9285714285714286,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.30672079354927345,0.8783783783783784,0.8846153846153846,0.8811498065229408,5
E0_baseline_transfer,7,3,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8787524366471735,0.27172912886509526,0.8846153846153846,0.8796296296296297,0.8787524366471735,0.8817813765182186,0.882010582010582,0.8888888888888888,0.75,1.0,0.8888888888888888,0.8571428571428571,0.9,0.3297634901002396,0.9069767441860465,0.9079365079365079,0.9070242656449553,0.9060857168315067,0.9076923076923077,1.0,0.8666666666666667,0.8571428571428571,0.9333333333333333,0.8666666666666667,0.9230769230769231,0.30672079354927345,0.8783783783783784,0.8846153846153846,0.8811498065229408,5
E0_baseline_transfer,7,4,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8860939112487101,0.28326428968172807,0.8846153846153846,0.8888888888888888,0.8860939112487101,0.8877857823291259,0.9090909090909092,0.8888888888888888,1.0,0.7777777777777778,1.0,0.7272727272727273,1.0,0.7523009700830593,0.813953488372093,0.8174603174603176,0.8126984126984128,0.8104097452934662,0.8129578754578755,0.9285714285714286,0.6666666666666666,0.8571428571428571,0.8125,0.7692307692307693,0.8571428571428571,0.30672079354927345,0.8783783783783784,0.8846153846153846,0.8811498065229408,5
E0_baseline_transfer,7,5,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",1.0,0.04348362581087993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8449254451796065,0.8372093023255814,0.8365079365079365,0.838966372892958,0.8403055671079573,0.8503734827264239,0.7857142857142857,0.8571428571428571,0.8666666666666667,0.9166666666666666,0.7058823529411765,0.9285714285714286,0.30672079354927345,0.8783783783783784,0.8846153846153846,0.8811498065229408,5
E0_baseline_transfer,21,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8472222222222222,0.510951422728025,0.8461538461538461,0.8472222222222222,0.8472222222222222,0.8461538461538461,0.8472222222222222,0.8888888888888888,0.7777777777777778,0.875,0.8888888888888888,0.7777777777777778,0.875,0.3266487555070357,0.8636363636363636,0.8634920634920634,0.864367816091954,0.8658307210031349,0.8690476190476191,0.9333333333333333,0.8571428571428571,0.8,1.0,0.75,0.8571428571428571,0.23353592125145164,0.9256756756756757,0.9299363057324841,0.9282292242491248,5
E0_baseline_transfer,21,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.9259259259259259,0.295861365703436,0.9230769230769231,0.9259259259259259,0.9259259259259259,0.9230769230769231,0.9259259259259259,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.36049075459325036,0.8837209302325582,0.8809523809523809,0.8804012345679012,0.8817291128337639,0.8838612368024134,1.0,0.7857142857142857,0.8571428571428571,0.8823529411764706,0.8461538461538461,0.9230769230769231,0.23353592125145164,0.9256756756756757,0.9299363057324841,0.9282292242491248,5
E0_baseline_transfer,21,3,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8011695906432749,0.3858284079111539,0.8076923076923077,0.8009259259259259,0.8011695906432749,0.8063427800269906,0.8047619047619049,1.0,0.625,0.7777777777777778,1.0,0.7142857142857143,0.7,0.5213194281555885,0.9069767441860465,0.9063492063492063,0.9088827838827839,0.9080948121645795,0.9173669467787114,0.9285714285714286,0.9333333333333333,0.8571428571428571,0.9285714285714286,0.8235294117647058,1.0,0.23353592125145164,0.9256756756756757,0.9299363057324841,0.9282292242491248,5
E0_baseline_transfer,21,4,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.960233918128655,0.3357413766475824,0.9615384615384616,0.9583333333333334,0.960233918128655,0.9612685560053982,0.9666666666666667,1.0,0.875,1.0,1.0,1.0,0.9,0.7167441692463187,0.813953488372093,0.8142857142857142,0.8162655743300905,0.8152871551221138,0.8195970695970697,0.8571428571428571,0.8,0.7857142857142857,0.9230769230769231,0.75,0.7857142857142857,0.23353592125145164,0.9256756756756757,0.9299363057324841,0.9282292242491248,5
E0_baseline_transfer,21,5,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.7400318979266348,0.5033436876076919,0.7692307692307693,0.7546296296296297,0.7400318979266348,0.7475156422524842,0.8384615384615385,1.0,0.8888888888888888,0.375,0.9,0.6153846153846154,1.0,0.36396944938704023,0.8837209302325582,0.8857142857142858,0.8834154351395731,0.8828044449536029,0.8854700854700855,1.0,0.8571428571428571,0.8,0.9333333333333333,0.8,0.9230769230769231,0.23353592125145164,0.9256756756756757,0.9299363057324841,0.9282292242491248,5
E0_baseline_transfer,42,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8425925925925926,0.6814679457591131,0.8461538461538461,0.8518518518518517,0.8425925925925926,0.8408119658119658,0.8486772486772486,1.0,0.6666666666666666,0.8888888888888888,0.8,0.8571428571428571,0.8888888888888888,0.5057120675390417,0.9090909090909091,0.9063492063492063,0.9069206655413552,0.9083017296183441,0.9166666666666666,1.0,0.7857142857142857,0.9333333333333333,0.8333333333333334,0.9166666666666666,1.0,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889,5
E0_baseline_transfer,42,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8505050505050505,0.29888308621369875,0.8461538461538461,0.8472222222222222,0.8505050505050505,0.8473193473193473,0.8974358974358975,0.875,1.0,0.6666666666666666,1.0,0.6923076923076923,1.0,0.3085316436928372,0.8837209302325582,0.880952380952381,0.878136200716846,0.8802200550137534,0.8863636363636364,1.0,0.7142857142857143,0.9285714285714286,0.9375,0.9090909090909091,0.8125,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889,5
E0_baseline_transfer,42,3,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8343915343915344,0.4673179021248451,0.8461538461538461,0.8379629629629629,0.8343915343915344,0.8390109890109889,0.8468013468013469,1.0,0.625,0.8888888888888888,0.8181818181818182,0.8333333333333334,0.8888888888888888,0.4764106786528299,0.813953488372093,0.8126984126984128,0.8144257703081234,0.8132694938440492,0.837593984962406,0.9285714285714286,0.8666666666666667,0.6428571428571429,0.9285714285714286,0.6842105263157895,0.9,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889,5
E0_baseline_transfer,42,4,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8474945533769063,0.27742312733943647,0.8461538461538461,0.8472222222222222,0.8474945533769063,0.8501759678230266,0.8583333333333334,0.8888888888888888,0.875,0.7777777777777778,1.0,0.7,0.875,0.47424330059872116,0.7441860465116279,0.7492063492063492,0.740825883354619,0.737378597522944,0.7402777777777777,0.9285714285714286,0.5333333333333333,0.7857142857142857,0.8666666666666667,0.6666666666666666,0.6875,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889,5
E0_baseline_transfer,42,5,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8416666666666667,0.5329829500271723,0.8461538461538461,0.8472222222222222,0.8416666666666667,0.8403846153846154,0.850108225108225,1.0,0.6666666666666666,0.875,0.8181818181818182,0.8571428571428571,0.875,0.3959239166836406,0.8604651162790697,0.8619047619047618,0.8596059113300493,0.8588612670408982,0.8587301587301588,1.0,0.7857142857142857,0.8,0.9333333333333333,0.7857142857142857,0.8571428571428571,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889,5
E1_from_scratch,7,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.649392475479432,0.7416178217301002,0.6923076923076923,0.7037037037037037,0.649392475479432,0.6401810749636836,0.7904761904761904,0.8888888888888888,0.2222222222222222,1.0,0.5714285714285714,1.0,0.8,0.5650152320211584,0.8181818181818182,0.8111111111111112,0.7991310160427808,0.8028302746718521,0.8313983488132095,1.0,0.5,0.9333333333333333,0.8823529411764706,0.875,0.7368421052631579,,,,,5
E1_from_scratch,7,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.8345864661654135,0.40734729400047887,0.8461538461538461,0.8518518518518517,0.8345864661654135,0.8342972816657027,0.8757575757575758,1.0,0.5555555555555556,1.0,0.7272727272727273,1.0,0.9,0.336010179893915,0.8604651162790697,0.8587301587301588,0.8527777777777779,0.8532945736434108,0.8661764705882353,0.9333333333333333,0.6428571428571429,1.0,0.8235294117647058,0.9,0.875,,,,,5
E1_from_scratch,7,3,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.78582995951417,0.3392462753332578,0.8076923076923077,0.7962962962962963,0.78582995951417,0.7923855496729991,0.8060606060606061,0.8888888888888888,0.5,1.0,0.8,0.8,0.8181818181818182,0.32834283349125887,0.8837209302325582,0.8873015873015874,0.8815666240953597,0.8800142564376726,0.8861111111111111,1.0,0.7333333333333333,0.9285714285714286,0.875,0.9166666666666666,0.8666666666666667,,,,,5
E1_from_scratch,7,4,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.8425925925925926,0.3485666192494906,0.8461538461538461,0.8425925925925926,0.8425925925925926,0.8461538461538461,0.8425925925925926,0.8888888888888888,0.75,0.8888888888888888,0.8888888888888888,0.75,0.8888888888888888,0.5128820101882137,0.813953488372093,0.8190476190476191,0.8098938098938099,0.807159249019714,0.8260336155072997,1.0,0.6,0.8571428571428571,0.7368421052631579,0.8181818181818182,0.9230769230769231,,,,,5
E1_from_scratch,7,5,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.9628482972136223,0.07734073583896343,0.9615384615384616,0.9629629629629629,0.9628482972136223,0.9614193855679923,0.9666666666666667,1.0,0.8888888888888888,1.0,0.9,1.0,1.0,0.7277256680089373,0.8604651162790697,0.8587301587301587,0.8583944928030949,0.8594370814925952,0.8594322344322345,0.8571428571428571,0.7857142857142857,0.9333333333333333,0.8571428571428571,0.8461538461538461,0.875,,,,,5
E1_from_scratch,21,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.7695906432748538,0.4590350274856274,0.7692307692307693,0.7685185185185185,0.7695906432748538,0.768421052631579,0.7746031746031746,0.8888888888888888,0.6666666666666666,0.75,0.8,0.6666666666666666,0.8571428571428571,0.3029383989897641,0.8863636363636364,0.8841269841269842,0.8851106853980418,0.8867083188203878,0.8898944193061841,0.9333333333333333,0.7857142857142857,0.9333333333333333,1.0,0.8461538461538461,0.8235294117647058,,,,,5
E1_from_scratch,21,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.9237472766884531,0.23474038334993216,0.9230769230769231,0.9259259259259259,0.9237472766884531,0.9230769230769231,0.9259259259259259,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.4894312107285788,0.8604651162790697,0.8571428571428571,0.8564560439560439,0.858340787119857,0.8615779645191409,1.0,0.7857142857142857,0.7857142857142857,0.8823529411764706,0.7857142857142857,0.9166666666666666,,,,,5
E1_from_scratch,21,3,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.8380952380952381,0.4265672037234673,0.8461538461538461,0.8379629629629629,0.8380952380952381,0.8428571428571429,0.8535353535353535,1.0,0.625,0.8888888888888888,1.0,0.8333333333333334,0.7272727272727273,0.3950351518253947,0.9302325581395349,0.9317460317460317,0.9302134646962233,0.9294306335204491,0.9301587301587301,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,0.9285714285714286,0.9285714285714286,,,,,5
E1_from_scratch,21,4,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.960233918128655,0.23770868892853075,0.9615384615384616,0.9583333333333334,0.960233918128655,0.9612685560053982,0.9666666666666667,1.0,0.875,1.0,1.0,1.0,0.9,0.7138098027817038,0.813953488372093,0.8174603174603176,0.8116645381013198,0.8100151474650272,0.8152777777777779,0.9285714285714286,0.6666666666666666,0.8571428571428571,0.8125,0.8333333333333334,0.8,,,,,5
E1_from_scratch,21,5,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.8388663967611336,0.5421836215716141,0.8461538461538461,0.8379629629629629,0.8388663967611336,0.8415446901276861,0.8757575757575758,1.0,0.8888888888888888,0.625,0.9,0.7272727272727273,1.0,0.2987361124088598,0.9069767441860465,0.9047619047619048,0.9026471612678509,0.9027970158683871,0.9222222222222222,1.0,0.7142857142857143,1.0,0.9333333333333333,1.0,0.8333333333333334,,,,,5
E1_from_scratch,42,1,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.7330827067669173,0.5784187408593985,0.7692307692307693,0.7777777777777777,0.7330827067669173,0.7288895315211105,0.8257575757575758,1.0,0.3333333333333333,1.0,0.7272727272727273,1.0,0.75,0.49294155023314734,0.8863636363636364,0.8841269841269842,0.8848290598290598,0.885708041958042,0.8911764705882353,0.9333333333333333,0.7857142857142857,0.9333333333333333,0.8235294117647058,0.9166666666666666,0.9333333333333333,,,,,5
E1_from_scratch,42,2,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,multiclass_train,False,none,False,False,False,"(1.0, 2.5, 1.1)",0.8470588235294118,0.3841487490213834,0.8461538461538461,0.8518518518518517,0.8470588235294118,0.8434389140271493,0.872053872053872,1.0,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.7272727272727273,1.0,0.355099028279615,0.9069767441860465,0.9047619047619048,0.9014336917562725,0.902975743935984,0.9203431372549019,1.0,0.7142857142857143,1.0,0.9375,1.0,0.8235294117647058,,,,,5
