exp_id,selection_score_mean,selection_score_std,selection_score_median,selection_score_min,selection_score_max,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_balanced_acc_final_median,val_balanced_acc_final_min,val_balanced_acc_final_max,val_f1_macro_final_mean,val_f1_macro_final_std,val_f1_macro_final_median,val_f1_macro_final_min,val_f1_macro_final_max,val_recall_2_final_mean,val_recall_2_final_std,val_recall_2_final_median,val_recall_2_final_min,val_recall_2_final_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_median,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_median,test_f1_macro_min,test_f1_macro_max,test_recall_2_mean,test_recall_2_std,test_recall_2_median,test_recall_2_min,test_recall_2_max,n_runs
E10_lr_bin_0p0003_head_0p0003_ft_0p0001,0.8498459311204409,0.06750140393105063,0.8425925925925926,0.7518796992481201,1.0,0.8537037037037037,0.06289192226311296,0.8425925925925926,0.7777777777777777,1.0,0.8498459311204409,0.06750140393105063,0.8425925925925926,0.7518796992481201,1.0,0.8537037037037037,0.14480140061554442,0.875,0.5,1.0,0.8530158730158731,0.05026224285589832,0.8603174603174604,0.7666666666666667,0.9301587301587301,0.8517625133099493,0.052046327856115814,0.8582911341532031,0.7555555555555555,0.9307048984468339,0.8374603174603175,0.09980328345934725,0.8571428571428571,0.5714285714285714,1.0,15
E10_lr_bin_0p0003_head_0p0003_ft_0p0003,0.8573174073948068,0.07738074313448991,0.8444272445820434,0.7012145748987854,1.0,0.8614197530864197,0.07113176461901083,0.8518518518518517,0.7407407407407408,1.0,0.8573174073948068,0.07738074313448991,0.8444272445820434,0.7012145748987854,1.0,0.8925925925925926,0.12820695121482342,0.8888888888888888,0.625,1.0,0.8515343915343916,0.047769477686869115,0.8587301587301587,0.7666666666666666,0.9079365079365079,0.8506662312343861,0.049409911526039185,0.8582911341532031,0.7555555555555555,0.9088827838827839,0.846984126984127,0.0813688102035694,0.8571428571428571,0.6428571428571429,1.0,15
E10_lr_bin_0p0003_head_0p0003_ft_0p0005,0.8615893092879677,0.06696194297728218,0.8425925925925926,0.7553927553927554,1.0,0.8638888888888888,0.06452600051381185,0.8425925925925926,0.7777777777777777,1.0,0.8615893092879677,0.06696194297728218,0.8425925925925926,0.7553927553927554,1.0,0.8768518518518518,0.12060924608434748,0.8888888888888888,0.625,1.0,0.8407407407407407,0.05458387923942297,0.8571428571428571,0.7285714285714286,0.9079365079365079,0.8395523776730032,0.05698259816282306,0.8564560439560439,0.7079414838035527,0.9088827838827839,0.8285714285714286,0.0926869188040876,0.8571428571428571,0.5714285714285714,1.0,15
E10_lr_bin_0p0003_head_0p001_ft_0p0001,0.8555220092371795,0.07356831846686025,0.8721997300944669,0.7518796992481201,1.0,0.858641975308642,0.07012162478666106,0.875,0.7592592592592592,1.0,0.8555220092371795,0.07356831846686025,0.8721997300944669,0.7518796992481201,1.0,0.8685185185185186,0.14781501897774443,0.8888888888888888,0.5,1.0,0.8467724867724868,0.050215913135865306,0.8603174603174604,0.7444444444444445,0.9301587301587301,0.8457376646570813,0.05174647637864464,0.8582911341532031,0.7507936507936508,0.9307048984468339,0.8466666666666666,0.07275859236681614,0.8571428571428571,0.6428571428571429,0.9333333333333333,15
E10_lr_bin_0p0003_head_0p001_ft_0p0003,0.859015137864467,0.07018707424921836,0.8474945533769063,0.7581699346405228,1.0,0.8614197530864197,0.06793930310116791,0.8425925925925926,0.7638888888888888,1.0,0.859015137864467,0.07018707424921836,0.8474945533769063,0.7581699346405228,1.0,0.8694444444444444,0.12320134507614529,0.8888888888888888,0.625,1.0,0.8576719576719577,0.05659432702527638,0.8809523809523809,0.7206349206349206,0.9301587301587301,0.8571912373663969,0.056611829196158515,0.8804012345679012,0.7275910364145658,0.9307048984468339,0.8422222222222222,0.0950996726483603,0.8571428571428571,0.5714285714285714,1.0,15
E10_lr_bin_0p0003_head_0p001_ft_0p0005,0.8635756824301716,0.06393171615622585,0.850108225108225,0.7553927553927554,1.0,0.866358024691358,0.061040590490045586,0.8472222222222222,0.7777777777777777,1.0,0.8635756824301716,0.06393171615622585,0.850108225108225,0.7553927553927554,1.0,0.8694444444444444,0.12320134507614529,0.8888888888888888,0.625,1.0,0.8482539682539681,0.060325813957873946,0.8571428571428571,0.7206349206349206,0.9301587301587301,0.847531568881058,0.061356788478667615,0.8564560439560439,0.7275910364145658,0.9306066569692821,0.8323809523809523,0.08547206895109474,0.8571428571428571,0.5714285714285714,0.9333333333333333,15
E10_lr_bin_0p001_head_0p0003_ft_0p0001,0.8601538980073552,0.06752976122739715,0.8787524366471735,0.7518796992481201,1.0,0.8641975308641975,0.062154065825348284,0.8796296296296297,0.7777777777777777,1.0,0.8601538980073552,0.06752976122739715,0.8787524366471735,0.7518796992481201,1.0,0.8537037037037037,0.14480140061554442,0.875,0.5,1.0,0.8561904761904763,0.054903199361017056,0.8634920634920635,0.7206349206349206,0.9301587301587301,0.8558239880557198,0.0542633486731782,0.8650793650793651,0.7264957264957265,0.9306066569692821,0.8374603174603175,0.09271953289671624,0.8571428571428571,0.6428571428571429,1.0,15
E10_lr_bin_0p001_head_0p0003_ft_0p0003,0.8578475003191206,0.06806802549395047,0.8474945533769063,0.7518796992481201,1.0,0.8614197530864197,0.0634654191595234,0.8472222222222222,0.7777777777777777,1.0,0.8578475003191206,0.06806802549395047,0.8474945533769063,0.7518796992481201,1.0,0.8851851851851852,0.13160112672377716,0.8888888888888888,0.625,1.0,0.8577777777777779,0.050440952345701916,0.8603174603174604,0.773015873015873,0.9301587301587301,0.8565961893359619,0.05178692775987788,0.8582911341532031,0.7620432959698812,0.9309493401447425,0.846984126984127,0.07736900308924667,0.8571428571428571,0.6428571428571429,1.0,15
E10_lr_bin_0p001_head_0p0003_ft_0p0005,0.858950840658787,0.058929541082768516,0.8470588235294118,0.7609427609427609,1.0,0.8614197530864197,0.05852059748946971,0.8518518518518517,0.7592592592592592,1.0,0.858950840658787,0.058929541082768516,0.8470588235294118,0.7609427609427609,1.0,0.862037037037037,0.15541258547014833,0.8888888888888888,0.5,1.0,0.8455026455026454,0.053491513978305684,0.8396825396825397,0.7428571428571429,0.9301587301587301,0.8452146812878394,0.05340187209518358,0.8408365261813536,0.7471988795518207,0.9306066569692821,0.8241269841269842,0.09232740342015801,0.8,0.5714285714285714,1.0,15
E10_lr_bin_0p001_head_0p001_ft_0p0001,0.8515211505613982,0.06858413350281806,0.8444272445820434,0.7518796992481201,1.0,0.8561728395061727,0.06339300952013038,0.8425925925925926,0.7777777777777777,1.0,0.8515211505613982,0.06858413350281806,0.8444272445820434,0.7518796992481201,1.0,0.8685185185185185,0.1417237150411174,0.8888888888888888,0.5,1.0,0.8561904761904763,0.0610051500602468,0.8634920634920635,0.7206349206349206,0.9317460317460317,0.8560513515561099,0.05994281578951321,0.8650793650793651,0.7264957264957265,0.9310344827586207,0.8374603174603175,0.09271953289671625,0.8571428571428571,0.6428571428571429,1.0,15
