exp_id,selection_score_mean,selection_score_std,selection_score_median,selection_score_min,selection_score_max,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_balanced_acc_final_median,val_balanced_acc_final_min,val_balanced_acc_final_max,val_f1_macro_final_mean,val_f1_macro_final_std,val_f1_macro_final_median,val_f1_macro_final_min,val_f1_macro_final_max,val_recall_2_final_mean,val_recall_2_final_std,val_recall_2_final_median,val_recall_2_final_min,val_recall_2_final_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_median,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_median,test_f1_macro_min,test_f1_macro_max,test_recall_2_mean,test_recall_2_std,test_recall_2_median,test_recall_2_min,test_recall_2_max,n_runs
E8c_arch_128_64,0.878446251795065,0.0633438582586632,0.8857142857142858,0.7518796992481201,1.0,0.8817901234567901,0.05876599713688013,0.8842592592592592,0.7777777777777777,1.0,0.878446251795065,0.0633438582586632,0.8857142857142858,0.7518796992481201,1.0,0.8537037037037037,0.15076841197863194,0.8888888888888888,0.5,1.0,0.857989417989418,0.04747471196883676,0.880952380952381,0.7523809523809524,0.9079365079365079,0.8560201190246651,0.051718525277781195,0.878136200716846,0.7274483970136144,0.9088827838827839,0.8326984126984127,0.09296377388266976,0.8571428571428571,0.5714285714285714,0.9333333333333333,15
E8c_arch_160_64,0.8561252087361478,0.06562348655582366,0.8522875816993464,0.7553927553927554,1.0,0.8595679012345679,0.06327698174770886,0.8472222222222222,0.7731481481481483,1.0,0.8561252087361478,0.06562348655582366,0.8522875816993464,0.7553927553927554,1.0,0.8314814814814814,0.16339941254120974,0.875,0.5,1.0,0.8484656084656084,0.04832755855670531,0.8365079365079365,0.773015873015873,0.9285714285714285,0.8472634144375962,0.04997570468254275,0.8356581689915022,0.7620432959698812,0.9284007509813961,0.8241269841269842,0.0961936193105839,0.8571428571428571,0.5714285714285714,1.0,15
E8c_arch_192_96,0.872680894765518,0.058915690665938596,0.8505050505050505,0.7992202729044834,1.0,0.8743827160493827,0.05683240221336502,0.8518518518518517,0.8009259259259259,1.0,0.872680894765518,0.058915690665938596,0.8505050505050505,0.7992202729044834,1.0,0.8629629629629629,0.1322695104625445,0.875,0.625,1.0,0.8497354497354498,0.0478139122013917,0.8396825396825397,0.7746031746031746,0.9301587301587301,0.848962893535876,0.05006348054537912,0.8380587484035761,0.7555555555555555,0.9307048984468339,0.827936507936508,0.07199023317360204,0.8571428571428571,0.6428571428571429,0.9285714285714286,15
E8c_arch_256_128,0.8687723939478326,0.059897400900761476,0.8787524366471735,0.7919799498746866,1.0,0.8719135802469136,0.0574166516992319,0.8796296296296297,0.7962962962962963,1.0,0.8687723939478326,0.059897400900761476,0.8787524366471735,0.7919799498746866,1.0,0.8537037037037037,0.15076841197863194,0.8888888888888888,0.5,1.0,0.8482539682539684,0.05628865195117366,0.8587301587301588,0.7507936507936508,0.9523809523809524,0.8462299724653587,0.05945235865828565,0.858560794044665,0.7355172413793104,0.9521120333133681,0.827936507936508,0.11489162886720622,0.8571428571428571,0.5,1.0,15
E8c_arch_256_64,0.8464182018722782,0.0745089984174672,0.8444272445820434,0.7013366750208855,1.0,0.8512345679012346,0.0689103506232492,0.8425925925925926,0.7407407407407408,1.0,0.8464182018722782,0.0745089984174672,0.8444272445820434,0.7013366750208855,1.0,0.8768518518518518,0.1457498501284418,0.8888888888888888,0.5,1.0,0.8432804232804233,0.054813530716857364,0.834920634920635,0.7444444444444445,0.9301587301587301,0.8409126670399415,0.0581046367034807,0.8348765432098766,0.7487068965517242,0.9307048984468339,0.8415873015873016,0.09495649979580938,0.8571428571428571,0.5714285714285714,1.0,15
E8c_arch_32_16,0.8294487133857619,0.07936044451483222,0.8425925925925926,0.6444444444444445,0.9607843137254902,0.8364197530864197,0.06886145648641956,0.8425925925925926,0.7037037037037037,0.9629629629629629,0.8294487133857619,0.07936044451483222,0.8425925925925926,0.6444444444444445,0.9607843137254902,0.8083333333333333,0.177025939967895,0.875,0.375,1.0,0.8425396825396825,0.06403172017443041,0.834920634920635,0.7047619047619048,0.9285714285714285,0.8399204718132854,0.06750963726979378,0.8289745070538735,0.6861648745519714,0.927741935483871,0.8095238095238095,0.12702522010833045,0.8571428571428571,0.5714285714285714,1.0,15
E8c_arch_384_128,0.8637678567657928,0.0640010664999647,0.8505050505050505,0.7553927553927554,1.0,0.8669753086419754,0.060602608883944926,0.8472222222222222,0.7731481481481483,1.0,0.8637678567657928,0.0640010664999647,0.8505050505050505,0.7553927553927554,1.0,0.8703703703703703,0.13685682774065658,0.8888888888888888,0.625,1.0,0.8607407407407408,0.05638023056608624,0.8619047619047618,0.7746031746031746,0.953968253968254,0.8596897648951469,0.05796518782127292,0.8612313612313612,0.7555555555555555,0.953968253968254,0.8377777777777777,0.09204628817283571,0.8571428571428571,0.5714285714285714,0.9285714285714286,15
E8c_arch_512_128,0.8572496675437852,0.06321737916106734,0.8474945533769063,0.7635448916408668,1.0,0.8595679012345678,0.06136078812367607,0.8518518518518517,0.7777777777777778,1.0,0.8572496675437852,0.06321737916106734,0.8474945533769063,0.7635448916408668,1.0,0.8314814814814814,0.15222362220806027,0.7777777777777778,0.5,1.0,0.8484656084656085,0.05486406936759045,0.8380952380952381,0.7746031746031746,0.953968253968254,0.8468846562778637,0.057142826649538715,0.8360072822438415,0.7555555555555555,0.953968253968254,0.8333333333333334,0.1033454019724319,0.8571428571428571,0.5,0.9285714285714286,15
E8c_arch_512_256,0.8624028030219981,0.0642528536328637,0.8470588235294118,0.767672858617131,1.0,0.8638888888888888,0.06414525666467409,0.8472222222222222,0.7638888888888888,1.0,0.8624028030219981,0.0642528536328637,0.8470588235294118,0.767672858617131,1.0,0.8462962962962963,0.13613000624705435,0.875,0.625,1.0,0.8501587301587302,0.06598506984511587,0.861904761904762,0.6714285714285714,0.953968253968254,0.8483992474561106,0.07069055489773084,0.8601106853980417,0.6497277676950998,0.953968253968254,0.8050793650793651,0.15784697607000064,0.8571428571428571,0.2857142857142857,1.0,15
E8c_arch_64_32,0.8710674583223602,0.06120876357541357,0.8474945533769063,0.7734126984126984,1.0,0.874074074074074,0.05804075446541304,0.8518518518518517,0.7731481481481483,1.0,0.8710674583223602,0.06120876357541357,0.8474945533769063,0.7734126984126984,1.0,0.8842592592592593,0.10969668512679481,0.8888888888888888,0.625,1.0,0.8487830687830688,0.06154166046928708,0.8603174603174604,0.7507936507936508,0.9317460317460317,0.8466816225952679,0.06382862650163096,0.8582911341532031,0.7355172413793104,0.9310344827586207,0.8425396825396825,0.09100217084070925,0.8571428571428571,0.5714285714285714,1.0,15
E8c_arch_96_48,0.8716197608148073,0.07481161496148107,0.8787524366471735,0.7041107041107041,1.0,0.8768518518518518,0.06769851090965497,0.8842592592592592,0.7407407407407408,1.0,0.8716197608148073,0.07481161496148107,0.8787524366471735,0.7041107041107041,1.0,0.8833333333333333,0.13026817407997435,0.8888888888888888,0.5,1.0,0.8483597883597883,0.0584902456101842,0.8634920634920634,0.7444444444444445,0.9079365079365079,0.8458810736667373,0.061452109838555494,0.864367816091954,0.7414995640802093,0.9088827838827839,0.8333333333333334,0.09881054831040062,0.8571428571428571,0.5714285714285714,1.0,15
