exp_id,n_runs,selection_score_mean,selection_score_std,selection_score_median,val_f1_macro_final_mean,val_f1_macro_final_std,val_balanced_acc_final_mean,val_balanced_acc_final_std,val_recall_2_final_mean,val_recall_2_final_std,test_f1_macro_mean,test_f1_macro_std,test_balanced_acc_mean,test_balanced_acc_std,selection_cv,stability_hint
E8c_arch_128_64,15,0.878446251795065,0.0633438582586632,0.8857142857142858,0.878446251795065,0.0633438582586632,0.8817901234567901,0.05876599713688013,0.8537037037037037,0.15076841197863194,0.8560201190246651,0.051718525277781195,0.857989417989418,0.04747471196883676,0.07210897437290319,0.8475334460325359
E8c_arch_192_96,15,0.872680894765518,0.058915690665938596,0.8505050505050505,0.872680894765518,0.058915690665938596,0.8743827160493827,0.05683240221336502,0.8629629629629629,0.1322695104625445,0.848962893535876,0.05006348054537912,0.8497354497354498,0.0478139122013917,0.06751114985938673,0.8447250210527789
E8c_arch_96_48,15,0.8716197608148073,0.07481161496148107,0.8787524366471735,0.8716197608148073,0.07481161496148107,0.8768518518518518,0.06769851090965497,0.8833333333333333,0.13026817407997435,0.8458810736667373,0.061452109838555494,0.8483597883597883,0.0584902456101842,0.08583056319368632,0.8398900396664396
E8c_arch_64_32,15,0.8710674583223602,0.06120876357541357,0.8474945533769063,0.8710674583223602,0.06120876357541357,0.874074074074074,0.05804075446541304,0.8842592592592593,0.10969668512679481,0.8466816225952679,0.06382862650163096,0.8487830687830688,0.06154166046928708,0.07026868354524357,0.8447955989158273
E8c_arch_256_128,15,0.8687723939478326,0.059897400900761476,0.8787524366471735,0.8687723939478326,0.059897400900761476,0.8719135802469136,0.0574166516992319,0.8537037037037037,0.15076841197863194,0.8462299724653587,0.05945235865828565,0.8482539682539684,0.05628865195117366,0.06894487131270213,0.838721202524779
E8c_arch_384_128,15,0.8637678567657928,0.0640010664999647,0.8505050505050505,0.8637678567657928,0.0640010664999647,0.8669753086419754,0.060602608883944926,0.8703703703703703,0.13685682774065658,0.8596897648951469,0.05796518782127292,0.8607407407407408,0.05638023056608624,0.07409521667037251,0.8340819073667359
E8c_arch_512_256,15,0.8624028030219981,0.0642528536328637,0.8470588235294118,0.8624028030219981,0.0642528536328637,0.8638888888888888,0.06414525666467409,0.8462962962962963,0.13613000624705435,0.8483992474561106,0.07069055489773084,0.8501587301587302,0.06598506984511587,0.0745044582504966,0.8327265889890768
E8c_arch_512_128,15,0.8572496675437852,0.06321737916106734,0.8474945533769063,0.8572496675437852,0.06321737916106734,0.8595679012345678,0.06136078812367607,0.8314814814814814,0.15222362220806027,0.8468846562778637,0.057142826649538715,0.8484656084656085,0.05486406936759045,0.07374441957172113,0.8262229605327124
E8c_arch_160_64,15,0.8561252087361478,0.06562348655582366,0.8522875816993464,0.8561252087361478,0.06562348655582366,0.8595679012345679,0.06327698174770886,0.8314814814814814,0.16339941254120974,0.8472634144375962,0.04997570468254275,0.8484656084656084,0.04832755855670531,0.07665173958923617,0.823379395843071
E8c_arch_256_64,15,0.8464182018722782,0.0745089984174672,0.8444272445820434,0.8464182018722782,0.0745089984174672,0.8512345679012346,0.0689103506232492,0.8768518518518518,0.1457498501284418,0.8409126670399415,0.0581046367034807,0.8432804232804233,0.054813530716857364,0.08802858711291085,0.8132159672550673
E8c_arch_32_16,15,0.8294487133857619,0.07936044451483222,0.8425925925925926,0.8294487133857619,0.07936044451483222,0.8364197530864197,0.06886145648641956,0.8083333333333333,0.177025939967895,0.8399204718132854,0.06750963726979378,0.8425396825396825,0.06403172017443041,0.09567854315053122,0.7919060082602642
