,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5080 ± 0.0255,0.5274 ± 0.0301,0.7212 ± 0.0250,0.5290 ± 0.0359,0.5368 ± 0.0353,0.7173 ± 0.0206,0.7350 ± 0.0165,0.7212 ± 0.0250,0.7259 ± 0.0203,0.7956 ± 0.0164,0.7096 ± 0.0162,0.5180 ± 0.0308,0.5032 ± 0.0249,0.6973 ± 0.0150,0.7140 ± 0.0147,0.7096 ± 0.0162,0.7113 ± 0.0152,0.7830 ± 0.0122
1,decision_tree,mutual_info,0.5057 ± 0.0252,0.5187 ± 0.0391,0.7139 ± 0.0193,0.5291 ± 0.0461,0.5188 ± 0.0390,0.7062 ± 0.0212,0.7222 ± 0.0224,0.7139 ± 0.0193,0.7163 ± 0.0184,0.7872 ± 0.0149,0.7090 ± 0.0095,0.5112 ± 0.0261,0.5033 ± 0.0233,0.6978 ± 0.0127,0.7170 ± 0.0100,0.7090 ± 0.0095,0.7125 ± 0.0093,0.7844 ± 0.0077
2,decision_tree,spearman_sulov,0.5080 ± 0.0255,0.5274 ± 0.0301,0.7212 ± 0.0250,0.5290 ± 0.0359,0.5368 ± 0.0353,0.7173 ± 0.0206,0.7350 ± 0.0165,0.7212 ± 0.0250,0.7259 ± 0.0203,0.7956 ± 0.0164,0.7096 ± 0.0162,0.5180 ± 0.0308,0.5032 ± 0.0249,0.6973 ± 0.0150,0.7140 ± 0.0147,0.7096 ± 0.0162,0.7113 ± 0.0152,0.7830 ± 0.0122
3,decision_tree,chi2,0.5343 ± 0.0195,0.5518 ± 0.0383,0.7436 ± 0.0257,0.5609 ± 0.0419,0.5553 ± 0.0443,0.7152 ± 0.0298,0.7518 ± 0.0202,0.7436 ± 0.0257,0.7455 ± 0.0221,0.7941 ± 0.0199,0.7319 ± 0.0115,0.5412 ± 0.0200,0.5315 ± 0.0208,0.6966 ± 0.0137,0.7368 ± 0.0124,0.7319 ± 0.0115,0.7337 ± 0.0117,0.7827 ± 0.0123
4,decision_tree,chi2_mi_union_topk,0.5116 ± 0.0324,0.5077 ± 0.0274,0.7183 ± 0.0143,0.5094 ± 0.0227,0.5121 ± 0.0360,0.7035 ± 0.0194,0.7285 ± 0.0149,0.7183 ± 0.0143,0.7217 ± 0.0125,0.7913 ± 0.0109,0.7153 ± 0.0220,0.5172 ± 0.0346,0.5104 ± 0.0334,0.7011 ± 0.0203,0.7181 ± 0.0200,0.7153 ± 0.0220,0.7161 ± 0.0206,0.7857 ± 0.0167
5,random_forest,spearman_corr,0.4785 ± 0.0315,0.4692 ± 0.0258,0.8337 ± 0.0099,0.6233 ± 0.1457,0.4920 ± 0.0157,0.9002 ± 0.0135,0.8049 ± 0.0500,0.8337 ± 0.0099,0.7802 ± 0.0121,0.9310 ± 0.0077,0.8250 ± 0.0075,0.6962 ± 0.1568,0.4947 ± 0.0179,0.8970 ± 0.0048,0.8061 ± 0.0341,0.8250 ± 0.0075,0.7737 ± 0.0094,0.9261 ± 0.0040
6,random_forest,mutual_info,0.4797 ± 0.0230,0.4805 ± 0.0404,0.8344 ± 0.0081,0.6095 ± 0.1813,0.4986 ± 0.0227,0.8955 ± 0.0142,0.7830 ± 0.0506,0.8344 ± 0.0081,0.7815 ± 0.0117,0.9283 ± 0.0080,0.8264 ± 0.0053,0.7349 ± 0.1290,0.4955 ± 0.0128,0.8981 ± 0.0063,0.8154 ± 0.0215,0.8264 ± 0.0053,0.7748 ± 0.0069,0.9260 ± 0.0044
7,random_forest,spearman_sulov,0.4785 ± 0.0315,0.4692 ± 0.0258,0.8337 ± 0.0099,0.6233 ± 0.1457,0.4920 ± 0.0157,0.9002 ± 0.0135,0.8049 ± 0.0500,0.8337 ± 0.0099,0.7802 ± 0.0121,0.9310 ± 0.0077,0.8250 ± 0.0075,0.6962 ± 0.1568,0.4947 ± 0.0179,0.8970 ± 0.0048,0.8061 ± 0.0341,0.8250 ± 0.0075,0.7737 ± 0.0094,0.9261 ± 0.0040
8,random_forest,chi2,0.5089 ± 0.0393,0.5367 ± 0.0563,0.8289 ± 0.0139,0.6668 ± 0.1233,0.5309 ± 0.0386,0.8959 ± 0.0102,0.7832 ± 0.0332,0.8289 ± 0.0139,0.7879 ± 0.0157,0.9260 ± 0.0060,0.8182 ± 0.0083,0.6441 ± 0.1062,0.5098 ± 0.0246,0.8879 ± 0.0048,0.7749 ± 0.0204,0.8182 ± 0.0083,0.7753 ± 0.0104,0.9178 ± 0.0041
9,random_forest,chi2_mi_union_topk,0.4781 ± 0.0196,0.4997 ± 0.0363,0.8341 ± 0.0093,0.7316 ± 0.1765,0.5082 ± 0.0216,0.9000 ± 0.0136,0.8191 ± 0.0458,0.8341 ± 0.0093,0.7845 ± 0.0104,0.9301 ± 0.0079,0.8256 ± 0.0056,0.6958 ± 0.1435,0.4944 ± 0.0109,0.8975 ± 0.0067,0.7983 ± 0.0246,0.8256 ± 0.0056,0.7740 ± 0.0062,0.9257 ± 0.0055
10,extra_trees,spearman_corr,0.4897 ± 0.0284,0.4749 ± 0.0427,0.8319 ± 0.0129,0.6078 ± 0.1485,0.4959 ± 0.0282,0.8956 ± 0.0124,0.7885 ± 0.0513,0.8319 ± 0.0129,0.7777 ± 0.0149,0.9291 ± 0.0069,0.8267 ± 0.0056,0.7916 ± 0.1547,0.5023 ± 0.0177,0.8909 ± 0.0056,0.8164 ± 0.0435,0.8267 ± 0.0056,0.7738 ± 0.0070,0.9232 ± 0.0035
11,extra_trees,mutual_info,0.4948 ± 0.0403,0.4990 ± 0.0537,0.8355 ± 0.0119,0.6618 ± 0.1802,0.5115 ± 0.0374,0.8981 ± 0.0080,0.7895 ± 0.0560,0.8355 ± 0.0119,0.7828 ± 0.0151,0.9294 ± 0.0081,0.8253 ± 0.0075,0.7186 ± 0.1980,0.5054 ± 0.0250,0.8930 ± 0.0081,0.7922 ± 0.0555,0.8253 ± 0.0075,0.7731 ± 0.0098,0.9251 ± 0.0051
12,extra_trees,spearman_sulov,0.4897 ± 0.0284,0.4749 ± 0.0427,0.8319 ± 0.0129,0.6078 ± 0.1485,0.4959 ± 0.0282,0.8956 ± 0.0124,0.7885 ± 0.0513,0.8319 ± 0.0129,0.7777 ± 0.0149,0.9291 ± 0.0069,0.8267 ± 0.0056,0.7916 ± 0.1547,0.5023 ± 0.0177,0.8909 ± 0.0056,0.8164 ± 0.0435,0.8267 ± 0.0056,0.7738 ± 0.0070,0.9232 ± 0.0035
13,extra_trees,chi2,0.5243 ± 0.0461,0.5448 ± 0.0703,0.8286 ± 0.0195,0.6695 ± 0.1429,0.5381 ± 0.0540,0.8942 ± 0.0080,0.7887 ± 0.0359,0.8286 ± 0.0195,0.7888 ± 0.0198,0.9236 ± 0.0071,0.8170 ± 0.0110,0.7252 ± 0.0679,0.5188 ± 0.0315,0.8913 ± 0.0037,0.7812 ± 0.0221,0.8170 ± 0.0110,0.7751 ± 0.0146,0.9186 ± 0.0048
14,extra_trees,chi2_mi_union_topk,0.4958 ± 0.0295,0.5037 ± 0.0556,0.8352 ± 0.0153,0.6801 ± 0.1924,0.5146 ± 0.0387,0.8987 ± 0.0104,0.7970 ± 0.0622,0.8352 ± 0.0153,0.7827 ± 0.0164,0.9288 ± 0.0081,0.8248 ± 0.0067,0.7128 ± 0.1425,0.5049 ± 0.0188,0.8952 ± 0.0073,0.7894 ± 0.0402,0.8248 ± 0.0067,0.7743 ± 0.0073,0.9246 ± 0.0072
15,xgboost,spearman_corr,0.5489 ± 0.0423,0.5699 ± 0.0581,0.8209 ± 0.0167,0.6901 ± 0.1017,0.5535 ± 0.0498,0.8868 ± 0.0141,0.7883 ± 0.0230,0.8209 ± 0.0167,0.7918 ± 0.0189,0.9235 ± 0.0083,0.8035 ± 0.0074,0.6485 ± 0.0845,0.5332 ± 0.0300,0.8770 ± 0.0103,0.7676 ± 0.0123,0.8035 ± 0.0074,0.7755 ± 0.0087,0.9149 ± 0.0061
16,xgboost,mutual_info,0.5500 ± 0.0431,0.5647 ± 0.0522,0.8231 ± 0.0125,0.6804 ± 0.0949,0.5500 ± 0.0434,0.8848 ± 0.0154,0.7900 ± 0.0199,0.8231 ± 0.0125,0.7941 ± 0.0152,0.9212 ± 0.0082,0.8052 ± 0.0085,0.6443 ± 0.0793,0.5347 ± 0.0305,0.8757 ± 0.0082,0.7684 ± 0.0133,0.8052 ± 0.0085,0.7771 ± 0.0104,0.9136 ± 0.0058
17,xgboost,spearman_sulov,0.5489 ± 0.0423,0.5699 ± 0.0581,0.8209 ± 0.0167,0.6901 ± 0.1017,0.5535 ± 0.0498,0.8868 ± 0.0141,0.7883 ± 0.0230,0.8209 ± 0.0167,0.7918 ± 0.0189,0.9235 ± 0.0083,0.8035 ± 0.0074,0.6485 ± 0.0845,0.5332 ± 0.0300,0.8770 ± 0.0103,0.7676 ± 0.0123,0.8035 ± 0.0074,0.7755 ± 0.0087,0.9149 ± 0.0061
18,xgboost,chi2,0.5905 ± 0.0175,0.6033 ± 0.0351,0.8022 ± 0.0133,0.6645 ± 0.0612,0.5825 ± 0.0326,0.8823 ± 0.0176,0.7757 ± 0.0154,0.8022 ± 0.0133,0.7839 ± 0.0132,0.9135 ± 0.0107,0.7981 ± 0.0097,0.6539 ± 0.0289,0.5684 ± 0.0159,0.8699 ± 0.0079,0.7704 ± 0.0107,0.7981 ± 0.0097,0.7793 ± 0.0092,0.9048 ± 0.0064
19,xgboost,chi2_mi_union_topk,0.5579 ± 0.0432,0.5627 ± 0.0587,0.8187 ± 0.0160,0.6704 ± 0.0956,0.5499 ± 0.0513,0.8878 ± 0.0155,0.7850 ± 0.0224,0.8187 ± 0.0160,0.7885 ± 0.0159,0.9227 ± 0.0083,0.8041 ± 0.0090,0.6551 ± 0.0776,0.5407 ± 0.0324,0.8772 ± 0.0088,0.7696 ± 0.0117,0.8041 ± 0.0090,0.7774 ± 0.0093,0.9143 ± 0.0063
20,adaboost,spearman_corr,0.5631 ± 0.0275,0.5726 ± 0.0518,0.7883 ± 0.0244,0.6169 ± 0.0614,0.5681 ± 0.0599,0.8538 ± 0.0174,0.7634 ± 0.0205,0.7883 ± 0.0244,0.7702 ± 0.0191,0.8972 ± 0.0099,0.7835 ± 0.0107,0.5968 ± 0.0357,0.5532 ± 0.0258,0.8498 ± 0.0201,0.7512 ± 0.0090,0.7835 ± 0.0107,0.7632 ± 0.0080,0.8920 ± 0.0110
21,adaboost,mutual_info,0.5662 ± 0.0244,0.5662 ± 0.0336,0.7963 ± 0.0247,0.6080 ± 0.0656,0.5704 ± 0.0503,0.8552 ± 0.0191,0.7623 ± 0.0193,0.7963 ± 0.0247,0.7717 ± 0.0184,0.8976 ± 0.0097,0.7830 ± 0.0135,0.5979 ± 0.0273,0.5573 ± 0.0253,0.8507 ± 0.0203,0.7502 ± 0.0098,0.7830 ± 0.0135,0.7625 ± 0.0099,0.8926 ± 0.0108
22,adaboost,spearman_sulov,0.5631 ± 0.0275,0.5726 ± 0.0518,0.7883 ± 0.0244,0.6169 ± 0.0614,0.5681 ± 0.0599,0.8538 ± 0.0174,0.7634 ± 0.0205,0.7883 ± 0.0244,0.7702 ± 0.0191,0.8972 ± 0.0099,0.7835 ± 0.0107,0.5968 ± 0.0357,0.5532 ± 0.0258,0.8498 ± 0.0201,0.7512 ± 0.0090,0.7835 ± 0.0107,0.7632 ± 0.0080,0.8920 ± 0.0110
23,adaboost,chi2,0.5883 ± 0.0203,0.5745 ± 0.0688,0.7912 ± 0.0247,0.5935 ± 0.0878,0.5821 ± 0.0648,0.8675 ± 0.0173,0.7563 ± 0.0271,0.7912 ± 0.0247,0.7677 ± 0.0227,0.9014 ± 0.0103,0.7766 ± 0.0158,0.5989 ± 0.0224,0.5851 ± 0.0196,0.8585 ± 0.0177,0.7548 ± 0.0107,0.7766 ± 0.0158,0.7639 ± 0.0117,0.8955 ± 0.0097
24,adaboost,chi2_mi_union_topk,0.5722 ± 0.0234,0.5773 ± 0.0502,0.7949 ± 0.0172,0.6036 ± 0.0360,0.5799 ± 0.0559,0.8582 ± 0.0245,0.7617 ± 0.0169,0.7949 ± 0.0172,0.7732 ± 0.0141,0.8980 ± 0.0132,0.7810 ± 0.0099,0.5920 ± 0.0290,0.5665 ± 0.0238,0.8499 ± 0.0180,0.7505 ± 0.0099,0.7810 ± 0.0099,0.7629 ± 0.0090,0.8923 ± 0.0085
25,svm,spearman_corr,0.4521 ± 0.0217,0.4507 ± 0.0219,0.8297 ± 0.0105,0.4396 ± 0.0807,0.4827 ± 0.0139,0.8977 ± 0.0085,0.7206 ± 0.0137,0.8297 ± 0.0105,0.7702 ± 0.0102,0.9279 ± 0.0089,0.8219 ± 0.0061,0.4945 ± 0.1197,0.4815 ± 0.0126,0.8883 ± 0.0070,0.7316 ± 0.0380,0.8219 ± 0.0061,0.7636 ± 0.0071,0.9202 ± 0.0049
26,svm,mutual_info,0.4521 ± 0.0215,0.4446 ± 0.0060,0.8297 ± 0.0110,0.4146 ± 0.0056,0.4794 ± 0.0065,0.8979 ± 0.0094,0.7182 ± 0.0096,0.8297 ± 0.0110,0.7698 ± 0.0102,0.9277 ± 0.0096,0.8219 ± 0.0053,0.4946 ± 0.1190,0.4816 ± 0.0123,0.8890 ± 0.0072,0.7317 ± 0.0362,0.8219 ± 0.0053,0.7637 ± 0.0062,0.9203 ± 0.0049
27,svm,spearman_sulov,0.4521 ± 0.0217,0.4507 ± 0.0219,0.8297 ± 0.0105,0.4396 ± 0.0807,0.4827 ± 0.0139,0.8977 ± 0.0085,0.7206 ± 0.0137,0.8297 ± 0.0105,0.7702 ± 0.0102,0.9279 ± 0.0089,0.8219 ± 0.0061,0.4945 ± 0.1197,0.4815 ± 0.0126,0.8883 ± 0.0070,0.7316 ± 0.0380,0.8219 ± 0.0061,0.7636 ± 0.0071,0.9202 ± 0.0049
28,svm,chi2,0.4653 ± 0.0339,0.4610 ± 0.0361,0.8220 ± 0.0142,0.5166 ± 0.1633,0.4847 ± 0.0209,0.9009 ± 0.0072,0.7433 ± 0.0431,0.8220 ± 0.0142,0.7678 ± 0.0150,0.9256 ± 0.0076,0.8153 ± 0.0057,0.5667 ± 0.1229,0.4861 ± 0.0200,0.8938 ± 0.0056,0.7437 ± 0.0282,0.8153 ± 0.0057,0.7610 ± 0.0083,0.9196 ± 0.0047
29,svm,chi2_mi_union_topk,0.4633 ± 0.0351,0.4635 ± 0.0288,0.8304 ± 0.0115,0.4901 ± 0.1192,0.4899 ± 0.0162,0.8988 ± 0.0102,0.7266 ± 0.0131,0.8304 ± 0.0115,0.7720 ± 0.0101,0.9280 ± 0.0096,0.8230 ± 0.0080,0.5185 ± 0.1203,0.4882 ± 0.0217,0.8891 ± 0.0071,0.7347 ± 0.0331,0.8230 ± 0.0080,0.7661 ± 0.0102,0.9203 ± 0.0054
30,logistic_regression,spearman_corr,0.5949 ± 0.0354,0.5993 ± 0.0407,0.7553 ± 0.0165,0.5938 ± 0.0388,0.6283 ± 0.0546,0.8795 ± 0.0199,0.7886 ± 0.0145,0.7553 ± 0.0165,0.7653 ± 0.0142,0.9157 ± 0.0134,0.7462 ± 0.0166,0.5869 ± 0.0338,0.6144 ± 0.0353,0.8631 ± 0.0135,0.7730 ± 0.0102,0.7462 ± 0.0166,0.7559 ± 0.0141,0.9053 ± 0.0074
31,logistic_regression,mutual_info,0.5919 ± 0.0282,0.6105 ± 0.0405,0.7575 ± 0.0194,0.6012 ± 0.0383,0.6450 ± 0.0498,0.8809 ± 0.0180,0.7901 ± 0.0135,0.7575 ± 0.0194,0.7664 ± 0.0152,0.9161 ± 0.0126,0.7445 ± 0.0133,0.5831 ± 0.0262,0.6138 ± 0.0304,0.8652 ± 0.0122,0.7722 ± 0.0089,0.7445 ± 0.0133,0.7541 ± 0.0115,0.9062 ± 0.0067
32,logistic_regression,spearman_sulov,0.5949 ± 0.0354,0.5993 ± 0.0407,0.7553 ± 0.0165,0.5938 ± 0.0388,0.6283 ± 0.0546,0.8795 ± 0.0199,0.7886 ± 0.0145,0.7553 ± 0.0165,0.7653 ± 0.0142,0.9157 ± 0.0134,0.7462 ± 0.0166,0.5869 ± 0.0338,0.6144 ± 0.0353,0.8631 ± 0.0135,0.7730 ± 0.0102,0.7462 ± 0.0166,0.7559 ± 0.0141,0.9053 ± 0.0074
