,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5080 ± 0.0205,0.5147 ± 0.0413,0.7187 ± 0.0135,0.5145 ± 0.0423,0.5216 ± 0.0439,0.7082 ± 0.0241,0.7204 ± 0.0196,0.7187 ± 0.0135,0.7183 ± 0.0156,0.7896 ± 0.0112,0.7135 ± 0.0091,0.5143 ± 0.0240,0.5070 ± 0.0263,0.6999 ± 0.0139,0.7146 ± 0.0110,0.7135 ± 0.0091,0.7136 ± 0.0095,0.7855 ± 0.0078
1,decision_tree,mutual_info,0.5050 ± 0.0254,0.5114 ± 0.0489,0.7176 ± 0.0217,0.5096 ± 0.0475,0.5190 ± 0.0562,0.7076 ± 0.0316,0.7272 ± 0.0235,0.7176 ± 0.0217,0.7209 ± 0.0212,0.7923 ± 0.0165,0.7162 ± 0.0127,0.5101 ± 0.0274,0.5026 ± 0.0250,0.6983 ± 0.0137,0.7174 ± 0.0081,0.7162 ± 0.0127,0.7163 ± 0.0103,0.7881 ± 0.0076
2,decision_tree,spearman_sulov,0.5080 ± 0.0205,0.5147 ± 0.0413,0.7187 ± 0.0135,0.5145 ± 0.0423,0.5216 ± 0.0439,0.7082 ± 0.0241,0.7204 ± 0.0196,0.7187 ± 0.0135,0.7183 ± 0.0156,0.7896 ± 0.0112,0.7135 ± 0.0091,0.5143 ± 0.0240,0.5070 ± 0.0263,0.6999 ± 0.0139,0.7146 ± 0.0110,0.7135 ± 0.0091,0.7136 ± 0.0095,0.7855 ± 0.0078
3,decision_tree,chi2,0.5310 ± 0.0204,0.5531 ± 0.0472,0.7359 ± 0.0321,0.5538 ± 0.0519,0.5630 ± 0.0552,0.7315 ± 0.0308,0.7463 ± 0.0264,0.7359 ± 0.0321,0.7389 ± 0.0289,0.8030 ± 0.0225,0.7219 ± 0.0211,0.5346 ± 0.0220,0.5301 ± 0.0211,0.7128 ± 0.0140,0.7322 ± 0.0154,0.7219 ± 0.0211,0.7264 ± 0.0180,0.7935 ± 0.0144
4,decision_tree,chi2_mi_union_topk,0.5112 ± 0.0265,0.5153 ± 0.0309,0.7234 ± 0.0232,0.5163 ± 0.0274,0.5232 ± 0.0398,0.7100 ± 0.0224,0.7273 ± 0.0235,0.7234 ± 0.0232,0.7233 ± 0.0229,0.7936 ± 0.0190,0.7175 ± 0.0156,0.5167 ± 0.0281,0.5081 ± 0.0266,0.7013 ± 0.0149,0.7193 ± 0.0111,0.7175 ± 0.0156,0.7180 ± 0.0127,0.7890 ± 0.0101
5,random_forest,spearman_corr,0.4628 ± 0.0174,0.4675 ± 0.0194,0.8326 ± 0.0062,0.6126 ± 0.1080,0.4908 ± 0.0100,0.8928 ± 0.0195,0.8000 ± 0.0378,0.8326 ± 0.0062,0.7790 ± 0.0048,0.9296 ± 0.0087,0.8248 ± 0.0043,0.6445 ± 0.1060,0.4869 ± 0.0099,0.8955 ± 0.0051,0.7923 ± 0.0283,0.8248 ± 0.0043,0.7702 ± 0.0048,0.9253 ± 0.0039
6,random_forest,mutual_info,0.4637 ± 0.0195,0.4720 ± 0.0317,0.8300 ± 0.0113,0.5864 ± 0.1677,0.4927 ± 0.0189,0.8978 ± 0.0101,0.7783 ± 0.0492,0.8300 ± 0.0113,0.7770 ± 0.0125,0.9284 ± 0.0053,0.8242 ± 0.0065,0.6301 ± 0.1398,0.4869 ± 0.0109,0.8966 ± 0.0078,0.7857 ± 0.0365,0.8242 ± 0.0065,0.7708 ± 0.0091,0.9253 ± 0.0052
7,random_forest,spearman_sulov,0.4628 ± 0.0174,0.4675 ± 0.0194,0.8326 ± 0.0062,0.6126 ± 0.1080,0.4908 ± 0.0100,0.8928 ± 0.0195,0.8000 ± 0.0378,0.8326 ± 0.0062,0.7790 ± 0.0048,0.9296 ± 0.0087,0.8248 ± 0.0043,0.6445 ± 0.1060,0.4869 ± 0.0099,0.8955 ± 0.0051,0.7923 ± 0.0283,0.8248 ± 0.0043,0.7702 ± 0.0048,0.9253 ± 0.0039
8,random_forest,chi2,0.4880 ± 0.0371,0.5179 ± 0.0567,0.8304 ± 0.0137,0.6718 ± 0.1584,0.5209 ± 0.0387,0.9007 ± 0.0090,0.7840 ± 0.0509,0.8304 ± 0.0137,0.7826 ± 0.0153,0.9300 ± 0.0073,0.8162 ± 0.0079,0.6609 ± 0.1541,0.4979 ± 0.0223,0.8979 ± 0.0063,0.7696 ± 0.0408,0.8162 ± 0.0079,0.7670 ± 0.0111,0.9242 ± 0.0043
9,random_forest,chi2_mi_union_topk,0.4760 ± 0.0310,0.4868 ± 0.0423,0.8348 ± 0.0124,0.6797 ± 0.2279,0.5021 ± 0.0255,0.8958 ± 0.0132,0.8046 ± 0.0671,0.8348 ± 0.0124,0.7818 ± 0.0151,0.9291 ± 0.0081,0.8230 ± 0.0070,0.6744 ± 0.1397,0.4931 ± 0.0175,0.8958 ± 0.0082,0.7955 ± 0.0345,0.8230 ± 0.0070,0.7709 ± 0.0074,0.9257 ± 0.0035
