,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
24,adaboost,chi2_mi_union_topk,0.5635 ± 0.0276,0.5720 ± 0.0373,0.7930 ± 0.0170,0.6156 ± 0.0525,0.5663 ± 0.0402,0.8484 ± 0.0174,0.7667 ± 0.0170,0.7930 ± 0.0170,0.7756 ± 0.0146,0.9015 ± 0.0103,0.7725 ± 0.0099,0.5877 ± 0.0358,0.5527 ± 0.0278,0.8516 ± 0.0083,0.7541 ± 0.0105,0.7725 ± 0.0099,0.7618 ± 0.0100,0.8987 ± 0.0059
25,svm,spearman_corr,0.4488 ± 0.0075,0.4534 ± 0.0131,0.8289 ± 0.0101,0.5067 ± 0.1075,0.4827 ± 0.0085,0.8828 ± 0.0058,0.7592 ± 0.0503,0.8289 ± 0.0101,0.7729 ± 0.0110,0.9222 ± 0.0061,0.8239 ± 0.0044,0.5006 ± 0.0919,0.4796 ± 0.0041,0.8799 ± 0.0043,0.7523 ± 0.0414,0.8239 ± 0.0044,0.7670 ± 0.0049,0.9175 ± 0.0037
26,svm,mutual_info,0.4532 ± 0.0079,0.4623 ± 0.0115,0.8348 ± 0.0087,0.5677 ± 0.1012,0.4887 ± 0.0073,0.8862 ± 0.0062,0.7896 ± 0.0458,0.8348 ± 0.0087,0.7803 ± 0.0089,0.9244 ± 0.0060,0.8248 ± 0.0048,0.5419 ± 0.0876,0.4819 ± 0.0043,0.8808 ± 0.0048,0.7712 ± 0.0386,0.8248 ± 0.0048,0.7694 ± 0.0050,0.9179 ± 0.0034
27,svm,spearman_sulov,0.4549 ± 0.0088,0.4560 ± 0.0125,0.8311 ± 0.0094,0.5246 ± 0.1117,0.4846 ± 0.0080,0.8827 ± 0.0053,0.7687 ± 0.0520,0.8311 ± 0.0094,0.7756 ± 0.0103,0.9219 ± 0.0054,0.8256 ± 0.0048,0.5504 ± 0.0654,0.4829 ± 0.0051,0.8791 ± 0.0041,0.7752 ± 0.0299,0.8256 ± 0.0048,0.7705 ± 0.0061,0.9170 ± 0.0037
28,svm,chi2,0.4531 ± 0.0082,0.4589 ± 0.0141,0.8341 ± 0.0085,0.5463 ± 0.1200,0.4870 ± 0.0085,0.8855 ± 0.0069,0.7794 ± 0.0549,0.8341 ± 0.0085,0.7783 ± 0.0101,0.9238 ± 0.0058,0.8247 ± 0.0043,0.5441 ± 0.0885,0.4818 ± 0.0044,0.8812 ± 0.0045,0.7720 ± 0.0392,0.8247 ± 0.0043,0.7692 ± 0.0051,0.9179 ± 0.0034
29,svm,chi2_mi_union_topk,0.4586 ± 0.0059,0.4618 ± 0.0156,0.8341 ± 0.0117,0.5548 ± 0.1118,0.4882 ± 0.0103,0.8803 ± 0.0099,0.7833 ± 0.0527,0.8341 ± 0.0117,0.7794 ± 0.0130,0.9205 ± 0.0085,0.8288 ± 0.0053,0.5576 ± 0.0499,0.4854 ± 0.0037,0.8759 ± 0.0060,0.7806 ± 0.0219,0.8288 ± 0.0053,0.7744 ± 0.0050,0.9156 ± 0.0048
30,logistic_regression,spearman_corr,0.5587 ± 0.0260,0.5640 ± 0.0307,0.7454 ± 0.0222,0.5569 ± 0.0236,0.5925 ± 0.0426,0.8586 ± 0.0210,0.7735 ± 0.0077,0.7454 ± 0.0222,0.7541 ± 0.0170,0.9065 ± 0.0121,0.7387 ± 0.0141,0.5524 ± 0.0239,0.5803 ± 0.0284,0.8641 ± 0.0104,0.7723 ± 0.0132,0.7387 ± 0.0141,0.7507 ± 0.0137,0.9066 ± 0.0074
31,logistic_regression,mutual_info,0.5543 ± 0.0159,0.5641 ± 0.0368,0.7392 ± 0.0271,0.5582 ± 0.0301,0.5896 ± 0.0462,0.8554 ± 0.0148,0.7737 ± 0.0152,0.7392 ± 0.0271,0.7514 ± 0.0218,0.9030 ± 0.0114,0.7343 ± 0.0055,0.5487 ± 0.0150,0.5715 ± 0.0187,0.8571 ± 0.0109,0.7667 ± 0.0068,0.7343 ± 0.0055,0.7472 ± 0.0059,0.9011 ± 0.0073
32,logistic_regression,spearman_sulov,0.5506 ± 0.0177,0.5602 ± 0.0378,0.7392 ± 0.0291,0.5543 ± 0.0309,0.5898 ± 0.0444,0.8567 ± 0.0162,0.7742 ± 0.0144,0.7392 ± 0.0291,0.7504 ± 0.0237,0.9046 ± 0.0114,0.7349 ± 0.0089,0.5452 ± 0.0154,0.5700 ± 0.0207,0.8612 ± 0.0107,0.7696 ± 0.0075,0.7349 ± 0.0089,0.7483 ± 0.0086,0.9048 ± 0.0073
33,logistic_regression,chi2,0.5533 ± 0.0151,0.5608 ± 0.0382,0.7374 ± 0.0288,0.5553 ± 0.0309,0.5867 ± 0.0464,0.8521 ± 0.0163,0.7712 ± 0.0136,0.7374 ± 0.0288,0.7490 ± 0.0224,0.9014 ± 0.0112,0.7335 ± 0.0054,0.5477 ± 0.0133,0.5702 ± 0.0189,0.8560 ± 0.0114,0.7657 ± 0.0072,0.7335 ± 0.0054,0.7463 ± 0.0061,0.9005 ± 0.0076
