,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
22,adaboost,spearman_sulov,0.5554 ± 0.0304,0.5552 ± 0.0580,0.7777 ± 0.0128,0.5888 ± 0.0669,0.5518 ± 0.0606,0.8567 ± 0.0133,0.7571 ± 0.0153,0.7777 ± 0.0128,0.7641 ± 0.0136,0.9020 ± 0.0088,0.7692 ± 0.0106,0.5877 ± 0.0431,0.5430 ± 0.0286,0.8519 ± 0.0155,0.7500 ± 0.0118,0.7692 ± 0.0106,0.7574 ± 0.0103,0.8970 ± 0.0073
23,adaboost,chi2,0.5519 ± 0.0284,0.5783 ± 0.0443,0.7817 ± 0.0169,0.6222 ± 0.0540,0.5651 ± 0.0472,0.8573 ± 0.0151,0.7681 ± 0.0169,0.7817 ± 0.0169,0.7722 ± 0.0169,0.9034 ± 0.0066,0.7657 ± 0.0119,0.5833 ± 0.0360,0.5405 ± 0.0282,0.8505 ± 0.0168,0.7486 ± 0.0134,0.7657 ± 0.0119,0.7551 ± 0.0115,0.8970 ± 0.0064
24,adaboost,chi2_mi_union_topk,0.5407 ± 0.0392,0.5721 ± 0.0445,0.7755 ± 0.0234,0.6101 ± 0.0777,0.5664 ± 0.0446,0.8543 ± 0.0116,0.7646 ± 0.0200,0.7755 ± 0.0234,0.7669 ± 0.0193,0.9004 ± 0.0077,0.7638 ± 0.0164,0.5602 ± 0.0427,0.5350 ± 0.0431,0.8474 ± 0.0171,0.7466 ± 0.0142,0.7638 ± 0.0164,0.7533 ± 0.0141,0.8954 ± 0.0078
25,svm,spearman_corr,0.4457 ± 0.0045,0.4500 ± 0.0094,0.8333 ± 0.0090,0.4547 ± 0.0857,0.4829 ± 0.0069,0.8933 ± 0.0076,0.7392 ± 0.0398,0.8333 ± 0.0090,0.7749 ± 0.0092,0.9272 ± 0.0078,0.8253 ± 0.0032,0.4677 ± 0.0840,0.4789 ± 0.0028,0.8885 ± 0.0057,0.7391 ± 0.0372,0.8253 ± 0.0032,0.7670 ± 0.0036,0.9223 ± 0.0040
26,svm,mutual_info,0.4442 ± 0.0032,0.4517 ± 0.0114,0.8337 ± 0.0093,0.4799 ± 0.1094,0.4837 ± 0.0081,0.8913 ± 0.0092,0.7506 ± 0.0524,0.8337 ± 0.0093,0.7758 ± 0.0104,0.9264 ± 0.0085,0.8263 ± 0.0044,0.4222 ± 0.0267,0.4786 ± 0.0027,0.8849 ± 0.0057,0.7199 ± 0.0123,0.8263 ± 0.0044,0.7671 ± 0.0040,0.9205 ± 0.0033
27,svm,spearman_sulov,0.4507 ± 0.0060,0.4514 ± 0.0089,0.8333 ± 0.0090,0.4672 ± 0.0875,0.4835 ± 0.0063,0.8936 ± 0.0079,0.7448 ± 0.0391,0.8333 ± 0.0090,0.7755 ± 0.0087,0.9271 ± 0.0079,0.8286 ± 0.0039,0.5358 ± 0.0958,0.4821 ± 0.0037,0.8887 ± 0.0058,0.7706 ± 0.0426,0.8286 ± 0.0039,0.7711 ± 0.0044,0.9222 ± 0.0040
28,svm,chi2,0.4448 ± 0.0042,0.4513 ± 0.0110,0.8330 ± 0.0093,0.4796 ± 0.1089,0.4833 ± 0.0078,0.8915 ± 0.0096,0.7500 ± 0.0517,0.8330 ± 0.0093,0.7752 ± 0.0102,0.9266 ± 0.0085,0.8263 ± 0.0045,0.4346 ± 0.0459,0.4789 ± 0.0031,0.8857 ± 0.0057,0.7252 ± 0.0211,0.8263 ± 0.0045,0.7672 ± 0.0044,0.9210 ± 0.0036
29,svm,chi2_mi_union_topk,0.4496 ± 0.0085,0.4527 ± 0.0088,0.8330 ± 0.0108,0.4713 ± 0.0837,0.4838 ± 0.0067,0.8883 ± 0.0085,0.7463 ± 0.0380,0.8330 ± 0.0108,0.7757 ± 0.0097,0.9251 ± 0.0089,0.8253 ± 0.0046,0.4873 ± 0.0827,0.4804 ± 0.0047,0.8801 ± 0.0050,0.7476 ± 0.0372,0.8253 ± 0.0046,0.7686 ± 0.0055,0.9181 ± 0.0046
30,logistic_regression,spearman_corr,0.5820 ± 0.0349,0.6100 ± 0.0356,0.7648 ± 0.0185,0.6076 ± 0.0378,0.6321 ± 0.0497,0.8645 ± 0.0238,0.7868 ± 0.0129,0.7648 ± 0.0185,0.7708 ± 0.0150,0.9089 ± 0.0146,0.7511 ± 0.0171,0.5750 ± 0.0341,0.5985 ± 0.0349,0.8649 ± 0.0144,0.7762 ± 0.0118,0.7511 ± 0.0171,0.7609 ± 0.0148,0.9090 ± 0.0076
31,logistic_regression,mutual_info,0.5708 ± 0.0337,0.5933 ± 0.0295,0.7601 ± 0.0189,0.5916 ± 0.0335,0.6129 ± 0.0401,0.8571 ± 0.0239,0.7815 ± 0.0127,0.7601 ± 0.0189,0.7666 ± 0.0148,0.9039 ± 0.0137,0.7447 ± 0.0159,0.5683 ± 0.0366,0.5808 ± 0.0316,0.8573 ± 0.0153,0.7709 ± 0.0114,0.7447 ± 0.0159,0.7555 ± 0.0137,0.9031 ± 0.0080
32,logistic_regression,spearman_sulov,0.5815 ± 0.0337,0.6070 ± 0.0382,0.7667 ± 0.0169,0.6093 ± 0.0366,0.6256 ± 0.0511,0.8630 ± 0.0251,0.7879 ± 0.0110,0.7667 ± 0.0169,0.7727 ± 0.0128,0.9069 ± 0.0144,0.7520 ± 0.0184,0.5763 ± 0.0369,0.5952 ± 0.0301,0.8644 ± 0.0155,0.7753 ± 0.0127,0.7520 ± 0.0184,0.7613 ± 0.0160,0.9079 ± 0.0078
33,logistic_regression,chi2,0.5729 ± 0.0360,0.5916 ± 0.0301,0.7619 ± 0.0171,0.5889 ± 0.0302,0.6141 ± 0.0475,0.8546 ± 0.0284,0.7826 ± 0.0112,0.7619 ± 0.0171,0.7683 ± 0.0126,0.9031 ± 0.0146,0.7476 ± 0.0182,0.5703 ± 0.0395,0.5820 ± 0.0347,0.8555 ± 0.0169,0.7701 ± 0.0142,0.7476 ± 0.0182,0.7570 ± 0.0163,0.9023 ± 0.0086
34,logistic_regression,chi2_mi_union_topk,0.5777 ± 0.0333,0.5896 ± 0.0280,0.7513 ± 0.0237,0.5832 ± 0.0290,0.6278 ± 0.0372,0.8767 ± 0.0167,0.7893 ± 0.0118,0.7513 ± 0.0237,0.7620 ± 0.0193,0.9161 ± 0.0112,0.7381 ± 0.0143,0.5691 ± 0.0293,0.6067 ± 0.0376,0.8683 ± 0.0131,0.7789 ± 0.0113,0.7381 ± 0.0143,0.7529 ± 0.0131,0.9108 ± 0.0062
35,knn,spearman_corr,0.4735 ± 0.0174,0.4862 ± 0.0383,0.7736 ± 0.0215,0.5508 ± 0.1018,0.4846 ± 0.0266,0.7943 ± 0.0240,0.7367 ± 0.0221,0.7736 ± 0.0215,0.7428 ± 0.0207,0.8838 ± 0.0141,0.7714 ± 0.0072,0.5720 ± 0.0910,0.4754 ± 0.0104,0.7841 ± 0.0160,0.7306 ± 0.0122,0.7714 ± 0.0072,0.7385 ± 0.0076,0.8804 ± 0.0063
36,knn,mutual_info,0.4708 ± 0.0302,0.4713 ± 0.0310,0.7692 ± 0.0158,0.5554 ± 0.1130,0.4727 ± 0.0199,0.7976 ± 0.0295,0.7240 ± 0.0196,0.7692 ± 0.0158,0.7346 ± 0.0170,0.8797 ± 0.0151,0.7693 ± 0.0068,0.5548 ± 0.1040,0.4730 ± 0.0184,0.7860 ± 0.0176,0.7228 ± 0.0170,0.7693 ± 0.0068,0.7347 ± 0.0099,0.8764 ± 0.0062
37,knn,spearman_sulov,0.4701 ± 0.0280,0.4773 ± 0.0331,0.7674 ± 0.0131,0.5557 ± 0.1161,0.4766 ± 0.0192,0.7891 ± 0.0262,0.7287 ± 0.0153,0.7674 ± 0.0131,0.7352 ± 0.0114,0.8767 ± 0.0134,0.7678 ± 0.0088,0.5673 ± 0.1126,0.4727 ± 0.0177,0.7864 ± 0.0139,0.7261 ± 0.0164,0.7678 ± 0.0088,0.7335 ± 0.0105,0.8782 ± 0.0046
38,knn,chi2,0.4662 ± 0.0283,0.4833 ± 0.0409,0.7659 ± 0.0154,0.5830 ± 0.1167,0.4793 ± 0.0256,0.7926 ± 0.0243,0.7281 ± 0.0220,0.7659 ± 0.0154,0.7338 ± 0.0166,0.8770 ± 0.0137,0.7626 ± 0.0071,0.5413 ± 0.0794,0.4689 ± 0.0176,0.7872 ± 0.0161,0.7170 ± 0.0151,0.7626 ± 0.0071,0.7277 ± 0.0090,0.8764 ± 0.0061
39,knn,chi2_mi_union_topk,0.4812 ± 0.0220,0.4976 ± 0.0370,0.7978 ± 0.0129,0.5707 ± 0.1179,0.4971 ± 0.0227,0.8112 ± 0.0179,0.7534 ± 0.0174,0.7978 ± 0.0129,0.7655 ± 0.0136,0.8910 ± 0.0116,0.7885 ± 0.0059,0.5657 ± 0.1131,0.4850 ± 0.0131,0.7975 ± 0.0130,0.7419 ± 0.0172,0.7885 ± 0.0059,0.7550 ± 0.0072,0.8877 ± 0.0080
40,gaussian_nb,spearman_corr,0.4953 ± 0.0204,0.5039 ± 0.0395,0.6440 ± 0.0394,0.5276 ± 0.0226,0.5897 ± 0.0355,0.8209 ± 0.0288,0.7644 ± 0.0199,0.6440 ± 0.0394,0.6651 ± 0.0398,0.8876 ± 0.0105,0.6316 ± 0.0305,0.5207 ± 0.0139,0.5731 ± 0.0223,0.8121 ± 0.0219,0.7580 ± 0.0132,0.6316 ± 0.0305,0.6574 ± 0.0328,0.8826 ± 0.0052
41,gaussian_nb,mutual_info,0.5165 ± 0.0175,0.5169 ± 0.0515,0.6678 ± 0.0466,0.5271 ± 0.0331,0.5870 ± 0.0615,0.8263 ± 0.0399,0.7621 ± 0.0211,0.6678 ± 0.0466,0.6900 ± 0.0433,0.8894 ± 0.0138,0.6607 ± 0.0257,0.5270 ± 0.0142,0.5874 ± 0.0254,0.8220 ± 0.0163,0.7628 ± 0.0143,0.6607 ± 0.0257,0.6872 ± 0.0256,0.8865 ± 0.0045
42,gaussian_nb,spearman_sulov,0.4888 ± 0.0216,0.5039 ± 0.0473,0.6432 ± 0.0414,0.5300 ± 0.0275,0.6055 ± 0.0517,0.8229 ± 0.0378,0.7688 ± 0.0177,0.6432 ± 0.0414,0.6621 ± 0.0435,0.8900 ± 0.0117,0.6242 ± 0.0342,0.5199 ± 0.0112,0.5811 ± 0.0208,0.8104 ± 0.0198,0.7593 ± 0.0111,0.6242 ± 0.0342,0.6465 ± 0.0384,0.8837 ± 0.0053
43,gaussian_nb,chi2,0.4950 ± 0.0123,0.5067 ± 0.0561,0.6495 ± 0.0562,0.5296 ± 0.0289,0.5917 ± 0.0583,0.8205 ± 0.0352,0.7656 ± 0.0194,0.6495 ± 0.0562,0.6681 ± 0.0576,0.8878 ± 0.0119,0.6322 ± 0.0313,0.5204 ± 0.0119,0.5777 ± 0.0265,0.8170 ± 0.0160,0.7577 ± 0.0131,0.6322 ± 0.0313,0.6560 ± 0.0358,0.8840 ± 0.0050
44,gaussian_nb,chi2_mi_union_topk,0.5455 ± 0.0130,0.5486 ± 0.0316,0.7018 ± 0.0198,0.5504 ± 0.0267,0.6401 ± 0.0540,0.8723 ± 0.0136,0.7919 ± 0.0208,0.7018 ± 0.0198,0.7269 ± 0.0174,0.9088 ± 0.0127,0.6836 ± 0.0094,0.5464 ± 0.0107,0.6268 ± 0.0168,0.8685 ± 0.0053,0.7804 ± 0.0083,0.6836 ± 0.0094,0.7138 ± 0.0079,0.9045 ± 0.0056
